Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762047584,2025-11-02T01:39:44Z,QFA443,"-33.931671,151.178558",0,0,188
1762047648,2025-11-02T01:40:48Z,QFA443,"-33.931458,151.178604",0,2,188
1762047670,2025-11-02T01:41:10Z,QFA443,"-33.931229,151.178635",0,0,188
1762047693,2025-11-02T01:41:33Z,QFA443,"-33.930988,151.17865",0,2,210
1762047712,2025-11-02T01:41:52Z,QFA443,"-33.930786,151.178665",0,3,255
1762047790,2025-11-02T01:43:10Z,QFA443,"-33.930702,151.17894",0,0,281
1762047951,2025-11-02T01:45:51Z,QFA443,"-33.930714,151.178726",0,5,281
1762047957,2025-11-02T01:45:57Z,QFA443,"-33.930679,151.178497",0,7,281
1762047964,2025-11-02T01:46:04Z,QFA443,"-33.930634,151.178162",0,11,281
1762047972,2025-11-02T01:46:12Z,QFA443,"-33.930553,151.177673",0,12,281
1762047978,2025-11-02T01:46:18Z,QFA443,"-33.930428,151.177277",0,13,295
1762047982,2025-11-02T01:46:22Z,QFA443,"-33.930313,151.177032",0,14,298
1762047985,2025-11-02T01:46:25Z,QFA443,"-33.930199,151.176773",0,14,295
1762047988,2025-11-02T01:46:28Z,QFA443,"-33.930134,151.176544",0,15,289
1762047992,2025-11-02T01:46:32Z,QFA443,"-33.930107,151.17627",0,13,281
1762047996,2025-11-02T01:46:36Z,QFA443,"-33.930061,151.17598",0,11,281
1762048008,2025-11-02T01:46:48Z,QFA443,"-33.929947,151.175476",0,7,289
1762048018,2025-11-02T01:46:58Z,QFA443,"-33.929703,151.175262",0,8,326
1762048026,2025-11-02T01:47:06Z,QFA443,"-33.92942,151.175171",0,7,340
1762048033,2025-11-02T01:47:13Z,QFA443,"-33.929192,151.174973",0,9,323
1762048038,2025-11-02T01:47:18Z,QFA443,"-33.9291,151.174713",0,9,298
1762048043,2025-11-02T01:47:23Z,QFA443,"-33.929077,151.174484",0,9,284
1762048048,2025-11-02T01:47:28Z,QFA443,"-33.929043,151.17424",0,7,281
1762048056,2025-11-02T01:47:36Z,QFA443,"-33.929005,151.174026",0,4,281
1762048273,2025-11-02T01:51:13Z,QFA443,"-33.928974,151.173798",0,3,281
1762048282,2025-11-02T01:51:22Z,QFA443,"-33.928936,151.173569",0,6,281
1762048289,2025-11-02T01:51:29Z,QFA443,"-33.92889,151.173279",0,7,281
1762048296,2025-11-02T01:51:36Z,QFA443,"-33.928879,151.173065",0,5,275
1762048313,2025-11-02T01:51:53Z,QFA443,"-33.928917,151.172852",0,1,261
1762048686,2025-11-02T01:58:06Z,QFA443,"-33.929008,151.172623",0,6,247
1762048693,2025-11-02T01:58:13Z,QFA443,"-33.929157,151.172379",0,8,236
1762048700,2025-11-02T01:58:20Z,QFA443,"-33.929344,151.172028",0,11,233
1762048706,2025-11-02T01:58:26Z,QFA443,"-33.9296,151.171814",0,13,216
1762048711,2025-11-02T01:58:31Z,QFA443,"-33.929878,151.171738",0,14,194
1762048719,2025-11-02T01:58:39Z,QFA443,"-33.930496,151.171875",0,18,165
1762048724,2025-11-02T01:58:44Z,QFA443,"-33.930973,151.171997",0,23,165
1762048727,2025-11-02T01:58:47Z,QFA443,"-33.931297,151.172104",0,31,165
1762048728,2025-11-02T01:58:48Z,QFA443,"-33.931629,151.17218",0,41,168
1762048732,2025-11-02T01:58:52Z,QFA443,"-33.932529,151.172409",0,61,168
1762048733,2025-11-02T01:58:53Z,QFA443,"-33.932983,151.172531",0,66,168
1762048735,2025-11-02T01:58:55Z,QFA443,"-33.933712,151.172714",0,74,168
1762048737,2025-11-02T01:58:57Z,QFA443,"-33.934288,151.172867",0,84,168
1762048738,2025-11-02T01:58:58Z,QFA443,"-33.934696,151.172974",0,88,168
1762048740,2025-11-02T01:59:00Z,QFA443,"-33.935558,151.173187",0,98,167
1762048742,2025-11-02T01:59:02Z,QFA443,"-33.936535,151.173416",50,106,168
1762048744,2025-11-02T01:59:04Z,QFA443,"-33.937317,151.173676",50,110,168
1762048747,2025-11-02T01:59:07Z,QFA443,"-33.938725,151.174042",50,122,167
1762048749,2025-11-02T01:59:09Z,QFA443,"-33.940109,151.174393",50,130,167
1762048751,2025-11-02T01:59:11Z,QFA443,"-33.941116,151.174622",50,137,167
1762048753,2025-11-02T01:59:13Z,QFA443,"-33.94249,151.175018",50,147,167
1762048759,2025-11-02T01:59:19Z,QFA443,"-33.946964,151.176117",25,162,167
1762048767,2025-11-02T01:59:27Z,QFA443,"-33.953293,151.177704",300,167,169
1762048775,2025-11-02T01:59:35Z,QFA443,"-33.959381,151.179108",625,166,168
1762048779,2025-11-02T01:59:39Z,QFA443,"-33.962509,151.179718",800,168,173
1762048782,2025-11-02T01:59:42Z,QFA443,"-33.964142,151.17984",875,169,176
1762048784,2025-11-02T01:59:44Z,QFA443,"-33.966156,151.179886",950,170,180
1762048786,2025-11-02T01:59:46Z,QFA443,"-33.9674,151.179779",1000,171,183
1762048788,2025-11-02T01:59:48Z,QFA443,"-33.969028,151.179596",1075,174,186
1762048790,2025-11-02T01:59:50Z,QFA443,"-33.970844,151.179367",1150,174,186
1762048792,2025-11-02T01:59:52Z,QFA443,"-33.97229,151.179108",1200,176,187
1762048794,2025-11-02T01:59:54Z,QFA443,"-33.974258,151.178833",1275,180,187
1762048796,2025-11-02T01:59:56Z,QFA443,"-33.975861,151.178604",1325,184,186
1762048798,2025-11-02T01:59:58Z,QFA443,"-33.977501,151.178406",1375,186,186
1762048800,2025-11-02T02:00:00Z,QFA443,"-33.979221,151.178162",1400,189,186
1762048802,2025-11-02T02:00:02Z,QFA443,"-33.980988,151.177933",1450,191,185
1762048804,2025-11-02T02:00:04Z,QFA443,"-33.982956,151.177704",1500,194,185
1762048806,2025-11-02T02:00:06Z,QFA443,"-33.984924,151.177475",1525,198,185
1762048808,2025-11-02T02:00:08Z,QFA443,"-33.986671,151.177307",1575,201,184
1762048810,2025-11-02T02:00:10Z,QFA443,"-33.98872,151.177139",1600,204,184
1762048812,2025-11-02T02:00:12Z,QFA443,"-33.990536,151.176971",1650,208,184
1762048814,2025-11-02T02:00:14Z,QFA443,"-33.992676,151.176788",1675,211,184
1762048816,2025-11-02T02:00:16Z,QFA443,"-33.994587,151.17662",1725,214,183
1762048818,2025-11-02T02:00:18Z,QFA443,"-33.996586,151.176514",1775,217,183
1762048827,2025-11-02T02:00:27Z,QFA443,"-34.005199,151.175934",1925,230,182
1762048833,2025-11-02T02:00:33Z,QFA443,"-34.012508,151.175598",2025,242,182
1762048839,2025-11-02T02:00:39Z,QFA443,"-34.019211,151.1754",2125,253,179
1762048841,2025-11-02T02:00:41Z,QFA443,"-34.021591,151.175522",2175,256,177
1762048843,2025-11-02T02:00:43Z,QFA443,"-34.024475,151.175797",2225,257,175
1762048845,2025-11-02T02:00:45Z,QFA443,"-34.026798,151.176224",2275,262,171
1762048847,2025-11-02T02:00:47Z,QFA443,"-34.029785,151.176865",2350,263,168
1762048850,2025-11-02T02:00:50Z,QFA443,"-34.032013,151.177536",2425,266,166
1762048852,2025-11-02T02:00:52Z,QFA443,"-34.034805,151.178452",2475,270,163
1762048854,2025-11-02T02:00:54Z,QFA443,"-34.037064,151.179276",2550,273,163
1762048856,2025-11-02T02:00:56Z,QFA443,"-34.039673,151.180176",2600,275,163
1762048858,2025-11-02T02:00:58Z,QFA443,"-34.042007,151.181015",2675,277,163
1762048860,2025-11-02T02:01:00Z,QFA443,"-34.044724,151.181946",2750,280,163
1762048862,2025-11-02T02:01:02Z,QFA443,"-34.047684,151.182968",2825,282,163
1762048864,2025-11-02T02:01:04Z,QFA443,"-34.050201,151.183868",2875,284,163
1762048867,2025-11-02T02:01:07Z,QFA443,"-34.052914,151.184814",2925,287,163
1762048869,2025-11-02T02:01:09Z,QFA443,"-34.055557,151.185715",3000,290,163
1762048871,2025-11-02T02:01:11Z,QFA443,"-34.058315,151.186691",3050,293,164
1762048873,2025-11-02T02:01:13Z,QFA443,"-34.061554,151.18779",3100,295,164
1762048875,2025-11-02T02:01:15Z,QFA443,"-34.063995,151.188583",3175,298,164
1762048877,2025-11-02T02:01:17Z,QFA443,"-34.066879,151.18956",3250,299,164
1762048885,2025-11-02T02:01:25Z,QFA443,"-34.077728,151.193054",3625,302,165
1762048894,2025-11-02T02:01:34Z,QFA443,"-34.089157,151.196701",4075,304,165
1762048900,2025-11-02T02:01:40Z,QFA443,"-34.097466,151.199341",4400,305,165
1762048908,2025-11-02T02:01:48Z,QFA443,"-34.109013,151.203064",4900,303,164
1762048916,2025-11-02T02:01:56Z,QFA443,"-34.119919,151.20668",5375,301,164
1762048931,2025-11-02T02:02:11Z,QFA443,"-34.139828,151.213196",6150,305,164
1762048946,2025-11-02T02:02:26Z,QFA443,"-34.160294,151.219803",6800,312,165
1762048958,2025-11-02T02:02:38Z,QFA443,"-34.178284,151.224503",7325,315,173
1762048960,2025-11-02T02:02:40Z,QFA443,"-34.18177,151.224747",7425,316,176
1762048963,2025-11-02T02:02:43Z,QFA443,"-34.184555,151.224792",7525,316,180
1762048965,2025-11-02T02:02:45Z,QFA443,"-34.188011,151.224518",7625,315,183
1762048967,2025-11-02T02:02:47Z,QFA443,"-34.19099,151.224121",7700,316,188
1762048969,2025-11-02T02:02:49Z,QFA443,"-34.19434,151.223373",7800,316,191
1762048971,2025-11-02T02:02:51Z,QFA443,"-34.197227,151.222458",7900,315,194
1762048973,2025-11-02T02:02:53Z,QFA443,"-34.20002,151.221436",7975,315,198
1762048975,2025-11-02T02:02:55Z,QFA443,"-34.202728,151.2202",8050,315,201
1762048978,2025-11-02T02:02:58Z,QFA443,"-34.205513,151.218689",8150,315,204
1762048980,2025-11-02T02:03:00Z,QFA443,"-34.20813,151.217056",8225,315,207
1762048982,2025-11-02T02:03:02Z,QFA443,"-34.210785,151.21521",8325,316,211
1762048984,2025-11-02T02:03:04Z,QFA443,"-34.213394,151.213074",8425,315,214
1762048986,2025-11-02T02:03:06Z,QFA443,"-34.215775,151.210892",8500,315,218
1762048988,2025-11-02T02:03:08Z,QFA443,"-34.218082,151.208557",8575,315,220
1762048990,2025-11-02T02:03:10Z,QFA443,"-34.220596,151.205627",8675,316,225
1762048992,2025-11-02T02:03:12Z,QFA443,"-34.222599,151.203064",8750,317,227
1762048994,2025-11-02T02:03:14Z,QFA443,"-34.224552,151.200378",8825,317,229
1762048996,2025-11-02T02:03:16Z,QFA443,"-34.226349,151.19783",8900,318,229
1762048998,2025-11-02T02:03:18Z,QFA443,"-34.228558,151.194641",9000,319,230
1762049000,2025-11-02T02:03:20Z,QFA443,"-34.230465,151.191895",9075,320,230
1762049002,2025-11-02T02:03:22Z,QFA443,"-34.232327,151.189209",9150,320,230
1762049005,2025-11-02T02:03:25Z,QFA443,"-34.234726,151.185776",9275,320,230
1762049007,2025-11-02T02:03:27Z,QFA443,"-34.236649,151.183029",9350,322,229
1762049009,2025-11-02T02:03:29Z,QFA443,"-34.238613,151.180237",9475,321,229
1762049011,2025-11-02T02:03:31Z,QFA443,"-34.240723,151.177261",9575,321,229
1762049013,2025-11-02T02:03:33Z,QFA443,"-34.242569,151.174622",9700,320,229
1762049015,2025-11-02T02:03:35Z,QFA443,"-34.244843,151.171478",9825,321,229
1762049017,2025-11-02T02:03:37Z,QFA443,"-34.24662,151.169006",9925,321,229
1762049030,2025-11-02T02:03:50Z,QFA443,"-34.259125,151.151749",10475,324,228
1762049045,2025-11-02T02:04:05Z,QFA443,"-34.27404,151.131134",11025,330,228
1762049060,2025-11-02T02:04:20Z,QFA443,"-34.289074,151.110245",11825,325,229
1762049073,2025-11-02T02:04:33Z,QFA443,"-34.301506,151.092972",12475,325,229
1762049105,2025-11-02T02:05:05Z,QFA443,"-34.334,151.047028",13625,336,229
1762049135,2025-11-02T02:05:35Z,QFA443,"-34.364349,151.004044",14900,338,229
1762049167,2025-11-02T02:06:07Z,QFA443,"-34.401405,150.961594",16225,342,221
1762049200,2025-11-02T02:06:40Z,QFA443,"-34.440353,150.919296",17225,352,222
1762049232,2025-11-02T02:07:12Z,QFA443,"-34.480042,150.87619",18575,351,221
1762049264,2025-11-02T02:07:44Z,QFA443,"-34.519833,150.83284",19175,369,222
1762049297,2025-11-02T02:08:17Z,QFA443,"-34.560608,150.786118",20050,377,228
1762049299,2025-11-02T02:08:19Z,QFA443,"-34.562847,150.782944",20125,377,230
1762049301,2025-11-02T02:08:21Z,QFA443,"-34.565083,150.77951",20200,376,232
1762049303,2025-11-02T02:08:23Z,QFA443,"-34.567642,150.775391",20300,377,233
1762049306,2025-11-02T02:08:26Z,QFA443,"-34.569763,150.771881",20350,377,233
1762049308,2025-11-02T02:08:28Z,QFA443,"-34.571869,150.768356",20425,377,234
1762049310,2025-11-02T02:08:30Z,QFA443,"-34.574387,150.764099",20500,377,234
1762049312,2025-11-02T02:08:32Z,QFA443,"-34.576401,150.760666",20550,378,234
1762049314,2025-11-02T02:08:34Z,QFA443,"-34.578323,150.757416",20600,379,234
1762049316,2025-11-02T02:08:36Z,QFA443,"-34.580723,150.753357",20675,379,234
1762049318,2025-11-02T02:08:38Z,QFA443,"-34.582809,150.749847",20700,380,234
1762049321,2025-11-02T02:08:41Z,QFA443,"-34.584869,150.746384",20750,382,234
1762049353,2025-11-02T02:09:13Z,QFA443,"-34.619705,150.688873",21575,390,233
1762049386,2025-11-02T02:09:46Z,QFA443,"-34.655045,150.630356",21925,409,233
1762049416,2025-11-02T02:10:16Z,QFA443,"-34.689888,150.572433",22375,421,233
1762049447,2025-11-02T02:10:47Z,QFA443,"-34.725266,150.513428",23125,425,233
1762049479,2025-11-02T02:11:19Z,QFA443,"-34.76239,150.451492",23975,425,234
1762049512,2025-11-02T02:11:52Z,QFA443,"-34.80011,150.388535",24725,426,234
1762049542,2025-11-02T02:12:22Z,QFA443,"-34.835358,150.329514",25475,425,234
1762049575,2025-11-02T02:12:55Z,QFA443,"-34.873211,150.266083",26175,426,234
1762049605,2025-11-02T02:13:25Z,QFA443,"-34.907227,150.208771",27625,405,234
1762049636,2025-11-02T02:13:56Z,QFA443,"-34.940712,150.152435",28650,398,234
1762049669,2025-11-02T02:14:29Z,QFA443,"-34.976326,150.0923",29150,403,234
1762049699,2025-11-02T02:14:59Z,QFA443,"-35.009354,150.03653",29475,411,234
1762049731,2025-11-02T02:15:31Z,QFA443,"-35.045059,149.976212",29850,416,234
1762049763,2025-11-02T02:16:03Z,QFA443,"-35.082233,149.913361",30500,415,234
1762049794,2025-11-02T02:16:34Z,QFA443,"-35.11615,149.855759",31000,417,234
1762049825,2025-11-02T02:17:05Z,QFA443,"-35.150848,149.796753",31500,417,234
1762049857,2025-11-02T02:17:37Z,QFA443,"-35.186325,149.736359",32100,415,234
1762049890,2025-11-02T02:18:10Z,QFA443,"-35.22403,149.672012",32525,420,234
1762049920,2025-11-02T02:18:40Z,QFA443,"-35.258789,149.612671",32975,422,234
1762049951,2025-11-02T02:19:11Z,QFA443,"-35.293205,149.553619",33500,422,234
1762049982,2025-11-02T02:19:42Z,QFA443,"-35.328323,149.493423",33950,424,234
1762050015,2025-11-02T02:20:15Z,QFA443,"-35.365952,149.428772",34400,425,234
