Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762131103,2025-11-03T00:51:43Z,QFA516,"-33.931698,151.176575",0,0,115
1762131412,2025-11-03T00:56:52Z,QFA516,"-33.931553,151.176361",0,2,104
1762131428,2025-11-03T00:57:08Z,QFA516,"-33.93145,151.176132",0,3,84
1762131443,2025-11-03T00:57:23Z,QFA516,"-33.931492,151.175919",0,3,90
1762131459,2025-11-03T00:57:39Z,QFA516,"-33.931572,151.175674",0,3,118
1762131473,2025-11-03T00:57:53Z,QFA516,"-33.931599,151.17543",0,3,151
1762131800,2025-11-03T01:03:20Z,QFA516,"-33.931858,151.175415",0,6,168
1762131809,2025-11-03T01:03:29Z,QFA516,"-33.932102,151.175476",0,7,168
1762131816,2025-11-03T01:03:36Z,QFA516,"-33.932335,151.175537",0,8,168
1762131824,2025-11-03T01:03:44Z,QFA516,"-33.932659,151.175629",0,9,168
1762131834,2025-11-03T01:03:54Z,QFA516,"-33.933136,151.175751",0,11,165
1762131842,2025-11-03T01:04:02Z,QFA516,"-33.933575,151.175873",0,13,168
1762131849,2025-11-03T01:04:09Z,QFA516,"-33.933952,151.175934",0,12,168
1762131853,2025-11-03T01:04:13Z,QFA516,"-33.934196,151.175964",0,11,174
1762131859,2025-11-03T01:04:19Z,QFA516,"-33.934467,151.175873",0,12,188
1762131862,2025-11-03T01:04:22Z,QFA516,"-33.934685,151.175827",0,12,191
1762131868,2025-11-03T01:04:28Z,QFA516,"-33.93502,151.175888",0,13,174
1762131872,2025-11-03T01:04:32Z,QFA516,"-33.935246,151.175949",0,13,168
1762131876,2025-11-03T01:04:36Z,QFA516,"-33.935474,151.17601",0,12,168
1762131881,2025-11-03T01:04:41Z,QFA516,"-33.935707,151.176086",0,12,168
1762131884,2025-11-03T01:04:44Z,QFA516,"-33.935944,151.176132",0,13,168
1762131891,2025-11-03T01:04:51Z,QFA516,"-33.936298,151.176254",0,13,163
1762131895,2025-11-03T01:04:55Z,QFA516,"-33.936512,151.176422",0,14,151
1762131899,2025-11-03T01:04:59Z,QFA516,"-33.936733,151.176605",0,14,146
1762131904,2025-11-03T01:05:04Z,QFA516,"-33.936954,151.176743",0,14,151
1762131907,2025-11-03T01:05:07Z,QFA516,"-33.937222,151.176819",0,14,160
1762131911,2025-11-03T01:05:11Z,QFA516,"-33.9375,151.176895",0,13,165
1762131915,2025-11-03T01:05:15Z,QFA516,"-33.937744,151.176956",0,13,168
1762131919,2025-11-03T01:05:19Z,QFA516,"-33.937958,151.177002",0,13,168
1762131923,2025-11-03T01:05:23Z,QFA516,"-33.938221,151.177078",0,14,165
1762131927,2025-11-03T01:05:27Z,QFA516,"-33.938438,151.177277",0,15,151
1762131932,2025-11-03T01:05:32Z,QFA516,"-33.938633,151.177551",0,14,132
1762131937,2025-11-03T01:05:37Z,QFA516,"-33.938896,151.177795",0,15,143
1762131940,2025-11-03T01:05:40Z,QFA516,"-33.939106,151.177841",0,15,157
1762131943,2025-11-03T01:05:43Z,QFA516,"-33.939327,151.177887",0,15,165
1762131947,2025-11-03T01:05:47Z,QFA516,"-33.939537,151.177948",0,15,168
1762131950,2025-11-03T01:05:50Z,QFA516,"-33.939823,151.178009",0,15,168
1762131954,2025-11-03T01:05:54Z,QFA516,"-33.940098,151.178085",0,17,168
1762131957,2025-11-03T01:05:57Z,QFA516,"-33.940304,151.178146",0,17,168
1762131963,2025-11-03T01:06:03Z,QFA516,"-33.940796,151.178253",0,18,168
1762131971,2025-11-03T01:06:11Z,QFA516,"-33.941494,151.178452",0,20,168
1762131979,2025-11-03T01:06:19Z,QFA516,"-33.942238,151.178635",0,20,168
1762131985,2025-11-03T01:06:25Z,QFA516,"-33.942856,151.178802",0,20,168
1762131992,2025-11-03T01:06:32Z,QFA516,"-33.94352,151.17897",0,21,168
1762131999,2025-11-03T01:06:39Z,QFA516,"-33.944111,151.179123",0,19,165
1762132002,2025-11-03T01:06:42Z,QFA516,"-33.944435,151.179153",0,18,177
1762132006,2025-11-03T01:06:46Z,QFA516,"-33.944729,151.179001",0,19,196
1762132009,2025-11-03T01:06:49Z,QFA516,"-33.944962,151.178833",0,15,205
1762132013,2025-11-03T01:06:53Z,QFA516,"-33.945229,151.178818",0,17,191
1762132016,2025-11-03T01:06:56Z,QFA516,"-33.945465,151.178864",0,16,174
1762132019,2025-11-03T01:06:59Z,QFA516,"-33.945683,151.17894",0,15,168
1762132022,2025-11-03T01:07:02Z,QFA516,"-33.94595,151.179016",0,15,165
1762132026,2025-11-03T01:07:06Z,QFA516,"-33.946182,151.179077",0,16,168
1762132029,2025-11-03T01:07:09Z,QFA516,"-33.946438,151.179138",0,16,168
1762132033,2025-11-03T01:07:13Z,QFA516,"-33.946659,151.179199",0,16,168
1762132036,2025-11-03T01:07:16Z,QFA516,"-33.946976,151.179276",0,17,168
1762132043,2025-11-03T01:07:23Z,QFA516,"-33.947548,151.179428",0,19,168
1762132051,2025-11-03T01:07:31Z,QFA516,"-33.948311,151.179626",0,22,168
1762132059,2025-11-03T01:07:39Z,QFA516,"-33.949093,151.179825",0,22,168
1762132066,2025-11-03T01:07:46Z,QFA516,"-33.94978,151.180008",0,19,168
1762132073,2025-11-03T01:07:53Z,QFA516,"-33.950386,151.180161",0,17,168
1762132079,2025-11-03T01:07:59Z,QFA516,"-33.950779,151.180267",0,14,163
1762132083,2025-11-03T01:08:03Z,QFA516,"-33.950977,151.180527",0,15,140
1762132087,2025-11-03T01:08:07Z,QFA516,"-33.95105,151.180771",0,15,120
