Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762486894,2025-11-07T03:41:34Z,QFA58,"-9.437725,147.211472",0,0,239
1762487255,2025-11-07T03:47:35Z,QFA58,"-9.437599,147.211685",0,3,239
1762487273,2025-11-07T03:47:53Z,QFA58,"-9.437477,147.211899",0,3,255
1762487293,2025-11-07T03:48:13Z,QFA58,"-9.43743,147.212128",0,3,284
1762487313,2025-11-07T03:48:33Z,QFA58,"-9.437485,147.212341",0,3,312
1762487339,2025-11-07T03:48:59Z,QFA58,"-9.437687,147.212494",0,3,331
1762487571,2025-11-07T03:52:51Z,QFA58,"-9.437466,147.212418",0,8,345
1762487575,2025-11-07T03:52:55Z,QFA58,"-9.437256,147.212433",0,10,11
1762487582,2025-11-07T03:53:02Z,QFA58,"-9.437027,147.212646",0,11,45
1762487586,2025-11-07T03:53:06Z,QFA58,"-9.436821,147.212769",0,11,30
1762487590,2025-11-07T03:53:10Z,QFA58,"-9.436616,147.212784",0,12,5
1762487595,2025-11-07T03:53:15Z,QFA58,"-9.436329,147.212677",0,13,334
1762487600,2025-11-07T03:53:20Z,QFA58,"-9.436104,147.21254",0,14,329
1762487605,2025-11-07T03:53:25Z,QFA58,"-9.435824,147.212372",0,14,329
1762487608,2025-11-07T03:53:28Z,QFA58,"-9.435619,147.212234",0,15,329
1762487612,2025-11-07T03:53:32Z,QFA58,"-9.435402,147.212112",0,15,329
1762487620,2025-11-07T03:53:40Z,QFA58,"-9.434916,147.211807",0,17,329
1762487627,2025-11-07T03:53:47Z,QFA58,"-9.434463,147.211517",0,17,329
1762487634,2025-11-07T03:53:54Z,QFA58,"-9.434009,147.211227",0,17,329
1762487642,2025-11-07T03:54:02Z,QFA58,"-9.433502,147.210922",0,17,329
1762487646,2025-11-07T03:54:06Z,QFA58,"-9.433228,147.210831",0,16,343
1762487649,2025-11-07T03:54:09Z,QFA58,"-9.432997,147.210861",0,17,8
1762487653,2025-11-07T03:54:13Z,QFA58,"-9.432735,147.211044",0,17,39
1762487657,2025-11-07T03:54:17Z,QFA58,"-9.432601,147.211273",0,17,56
1762487661,2025-11-07T03:54:21Z,QFA58,"-9.432449,147.211517",0,17,59
1762487665,2025-11-07T03:54:25Z,QFA58,"-9.432286,147.211807",0,17,59
1762487668,2025-11-07T03:54:28Z,QFA58,"-9.43214,147.212021",0,17,59
1762487672,2025-11-07T03:54:32Z,QFA58,"-9.431992,147.212265",0,16,59
1762487680,2025-11-07T03:54:40Z,QFA58,"-9.431751,147.212662",0,13,59
1762487686,2025-11-07T03:54:46Z,QFA58,"-9.431602,147.212891",0,10,59
1762487718,2025-11-07T03:55:18Z,QFA58,"-9.431477,147.213104",0,0,59
1762487730,2025-11-07T03:55:30Z,QFA58,"-9.431351,147.213318",0,7,59
1762487738,2025-11-07T03:55:38Z,QFA58,"-9.431192,147.213577",0,9,59
1762487743,2025-11-07T03:55:43Z,QFA58,"-9.43111,147.213791",0,10,73
1762487748,2025-11-07T03:55:48Z,QFA58,"-9.431157,147.214005",0,11,101
1762487753,2025-11-07T03:55:53Z,QFA58,"-9.431362,147.214218",0,13,137
1762487757,2025-11-07T03:55:57Z,QFA58,"-9.431646,147.214386",0,17,143
1762487759,2025-11-07T03:55:59Z,QFA58,"-9.431889,147.214554",0,25,143
1762487762,2025-11-07T03:56:02Z,QFA58,"-9.432301,147.214798",0,39,146
1762487764,2025-11-07T03:56:04Z,QFA58,"-9.43277,147.215088",0,48,146
1762487765,2025-11-07T03:56:05Z,QFA58,"-9.433055,147.215256",0,53,146
1762487766,2025-11-07T03:56:06Z,QFA58,"-9.433333,147.215424",0,58,146
1762487768,2025-11-07T03:56:08Z,QFA58,"-9.433742,147.215683",0,67,146
1762487769,2025-11-07T03:56:09Z,QFA58,"-9.434067,147.215881",0,72,146
1762487770,2025-11-07T03:56:10Z,QFA58,"-9.434383,147.21608",0,76,146
1762487771,2025-11-07T03:56:11Z,QFA58,"-9.434875,147.216385",0,80,146
