Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762520817,2025-11-07T13:06:57Z,QFA60,"35.548267,139.766724",0,0,149
1762520894,2025-11-07T13:08:14Z,QFA60,"35.548473,139.766571",0,2,151
1762520916,2025-11-07T13:08:36Z,QFA60,"35.548687,139.766495",0,2,140
1762520937,2025-11-07T13:08:57Z,QFA60,"35.548893,139.766418",0,2,109
1762520956,2025-11-07T13:09:16Z,QFA60,"35.549023,139.766205",0,3,81
1762520977,2025-11-07T13:09:37Z,QFA60,"35.549034,139.765991",0,0,61
1762521183,2025-11-07T13:13:03Z,QFA60,"35.549183,139.766205",0,4,56
1762521195,2025-11-07T13:13:15Z,QFA60,"35.549408,139.766357",0,5,36
1762521203,2025-11-07T13:13:23Z,QFA60,"35.549664,139.766357",0,8,11
1762521212,2025-11-07T13:13:32Z,QFA60,"35.549938,139.766205",0,8,343
1762521225,2025-11-07T13:13:45Z,QFA60,"35.550373,139.765915",0,8,337
1762521231,2025-11-07T13:13:51Z,QFA60,"35.550583,139.765915",0,8,348
1762521240,2025-11-07T13:14:00Z,QFA60,"35.55085,139.765991",0,6,5
1762521248,2025-11-07T13:14:08Z,QFA60,"35.551071,139.76619",0,9,28
1762521253,2025-11-07T13:14:13Z,QFA60,"35.551208,139.766418",0,9,45
1762521258,2025-11-07T13:14:18Z,QFA60,"35.551323,139.766693",0,10,56
1762521263,2025-11-07T13:14:23Z,QFA60,"35.551426,139.766907",0,10,59
1762521267,2025-11-07T13:14:27Z,QFA60,"35.551525,139.76712",0,11,59
1762521271,2025-11-07T13:14:31Z,QFA60,"35.551632,139.767365",0,11,59
1762521276,2025-11-07T13:14:36Z,QFA60,"35.551746,139.767593",0,11,59
1762521282,2025-11-07T13:14:42Z,QFA60,"35.551922,139.76796",0,11,59
1762521291,2025-11-07T13:14:51Z,QFA60,"35.552158,139.768448",0,12,59
1762521299,2025-11-07T13:14:59Z,QFA60,"35.552376,139.768921",0,13,59
1762521308,2025-11-07T13:15:08Z,QFA60,"35.552673,139.769547",0,12,59
1762521315,2025-11-07T13:15:15Z,QFA60,"35.552799,139.769897",0,10,64
1762521319,2025-11-07T13:15:19Z,QFA60,"35.55278,139.770142",0,10,84
1762521324,2025-11-07T13:15:24Z,QFA60,"35.552685,139.77037",0,9,104
1762521331,2025-11-07T13:15:31Z,QFA60,"35.552467,139.770584",0,9,132
1762521336,2025-11-07T13:15:36Z,QFA60,"35.552246,139.770706",0,10,146
1762521342,2025-11-07T13:15:42Z,QFA60,"35.552032,139.770874",0,11,149
1762521348,2025-11-07T13:15:48Z,QFA60,"35.551826,139.771011",0,11,149
1762521352,2025-11-07T13:15:52Z,QFA60,"35.551559,139.77121",0,12,149
1762521356,2025-11-07T13:15:56Z,QFA60,"35.551357,139.771347",0,13,149
1762521364,2025-11-07T13:16:04Z,QFA60,"35.550968,139.771622",0,11,149
1762521371,2025-11-07T13:16:11Z,QFA60,"35.550663,139.771835",0,10,149
1762521378,2025-11-07T13:16:18Z,QFA60,"35.550442,139.772003",0,8,149
1762521386,2025-11-07T13:16:26Z,QFA60,"35.550224,139.772156",0,6,149
1762521395,2025-11-07T13:16:35Z,QFA60,"35.550018,139.772308",0,5,149
1762521406,2025-11-07T13:16:46Z,QFA60,"35.549744,139.772491",0,7,149
1762521415,2025-11-07T13:16:55Z,QFA60,"35.54948,139.77269",0,9,149
1762521423,2025-11-07T13:17:03Z,QFA60,"35.549175,139.772903",0,11,149
1762521429,2025-11-07T13:17:09Z,QFA60,"35.54892,139.773087",0,12,149
1762521436,2025-11-07T13:17:16Z,QFA60,"35.548489,139.773392",0,14,149
1762521446,2025-11-07T13:17:26Z,QFA60,"35.547901,139.773804",0,15,149
1762521454,2025-11-07T13:17:34Z,QFA60,"35.547497,139.774078",0,12,149
1762521460,2025-11-07T13:17:40Z,QFA60,"35.54718,139.774323",0,12,149
1762521468,2025-11-07T13:17:48Z,QFA60,"35.546803,139.774582",0,12,149
1762521475,2025-11-07T13:17:55Z,QFA60,"35.54644,139.774826",0,13,149
1762521483,2025-11-07T13:18:03Z,QFA60,"35.546001,139.775146",0,0,149
1762521492,2025-11-07T13:18:12Z,QFA60,"35.545448,139.775543",0,15,149
1762521504,2025-11-07T13:18:24Z,QFA60,"35.544704,139.776077",0,15,149
1762521510,2025-11-07T13:18:30Z,QFA60,"35.544308,139.776352",0,15,149
1762521518,2025-11-07T13:18:38Z,QFA60,"35.543804,139.776703",0,15,149
1762521528,2025-11-07T13:18:48Z,QFA60,"35.543209,139.77713",0,15,149
1762521535,2025-11-07T13:18:55Z,QFA60,"35.542702,139.777496",0,16,149
1762521545,2025-11-07T13:19:05Z,QFA60,"35.542099,139.777908",0,13,149
1762521552,2025-11-07T13:19:12Z,QFA60,"35.541801,139.778122",0,8,149
1762521563,2025-11-07T13:19:23Z,QFA60,"35.541538,139.77832",0,6,149
1762521572,2025-11-07T13:19:32Z,QFA60,"35.541294,139.778503",0,7,149
1762521581,2025-11-07T13:19:41Z,QFA60,"35.541073,139.778656",0,7,149
1762521588,2025-11-07T13:19:48Z,QFA60,"35.540863,139.778809",0,6,149
1762521601,2025-11-07T13:20:01Z,QFA60,"35.540539,139.779022",0,7,149
1762521609,2025-11-07T13:20:09Z,QFA60,"35.540318,139.77919",0,7,149
1762521617,2025-11-07T13:20:17Z,QFA60,"35.540073,139.779358",0,8,149
1762521626,2025-11-07T13:20:26Z,QFA60,"35.53981,139.779541",0,8,149
1762521632,2025-11-07T13:20:32Z,QFA60,"35.539581,139.779709",0,9,149
1762521639,2025-11-07T13:20:39Z,QFA60,"35.53941,139.779938",0,9,135
1762521644,2025-11-07T13:20:44Z,QFA60,"35.539375,139.780228",0,10,109
1762521649,2025-11-07T13:20:49Z,QFA60,"35.539444,139.780457",0,10,84
1762521659,2025-11-07T13:20:59Z,QFA60,"35.539711,139.780975",0,11,61
1762521670,2025-11-07T13:21:10Z,QFA60,"35.539944,139.781479",0,7,59
1762521680,2025-11-07T13:21:20Z,QFA60,"35.540062,139.781738",0,4,59
1762521798,2025-11-07T13:23:18Z,QFA60,"35.540176,139.781967",0,5,59
1762521808,2025-11-07T13:23:28Z,QFA60,"35.540371,139.782364",0,11,59
1762521820,2025-11-07T13:23:40Z,QFA60,"35.540703,139.783051",0,15,59
1762521826,2025-11-07T13:23:46Z,QFA60,"35.540966,139.783615",0,14,59
1762521833,2025-11-07T13:23:53Z,QFA60,"35.54118,139.784042",0,12,59
1762521839,2025-11-07T13:23:59Z,QFA60,"35.541298,139.784393",0,11,64
1762521844,2025-11-07T13:24:04Z,QFA60,"35.541286,139.784668",0,12,84
1762521847,2025-11-07T13:24:07Z,QFA60,"35.541206,139.784882",0,11,104
1762521853,2025-11-07T13:24:13Z,QFA60,"35.540966,139.785126",0,11,132
1762521858,2025-11-07T13:24:18Z,QFA60,"35.540749,139.785263",0,10,146
1762521864,2025-11-07T13:24:24Z,QFA60,"35.540531,139.785416",0,11,149
1762521873,2025-11-07T13:24:33Z,QFA60,"35.540016,139.785782",0,15,149
1762521882,2025-11-07T13:24:42Z,QFA60,"35.539539,139.786102",0,15,149
1762521889,2025-11-07T13:24:49Z,QFA60,"35.539085,139.786438",0,15,149
1762521901,2025-11-07T13:25:01Z,QFA60,"35.538334,139.786957",0,15,149
1762521908,2025-11-07T13:25:08Z,QFA60,"35.537899,139.787262",0,16,149
1762521915,2025-11-07T13:25:15Z,QFA60,"35.537441,139.787613",0,15,143
1762521918,2025-11-07T13:25:18Z,QFA60,"35.537258,139.787842",0,16,140
1762521923,2025-11-07T13:25:23Z,QFA60,"35.536987,139.788132",0,18,140
1762521926,2025-11-07T13:25:26Z,QFA60,"35.536755,139.788361",0,18,140
1762521931,2025-11-07T13:25:31Z,QFA60,"35.536446,139.788681",0,19,140
1762521935,2025-11-07T13:25:35Z,QFA60,"35.536182,139.788971",0,17,137
1762521939,2025-11-07T13:25:39Z,QFA60,"35.535942,139.789215",0,15,140
1762521944,2025-11-07T13:25:44Z,QFA60,"35.535641,139.78952",0,15,140
