Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762133539,2025-11-03T01:32:19Z,QFA649,"-33.931538,151.178574",0,2,188
1762133560,2025-11-03T01:32:40Z,QFA649,"-33.93132,151.178619",0,3,188
1762133579,2025-11-03T01:32:59Z,QFA649,"-33.931087,151.17865",0,3,188
1762133595,2025-11-03T01:33:15Z,QFA649,"-33.930878,151.178619",0,3,225
1762133623,2025-11-03T01:33:43Z,QFA649,"-33.930737,151.178833",0,0,278
1762133862,2025-11-03T01:37:42Z,QFA649,"-33.930702,151.178619",0,3,281
1762133869,2025-11-03T01:37:49Z,QFA649,"-33.930668,151.178406",0,6,281
1762133878,2025-11-03T01:37:58Z,QFA649,"-33.930611,151.178162",0,7,281
1762133885,2025-11-03T01:38:05Z,QFA649,"-33.930576,151.177795",0,8,281
1762133893,2025-11-03T01:38:13Z,QFA649,"-33.930508,151.17749",0,8,286
1762133899,2025-11-03T01:38:19Z,QFA649,"-33.930416,151.177277",0,8,295
1762133905,2025-11-03T01:38:25Z,QFA649,"-33.930298,151.177048",0,8,300
1762133912,2025-11-03T01:38:32Z,QFA649,"-33.930187,151.176773",0,8,295
1762133917,2025-11-03T01:38:37Z,QFA649,"-33.930134,151.176514",0,9,286
1762133922,2025-11-03T01:38:42Z,QFA649,"-33.930107,151.1763",0,9,281
1762133926,2025-11-03T01:38:46Z,QFA649,"-33.930077,151.176071",0,9,281
1762133932,2025-11-03T01:38:52Z,QFA649,"-33.930054,151.175812",0,9,275
1762133937,2025-11-03T01:38:57Z,QFA649,"-33.930157,151.175568",0,10,247
1762133942,2025-11-03T01:39:02Z,QFA649,"-33.930359,151.175415",0,10,219
1762133947,2025-11-03T01:39:07Z,QFA649,"-33.930565,151.175308",0,10,205
1762133952,2025-11-03T01:39:12Z,QFA649,"-33.930794,151.175217",0,10,199
1762133958,2025-11-03T01:39:18Z,QFA649,"-33.931057,151.175217",0,9,182
1762133963,2025-11-03T01:39:23Z,QFA649,"-33.931274,151.175262",0,9,168
1762133971,2025-11-03T01:39:31Z,QFA649,"-33.931541,151.175339",0,8,168
1762133979,2025-11-03T01:39:39Z,QFA649,"-33.931835,151.175415",0,8,168
