Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762137672,2025-11-03T02:41:12Z,QFA683,"-37.667603,144.848785",0,3,104
1762137711,2025-11-03T02:41:51Z,QFA683,"-37.667759,144.848389",0,3,351
1762137737,2025-11-03T02:42:17Z,QFA683,"-37.667557,144.848343",0,0,348
1762137750,2025-11-03T02:42:30Z,QFA683,"-37.667336,144.848236",0,4,343
1762137766,2025-11-03T02:42:46Z,QFA683,"-37.66713,144.84816",0,3,343
1762138101,2025-11-03T02:48:21Z,QFA683,"-37.666912,144.848099",0,4,345
1762138108,2025-11-03T02:48:28Z,QFA683,"-37.666706,144.848038",0,7,348
1762138116,2025-11-03T02:48:36Z,QFA683,"-37.666416,144.847977",0,10,348
1762138120,2025-11-03T02:48:40Z,QFA683,"-37.666214,144.847961",0,11,354
1762138126,2025-11-03T02:48:46Z,QFA683,"-37.665882,144.848007",0,12,8
1762138130,2025-11-03T02:48:50Z,QFA683,"-37.665642,144.848038",0,13,2
1762138134,2025-11-03T02:48:54Z,QFA683,"-37.665401,144.847992",0,13,348
1762138138,2025-11-03T02:48:58Z,QFA683,"-37.665161,144.8479",0,14,345
1762138142,2025-11-03T02:49:02Z,QFA683,"-37.664898,144.847809",0,14,345
1762138146,2025-11-03T02:49:06Z,QFA683,"-37.66468,144.847763",0,15,351
1762138150,2025-11-03T02:49:10Z,QFA683,"-37.664417,144.847763",0,13,354
1762138155,2025-11-03T02:49:15Z,QFA683,"-37.664143,144.847794",0,12,2
1762138159,2025-11-03T02:49:19Z,QFA683,"-37.663925,144.847809",0,11,5
1762138164,2025-11-03T02:49:24Z,QFA683,"-37.663719,144.847824",0,11,5
1762138168,2025-11-03T02:49:28Z,QFA683,"-37.663517,144.847839",0,11,2
1762138173,2025-11-03T02:49:33Z,QFA683,"-37.663284,144.84787",0,11,5
1762138177,2025-11-03T02:49:37Z,QFA683,"-37.663063,144.8479",0,11,5
1762138182,2025-11-03T02:49:42Z,QFA683,"-37.662796,144.847916",0,11,2
1762138190,2025-11-03T02:49:50Z,QFA683,"-37.662472,144.847946",0,11,2
1762138196,2025-11-03T02:49:56Z,QFA683,"-37.662251,144.84787",0,7,334
1762138204,2025-11-03T02:50:04Z,QFA683,"-37.662228,144.847656",0,4,284
1762138242,2025-11-03T02:50:42Z,QFA683,"-37.662216,144.847412",0,5,275
1762138248,2025-11-03T02:50:48Z,QFA683,"-37.662163,144.846313",0,36,272
1762138256,2025-11-03T02:50:56Z,QFA683,"-37.662025,144.843903",0,70,272
1762138263,2025-11-03T02:51:03Z,QFA683,"-37.661762,144.839401",0,105,272
1762138270,2025-11-03T02:51:10Z,QFA683,"-37.661469,144.834274",0,135,272
1762138277,2025-11-03T02:51:17Z,QFA683,"-37.66111,144.82843",0,160,272
1762138286,2025-11-03T02:51:26Z,QFA683,"-37.660622,144.81987",900,167,274
1762138294,2025-11-03T02:51:34Z,QFA683,"-37.659943,144.811493",1300,168,275
1762138301,2025-11-03T02:51:41Z,QFA683,"-37.659504,144.805542",1625,168,275
1762138309,2025-11-03T02:51:49Z,QFA683,"-37.658897,144.796936",2025,167,274
1762138316,2025-11-03T02:51:56Z,QFA683,"-37.658478,144.790283",2225,173,274
1762138324,2025-11-03T02:52:04Z,QFA683,"-37.657921,144.781235",2375,187,274
