Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762370678,2025-11-05T19:24:38Z,QFA730,"-34.940048,138.537323",0,0,320
1762371272,2025-11-05T19:34:32Z,QFA730,"-34.940243,138.537537",0,3,320
1762371293,2025-11-05T19:34:53Z,QFA730,"-34.940445,138.537735",0,3,317
1762371317,2025-11-05T19:35:17Z,QFA730,"-34.940586,138.537949",0,2,272
1762371475,2025-11-05T19:37:55Z,QFA730,"-34.940792,138.53775",0,6,216
1762371482,2025-11-05T19:38:02Z,QFA730,"-34.94104,138.537552",0,9,216
1762371488,2025-11-05T19:38:08Z,QFA730,"-34.941212,138.537338",0,11,227
1762371493,2025-11-05T19:38:13Z,QFA730,"-34.941387,138.537079",0,11,230
1762371497,2025-11-05T19:38:17Z,QFA730,"-34.941536,138.536865",0,11,230
1762371502,2025-11-05T19:38:22Z,QFA730,"-34.941685,138.536652",0,11,227
1762371508,2025-11-05T19:38:28Z,QFA730,"-34.941936,138.536484",0,12,208
1762371517,2025-11-05T19:38:37Z,QFA730,"-34.942463,138.536545",0,12,163
1762371522,2025-11-05T19:38:42Z,QFA730,"-34.942692,138.53656",0,12,177
1762371526,2025-11-05T19:38:46Z,QFA730,"-34.942944,138.536453",0,14,205
1762371531,2025-11-05T19:38:51Z,QFA730,"-34.943184,138.536179",0,16,225
1762371534,2025-11-05T19:38:54Z,QFA730,"-34.943367,138.535904",0,17,230
1762371537,2025-11-05T19:38:57Z,QFA730,"-34.943539,138.535645",0,19,230
1762371540,2025-11-05T19:39:00Z,QFA730,"-34.943726,138.535385",0,20,230
1762371543,2025-11-05T19:39:03Z,QFA730,"-34.943913,138.535095",0,21,230
1762371552,2025-11-05T19:39:12Z,QFA730,"-34.944462,138.534286",0,22,230
1762371554,2025-11-05T19:39:14Z,QFA730,"-34.944611,138.534073",0,22,230
1762371561,2025-11-05T19:39:21Z,QFA730,"-34.945015,138.533447",0,21,233
1762371564,2025-11-05T19:39:24Z,QFA730,"-34.945129,138.533112",0,21,244
1762371566,2025-11-05T19:39:26Z,QFA730,"-34.945175,138.532883",0,21,253
1762371569,2025-11-05T19:39:29Z,QFA730,"-34.945175,138.532578",0,21,267
1762371571,2025-11-05T19:39:31Z,QFA730,"-34.945126,138.532303",0,21,278
1762371575,2025-11-05T19:39:35Z,QFA730,"-34.944992,138.531982",0,20,292
1762371578,2025-11-05T19:39:38Z,QFA730,"-34.944809,138.531647",0,20,303
1762371582,2025-11-05T19:39:42Z,QFA730,"-34.944611,138.531281",0,20,303
1762371585,2025-11-05T19:39:45Z,QFA730,"-34.944508,138.531036",0,20,298
1762371587,2025-11-05T19:39:47Z,QFA730,"-34.944477,138.530792",0,20,286
1762371589,2025-11-05T19:39:49Z,QFA730,"-34.944466,138.530518",0,20,275
1762371592,2025-11-05T19:39:52Z,QFA730,"-34.944508,138.530228",0,20,261
1762371595,2025-11-05T19:39:55Z,QFA730,"-34.944603,138.529953",0,20,250
1762371598,2025-11-05T19:39:58Z,QFA730,"-34.944832,138.529678",0,19,227
1762371602,2025-11-05T19:40:02Z,QFA730,"-34.945118,138.529404",0,20,219
1762371606,2025-11-05T19:40:06Z,QFA730,"-34.94537,138.529175",0,21,216
1762371608,2025-11-05T19:40:08Z,QFA730,"-34.945576,138.528961",0,22,216
1762371611,2025-11-05T19:40:11Z,QFA730,"-34.945793,138.528763",0,23,216
1762371613,2025-11-05T19:40:13Z,QFA730,"-34.946011,138.528564",0,24,219
1762371616,2025-11-05T19:40:16Z,QFA730,"-34.946217,138.528366",0,25,219
1762371618,2025-11-05T19:40:18Z,QFA730,"-34.946457,138.528137",0,25,219
1762371621,2025-11-05T19:40:21Z,QFA730,"-34.94672,138.527893",0,25,216
1762371624,2025-11-05T19:40:24Z,QFA730,"-34.946964,138.527664",0,25,216
1762371626,2025-11-05T19:40:26Z,QFA730,"-34.947208,138.527435",0,25,216
1762371629,2025-11-05T19:40:29Z,QFA730,"-34.947475,138.527191",0,25,216
1762371632,2025-11-05T19:40:32Z,QFA730,"-34.947708,138.526947",0,25,216
1762371634,2025-11-05T19:40:34Z,QFA730,"-34.947922,138.526764",0,25,219
1762371638,2025-11-05T19:40:38Z,QFA730,"-34.948231,138.526474",0,25,219
1762371641,2025-11-05T19:40:41Z,QFA730,"-34.94854,138.526184",0,25,216
1762371644,2025-11-05T19:40:44Z,QFA730,"-34.948826,138.525909",0,25,216
1762371647,2025-11-05T19:40:47Z,QFA730,"-34.949036,138.525711",0,25,216
1762371650,2025-11-05T19:40:50Z,QFA730,"-34.949314,138.525452",0,24,216
1762371654,2025-11-05T19:40:54Z,QFA730,"-34.949673,138.525116",0,24,216
1762371656,2025-11-05T19:40:56Z,QFA730,"-34.949879,138.524918",0,24,216
1762371659,2025-11-05T19:40:59Z,QFA730,"-34.950104,138.524704",0,24,216
1762371662,2025-11-05T19:41:02Z,QFA730,"-34.950325,138.524506",0,24,216
1762371668,2025-11-05T19:41:08Z,QFA730,"-34.950909,138.523956",0,24,219
1762371675,2025-11-05T19:41:15Z,QFA730,"-34.951488,138.523392",0,24,216
1762371678,2025-11-05T19:41:18Z,QFA730,"-34.95171,138.523193",0,24,216
1762371681,2025-11-05T19:41:21Z,QFA730,"-34.951927,138.52298",0,24,219
1762371683,2025-11-05T19:41:23Z,QFA730,"-34.952129,138.522797",0,23,219
1762371686,2025-11-05T19:41:26Z,QFA730,"-34.952396,138.522537",0,23,216
1762371689,2025-11-05T19:41:29Z,QFA730,"-34.952682,138.522263",0,23,216
1762371692,2025-11-05T19:41:32Z,QFA730,"-34.952923,138.522064",0,22,213
1762371695,2025-11-05T19:41:35Z,QFA730,"-34.953129,138.521957",0,21,208
1762371697,2025-11-05T19:41:37Z,QFA730,"-34.953339,138.521942",0,20,191
1762371700,2025-11-05T19:41:40Z,QFA730,"-34.953564,138.521973",0,19,174
1762371703,2025-11-05T19:41:43Z,QFA730,"-34.953781,138.522049",0,18,165
1762371706,2025-11-05T19:41:46Z,QFA730,"-34.953991,138.522202",0,18,149
1762371709,2025-11-05T19:41:49Z,QFA730,"-34.954216,138.52243",0,18,140
1762371712,2025-11-05T19:41:52Z,QFA730,"-34.95433,138.522644",0,17,126
1762371716,2025-11-05T19:41:56Z,QFA730,"-34.954388,138.522995",0,17,101
1762371719,2025-11-05T19:41:59Z,QFA730,"-34.95433,138.52327",0,17,78
1762371722,2025-11-05T19:42:02Z,QFA730,"-34.954182,138.523544",0,19,59
1762371724,2025-11-05T19:42:04Z,QFA730,"-34.953991,138.523834",0,24,53
1762371727,2025-11-05T19:42:07Z,QFA730,"-34.953678,138.524292",0,39,50
1762371728,2025-11-05T19:42:08Z,QFA730,"-34.953518,138.524506",0,44,50
