Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762132044,2025-11-03T01:07:24Z,QFA737,"-33.931797,151.180237",0,0,188
1762132117,2025-11-03T01:08:37Z,QFA737,"-33.932018,151.18045",0,0,188
1762132167,2025-11-03T01:09:27Z,QFA737,"-33.932156,151.180695",0,0,188
1762132174,2025-11-03T01:09:34Z,QFA737,"-33.931858,151.180344",0,0,188
1762132301,2025-11-03T01:11:41Z,QFA737,"-33.931652,151.180344",0,0,188
1762132523,2025-11-03T01:15:23Z,QFA737,"-33.93145,151.180313",0,3,191
1762132541,2025-11-03T01:15:41Z,QFA737,"-33.931229,151.180359",0,3,194
1762132560,2025-11-03T01:16:00Z,QFA737,"-33.931023,151.18042",0,3,247
1762132689,2025-11-03T01:18:09Z,QFA737,"-33.930931,151.180206",0,7,281
1762132695,2025-11-03T01:18:15Z,QFA737,"-33.930878,151.179886",0,10,281
1762132702,2025-11-03T01:18:22Z,QFA737,"-33.930828,151.17952",0,12,281
1762132705,2025-11-03T01:18:25Z,QFA737,"-33.930782,151.17923",0,14,281
1762132709,2025-11-03T01:18:29Z,QFA737,"-33.930752,151.178986",0,15,278
1762132712,2025-11-03T01:18:32Z,QFA737,"-33.930714,151.17865",0,16,278
1762132715,2025-11-03T01:18:35Z,QFA737,"-33.930668,151.178406",0,16,281
1762132721,2025-11-03T01:18:41Z,QFA737,"-33.930599,151.177948",0,16,278
1762132723,2025-11-03T01:18:43Z,QFA737,"-33.930565,151.177734",0,16,281
1762132726,2025-11-03T01:18:46Z,QFA737,"-33.930519,151.177521",0,16,284
1762132729,2025-11-03T01:18:49Z,QFA737,"-33.930401,151.177261",0,16,295
1762132733,2025-11-03T01:18:53Z,QFA737,"-33.930279,151.176987",0,16,298
1762132736,2025-11-03T01:18:56Z,QFA737,"-33.93018,151.176743",0,16,295
1762132740,2025-11-03T01:19:00Z,QFA737,"-33.930111,151.176392",0,16,284
1762132744,2025-11-03T01:19:04Z,QFA737,"-33.930077,151.176132",0,15,281
1762132747,2025-11-03T01:19:07Z,QFA737,"-33.930042,151.175888",0,13,278
1762132752,2025-11-03T01:19:12Z,QFA737,"-33.930107,151.175629",0,12,247
1762132757,2025-11-03T01:19:17Z,QFA737,"-33.93037,151.175415",0,12,205
1762132762,2025-11-03T01:19:22Z,QFA737,"-33.930611,151.175293",0,12,205
1762132767,2025-11-03T01:19:27Z,QFA737,"-33.930908,151.175217",0,12,191
1762132772,2025-11-03T01:19:32Z,QFA737,"-33.931122,151.175232",0,11,171
1762132776,2025-11-03T01:19:36Z,QFA737,"-33.931343,151.175278",0,12,168
1762132779,2025-11-03T01:19:39Z,QFA737,"-33.931561,151.175323",0,13,168
1762132784,2025-11-03T01:19:44Z,QFA737,"-33.931843,151.175415",0,14,165
1762132790,2025-11-03T01:19:50Z,QFA737,"-33.932251,151.175522",0,16,168
1762132793,2025-11-03T01:19:53Z,QFA737,"-33.932495,151.175583",0,17,168
1762132797,2025-11-03T01:19:57Z,QFA737,"-33.932808,151.175659",0,18,168
1762132800,2025-11-03T01:20:00Z,QFA737,"-33.933033,151.17572",0,18,165
1762132807,2025-11-03T01:20:07Z,QFA737,"-33.933609,151.175873",0,19,168
1762132811,2025-11-03T01:20:11Z,QFA737,"-33.933929,151.175934",0,19,171
1762132815,2025-11-03T01:20:15Z,QFA737,"-33.934208,151.175949",0,18,177
1762132819,2025-11-03T01:20:19Z,QFA737,"-33.934521,151.175873",0,16,191
