Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762485542,2025-11-07T03:19:02Z,QFA825,"-12.40884,130.877411",0,0,19
1762486547,2025-11-07T03:35:47Z,QFA825,"-12.409046,130.87735",0,2,19
1762486572,2025-11-07T03:36:12Z,QFA825,"-12.409252,130.877289",0,0,30
1762486607,2025-11-07T03:36:47Z,QFA825,"-12.409453,130.87709",0,2,75
1762486794,2025-11-07T03:39:54Z,QFA825,"-12.409607,130.877304",0,6,112
1762486802,2025-11-07T03:40:02Z,QFA825,"-12.409687,130.877548",0,8,106
1762486808,2025-11-07T03:40:08Z,QFA825,"-12.409733,130.877762",0,10,101
1762486813,2025-11-07T03:40:13Z,QFA825,"-12.409779,130.877991",0,12,101
1762486816,2025-11-07T03:40:16Z,QFA825,"-12.409814,130.878204",0,13,101
1762486820,2025-11-07T03:40:20Z,QFA825,"-12.40987,130.878464",0,15,104
1762486824,2025-11-07T03:40:24Z,QFA825,"-12.409942,130.878738",0,16,106
1762486827,2025-11-07T03:40:27Z,QFA825,"-12.410024,130.878998",0,16,109
1762486831,2025-11-07T03:40:31Z,QFA825,"-12.41011,130.879257",0,16,109
1762486834,2025-11-07T03:40:34Z,QFA825,"-12.410191,130.879486",0,16,109
1762486837,2025-11-07T03:40:37Z,QFA825,"-12.410256,130.8797",0,16,109
1762486844,2025-11-07T03:40:44Z,QFA825,"-12.410408,130.880157",0,15,109
1762486852,2025-11-07T03:40:52Z,QFA825,"-12.41058,130.88063",0,14,112
1762486856,2025-11-07T03:40:56Z,QFA825,"-12.410751,130.880859",0,14,129
1762486860,2025-11-07T03:41:00Z,QFA825,"-12.410969,130.880951",0,13,157
1762486864,2025-11-07T03:41:04Z,QFA825,"-12.411176,130.880951",0,13,185
1762486868,2025-11-07T03:41:08Z,QFA825,"-12.411392,130.88089",0,13,196
1762486872,2025-11-07T03:41:12Z,QFA825,"-12.411618,130.880798",0,14,199
1762486875,2025-11-07T03:41:15Z,QFA825,"-12.411827,130.880722",0,14,199
1762486879,2025-11-07T03:41:19Z,QFA825,"-12.412045,130.880646",0,14,199
1762486883,2025-11-07T03:41:23Z,QFA825,"-12.412316,130.880554",0,14,199
1762486887,2025-11-07T03:41:27Z,QFA825,"-12.412537,130.880478",0,15,199
1762486891,2025-11-07T03:41:31Z,QFA825,"-12.412793,130.880386",0,15,199
1762486898,2025-11-07T03:41:38Z,QFA825,"-12.413303,130.880203",0,17,199
1762486905,2025-11-07T03:41:45Z,QFA825,"-12.413864,130.88002",0,19,199
1762486912,2025-11-07T03:41:52Z,QFA825,"-12.414459,130.879807",0,19,199
1762486920,2025-11-07T03:42:00Z,QFA825,"-12.415086,130.879578",0,19,199
1762486927,2025-11-07T03:42:07Z,QFA825,"-12.415649,130.879395",0,17,199
1762486933,2025-11-07T03:42:13Z,QFA825,"-12.41605,130.879272",0,16,194
1762486937,2025-11-07T03:42:17Z,QFA825,"-12.416336,130.879257",0,16,180
1762486941,2025-11-07T03:42:21Z,QFA825,"-12.416575,130.879303",0,15,168
1762486945,2025-11-07T03:42:25Z,QFA825,"-12.416828,130.879456",0,16,149
1762486949,2025-11-07T03:42:29Z,QFA825,"-12.417068,130.879684",0,16,132
1762486953,2025-11-07T03:42:33Z,QFA825,"-12.417204,130.879944",0,17,115
1762486956,2025-11-07T03:42:36Z,QFA825,"-12.417297,130.880188",0,18,109
1762486959,2025-11-07T03:42:39Z,QFA825,"-12.417389,130.880463",0,20,109
1762486962,2025-11-07T03:42:42Z,QFA825,"-12.41748,130.880737",0,21,109
1762486964,2025-11-07T03:42:44Z,QFA825,"-12.417553,130.880951",0,22,109
1762486967,2025-11-07T03:42:47Z,QFA825,"-12.417641,130.88121",0,23,109
1762486970,2025-11-07T03:42:50Z,QFA825,"-12.41774,130.881485",0,23,109
1762486972,2025-11-07T03:42:52Z,QFA825,"-12.417812,130.881699",0,24,109
1762486979,2025-11-07T03:42:59Z,QFA825,"-12.418077,130.882492",0,24,109
1762486986,2025-11-07T03:43:06Z,QFA825,"-12.418322,130.883224",0,24,109
1762486993,2025-11-07T03:43:13Z,QFA825,"-12.418556,130.883911",0,24,109
1762487001,2025-11-07T03:43:21Z,QFA825,"-12.418842,130.884781",0,23,109
1762487008,2025-11-07T03:43:28Z,QFA825,"-12.41906,130.885422",0,23,109
1762487015,2025-11-07T03:43:35Z,QFA825,"-12.419322,130.8862",0,23,109
1762487022,2025-11-07T03:43:42Z,QFA825,"-12.419555,130.886887",0,23,109
1762487030,2025-11-07T03:43:50Z,QFA825,"-12.419811,130.88765",0,23,109
1762487036,2025-11-07T03:43:56Z,QFA825,"-12.420044,130.888351",0,23,109
1762487043,2025-11-07T03:44:03Z,QFA825,"-12.420265,130.889008",0,23,109
1762487051,2025-11-07T03:44:11Z,QFA825,"-12.420556,130.889847",0,23,109
1762487058,2025-11-07T03:44:18Z,QFA825,"-12.420799,130.890564",0,23,109
1762487065,2025-11-07T03:44:25Z,QFA825,"-12.421028,130.891251",0,23,109
1762487073,2025-11-07T03:44:33Z,QFA825,"-12.421278,130.891998",0,23,109
1762487078,2025-11-07T03:44:38Z,QFA825,"-12.42144,130.892517",0,20,104
1762487082,2025-11-07T03:44:42Z,QFA825,"-12.421452,130.892853",0,19,90
1762487085,2025-11-07T03:44:45Z,QFA825,"-12.421394,130.893143",0,19,75
1762487088,2025-11-07T03:44:48Z,QFA825,"-12.421289,130.893356",0,19,61
1762487091,2025-11-07T03:44:51Z,QFA825,"-12.421108,130.89357",0,19,47
1762487095,2025-11-07T03:44:55Z,QFA825,"-12.420858,130.893753",0,18,33
1762487099,2025-11-07T03:44:59Z,QFA825,"-12.420637,130.893845",0,16,22
1762487101,2025-11-07T03:45:01Z,QFA825,"-12.420433,130.893921",0,16,19
1762487105,2025-11-07T03:45:05Z,QFA825,"-12.42016,130.894012",0,16,19
1762487109,2025-11-07T03:45:09Z,QFA825,"-12.419892,130.894119",0,16,19
1762487113,2025-11-07T03:45:13Z,QFA825,"-12.41966,130.894196",0,16,19
1762487116,2025-11-07T03:45:16Z,QFA825,"-12.419449,130.894257",0,13,16
1762487122,2025-11-07T03:45:22Z,QFA825,"-12.419206,130.89418",0,9,331
1762487128,2025-11-07T03:45:28Z,QFA825,"-12.419094,130.893967",0,10,292
1762487132,2025-11-07T03:45:32Z,QFA825,"-12.419014,130.893753",0,12,292
1762487135,2025-11-07T03:45:35Z,QFA825,"-12.418922,130.893494",0,20,295
1762487138,2025-11-07T03:45:38Z,QFA825,"-12.418819,130.893173",0,29,292
1762487139,2025-11-07T03:45:39Z,QFA825,"-12.418729,130.892899",0,37,292
1762487140,2025-11-07T03:45:40Z,QFA825,"-12.418624,130.892624",0,41,292
1762487142,2025-11-07T03:45:42Z,QFA825,"-12.418543,130.89238",0,45,292
1762487143,2025-11-07T03:45:43Z,QFA825,"-12.418465,130.892136",0,49,292
1762487144,2025-11-07T03:45:44Z,QFA825,"-12.418327,130.891739",0,57,289
1762487145,2025-11-07T03:45:45Z,QFA825,"-12.418194,130.891342",0,61,289
1762487147,2025-11-07T03:45:47Z,QFA825,"-12.41803,130.890869",0,69,289
1762487148,2025-11-07T03:45:48Z,QFA825,"-12.417904,130.890503",0,74,289
1762487149,2025-11-07T03:45:49Z,QFA825,"-12.417801,130.890182",0,76,289
1762487150,2025-11-07T03:45:50Z,QFA825,"-12.4176,130.889603",0,80,289
1762487152,2025-11-07T03:45:52Z,QFA825,"-12.417414,130.889023",0,88,289
1762487153,2025-11-07T03:45:53Z,QFA825,"-12.417228,130.888489",0,92,289
1762487155,2025-11-07T03:45:55Z,QFA825,"-12.41692,130.887543",0,98,289
1762487163,2025-11-07T03:46:03Z,QFA825,"-12.415649,130.883759",0,125,289
1762487170,2025-11-07T03:46:10Z,QFA825,"-12.41398,130.878799",0,150,289
1762487178,2025-11-07T03:46:18Z,QFA825,"-12.412235,130.873657",0,170,289
1762487184,2025-11-07T03:46:24Z,QFA825,"-12.410477,130.86824",325,178,288
1762487191,2025-11-07T03:46:31Z,QFA825,"-12.408731,130.862976",575,178,288
1762487198,2025-11-07T03:46:38Z,QFA825,"-12.407043,130.85791",825,179,289
1762487206,2025-11-07T03:46:46Z,QFA825,"-12.404403,130.850449",1125,182,289
1762487213,2025-11-07T03:46:53Z,QFA825,"-12.402512,130.845276",1400,182,290
1762487220,2025-11-07T03:47:00Z,QFA825,"-12.400352,130.839508",1550,189,291
1762487229,2025-11-07T03:47:09Z,QFA825,"-12.397653,130.832428",1700,197,290
1762487235,2025-11-07T03:47:15Z,QFA825,"-12.395604,130.826401",1875,203,288
1762487242,2025-11-07T03:47:22Z,QFA825,"-12.393462,130.819702",2000,212,287
1762487251,2025-11-07T03:47:31Z,QFA825,"-12.390716,130.811081",2125,222,288
1762487258,2025-11-07T03:47:38Z,QFA825,"-12.388435,130.804001",2250,229,288
1762487267,2025-11-07T03:47:47Z,QFA825,"-12.385529,130.795074",2425,239,288
1762487273,2025-11-07T03:47:53Z,QFA825,"-12.383148,130.787781",2525,248,288
1762487280,2025-11-07T03:48:00Z,QFA825,"-12.380614,130.779999",2650,258,288
1762487287,2025-11-07T03:48:07Z,QFA825,"-12.377961,130.771851",2775,265,288
1762487294,2025-11-07T03:48:14Z,QFA825,"-12.375137,130.763351",2900,273,288
1762487303,2025-11-07T03:48:23Z,QFA825,"-12.37135,130.751999",3200,276,288
1762487309,2025-11-07T03:48:29Z,QFA825,"-12.368557,130.743958",3475,278,289
1762487314,2025-11-07T03:48:34Z,QFA825,"-12.366165,130.738113",3650,280,294
1762487316,2025-11-07T03:48:36Z,QFA825,"-12.364929,130.735794",3725,281,297
1762487318,2025-11-07T03:48:38Z,QFA825,"-12.36325,130.732971",3800,281,301
1762487321,2025-11-07T03:48:41Z,QFA825,"-12.361668,130.73085",3875,280,307
1762487323,2025-11-07T03:48:43Z,QFA825,"-12.359526,130.728439",3975,279,311
1762487325,2025-11-07T03:48:45Z,QFA825,"-12.357742,130.7267",4075,278,315
1762487327,2025-11-07T03:48:47Z,QFA825,"-12.355957,130.725037",4150,278,317
1762487329,2025-11-07T03:48:49Z,QFA825,"-12.353577,130.723236",4250,277,322
1762487331,2025-11-07T03:48:51Z,QFA825,"-12.350914,130.721405",4325,276,325
1762487334,2025-11-07T03:48:54Z,QFA825,"-12.348221,130.719879",4425,276,330
1762487336,2025-11-07T03:48:56Z,QFA825,"-12.345245,130.718414",4525,275,333
1762487339,2025-11-07T03:48:59Z,QFA825,"-12.342348,130.7173",4600,275,336
1762487341,2025-11-07T03:49:01Z,QFA825,"-12.339798,130.716522",4675,274,340
1762487343,2025-11-07T03:49:03Z,QFA825,"-12.337326,130.715851",4750,274,343
1762487345,2025-11-07T03:49:05Z,QFA825,"-12.334947,130.715424",4825,273,348
1762487347,2025-11-07T03:49:07Z,QFA825,"-12.331512,130.714951",4925,272,351
1762487350,2025-11-07T03:49:10Z,QFA825,"-12.328995,130.714813",4975,272,356
1762487352,2025-11-07T03:49:12Z,QFA825,"-12.325915,130.714844",5075,273,359
1762487354,2025-11-07T03:49:14Z,QFA825,"-12.322843,130.714996",5150,273,2
1762487356,2025-11-07T03:49:16Z,QFA825,"-12.320283,130.715195",5200,274,3
1762487359,2025-11-07T03:49:19Z,QFA825,"-12.317184,130.715424",5300,275,4
1762487361,2025-11-07T03:49:21Z,QFA825,"-12.314392,130.715668",5375,276,4
1762487363,2025-11-07T03:49:23Z,QFA825,"-12.311554,130.715851",5450,277,3
1762487366,2025-11-07T03:49:26Z,QFA825,"-12.30883,130.716003",5525,278,3
1762487368,2025-11-07T03:49:28Z,QFA825,"-12.304827,130.716248",5650,278,3
1762487370,2025-11-07T03:49:30Z,QFA825,"-12.302124,130.716415",5725,279,3
1762487373,2025-11-07T03:49:33Z,QFA825,"-12.299789,130.716568",5800,279,3
1762487375,2025-11-07T03:49:35Z,QFA825,"-12.296401,130.716782",5875,279,3
1762487377,2025-11-07T03:49:37Z,QFA825,"-12.293003,130.716965",6000,280,3
1762487390,2025-11-07T03:49:50Z,QFA825,"-12.276855,130.717896",6475,282,3
1762487404,2025-11-07T03:50:04Z,QFA825,"-12.258591,130.718979",7025,281,4
1762487411,2025-11-07T03:50:11Z,QFA825,"-12.249476,130.720688",7300,276,13
1762487413,2025-11-07T03:50:13Z,QFA825,"-12.24673,130.721542",7375,276,15
1762487415,2025-11-07T03:50:15Z,QFA825,"-12.244914,130.722229",7450,275,20
1762487417,2025-11-07T03:50:17Z,QFA825,"-12.241608,130.723755",7550,274,22
1762487420,2025-11-07T03:50:20Z,QFA825,"-12.239136,130.725128",7625,274,27
1762487422,2025-11-07T03:50:22Z,QFA825,"-12.237047,130.726456",7675,273,30
1762487424,2025-11-07T03:50:24Z,QFA825,"-12.234719,130.728104",7750,273,35
1762487426,2025-11-07T03:50:26Z,QFA825,"-12.232132,130.730255",7850,273,38
1762487429,2025-11-07T03:50:29Z,QFA825,"-12.230209,130.732056",7925,272,42
1762487431,2025-11-07T03:50:31Z,QFA825,"-12.227736,130.73465",8025,271,47
1762487433,2025-11-07T03:50:33Z,QFA825,"-12.225967,130.736877",8125,272,48
1762487435,2025-11-07T03:50:35Z,QFA825,"-12.224571,130.738708",8200,271,53
1762487437,2025-11-07T03:50:37Z,QFA825,"-12.223128,130.740875",8275,271,55
1762487440,2025-11-07T03:50:40Z,QFA825,"-12.221545,130.743515",8350,270,58
1762487442,2025-11-07T03:50:42Z,QFA825,"-12.220382,130.745789",8425,271,63
1762487444,2025-11-07T03:50:44Z,QFA825,"-12.219131,130.748627",8500,272,66
1762487446,2025-11-07T03:50:46Z,QFA825,"-12.21824,130.750793",8550,272,69
1762487448,2025-11-07T03:50:48Z,QFA825,"-12.217262,130.753876",8625,273,72
1762487450,2025-11-07T03:50:50Z,QFA825,"-12.216611,130.756393",8700,273,75
1762487453,2025-11-07T03:50:53Z,QFA825,"-12.215913,130.759659",8775,274,77
1762487455,2025-11-07T03:50:55Z,QFA825,"-12.21554,130.76265",8850,276,82
1762487457,2025-11-07T03:50:57Z,QFA825,"-12.215307,130.765259",8900,276,84
1762487459,2025-11-07T03:50:59Z,QFA825,"-12.215261,130.767853",8975,277,88
1762487461,2025-11-07T03:51:01Z,QFA825,"-12.215332,130.770599",9050,277,91
1762487463,2025-11-07T03:51:03Z,QFA825,"-12.215446,130.773346",9125,277,93
1762487465,2025-11-07T03:51:05Z,QFA825,"-12.215607,130.77533",9200,276,93
1762487467,2025-11-07T03:51:07Z,QFA825,"-12.215866,130.778839",9275,277,94
1762487470,2025-11-07T03:51:10Z,QFA825,"-12.216052,130.781448",9350,277,93
1762487472,2025-11-07T03:51:12Z,QFA825,"-12.216202,130.784241",9425,278,93
1762487474,2025-11-07T03:51:14Z,QFA825,"-12.216385,130.787506",9500,279,93
1762487476,2025-11-07T03:51:16Z,QFA825,"-12.216522,130.789917",9550,280,93
1762487478,2025-11-07T03:51:18Z,QFA825,"-12.216703,130.793198",9625,280,93
1762487480,2025-11-07T03:51:20Z,QFA825,"-12.216843,130.795746",9700,281,93
1762487482,2025-11-07T03:51:22Z,QFA825,"-12.21698,130.79863",9775,281,93
1762487485,2025-11-07T03:51:25Z,QFA825,"-12.217117,130.801331",9825,282,93
1762487487,2025-11-07T03:51:27Z,QFA825,"-12.217262,130.803848",9900,282,93
1762487500,2025-11-07T03:51:40Z,QFA825,"-12.219404,130.821045",10300,286,100
1762487506,2025-11-07T03:51:46Z,QFA825,"-12.221237,130.829453",10425,291,103
1762487508,2025-11-07T03:51:48Z,QFA825,"-12.222153,130.832779",10475,293,105
1762487510,2025-11-07T03:51:50Z,QFA825,"-12.222709,130.834641",10500,295,106
1762487512,2025-11-07T03:51:52Z,QFA825,"-12.224012,130.838791",10550,297,108
1762487515,2025-11-07T03:51:55Z,QFA825,"-12.224716,130.840775",10575,298,108
1762487517,2025-11-07T03:51:57Z,QFA825,"-12.225723,130.843765",10625,300,109
1762487519,2025-11-07T03:51:59Z,QFA825,"-12.226822,130.847122",10675,302,108
1762487521,2025-11-07T03:52:01Z,QFA825,"-12.228012,130.850632",10700,303,108
1762487524,2025-11-07T03:52:04Z,QFA825,"-12.228901,130.853241",10750,305,108
1762487526,2025-11-07T03:52:06Z,QFA825,"-12.230026,130.856689",10775,307,108
1762487528,2025-11-07T03:52:08Z,QFA825,"-12.231033,130.859619",10825,310,108
1762487541,2025-11-07T03:52:21Z,QFA825,"-12.237141,130.878052",11025,322,108
1762487554,2025-11-07T03:52:34Z,QFA825,"-12.243611,130.897324",11250,333,108
1762487568,2025-11-07T03:52:48Z,QFA825,"-12.250594,130.918152",11450,345,108
1762487581,2025-11-07T03:53:01Z,QFA825,"-12.257629,130.939041",11700,354,108
1762487594,2025-11-07T03:53:14Z,QFA825,"-12.264725,130.960068",11975,362,108
1762487607,2025-11-07T03:53:27Z,QFA825,"-12.271822,130.981262",12325,366,108
1762487638,2025-11-07T03:53:58Z,QFA825,"-12.289307,131.033127",13300,376,108
1762487670,2025-11-07T03:54:30Z,QFA825,"-12.307248,131.086838",14225,386,108
1762487701,2025-11-07T03:55:01Z,QFA825,"-12.32531,131.140961",15225,394,108
1762487731,2025-11-07T03:55:31Z,QFA825,"-12.34465,131.194092",16225,400,113
1762487763,2025-11-07T03:56:03Z,QFA825,"-12.36879,131.250534",17375,403,113
1762487794,2025-11-07T03:56:34Z,QFA825,"-12.3918,131.304611",18375,407,113
1762487825,2025-11-07T03:57:05Z,QFA825,"-12.415482,131.360291",19200,416,113
1762487857,2025-11-07T03:57:37Z,QFA825,"-12.44046,131.41893",20150,420,113
1762487888,2025-11-07T03:58:08Z,QFA825,"-12.464676,131.475754",21000,423,113
1762487921,2025-11-07T03:58:41Z,QFA825,"-12.490402,131.536224",21650,434,113
1762487952,2025-11-07T03:59:12Z,QFA825,"-12.515579,131.595566",22250,443,113
1762487985,2025-11-07T03:59:45Z,QFA825,"-12.54243,131.658813",23000,446,113
1762488016,2025-11-07T04:00:16Z,QFA825,"-12.569046,131.717697",23675,451,119
1762488023,2025-11-07T04:00:23Z,QFA825,"-12.576832,131.729874",23850,452,124
1762488025,2025-11-07T04:00:25Z,QFA825,"-12.579895,131.734222",23900,453,125
1762488027,2025-11-07T04:00:27Z,QFA825,"-12.582744,131.737976",23975,453,126
1762488029,2025-11-07T04:00:29Z,QFA825,"-12.586304,131.742462",24025,454,127
1762488032,2025-11-07T04:00:32Z,QFA825,"-12.588889,131.74559",24075,454,129
1762488035,2025-11-07T04:00:35Z,QFA825,"-12.592985,131.750214",24150,455,131
1762488037,2025-11-07T04:00:37Z,QFA825,"-12.597336,131.754868",24200,455,132
1762488039,2025-11-07T04:00:39Z,QFA825,"-12.600201,131.757782",24250,455,134
1762488042,2025-11-07T04:00:42Z,QFA825,"-12.603879,131.761353",24325,455,135
1762488044,2025-11-07T04:00:44Z,QFA825,"-12.606997,131.764236",24350,456,137
1762488046,2025-11-07T04:00:46Z,QFA825,"-12.610886,131.767563",24425,456,138
1762488048,2025-11-07T04:00:48Z,QFA825,"-12.614306,131.770447",24475,456,140
1762488051,2025-11-07T04:00:51Z,QFA825,"-12.61831,131.773636",24525,457,141
1762488053,2025-11-07T04:00:53Z,QFA825,"-12.621872,131.776413",24575,456,142
1762488055,2025-11-07T04:00:55Z,QFA825,"-12.625432,131.779129",24625,456,142
1762488058,2025-11-07T04:00:58Z,QFA825,"-12.629994,131.782639",24675,457,143
1762488060,2025-11-07T04:01:00Z,QFA825,"-12.633545,131.78537",24725,458,142
1762488062,2025-11-07T04:01:02Z,QFA825,"-12.636932,131.787964",24775,457,142
1762488064,2025-11-07T04:01:04Z,QFA825,"-12.640469,131.790741",24825,457,142
1762488066,2025-11-07T04:01:06Z,QFA825,"-12.645031,131.794312",24875,457,142
1762488069,2025-11-07T04:01:09Z,QFA825,"-12.647405,131.796143",24900,458,142
1762488099,2025-11-07T04:01:39Z,QFA825,"-12.699822,131.836716",25425,464,142
