Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761968052,2025-11-01T03:34:12Z,QFA937,"-27.385323,153.124573",0,15,202
1761968062,2025-11-01T03:34:22Z,QFA937,"-27.385925,153.124222",0,17,208
1761968068,2025-11-01T03:34:28Z,QFA937,"-27.386414,153.123947",0,19,208
1761968076,2025-11-01T03:34:36Z,QFA937,"-27.387096,153.12355",0,21,208
1761968080,2025-11-01T03:34:40Z,QFA937,"-27.38736,153.123413",0,22,205
1761968082,2025-11-01T03:34:42Z,QFA937,"-27.387589,153.123276",0,22,208
1761968088,2025-11-01T03:34:48Z,QFA937,"-27.388103,153.122971",0,23,208
1761968091,2025-11-01T03:34:51Z,QFA937,"-27.38839,153.122818",0,23,208
1761968095,2025-11-01T03:34:55Z,QFA937,"-27.388767,153.122589",0,22,208
1761968098,2025-11-01T03:34:58Z,QFA937,"-27.389065,153.122421",0,22,208
1761968101,2025-11-01T03:35:01Z,QFA937,"-27.389381,153.122253",0,22,208
1761968105,2025-11-01T03:35:05Z,QFA937,"-27.389662,153.122101",0,22,208
1761968112,2025-11-01T03:35:12Z,QFA937,"-27.390324,153.121704",0,22,208
1761968119,2025-11-01T03:35:19Z,QFA937,"-27.390896,153.121384",0,21,208
1761968128,2025-11-01T03:35:28Z,QFA937,"-27.391617,153.120972",0,21,208
1761968140,2025-11-01T03:35:40Z,QFA937,"-27.39275,153.120316",0,0,208
1761968152,2025-11-01T03:35:52Z,QFA937,"-27.393688,153.119781",0,14,208
1761968160,2025-11-01T03:36:00Z,QFA937,"-27.394009,153.119598",0,9,205
1761968169,2025-11-01T03:36:09Z,QFA937,"-27.394281,153.119446",0,8,205
1761968177,2025-11-01T03:36:17Z,QFA937,"-27.394489,153.119324",0,7,205
1761968184,2025-11-01T03:36:24Z,QFA937,"-27.394707,153.119324",0,7,180
1761968192,2025-11-01T03:36:32Z,QFA937,"-27.394913,153.119431",0,7,151
1761968199,2025-11-01T03:36:39Z,QFA937,"-27.395084,153.119675",0,9,123
1761968204,2025-11-01T03:36:44Z,QFA937,"-27.395212,153.119919",0,11,118
1761968216,2025-11-01T03:36:56Z,QFA937,"-27.395468,153.120499",0,11,118
1761968221,2025-11-01T03:37:01Z,QFA937,"-27.395584,153.120728",0,10,118
1761968228,2025-11-01T03:37:08Z,QFA937,"-27.3957,153.120987",0,8,118
1761968242,2025-11-01T03:37:22Z,QFA937,"-27.39592,153.12146",0,8,118
1761968251,2025-11-01T03:37:31Z,QFA937,"-27.396074,153.121796",0,9,118
1761968273,2025-11-01T03:37:53Z,QFA937,"-27.395958,153.122147",0,4,28
1761968284,2025-11-01T03:38:04Z,QFA937,"-27.395073,153.122665",0,38,28
1761968295,2025-11-01T03:38:15Z,QFA937,"-27.391663,153.124603",0,90,28
1761968310,2025-11-01T03:38:30Z,QFA937,"-27.384567,153.128662",0,145,28
1761968317,2025-11-01T03:38:37Z,QFA937,"-27.37944,153.131592",0,170,28
1761968324,2025-11-01T03:38:44Z,QFA937,"-27.374588,153.134338",275,169,26
1761968332,2025-11-01T03:38:52Z,QFA937,"-27.368992,153.137527",675,166,27
1761968338,2025-11-01T03:38:58Z,QFA937,"-27.364988,153.140167",875,167,32
1761968340,2025-11-01T03:39:00Z,QFA937,"-27.363419,153.141434",975,167,35
1761968343,2025-11-01T03:39:03Z,QFA937,"-27.362183,153.142578",1050,168,37
1761968345,2025-11-01T03:39:05Z,QFA937,"-27.360939,153.143814",1150,168,40
1761968347,2025-11-01T03:39:07Z,QFA937,"-27.359634,153.145248",1225,169,43
1761968349,2025-11-01T03:39:09Z,QFA937,"-27.358564,153.146515",1275,170,45
1761968351,2025-11-01T03:39:11Z,QFA937,"-27.357492,153.14772",1325,171,47
1761968353,2025-11-01T03:39:13Z,QFA937,"-27.356232,153.149368",1400,174,48
