Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762484961,2025-11-07T03:09:21Z,QFA995,"-33.931618,151.178589",0,0,188
1762485079,2025-11-07T03:11:19Z,QFA995,"-33.931377,151.178635",0,3,191
1762485098,2025-11-07T03:11:38Z,QFA995,"-33.931149,151.178665",0,3,191
1762485116,2025-11-07T03:11:56Z,QFA995,"-33.930939,151.178696",0,3,216
1762485143,2025-11-07T03:12:23Z,QFA995,"-33.930782,151.178909",0,2,278
1762485194,2025-11-07T03:13:14Z,QFA995,"-33.930748,151.17868",0,3,281
1762485211,2025-11-07T03:13:31Z,QFA995,"-33.930717,151.178467",0,3,281
1762485231,2025-11-07T03:13:51Z,QFA995,"-33.930679,151.178253",0,2,281
1762485415,2025-11-07T03:16:55Z,QFA995,"-33.930634,151.177963",0,6,281
1762485423,2025-11-07T03:17:03Z,QFA995,"-33.930576,151.177673",0,8,284
1762485429,2025-11-07T03:17:09Z,QFA995,"-33.93047,151.177383",0,10,295
1762485433,2025-11-07T03:17:13Z,QFA995,"-33.930378,151.177124",0,11,298
1762485440,2025-11-07T03:17:20Z,QFA995,"-33.930256,151.176849",0,7,298
1762485448,2025-11-07T03:17:28Z,QFA995,"-33.930191,151.176605",0,7,284
1762485454,2025-11-07T03:17:34Z,QFA995,"-33.930157,151.176361",0,8,281
1762485460,2025-11-07T03:17:40Z,QFA995,"-33.930119,151.176132",0,8,281
1762485465,2025-11-07T03:17:45Z,QFA995,"-33.930088,151.175888",0,8,272
1762485471,2025-11-07T03:17:51Z,QFA995,"-33.930168,151.175644",0,8,241
1762485478,2025-11-07T03:17:58Z,QFA995,"-33.93037,151.175461",0,9,208
1762485485,2025-11-07T03:18:05Z,QFA995,"-33.930656,151.175308",0,9,205
1762485491,2025-11-07T03:18:11Z,QFA995,"-33.930874,151.175217",0,9,191
1762485500,2025-11-07T03:18:20Z,QFA995,"-33.931183,151.175247",0,8,171
