Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762368680,2025-11-05T18:51:20Z,QLK420D,"-35.309223,149.191162",0,0,272
1762369089,2025-11-05T18:58:09Z,QLK420D,"-35.309223,149.191391",0,3,275
1762369103,2025-11-05T18:58:23Z,QLK420D,"-35.309231,149.191605",0,2,278
1762369123,2025-11-05T18:58:43Z,QLK420D,"-35.309269,149.191895",0,2,275
1762369148,2025-11-05T18:59:08Z,QLK420D,"-35.309292,149.192215",0,0,233
1762369433,2025-11-05T19:03:53Z,QLK420D,"-35.309593,149.192566",0,6,132
1762369441,2025-11-05T19:04:01Z,QLK420D,"-35.309673,149.19281",0,5,109
1762369449,2025-11-05T19:04:09Z,QLK420D,"-35.309685,149.193054",0,6,95
1762369456,2025-11-05T19:04:16Z,QLK420D,"-35.309692,149.193329",0,8,92
1762369461,2025-11-05T19:04:21Z,QLK420D,"-35.309696,149.193542",0,9,92
1762369471,2025-11-05T19:04:31Z,QLK420D,"-35.309692,149.194046",0,8,92
1762369480,2025-11-05T19:04:40Z,QLK420D,"-35.309685,149.194336",0,4,90
1762369500,2025-11-05T19:05:00Z,QLK420D,"-35.309464,149.194458",0,3,2
1762369505,2025-11-05T19:05:05Z,QLK420D,"-35.309189,149.194458",0,23,2
1762369508,2025-11-05T19:05:08Z,QLK420D,"-35.308743,149.194458",0,36,2
1762369509,2025-11-05T19:05:09Z,QLK420D,"-35.308491,149.194458",0,48,2
1762369510,2025-11-05T19:05:10Z,QLK420D,"-35.308231,149.194458",0,54,2
1762369512,2025-11-05T19:05:12Z,QLK420D,"-35.307499,149.194458",0,66,2
1762369527,2025-11-05T19:05:27Z,QLK420D,"-35.30019,149.194458",1775,140,359
1762369535,2025-11-05T19:05:35Z,QLK420D,"-35.29493,149.194458",1925,156,359
1762369541,2025-11-05T19:05:41Z,QLK420D,"-35.290009,149.194397",2100,168,359
1762369548,2025-11-05T19:05:48Z,QLK420D,"-35.284641,149.194397",2375,172,359
1762369556,2025-11-05T19:05:56Z,QLK420D,"-35.277985,149.194626",2825,171,3
1762369558,2025-11-05T19:05:58Z,QLK420D,"-35.276642,149.194733",2925,170,4
1762369560,2025-11-05T19:06:00Z,QLK420D,"-35.274673,149.194916",3075,170,4
1762369563,2025-11-05T19:06:03Z,QLK420D,"-35.273048,149.195099",3200,171,5
1762369565,2025-11-05T19:06:05Z,QLK420D,"-35.271515,149.195251",3250,173,5
1762369567,2025-11-05T19:06:07Z,QLK420D,"-35.269512,149.195511",3375,175,5
1762369569,2025-11-05T19:06:09Z,QLK420D,"-35.267651,149.195862",3450,180,8
1762369571,2025-11-05T19:06:11Z,QLK420D,"-35.266022,149.196167",3500,182,10
1762369573,2025-11-05T19:06:13Z,QLK420D,"-35.264343,149.196609",3575,183,13
1762369576,2025-11-05T19:06:16Z,QLK420D,"-35.262543,149.19725",3650,185,15
1762369578,2025-11-05T19:06:18Z,QLK420D,"-35.260529,149.197998",3750,188,17
1762369580,2025-11-05T19:06:20Z,QLK420D,"-35.258896,149.198654",3800,190,19
1762369582,2025-11-05T19:06:22Z,QLK420D,"-35.256897,149.199661",3875,192,20
1762369584,2025-11-05T19:06:24Z,QLK420D,"-35.255264,149.200455",3950,196,23
1762369587,2025-11-05T19:06:27Z,QLK420D,"-35.253452,149.201401",4025,197,24
1762369589,2025-11-05T19:06:29Z,QLK420D,"-35.251328,149.202698",4125,200,25
1762369591,2025-11-05T19:06:31Z,QLK420D,"-35.249725,149.20369",4200,200,27
1762369593,2025-11-05T19:06:33Z,QLK420D,"-35.247849,149.205032",4300,202,29
1762369595,2025-11-05T19:06:35Z,QLK420D,"-35.246189,149.206314",4375,203,31
1762369597,2025-11-05T19:06:37Z,QLK420D,"-35.244553,149.207611",4450,204,33
1762369599,2025-11-05T19:06:39Z,QLK420D,"-35.242813,149.209106",4525,208,35
1762369601,2025-11-05T19:06:41Z,QLK420D,"-35.241348,149.210419",4600,209,36
1762369604,2025-11-05T19:06:44Z,QLK420D,"-35.239792,149.211853",4675,210,37
1762369606,2025-11-05T19:06:46Z,QLK420D,"-35.237717,149.213791",4775,211,37
1762369608,2025-11-05T19:06:48Z,QLK420D,"-35.236088,149.215378",4850,214,38
1762369610,2025-11-05T19:06:50Z,QLK420D,"-35.234646,149.216827",4900,215,39
1762369612,2025-11-05T19:06:52Z,QLK420D,"-35.233109,149.218369",4975,217,40
1762369614,2025-11-05T19:06:54Z,QLK420D,"-35.231369,149.2202",5025,219,41
1762369617,2025-11-05T19:06:57Z,QLK420D,"-35.229767,149.221924",5100,220,42
1762369619,2025-11-05T19:06:59Z,QLK420D,"-35.227848,149.224091",5175,222,42
1762369621,2025-11-05T19:07:01Z,QLK420D,"-35.225937,149.226257",5225,227,43
1762369623,2025-11-05T19:07:03Z,QLK420D,"-35.22464,149.227737",5275,229,43
1762369626,2025-11-05T19:07:06Z,QLK420D,"-35.222672,149.230103",5350,230,43
1762369639,2025-11-05T19:07:19Z,QLK420D,"-35.212532,149.242172",5750,241,44
1762369652,2025-11-05T19:07:32Z,QLK420D,"-35.20145,149.255386",6075,252,43
1762369665,2025-11-05T19:07:45Z,QLK420D,"-35.189896,149.267822",6475,260,39
1762369678,2025-11-05T19:07:58Z,QLK420D,"-35.176987,149.279648",7125,257,35
1762369691,2025-11-05T19:08:11Z,QLK420D,"-35.16481,149.289963",7700,255,34
1762369704,2025-11-05T19:08:24Z,QLK420D,"-35.151901,149.300949",8300,254,35
1762369717,2025-11-05T19:08:37Z,QLK420D,"-35.139446,149.311813",8825,257,35
1762369730,2025-11-05T19:08:50Z,QLK420D,"-35.127342,149.322571",9300,260,35
1762369743,2025-11-05T19:09:03Z,QLK420D,"-35.113907,149.333969",9800,264,34
1762369756,2025-11-05T19:09:16Z,QLK420D,"-35.100128,149.345337",10300,267,34
1762369769,2025-11-05T19:09:29Z,QLK420D,"-35.08699,149.356155",10800,267,34
1762369783,2025-11-05T19:09:43Z,QLK420D,"-35.073715,149.367203",11325,266,34
1762369795,2025-11-05T19:09:55Z,QLK420D,"-35.060486,149.378189",11775,269,34
1762369808,2025-11-05T19:10:08Z,QLK420D,"-35.047642,149.388947",12175,273,34
1762369841,2025-11-05T19:10:41Z,QLK420D,"-35.012329,149.418716",13050,285,34
1762369860,2025-11-05T19:11:00Z,QLK420D,"-34.992233,149.438339",13550,295,44
1762369863,2025-11-05T19:11:03Z,QLK420D,"-34.989685,149.441528",13600,298,45
1762369865,2025-11-05T19:11:05Z,QLK420D,"-34.987686,149.444107",13650,299,46
1762369867,2025-11-05T19:11:07Z,QLK420D,"-34.985916,149.446442",13675,301,47
1762369869,2025-11-05T19:11:09Z,QLK420D,"-34.983681,149.449539",13700,304,48
1762369871,2025-11-05T19:11:11Z,QLK420D,"-34.981979,149.45195",13750,305,49
1762369873,2025-11-05T19:11:13Z,QLK420D,"-34.979507,149.45549",13775,306,50
1762369876,2025-11-05T19:11:16Z,QLK420D,"-34.977722,149.45813",13825,307,50
1762369878,2025-11-05T19:11:18Z,QLK420D,"-34.975891,149.460861",13850,309,50
1762369880,2025-11-05T19:11:20Z,QLK420D,"-34.973557,149.464401",13900,310,51
1762369882,2025-11-05T19:11:22Z,QLK420D,"-34.971577,149.467331",13950,311,51
1762369885,2025-11-05T19:11:25Z,QLK420D,"-34.969624,149.470367",13975,312,51
1762369915,2025-11-05T19:11:55Z,QLK420D,"-34.941273,149.513229",14475,326,50
1762369947,2025-11-05T19:12:27Z,QLK420D,"-34.91008,149.558594",15000,332,49
1762369978,2025-11-05T19:12:58Z,QLK420D,"-34.878056,149.602722",15525,339,48
1762370009,2025-11-05T19:13:29Z,QLK420D,"-34.84584,149.647522",16025,343,49
1762370041,2025-11-05T19:14:01Z,QLK420D,"-34.812508,149.69455",16575,345,49
1762370073,2025-11-05T19:14:33Z,QLK420D,"-34.778477,149.74205",16950,351,48
1762370106,2025-11-05T19:15:06Z,QLK420D,"-34.743347,149.790573",17000,360,48
1762370138,2025-11-05T19:15:38Z,QLK420D,"-34.70755,149.840057",17000,367,48
1762370170,2025-11-05T19:16:10Z,QLK420D,"-34.671501,149.890533",17000,372,49
1762370203,2025-11-05T19:16:43Z,QLK420D,"-34.634167,149.942154",17000,374,48
1762370233,2025-11-05T19:17:13Z,QLK420D,"-34.60009,149.98941",17000,376,48
1762370265,2025-11-05T19:17:45Z,QLK420D,"-34.562943,150.040726",16975,378,49
1762370297,2025-11-05T19:18:17Z,QLK420D,"-34.526398,150.091888",17000,378,48
1762370329,2025-11-05T19:18:49Z,QLK420D,"-34.489716,150.142761",17000,378,48
1762370360,2025-11-05T19:19:20Z,QLK420D,"-34.453766,150.192581",17000,378,48
1762370392,2025-11-05T19:19:52Z,QLK420D,"-34.416164,150.244568",17000,377,49
1762370424,2025-11-05T19:20:24Z,QLK420D,"-34.379654,150.295044",17000,379,48
1762370456,2025-11-05T19:20:56Z,QLK420D,"-34.342751,150.345612",17000,379,48
1762370488,2025-11-05T19:21:28Z,QLK420D,"-34.305927,150.397217",16800,374,50
1762370521,2025-11-05T19:22:01Z,QLK420D,"-34.272083,150.450211",15800,369,58
1762370523,2025-11-05T19:22:03Z,QLK420D,"-34.269836,150.454681",15725,369,59
