Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762057289,2025-11-02T04:21:29Z,QLK1858,"-27.382027,153.122772",0,0,112
1762057299,2025-11-02T04:21:39Z,QLK1858,"-27.382084,153.122986",0,5,104
1762057314,2025-11-02T04:21:54Z,QLK1858,"-27.382233,153.123459",0,8,115
1762057322,2025-11-02T04:22:02Z,QLK1858,"-27.382387,153.123764",0,8,115
1762057339,2025-11-02T04:22:19Z,QLK1858,"-27.382725,153.124481",0,9,115
1762057349,2025-11-02T04:22:29Z,QLK1858,"-27.382923,153.124924",0,10,115
1762057354,2025-11-02T04:22:34Z,QLK1858,"-27.383022,153.125168",0,10,115
1762057359,2025-11-02T04:22:39Z,QLK1858,"-27.383148,153.125381",0,10,126
1762057364,2025-11-02T04:22:44Z,QLK1858,"-27.383354,153.125534",0,10,154
1762057381,2025-11-02T04:23:01Z,QLK1858,"-27.384155,153.125259",0,12,208
1762057387,2025-11-02T04:23:07Z,QLK1858,"-27.384481,153.125076",0,13,208
1762057395,2025-11-02T04:23:15Z,QLK1858,"-27.384947,153.124817",0,13,208
1762057428,2025-11-02T04:23:48Z,QLK1858,"-27.386961,153.123657",0,15,208
1762057435,2025-11-02T04:23:55Z,QLK1858,"-27.387367,153.123413",0,16,208
1762057459,2025-11-02T04:24:19Z,QLK1858,"-27.389114,153.122421",0,0,208
1762057468,2025-11-02T04:24:28Z,QLK1858,"-27.38974,153.12207",0,17,208
1762057478,2025-11-02T04:24:38Z,QLK1858,"-27.390484,153.121643",0,0,208
1762057517,2025-11-02T04:25:17Z,QLK1858,"-27.393152,153.120117",0,14,208
1762057529,2025-11-02T04:25:29Z,QLK1858,"-27.393805,153.119736",0,14,205
1762057544,2025-11-02T04:25:44Z,QLK1858,"-27.394615,153.119339",0,0,185
1762057554,2025-11-02T04:25:54Z,QLK1858,"-27.395027,153.119522",0,9,137
1762057576,2025-11-02T04:26:16Z,QLK1858,"-27.395405,153.120285",0,0,115
1762057591,2025-11-02T04:26:31Z,QLK1858,"-27.395538,153.12059",0,5,115
1762057601,2025-11-02T04:26:41Z,QLK1858,"-27.395657,153.120865",0,7,115
1762057610,2025-11-02T04:26:50Z,QLK1858,"-27.395805,153.12117",0,8,118
1762057663,2025-11-02T04:27:43Z,QLK1858,"-27.391512,153.124695",0,82,27
1762057682,2025-11-02T04:28:02Z,QLK1858,"-27.381468,153.130447",125,150,26
1762057694,2025-11-02T04:28:14Z,QLK1858,"-27.374451,153.134491",500,145,26
1762057701,2025-11-02T04:28:21Z,QLK1858,"-27.369827,153.137177",750,147,27
1762057710,2025-11-02T04:28:30Z,QLK1858,"-27.364838,153.140244",1025,145,30
1762057712,2025-11-02T04:28:32Z,QLK1858,"-27.363359,153.141281",1125,144,33
1762057714,2025-11-02T04:28:34Z,QLK1858,"-27.362474,153.142014",1200,143,36
1762057717,2025-11-02T04:28:37Z,QLK1858,"-27.36145,153.142914",1275,143,38
1762057719,2025-11-02T04:28:39Z,QLK1858,"-27.359894,153.144333",1375,144,41
1762057721,2025-11-02T04:28:41Z,QLK1858,"-27.358932,153.14537",1425,145,43
1762057723,2025-11-02T04:28:43Z,QLK1858,"-27.357971,153.146454",1475,147,45
1762057725,2025-11-02T04:28:45Z,QLK1858,"-27.35701,153.147598",1525,149,46
1762057727,2025-11-02T04:28:47Z,QLK1858,"-27.356096,153.148682",1550,152,47
1762057729,2025-11-02T04:28:49Z,QLK1858,"-27.354858,153.150192",1575,156,47
1762057731,2025-11-02T04:28:51Z,QLK1858,"-27.354141,153.151047",1575,160,48
