Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762479632,2025-11-07T01:40:32Z,QLK1863,"-19.256531,146.769745",0,0,106
1762479839,2025-11-07T01:43:59Z,QLK1863,"-19.25647,146.769531",0,0,106
1762479862,2025-11-07T01:44:22Z,QLK1863,"-19.256413,146.769318",0,0,104
1762479888,2025-11-07T01:44:48Z,QLK1863,"-19.256344,146.769104",0,1,109
1762480069,2025-11-07T01:47:49Z,QLK1863,"-19.256554,146.769135",0,3,208
1762480080,2025-11-07T01:48:00Z,QLK1863,"-19.25663,146.768906",0,6,261
1762480088,2025-11-07T01:48:08Z,QLK1863,"-19.256578,146.768646",0,8,289
1762480094,2025-11-07T01:48:14Z,QLK1863,"-19.256462,146.768402",0,10,298
1762480099,2025-11-07T01:48:19Z,QLK1863,"-19.256344,146.768173",0,11,300
1762480104,2025-11-07T01:48:24Z,QLK1863,"-19.256218,146.767929",0,11,292
1762480109,2025-11-07T01:48:29Z,QLK1863,"-19.256193,146.7677",0,10,275
1762480115,2025-11-07T01:48:35Z,QLK1863,"-19.256264,146.767441",0,10,241
1762480121,2025-11-07T01:48:41Z,QLK1863,"-19.256462,146.767227",0,10,216
1762480127,2025-11-07T01:48:47Z,QLK1863,"-19.256744,146.767075",0,10,208
1762480133,2025-11-07T01:48:53Z,QLK1863,"-19.256985,146.766937",0,11,208
1762480138,2025-11-07T01:48:58Z,QLK1863,"-19.257217,146.7668",0,11,208
1762480143,2025-11-07T01:49:03Z,QLK1863,"-19.257439,146.766678",0,10,208
1762480150,2025-11-07T01:49:10Z,QLK1863,"-19.257706,146.766541",0,7,208
1762480163,2025-11-07T01:49:23Z,QLK1863,"-19.257923,146.766418",0,3,208
1762480180,2025-11-07T01:49:40Z,QLK1863,"-19.258125,146.766312",0,4,208
1762480192,2025-11-07T01:49:52Z,QLK1863,"-19.258369,146.766174",0,7,210
1762480199,2025-11-07T01:49:59Z,QLK1863,"-19.25853,146.765945",0,9,239
1762480204,2025-11-07T01:50:04Z,QLK1863,"-19.258568,146.765701",0,10,270
1762480209,2025-11-07T01:50:09Z,QLK1863,"-19.258497,146.765427",0,11,289
1762480215,2025-11-07T01:50:15Z,QLK1863,"-19.258381,146.765167",0,11,292
1762480222,2025-11-07T01:50:22Z,QLK1863,"-19.25816,146.764923",0,9,331
1762480227,2025-11-07T01:50:27Z,QLK1863,"-19.257952,146.764923",0,10,8
1762480231,2025-11-07T01:50:31Z,QLK1863,"-19.257729,146.764999",0,13,22
1762480235,2025-11-07T01:50:35Z,QLK1863,"-19.257454,146.765137",0,19,25
1762480238,2025-11-07T01:50:38Z,QLK1863,"-19.257179,146.765259",0,32,25
1762480240,2025-11-07T01:50:40Z,QLK1863,"-19.256741,146.765472",0,44,25
1762480241,2025-11-07T01:50:41Z,QLK1863,"-19.256516,146.765579",0,49,23
1762480243,2025-11-07T01:50:43Z,QLK1863,"-19.256058,146.765762",0,57,24
1762480245,2025-11-07T01:50:45Z,QLK1863,"-19.255821,146.765915",0,62,24
1762480246,2025-11-07T01:50:46Z,QLK1863,"-19.255495,146.766052",0,66,23
1762480247,2025-11-07T01:50:47Z,QLK1863,"-19.255188,146.766205",0,71,24
1762480248,2025-11-07T01:50:48Z,QLK1863,"-19.254704,146.766464",0,76,24
