Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761702291,2025-10-29T01:44:51Z,QLK1874,"-27.38376,153.12413",0,0,348
1761702451,2025-10-29T01:47:31Z,QLK1874,"-27.382771,153.124405",0,0,75
1761702458,2025-10-29T01:47:38Z,QLK1874,"-27.382816,153.124741",0,9,109
1761702464,2025-10-29T01:47:44Z,QLK1874,"-27.382935,153.125",0,10,118
1761702470,2025-10-29T01:47:50Z,QLK1874,"-27.383045,153.125259",0,11,115
1761702475,2025-10-29T01:47:55Z,QLK1874,"-27.38312,153.125549",0,11,98
1761702481,2025-10-29T01:48:01Z,QLK1874,"-27.383011,153.125854",0,11,50
1761702489,2025-10-29T01:48:09Z,QLK1874,"-27.382666,153.126099",0,12,25
1761702495,2025-10-29T01:48:15Z,QLK1874,"-27.382313,153.126297",0,13,28
1761702499,2025-10-29T01:48:19Z,QLK1874,"-27.382084,153.126419",0,14,28
1761702503,2025-10-29T01:48:23Z,QLK1874,"-27.381863,153.126556",0,15,28
1761702506,2025-10-29T01:48:26Z,QLK1874,"-27.38166,153.126663",0,15,28
1761702510,2025-10-29T01:48:30Z,QLK1874,"-27.381386,153.126816",0,16,28
1761702514,2025-10-29T01:48:34Z,QLK1874,"-27.381084,153.126999",0,17,28
1761702526,2025-10-29T01:48:46Z,QLK1874,"-27.380222,153.127487",0,16,28
1761702532,2025-10-29T01:48:52Z,QLK1874,"-27.379873,153.12767",0,12,19
1761702537,2025-10-29T01:48:57Z,QLK1874,"-27.379612,153.127655",0,12,345
1761702546,2025-10-29T01:49:06Z,QLK1874,"-27.379303,153.127213",0,12,295
1761702551,2025-10-29T01:49:11Z,QLK1874,"-27.379141,153.126862",0,15,295
1761702555,2025-10-29T01:49:15Z,QLK1874,"-27.379036,153.126617",0,16,295
1761702572,2025-10-29T01:49:32Z,QLK1874,"-27.378296,153.125",0,23,298
1761702581,2025-10-29T01:49:41Z,QLK1874,"-27.377825,153.123962",0,23,298
1761702583,2025-10-29T01:49:43Z,QLK1874,"-27.37772,153.123749",0,23,298
1761702586,2025-10-29T01:49:46Z,QLK1874,"-27.377598,153.123474",0,23,295
1761702588,2025-10-29T01:49:48Z,QLK1874,"-27.377483,153.123215",0,23,295
