Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762372794,2025-11-05T19:59:54Z,QLK1881,"-16.878632,145.753189",0,2,67
1762372814,2025-11-05T20:00:14Z,QLK1881,"-16.878725,145.752975",0,2,64
1762372834,2025-11-05T20:00:34Z,QLK1881,"-16.878788,145.752762",0,2,101
1762372854,2025-11-05T20:00:54Z,QLK1881,"-16.878748,145.752533",0,2,84
1762372874,2025-11-05T20:01:14Z,QLK1881,"-16.878799,145.752319",0,2,61
1762373020,2025-11-05T20:03:40Z,QLK1881,"-16.878584,145.752228",0,6,340
1762373026,2025-11-05T20:03:46Z,QLK1881,"-16.878363,145.752136",0,9,337
1762373034,2025-11-05T20:03:54Z,QLK1881,"-16.877979,145.751953",0,13,334
1762373038,2025-11-05T20:03:58Z,QLK1881,"-16.877769,145.751846",0,14,337
1762373043,2025-11-05T20:04:03Z,QLK1881,"-16.877438,145.751709",0,14,337
1762373048,2025-11-05T20:04:08Z,QLK1881,"-16.877163,145.751587",0,15,337
1762373052,2025-11-05T20:04:12Z,QLK1881,"-16.876898,145.751465",0,15,337
1762373058,2025-11-05T20:04:18Z,QLK1881,"-16.876478,145.751282",0,15,343
1762373062,2025-11-05T20:04:22Z,QLK1881,"-16.876211,145.751221",0,15,348
1762373065,2025-11-05T20:04:25Z,QLK1881,"-16.876007,145.751175",0,15,345
1762373069,2025-11-05T20:04:29Z,QLK1881,"-16.87578,145.751083",0,15,340
1762373075,2025-11-05T20:04:35Z,QLK1881,"-16.875383,145.750916",0,15,334
1762373079,2025-11-05T20:04:39Z,QLK1881,"-16.875126,145.750793",0,15,337
1762373082,2025-11-05T20:04:42Z,QLK1881,"-16.874918,145.750702",0,15,337
1762373087,2025-11-05T20:04:47Z,QLK1881,"-16.874657,145.75058",0,16,337
1762373089,2025-11-05T20:04:49Z,QLK1881,"-16.874416,145.750473",0,15,337
1762373093,2025-11-05T20:04:53Z,QLK1881,"-16.874197,145.750381",0,13,337
1762373099,2025-11-05T20:04:59Z,QLK1881,"-16.873837,145.750214",0,13,337
1762373104,2025-11-05T20:05:04Z,QLK1881,"-16.873568,145.750092",0,13,331
1762373109,2025-11-05T20:05:09Z,QLK1881,"-16.873306,145.749863",0,14,315
1762373114,2025-11-05T20:05:14Z,QLK1881,"-16.873173,145.749634",0,14,295
1762373118,2025-11-05T20:05:18Z,QLK1881,"-16.873079,145.749374",0,14,286
1762373121,2025-11-05T20:05:21Z,QLK1881,"-16.873011,145.749146",0,14,286
1762373125,2025-11-05T20:05:25Z,QLK1881,"-16.872906,145.748886",0,14,298
1762373131,2025-11-05T20:05:31Z,QLK1881,"-16.872654,145.748642",0,14,326
1762373134,2025-11-05T20:05:34Z,QLK1881,"-16.872452,145.748535",0,14,334
1762373137,2025-11-05T20:05:37Z,QLK1881,"-16.872242,145.748444",0,14,337
1762373142,2025-11-05T20:05:42Z,QLK1881,"-16.871979,145.748322",0,13,337
1762373146,2025-11-05T20:05:46Z,QLK1881,"-16.871777,145.74823",0,12,337
1762373151,2025-11-05T20:05:51Z,QLK1881,"-16.871532,145.748123",0,11,334
1762373156,2025-11-05T20:05:56Z,QLK1881,"-16.871311,145.748032",0,10,337
1762373161,2025-11-05T20:06:01Z,QLK1881,"-16.871101,145.747925",0,10,337
1762373167,2025-11-05T20:06:07Z,QLK1881,"-16.870857,145.747803",0,10,337
1762373173,2025-11-05T20:06:13Z,QLK1881,"-16.870628,145.747665",0,9,323
1762373179,2025-11-05T20:06:19Z,QLK1881,"-16.870491,145.747437",0,9,292
1762373186,2025-11-05T20:06:26Z,QLK1881,"-16.870461,145.747208",0,6,270
1762373217,2025-11-05T20:06:57Z,QLK1881,"-16.870531,145.746964",0,4,250
1762373225,2025-11-05T20:07:05Z,QLK1881,"-16.870617,145.74675",0,9,247
1762373231,2025-11-05T20:07:11Z,QLK1881,"-16.870743,145.746429",0,12,250
1762373235,2025-11-05T20:07:15Z,QLK1881,"-16.870775,145.746216",0,13,267
1762373239,2025-11-05T20:07:19Z,QLK1881,"-16.870731,145.746002",0,14,289
1762373242,2025-11-05T20:07:22Z,QLK1881,"-16.870565,145.745789",0,15,315
1762373245,2025-11-05T20:07:25Z,QLK1881,"-16.870356,145.745651",0,16,331
1762373249,2025-11-05T20:07:29Z,QLK1881,"-16.870089,145.745514",0,18,334
1762373251,2025-11-05T20:07:31Z,QLK1881,"-16.869873,145.745407",0,19,337
1762373254,2025-11-05T20:07:34Z,QLK1881,"-16.869667,145.745316",0,20,337
1762373256,2025-11-05T20:07:36Z,QLK1881,"-16.869461,145.745224",0,21,337
1762373258,2025-11-05T20:07:38Z,QLK1881,"-16.869209,145.745117",0,22,337
1762373261,2025-11-05T20:07:41Z,QLK1881,"-16.868982,145.745026",0,22,337
1762373263,2025-11-05T20:07:43Z,QLK1881,"-16.86874,145.744904",0,22,337
1762373266,2025-11-05T20:07:46Z,QLK1881,"-16.8685,145.744797",0,23,334
1762373273,2025-11-05T20:07:53Z,QLK1881,"-16.867807,145.744476",0,23,334
1762373275,2025-11-05T20:07:55Z,QLK1881,"-16.867584,145.74437",0,23,337
1762373277,2025-11-05T20:07:57Z,QLK1881,"-16.867376,145.744293",0,22,337
1762373281,2025-11-05T20:08:01Z,QLK1881,"-16.867058,145.744141",0,20,337
1762373284,2025-11-05T20:08:04Z,QLK1881,"-16.866795,145.744019",0,16,334
1762373288,2025-11-05T20:08:08Z,QLK1881,"-16.866577,145.743866",0,15,323
1762373293,2025-11-05T20:08:13Z,QLK1881,"-16.866365,145.743652",0,12,309
1762373299,2025-11-05T20:08:19Z,QLK1881,"-16.866142,145.743484",0,8,340
1762373312,2025-11-05T20:08:32Z,QLK1881,"-16.866051,145.743698",0,5,129
1762373320,2025-11-05T20:08:40Z,QLK1881,"-16.866318,145.743805",0,9,160
1762373324,2025-11-05T20:08:44Z,QLK1881,"-16.866573,145.743912",0,23,157
1762373327,2025-11-05T20:08:47Z,QLK1881,"-16.866877,145.744049",0,34,157
1762373328,2025-11-05T20:08:48Z,QLK1881,"-16.867155,145.744171",0,42,157
1762373330,2025-11-05T20:08:50Z,QLK1881,"-16.867584,145.744385",0,50,156
1762373331,2025-11-05T20:08:51Z,QLK1881,"-16.86783,145.744476",0,56,156
1762373332,2025-11-05T20:08:52Z,QLK1881,"-16.868088,145.744583",0,60,156
1762373333,2025-11-05T20:08:53Z,QLK1881,"-16.868408,145.74472",0,63,156
1762373335,2025-11-05T20:08:55Z,QLK1881,"-16.868866,145.744965",0,72,156
1762373337,2025-11-05T20:08:57Z,QLK1881,"-16.86974,145.745361",0,80,156
1762373339,2025-11-05T20:08:59Z,QLK1881,"-16.870422,145.745636",0,90,156
1762373341,2025-11-05T20:09:01Z,QLK1881,"-16.870951,145.745911",0,92,156
1762373342,2025-11-05T20:09:02Z,QLK1881,"-16.871429,145.746124",0,95,156
1762373344,2025-11-05T20:09:04Z,QLK1881,"-16.872253,145.746506",100,105,156
1762373346,2025-11-05T20:09:06Z,QLK1881,"-16.873398,145.746994",100,108,156
1762373353,2025-11-05T20:09:13Z,QLK1881,"-16.876877,145.748581",100,134,156
1762373362,2025-11-05T20:09:22Z,QLK1881,"-16.882681,145.751205",125,154,156
1762373371,2025-11-05T20:09:31Z,QLK1881,"-16.888138,145.753693",450,147,156
1762373377,2025-11-05T20:09:37Z,QLK1881,"-16.89212,145.755615",700,149,151
1762373379,2025-11-05T20:09:39Z,QLK1881,"-16.893435,145.7565",750,149,145
1762373381,2025-11-05T20:09:41Z,QLK1881,"-16.894459,145.757385",800,150,138
1762373383,2025-11-05T20:09:43Z,QLK1881,"-16.895483,145.758408",850,150,132
1762373385,2025-11-05T20:09:45Z,QLK1881,"-16.896286,145.759476",900,151,125
1762373387,2025-11-05T20:09:47Z,QLK1881,"-16.897156,145.760971",975,151,117
1762373390,2025-11-05T20:09:50Z,QLK1881,"-16.89781,145.76268",1050,152,110
1762373392,2025-11-05T20:09:52Z,QLK1881,"-16.898136,145.763809",1100,153,102
1762373394,2025-11-05T20:09:54Z,QLK1881,"-16.898417,145.765564",1175,154,95
1762373396,2025-11-05T20:09:56Z,QLK1881,"-16.898438,145.766983",1225,155,88
1762373398,2025-11-05T20:09:58Z,QLK1881,"-16.8983,145.768433",1275,154,81
1762373400,2025-11-05T20:10:00Z,QLK1881,"-16.897903,145.770325",1375,153,72
1762373402,2025-11-05T20:10:02Z,QLK1881,"-16.897202,145.772141",1450,154,65
1762373405,2025-11-05T20:10:05Z,QLK1881,"-16.896515,145.773392",1550,153,59
1762373407,2025-11-05T20:10:07Z,QLK1881,"-16.895691,145.774643",1600,154,53
1762373409,2025-11-05T20:10:09Z,QLK1881,"-16.89473,145.775757",1675,155,47
1762373411,2025-11-05T20:10:11Z,QLK1881,"-16.893539,145.777054",1750,156,44
1762373413,2025-11-05T20:10:13Z,QLK1881,"-16.89267,145.777878",1800,155,41
1762373415,2025-11-05T20:10:15Z,QLK1881,"-16.891296,145.779037",1875,157,39
1762373417,2025-11-05T20:10:17Z,QLK1881,"-16.889877,145.780197",1950,157,37
1762373420,2025-11-05T20:10:20Z,QLK1881,"-16.888687,145.781113",2025,158,36
1762373422,2025-11-05T20:10:22Z,QLK1881,"-16.887268,145.782166",2100,158,36
1762373424,2025-11-05T20:10:24Z,QLK1881,"-16.886173,145.783035",2175,155,36
1762373426,2025-11-05T20:10:26Z,QLK1881,"-16.884933,145.783997",2250,155,37
1762373428,2025-11-05T20:10:28Z,QLK1881,"-16.883469,145.78511",2350,155,37
