Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762645232,2025-11-08T23:40:32Z,QLK1894,"-16.87627,145.752075",0,2,67
1762645252,2025-11-08T23:40:52Z,QLK1894,"-16.87635,145.751862",0,2,70
1762645270,2025-11-08T23:41:10Z,QLK1894,"-16.876396,145.751648",0,2,98
1762645294,2025-11-08T23:41:34Z,QLK1894,"-16.876328,145.751419",0,2,126
1762645322,2025-11-08T23:42:02Z,QLK1894,"-16.876118,145.751236",0,0,157
1762645348,2025-11-08T23:42:28Z,QLK1894,"-16.875916,145.75116",0,0,154
1762645529,2025-11-08T23:45:29Z,QLK1894,"-16.876167,145.751175",0,6,180
1762645537,2025-11-08T23:45:37Z,QLK1894,"-16.876396,145.751083",0,7,216
1762645545,2025-11-08T23:45:45Z,QLK1894,"-16.876535,145.750839",0,8,244
1762645552,2025-11-08T23:45:52Z,QLK1894,"-16.87656,145.750534",0,10,275
1762645557,2025-11-08T23:45:57Z,QLK1894,"-16.876396,145.75032",0,12,323
1762645564,2025-11-08T23:46:04Z,QLK1894,"-16.876013,145.750153",0,14,337
1762645568,2025-11-08T23:46:08Z,QLK1894,"-16.875744,145.750031",0,14,337
1762645572,2025-11-08T23:46:12Z,QLK1894,"-16.875504,145.749924",0,14,337
1762645577,2025-11-08T23:46:17Z,QLK1894,"-16.875278,145.749817",0,14,337
1762645583,2025-11-08T23:46:23Z,QLK1894,"-16.874989,145.74968",0,14,337
1762645585,2025-11-08T23:46:25Z,QLK1894,"-16.874733,145.749573",0,14,337
1762645593,2025-11-08T23:46:33Z,QLK1894,"-16.874313,145.749374",0,15,337
1762645600,2025-11-08T23:46:40Z,QLK1894,"-16.873787,145.74913",0,15,337
1762645608,2025-11-08T23:46:48Z,QLK1894,"-16.873371,145.748947",0,14,337
1762645616,2025-11-08T23:46:56Z,QLK1894,"-16.872986,145.748779",0,14,337
1762645622,2025-11-08T23:47:02Z,QLK1894,"-16.872452,145.748535",0,14,337
1762645630,2025-11-08T23:47:10Z,QLK1894,"-16.87199,145.748322",0,14,337
1762645637,2025-11-08T23:47:17Z,QLK1894,"-16.871637,145.748154",0,9,337
1762645644,2025-11-08T23:47:24Z,QLK1894,"-16.871395,145.748047",0,8,337
1762645652,2025-11-08T23:47:32Z,QLK1894,"-16.871109,145.747925",0,7,337
1762645659,2025-11-08T23:47:39Z,QLK1894,"-16.870903,145.747833",0,6,337
1762645668,2025-11-08T23:47:48Z,QLK1894,"-16.870697,145.747711",0,6,326
1762645678,2025-11-08T23:47:58Z,QLK1894,"-16.870531,145.747498",0,6,303
1762645686,2025-11-08T23:48:06Z,QLK1894,"-16.87048,145.747269",0,5,275
