Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762308808,2025-11-05T02:13:28Z,QLK1906,"-35.308777,149.191177",0,0,270
1762309037,2025-11-05T02:17:17Z,QLK1906,"-35.308788,149.191391",0,0,272
1762309059,2025-11-05T02:17:39Z,QLK1906,"-35.3088,149.19165",0,2,275
1762309079,2025-11-05T02:17:59Z,QLK1906,"-35.308811,149.191879",0,2,270
1762309098,2025-11-05T02:18:18Z,QLK1906,"-35.308815,149.192093",0,0,267
1762309119,2025-11-05T02:18:39Z,QLK1906,"-35.308777,149.192307",0,0,233
1762309302,2025-11-05T02:21:42Z,QLK1906,"-35.308983,149.192352",0,5,168
1762309311,2025-11-05T02:21:51Z,QLK1906,"-35.309258,149.192383",0,8,174
1762309320,2025-11-05T02:22:00Z,QLK1906,"-35.309628,149.192413",0,10,180
1762309327,2025-11-05T02:22:07Z,QLK1906,"-35.30999,149.192398",0,12,180
1762309338,2025-11-05T02:22:18Z,QLK1906,"-35.310677,149.192398",0,14,180
1762309344,2025-11-05T02:22:24Z,QLK1906,"-35.311131,149.192398",0,15,180
1762309352,2025-11-05T02:22:32Z,QLK1906,"-35.311661,149.192398",0,15,180
1762309360,2025-11-05T02:22:40Z,QLK1906,"-35.312271,149.192398",0,16,180
1762309366,2025-11-05T02:22:46Z,QLK1906,"-35.312759,149.192398",0,16,180
1762309373,2025-11-05T02:22:53Z,QLK1906,"-35.313271,149.192398",0,14,180
1762309381,2025-11-05T02:23:01Z,QLK1906,"-35.313652,149.192398",0,10,180
1762309386,2025-11-05T02:23:06Z,QLK1906,"-35.313877,149.192413",0,10,174
1762309393,2025-11-05T02:23:13Z,QLK1906,"-35.314178,149.192535",0,10,154
1762309406,2025-11-05T02:23:26Z,QLK1906,"-35.314545,149.192932",0,4,123
1762309440,2025-11-05T02:24:00Z,QLK1906,"-35.314632,149.193192",0,5,109
1762309447,2025-11-05T02:24:07Z,QLK1906,"-35.314678,149.19342",0,7,98
1762309453,2025-11-05T02:24:13Z,QLK1906,"-35.314693,149.19371",0,9,90
1762309462,2025-11-05T02:24:22Z,QLK1906,"-35.314602,149.194199",0,11,61
1762309468,2025-11-05T02:24:28Z,QLK1906,"-35.314342,149.194412",0,14,19
1762309477,2025-11-05T02:24:37Z,QLK1906,"-35.313515,149.194458",0,31,14
