Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762374225,2025-11-05T20:23:45Z,QLK1912,"-35.307987,149.191498",0,0,270
1762374407,2025-11-05T20:26:47Z,QLK1912,"-35.307987,149.191727",0,2,278
1762374425,2025-11-05T20:27:05Z,QLK1912,"-35.308022,149.191971",0,3,281
1762374439,2025-11-05T20:27:19Z,QLK1912,"-35.308056,149.192184",0,2,258
1762374625,2025-11-05T20:30:25Z,QLK1912,"-35.308262,149.192322",0,6,168
1762374632,2025-11-05T20:30:32Z,QLK1912,"-35.308491,149.192383",0,8,168
1762374638,2025-11-05T20:30:38Z,QLK1912,"-35.308731,149.192398",0,9,177
1762374644,2025-11-05T20:30:44Z,QLK1912,"-35.30901,149.192398",0,10,180
1762374648,2025-11-05T20:30:48Z,QLK1912,"-35.309235,149.192398",0,11,180
1762374652,2025-11-05T20:30:52Z,QLK1912,"-35.309452,149.192398",0,12,180
1762374659,2025-11-05T20:30:59Z,QLK1912,"-35.30983,149.192398",0,13,180
1762374668,2025-11-05T20:31:08Z,QLK1912,"-35.310471,149.192398",0,15,180
1762374674,2025-11-05T20:31:14Z,QLK1912,"-35.310886,149.192398",0,15,180
1762374682,2025-11-05T20:31:22Z,QLK1912,"-35.311466,149.192398",0,15,180
1762374692,2025-11-05T20:31:32Z,QLK1912,"-35.312141,149.192398",0,16,180
1762374701,2025-11-05T20:31:41Z,QLK1912,"-35.312874,149.192383",0,16,180
1762374707,2025-11-05T20:31:47Z,QLK1912,"-35.313389,149.192398",0,17,180
1762374718,2025-11-05T20:31:58Z,QLK1912,"-35.314247,149.192398",0,16,180
1762374727,2025-11-05T20:32:07Z,QLK1912,"-35.314552,149.192398",0,14,180
1762374734,2025-11-05T20:32:14Z,QLK1912,"-35.315353,149.192398",0,15,180
1762374741,2025-11-05T20:32:21Z,QLK1912,"-35.315838,149.192398",0,16,180
1762374748,2025-11-05T20:32:28Z,QLK1912,"-35.316399,149.192398",0,15,180
1762374759,2025-11-05T20:32:39Z,QLK1912,"-35.317039,149.192398",0,11,180
1762374773,2025-11-05T20:32:53Z,QLK1912,"-35.317776,149.192398",0,11,180
1762374781,2025-11-05T20:33:01Z,QLK1912,"-35.318172,149.192398",0,12,180
1762374794,2025-11-05T20:33:14Z,QLK1912,"-35.318951,149.192398",0,11,180
1762374807,2025-11-05T20:33:27Z,QLK1912,"-35.319508,149.192505",0,9,157
1762374813,2025-11-05T20:33:33Z,QLK1912,"-35.31974,149.192703",0,9,143
1762374824,2025-11-05T20:33:44Z,QLK1912,"-35.320015,149.19313",0,9,118
1762374829,2025-11-05T20:33:49Z,QLK1912,"-35.32008,149.193359",0,9,106
1762374833,2025-11-05T20:33:53Z,QLK1912,"-35.320103,149.193604",0,9,95
1762374842,2025-11-05T20:34:02Z,QLK1912,"-35.320084,149.194061",0,9,81
1762374849,2025-11-05T20:34:09Z,QLK1912,"-35.319973,149.194305",0,8,50
1762374854,2025-11-05T20:34:14Z,QLK1912,"-35.319763,149.194427",0,9,14
1762374859,2025-11-05T20:34:19Z,QLK1912,"-35.3195,149.194458",0,13,2
1762374862,2025-11-05T20:34:22Z,QLK1912,"-35.319298,149.194458",0,21,2
1762374867,2025-11-05T20:34:27Z,QLK1912,"-35.31839,149.194458",0,49,2
1762374870,2025-11-05T20:34:30Z,QLK1912,"-35.317924,149.194458",1700,30,2
1762374875,2025-11-05T20:34:35Z,QLK1912,"-35.316742,149.194458",1700,73,2
1762374878,2025-11-05T20:34:38Z,QLK1912,"-35.314362,149.194458",1700,73,2
1762374885,2025-11-05T20:34:45Z,QLK1912,"-35.311081,149.194458",1700,100,2
1762374891,2025-11-05T20:34:51Z,QLK1912,"-35.306988,149.194458",1700,144,2
1762374898,2025-11-05T20:34:58Z,QLK1912,"-35.302563,149.194458",1700,166,2
1762374905,2025-11-05T20:35:05Z,QLK1912,"-35.296921,149.194458",2000,161,359
1762374914,2025-11-05T20:35:14Z,QLK1912,"-35.290134,149.194458",2400,164,359
1762374916,2025-11-05T20:35:16Z,QLK1912,"-35.288551,149.194504",2475,164,1
1762374920,2025-11-05T20:35:20Z,QLK1912,"-35.285294,149.194748",2675,162,4
1762374923,2025-11-05T20:35:23Z,QLK1912,"-35.283051,149.195023",2800,162,5
1762374925,2025-11-05T20:35:25Z,QLK1912,"-35.281708,149.195206",2900,163,6
