Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762041512,2025-11-01T23:58:32Z,QLK1933,"-27.389452,153.122192",0,15,208
1762041520,2025-11-01T23:58:40Z,QLK1933,"-27.389992,153.121902",0,15,208
1762041528,2025-11-01T23:58:48Z,QLK1933,"-27.390511,153.121597",0,15,208
1762041541,2025-11-01T23:59:01Z,QLK1933,"-27.391388,153.121094",0,16,208
1762041558,2025-11-01T23:59:18Z,QLK1933,"-27.392653,153.120361",0,0,208
1762041567,2025-11-01T23:59:27Z,QLK1933,"-27.393539,153.119858",0,22,208
1762041594,2025-11-01T23:59:54Z,QLK1933,"-27.396132,153.118378",0,23,208
1762041610,2025-11-02T00:00:10Z,QLK1933,"-27.397774,153.117447",0,24,208
1762041657,2025-11-02T00:00:57Z,QLK1933,"-27.401756,153.115158",0,0,208
1762041689,2025-11-02T00:01:29Z,QLK1933,"-27.402946,153.116211",0,8,118
1762041810,2025-11-02T00:03:30Z,QLK1933,"-27.40321,153.116959",0,0,101
1762041816,2025-11-02T00:03:36Z,QLK1933,"-27.403208,153.117401",0,14,84
1762041820,2025-11-02T00:03:40Z,QLK1933,"-27.403152,153.117645",0,15,73
1762041831,2025-11-02T00:03:51Z,QLK1933,"-27.402811,153.11821",0,10,33
1762041843,2025-11-02T00:04:03Z,QLK1933,"-27.401676,153.118866",0,0,25
1762041859,2025-11-02T00:04:19Z,QLK1933,"-27.39683,153.121628",0,75,26
1762041863,2025-11-02T00:04:23Z,QLK1933,"-27.395161,153.122589",0,111,27
1762041876,2025-11-02T00:04:36Z,QLK1933,"-27.387543,153.126923",25,152,27
1762041885,2025-11-02T00:04:45Z,QLK1933,"-27.382233,153.130035",300,150,27
1762041893,2025-11-02T00:04:53Z,QLK1933,"-27.376951,153.133148",575,150,27
1762041901,2025-11-02T00:05:01Z,QLK1933,"-27.371796,153.1362",850,150,28
1762041907,2025-11-02T00:05:07Z,QLK1933,"-27.36834,153.138535",1025,152,33
1762041910,2025-11-02T00:05:10Z,QLK1933,"-27.366943,153.139648",1100,153,36
1762041912,2025-11-02T00:05:12Z,QLK1933,"-27.36578,153.140701",1150,154,38
1762041914,2025-11-02T00:05:14Z,QLK1933,"-27.364756,153.141708",1200,155,41
1762041916,2025-11-02T00:05:16Z,QLK1933,"-27.363739,153.142776",1250,156,43
1762041918,2025-11-02T00:05:18Z,QLK1933,"-27.362661,153.144028",1300,158,45
1762041920,2025-11-02T00:05:20Z,QLK1933,"-27.361637,153.145187",1350,160,45
1762041922,2025-11-02T00:05:22Z,QLK1933,"-27.360565,153.146454",1375,164,46
1762041924,2025-11-02T00:05:24Z,QLK1933,"-27.35939,153.147812",1425,166,46
1762041926,2025-11-02T00:05:26Z,QLK1933,"-27.358425,153.148987",1450,169,46
1762041928,2025-11-02T00:05:28Z,QLK1933,"-27.357239,153.150406",1450,174,46
1762041930,2025-11-02T00:05:30Z,QLK1933,"-27.355911,153.152008",1475,177,47
1762041932,2025-11-02T00:05:32Z,QLK1933,"-27.354839,153.15332",1500,181,47
1762041934,2025-11-02T00:05:34Z,QLK1933,"-27.353622,153.1548",1500,186,47
1762041937,2025-11-02T00:05:37Z,QLK1933,"-27.352112,153.156616",1525,190,47
1762041939,2025-11-02T00:05:39Z,QLK1933,"-27.351196,153.1577",1550,192,47
1762041941,2025-11-02T00:05:41Z,QLK1933,"-27.349859,153.159393",1575,195,47
1762041943,2025-11-02T00:05:43Z,QLK1933,"-27.34837,153.161194",1600,198,47
1762041951,2025-11-02T00:05:51Z,QLK1933,"-27.343048,153.167648",1750,208,47
1762041960,2025-11-02T00:06:00Z,QLK1933,"-27.33729,153.174713",2000,213,47
1762041966,2025-11-02T00:06:06Z,QLK1933,"-27.332932,153.179993",2250,214,47
1762041975,2025-11-02T00:06:15Z,QLK1933,"-27.327374,153.186707",2600,213,47
1762041983,2025-11-02T00:06:23Z,QLK1933,"-27.321415,153.193893",3000,212,46
1762041992,2025-11-02T00:06:32Z,QLK1933,"-27.315903,153.200516",3375,210,46
1762041998,2025-11-02T00:06:38Z,QLK1933,"-27.311501,153.205765",3625,214,46
1762042007,2025-11-02T00:06:47Z,QLK1933,"-27.305511,153.212952",3775,224,46
1762042016,2025-11-02T00:06:56Z,QLK1933,"-27.299286,153.220352",3875,237,46
1762042020,2025-11-02T00:07:00Z,QLK1933,"-27.295858,153.224686",3975,243,50
1762042022,2025-11-02T00:07:02Z,QLK1933,"-27.294462,153.226639",4025,246,53
1762042024,2025-11-02T00:07:04Z,QLK1933,"-27.29274,153.229324",4075,249,56
1762042026,2025-11-02T00:07:06Z,QLK1933,"-27.291504,153.231552",4150,251,59
1762042029,2025-11-02T00:07:09Z,QLK1933,"-27.290405,153.233887",4200,254,62
1762042031,2025-11-02T00:07:11Z,QLK1933,"-27.289434,153.236084",4250,257,66
1762042033,2025-11-02T00:07:13Z,QLK1933,"-27.288254,153.239273",4325,260,69
1762042035,2025-11-02T00:07:15Z,QLK1933,"-27.287659,153.241348",4375,262,72
1762042037,2025-11-02T00:07:17Z,QLK1933,"-27.286921,153.244217",4425,266,76
1762042039,2025-11-02T00:07:19Z,QLK1933,"-27.286407,153.246964",4500,267,79
