Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762390842,2025-11-06T01:00:42Z,QLK1955,"-23.803358,133.902298",0,0,70
1762391254,2025-11-06T01:07:34Z,QLK1955,"-23.803591,133.902451",0,5,182
1762391263,2025-11-06T01:07:43Z,QLK1955,"-23.803812,133.902435",0,5,177
1762391272,2025-11-06T01:07:52Z,QLK1955,"-23.804045,133.902618",0,7,135
1762391279,2025-11-06T01:07:59Z,QLK1955,"-23.804195,133.902832",0,8,120
1762391286,2025-11-06T01:08:06Z,QLK1955,"-23.804335,133.903107",0,9,118
1762391292,2025-11-06T01:08:12Z,QLK1955,"-23.804451,133.90332",0,9,120
1762391297,2025-11-06T01:08:17Z,QLK1955,"-23.804569,133.903534",0,9,120
1762391304,2025-11-06T01:08:24Z,QLK1955,"-23.804718,133.903748",0,7,135
1762391311,2025-11-06T01:08:31Z,QLK1955,"-23.80493,133.903778",0,7,185
1762391320,2025-11-06T01:08:40Z,QLK1955,"-23.805153,133.903671",0,6,208
1762391658,2025-11-06T01:14:18Z,QLK1955,"-23.805407,133.903503",0,6,210
1762391665,2025-11-06T01:14:25Z,QLK1955,"-23.805645,133.903351",0,10,210
1762391670,2025-11-06T01:14:30Z,QLK1955,"-23.805849,133.903259",0,10,199
1762391675,2025-11-06T01:14:35Z,QLK1955,"-23.806093,133.903244",0,10,174
1762391680,2025-11-06T01:14:40Z,QLK1955,"-23.806332,133.903366",0,12,146
1762391685,2025-11-06T01:14:45Z,QLK1955,"-23.806515,133.90358",0,14,126
1762391688,2025-11-06T01:14:48Z,QLK1955,"-23.806627,133.903793",0,16,120
1762391691,2025-11-06T01:14:51Z,QLK1955,"-23.806768,133.904037",0,18,120
1762391694,2025-11-06T01:14:54Z,QLK1955,"-23.806881,133.904251",0,19,120
1762391696,2025-11-06T01:14:56Z,QLK1955,"-23.806995,133.904465",0,19,120
1762391698,2025-11-06T01:14:58Z,QLK1955,"-23.80711,133.904678",0,20,120
1762391701,2025-11-06T01:15:01Z,QLK1955,"-23.807257,133.904938",0,20,120
1762391704,2025-11-06T01:15:04Z,QLK1955,"-23.807362,133.905151",0,20,118
1762391711,2025-11-06T01:15:11Z,QLK1955,"-23.807728,133.905823",0,21,118
1762391714,2025-11-06T01:15:14Z,QLK1955,"-23.80785,133.906067",0,21,118
1762391717,2025-11-06T01:15:17Z,QLK1955,"-23.808037,133.906403",0,21,120
1762391720,2025-11-06T01:15:20Z,QLK1955,"-23.808165,133.906647",0,21,120
1762391723,2025-11-06T01:15:23Z,QLK1955,"-23.808334,133.906967",0,21,120
1762391730,2025-11-06T01:15:30Z,QLK1955,"-23.808689,133.907623",0,22,120
1762391737,2025-11-06T01:15:37Z,QLK1955,"-23.809055,133.90831",0,23,120
1762391744,2025-11-06T01:15:44Z,QLK1955,"-23.809444,133.909027",0,23,120
1762391751,2025-11-06T01:15:51Z,QLK1955,"-23.809856,133.909805",0,24,120
1762391758,2025-11-06T01:15:58Z,QLK1955,"-23.810247,133.910522",0,25,120
1762391765,2025-11-06T01:16:05Z,QLK1955,"-23.810678,133.911346",0,25,120
1762391773,2025-11-06T01:16:13Z,QLK1955,"-23.811098,133.912125",0,20,120
1762391779,2025-11-06T01:16:19Z,QLK1955,"-23.811388,133.912659",0,15,118
1762391783,2025-11-06T01:16:23Z,QLK1955,"-23.811493,133.912888",0,13,112
1762391787,2025-11-06T01:16:27Z,QLK1955,"-23.81155,133.913147",0,14,101
1762391791,2025-11-06T01:16:31Z,QLK1955,"-23.811596,133.913437",0,14,101
1762391795,2025-11-06T01:16:35Z,QLK1955,"-23.811642,133.913666",0,11,101
1762391801,2025-11-06T01:16:41Z,QLK1955,"-23.811691,133.91391",0,6,104
1762391811,2025-11-06T01:16:51Z,QLK1955,"-23.811893,133.914032",0,5,177
1762391826,2025-11-06T01:17:06Z,QLK1955,"-23.811993,133.913788",0,4,284
1762391836,2025-11-06T01:17:16Z,QLK1955,"-23.811876,133.913574",0,5,300
1762391843,2025-11-06T01:17:23Z,QLK1955,"-23.811756,133.913345",0,11,300
1762391847,2025-11-06T01:17:27Z,QLK1955,"-23.811552,133.912964",0,31,300
1762391849,2025-11-06T01:17:29Z,QLK1955,"-23.811377,133.912643",0,40,300
1762391852,2025-11-06T01:17:32Z,QLK1955,"-23.811081,133.912094",1800,54,299
1762391854,2025-11-06T01:17:34Z,QLK1955,"-23.810806,133.911591",1800,62,299
1762391860,2025-11-06T01:17:40Z,QLK1955,"-23.809616,133.909348",1800,89,300
1762391867,2025-11-06T01:17:47Z,QLK1955,"-23.808025,133.906387",1800,111,300
1762391875,2025-11-06T01:17:55Z,QLK1955,"-23.80545,133.901566",1800,138,300
1762391882,2025-11-06T01:18:02Z,QLK1955,"-23.803162,133.897293",1925,144,300
1762391889,2025-11-06T01:18:09Z,QLK1955,"-23.800949,133.893127",2125,143,299
1762391899,2025-11-06T01:18:19Z,QLK1955,"-23.797714,133.886917",2450,145,299
1762391908,2025-11-06T01:18:28Z,QLK1955,"-23.794968,133.881531",2750,145,297
1762391910,2025-11-06T01:18:30Z,QLK1955,"-23.794106,133.87944",2850,146,292
1762391912,2025-11-06T01:18:32Z,QLK1955,"-23.793779,133.878357",2900,148,286
1762391914,2025-11-06T01:18:34Z,QLK1955,"-23.793365,133.87645",2950,149,279
1762391917,2025-11-06T01:18:37Z,QLK1955,"-23.793274,133.874619",3000,153,271
1762391919,2025-11-06T01:18:39Z,QLK1955,"-23.793365,133.873093",3075,156,262
1762391921,2025-11-06T01:18:41Z,QLK1955,"-23.793594,133.871811",3125,158,257
1762391923,2025-11-06T01:18:43Z,QLK1955,"-23.794151,133.869812",3175,162,249
1762391925,2025-11-06T01:18:45Z,QLK1955,"-23.794758,133.868301",3250,165,242
1762391928,2025-11-06T01:18:48Z,QLK1955,"-23.795549,133.866913",3300,169,234
1762391930,2025-11-06T01:18:50Z,QLK1955,"-23.796898,133.864929",3350,173,228
1762391932,2025-11-06T01:18:52Z,QLK1955,"-23.798481,133.863174",3375,178,223
1762391934,2025-11-06T01:18:54Z,QLK1955,"-23.799505,133.862244",3375,183,216
1762391936,2025-11-06T01:18:56Z,QLK1955,"-23.801228,133.860992",3375,187,211
1762391939,2025-11-06T01:18:59Z,QLK1955,"-23.802658,133.860123",3375,191,204
1762391941,2025-11-06T01:19:01Z,QLK1955,"-23.80444,133.859344",3400,196,199
1762391943,2025-11-06T01:19:03Z,QLK1955,"-23.806536,133.858612",3400,199,195
1762391945,2025-11-06T01:19:05Z,QLK1955,"-23.808197,133.858292",3400,204,189
1762391947,2025-11-06T01:19:07Z,QLK1955,"-23.810307,133.858047",3425,208,181
1762391949,2025-11-06T01:19:09Z,QLK1955,"-23.812634,133.858154",3475,210,175
1762391952,2025-11-06T01:19:12Z,QLK1955,"-23.81496,133.858459",3525,211,170
1762391954,2025-11-06T01:19:14Z,QLK1955,"-23.817009,133.858871",3575,214,167
1762391956,2025-11-06T01:19:16Z,QLK1955,"-23.819458,133.859558",3625,215,166
1762391958,2025-11-06T01:19:18Z,QLK1955,"-23.821617,133.860123",3675,217,165
1762391961,2025-11-06T01:19:21Z,QLK1955,"-23.823441,133.86058",3725,218,167
1762391963,2025-11-06T01:19:23Z,QLK1955,"-23.825775,133.861084",3775,220,171
1762391965,2025-11-06T01:19:25Z,QLK1955,"-23.828293,133.861343",3825,222,176
1762391968,2025-11-06T01:19:28Z,QLK1955,"-23.831131,133.861389",3875,224,181
1762391970,2025-11-06T01:19:30Z,QLK1955,"-23.833282,133.861191",3900,225,187
1762391972,2025-11-06T01:19:32Z,QLK1955,"-23.834885,133.860886",3925,225,192
1762391974,2025-11-06T01:19:34Z,QLK1955,"-23.837723,133.860062",4000,225,195
1762391976,2025-11-06T01:19:36Z,QLK1955,"-23.839691,133.859406",4050,225,197
1762391978,2025-11-06T01:19:38Z,QLK1955,"-23.841705,133.858688",4100,226,199
1762391981,2025-11-06T01:19:41Z,QLK1955,"-23.844086,133.857727",4175,227,200
1762391983,2025-11-06T01:19:43Z,QLK1955,"-23.846054,133.856918",4250,228,201
1762391985,2025-11-06T01:19:45Z,QLK1955,"-23.848022,133.856003",4300,229,202
1762391987,2025-11-06T01:19:47Z,QLK1955,"-23.849829,133.855087",4375,229,204
1762391989,2025-11-06T01:19:49Z,QLK1955,"-23.851738,133.854111",4425,229,206
1762391991,2025-11-06T01:19:51Z,QLK1955,"-23.854248,133.852737",4500,229,207
1762391994,2025-11-06T01:19:54Z,QLK1955,"-23.856079,133.851669",4550,229,207
1762391996,2025-11-06T01:19:56Z,QLK1955,"-23.858534,133.850266",4650,230,208
1762391998,2025-11-06T01:19:58Z,QLK1955,"-23.860815,133.848923",4725,230,208
1762392001,2025-11-06T01:20:01Z,QLK1955,"-23.862854,133.847656",4800,229,208
1762392003,2025-11-06T01:20:03Z,QLK1955,"-23.865509,133.846085",4900,230,208
1762392005,2025-11-06T01:20:05Z,QLK1955,"-23.867565,133.84494",5000,229,208
1762392018,2025-11-06T01:20:18Z,QLK1955,"-23.879854,133.837784",5350,239,207
1762392031,2025-11-06T01:20:31Z,QLK1955,"-23.89325,133.830109",5575,260,209
1762392042,2025-11-06T01:20:42Z,QLK1955,"-23.904434,133.822128",5625,279,216
1762392046,2025-11-06T01:20:46Z,QLK1955,"-23.909637,133.817947",5675,284,215
1762392049,2025-11-06T01:20:49Z,QLK1955,"-23.911377,133.816635",5725,285,215
1762392051,2025-11-06T01:20:51Z,QLK1955,"-23.914211,133.814468",5800,287,214
1762392053,2025-11-06T01:20:53Z,QLK1955,"-23.916445,133.812805",5875,289,214
1762392056,2025-11-06T01:20:56Z,QLK1955,"-23.919098,133.810883",5950,289,213
1762392058,2025-11-06T01:20:58Z,QLK1955,"-23.921844,133.808975",6050,289,211
1762392060,2025-11-06T01:21:00Z,QLK1955,"-23.924173,133.807465",6125,289,210
1762392062,2025-11-06T01:21:02Z,QLK1955,"-23.927059,133.80571",6250,290,209
1762392064,2025-11-06T01:21:04Z,QLK1955,"-23.929386,133.804413",6350,290,207
1762392066,2025-11-06T01:21:06Z,QLK1955,"-23.932272,133.802795",6450,290,206
1762392069,2025-11-06T01:21:09Z,QLK1955,"-23.934694,133.801559",6525,292,205
1762392071,2025-11-06T01:21:11Z,QLK1955,"-23.937626,133.800049",6625,292,204
1762392073,2025-11-06T01:21:13Z,QLK1955,"-23.940353,133.798721",6700,293,204
1762392076,2025-11-06T01:21:16Z,QLK1955,"-23.943678,133.797043",6775,294,204
1762392078,2025-11-06T01:21:18Z,QLK1955,"-23.946053,133.795853",6825,295,204
1762392080,2025-11-06T01:21:20Z,QLK1955,"-23.949171,133.794357",6925,296,204
1762392083,2025-11-06T01:21:23Z,QLK1955,"-23.952616,133.792694",7000,297,203
1762392085,2025-11-06T01:21:25Z,QLK1955,"-23.95513,133.791458",7075,298,203
1762392098,2025-11-06T01:21:38Z,QLK1955,"-23.971802,133.783676",7575,300,203
1762392111,2025-11-06T01:21:51Z,QLK1955,"-23.988327,133.776047",8125,301,202
1762392124,2025-11-06T01:22:04Z,QLK1955,"-24.005033,133.768341",8625,302,202
