Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762483101,2025-11-07T02:38:21Z,QLK354D,"-19.254797,146.770065",0,0,104
1762483602,2025-11-07T02:46:42Z,QLK354D,"-19.254593,146.770035",0,5,348
1762483610,2025-11-07T02:46:50Z,QLK354D,"-19.254398,146.769806",0,9,303
1762483614,2025-11-07T02:46:54Z,QLK354D,"-19.25432,146.769562",0,10,286
1762483619,2025-11-07T02:46:59Z,QLK354D,"-19.25425,146.769318",0,12,289
1762483624,2025-11-07T02:47:04Z,QLK354D,"-19.254133,146.769058",0,12,298
1762483629,2025-11-07T02:47:09Z,QLK354D,"-19.254028,146.768845",0,10,298
1762483634,2025-11-07T02:47:14Z,QLK354D,"-19.253912,146.768631",0,8,298
1762483642,2025-11-07T02:47:22Z,QLK354D,"-19.253769,146.768326",0,9,298
1762483649,2025-11-07T02:47:29Z,QLK354D,"-19.253622,146.768036",0,10,298
1762483656,2025-11-07T02:47:36Z,QLK354D,"-19.253481,146.7677",0,12,292
1762483661,2025-11-07T02:47:41Z,QLK354D,"-19.253391,146.767456",0,11,289
1762483668,2025-11-07T02:47:48Z,QLK354D,"-19.253273,146.767227",0,4,306
1762483678,2025-11-07T02:47:58Z,QLK354D,"-19.253036,146.767242",0,8,14
1762483683,2025-11-07T02:48:03Z,QLK354D,"-19.252773,146.767365",0,18,22
1762483685,2025-11-07T02:48:05Z,QLK354D,"-19.252516,146.767487",0,29,25
1762483688,2025-11-07T02:48:08Z,QLK354D,"-19.252064,146.7677",0,47,25
1762483689,2025-11-07T02:48:09Z,QLK354D,"-19.251835,146.767792",0,52,25
1762483690,2025-11-07T02:48:10Z,QLK354D,"-19.251585,146.767914",0,58,25
1762483691,2025-11-07T02:48:11Z,QLK354D,"-19.251318,146.768036",0,64,25
1762483693,2025-11-07T02:48:13Z,QLK354D,"-19.250656,146.768356",0,74,25
1762483694,2025-11-07T02:48:14Z,QLK354D,"-19.250278,146.768524",0,80,25
1762483695,2025-11-07T02:48:15Z,QLK354D,"-19.250061,146.768631",0,84,25
1762483696,2025-11-07T02:48:16Z,QLK354D,"-19.249582,146.76886",0,85,24
1762483697,2025-11-07T02:48:17Z,QLK354D,"-19.249165,146.769058",0,96,23
1762483700,2025-11-07T02:48:20Z,QLK354D,"-19.248138,146.769547",100,105,24
1762483702,2025-11-07T02:48:22Z,QLK354D,"-19.247177,146.769989",100,119,24
1762483709,2025-11-07T02:48:29Z,QLK354D,"-19.243332,146.771759",100,138,22
1762483711,2025-11-07T02:48:31Z,QLK354D,"-19.242096,146.772293",125,142,22
1762483713,2025-11-07T02:48:33Z,QLK354D,"-19.240402,146.773026",175,146,22
1762483715,2025-11-07T02:48:35Z,QLK354D,"-19.238983,146.773621",225,150,22
1762483717,2025-11-07T02:48:37Z,QLK354D,"-19.23761,146.7742",300,153,22
1762483719,2025-11-07T02:48:39Z,QLK354D,"-19.236269,146.774796",350,155,21
1762483722,2025-11-07T02:48:42Z,QLK354D,"-19.234873,146.775345",425,157,20
1762483724,2025-11-07T02:48:44Z,QLK354D,"-19.233522,146.775894",500,159,20
1762483726,2025-11-07T02:48:46Z,QLK354D,"-19.232033,146.776489",600,160,20
1762483733,2025-11-07T02:48:53Z,QLK354D,"-19.22699,146.778473",875,164,19
1762483742,2025-11-07T02:49:02Z,QLK354D,"-19.220352,146.78093",1250,170,19
