Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761899952,2025-10-31T08:39:12Z,QTR8378,"37.419819,-5.898613",0,14,90
1761899994,2025-10-31T08:39:54Z,QTR8378,"37.42025,-5.896016",0,10,45
1761900034,2025-10-31T08:40:34Z,QTR8378,"37.421402,-5.895583",0,7,317
1761900042,2025-10-31T08:40:42Z,QTR8378,"37.421562,-5.895801",0,7,315
1761910058,2025-10-31T11:27:38Z,QTR8378,"37.419819,-5.893478",0,7,120
1761910062,2025-10-31T11:27:42Z,QTR8378,"37.419811,-5.893274",0,9,101
1761910067,2025-10-31T11:27:47Z,QTR8378,"37.419834,-5.892938",0,10,90
1761910073,2025-10-31T11:27:53Z,QTR8378,"37.41983,-5.892538",0,12,90
1761910092,2025-10-31T11:28:12Z,QTR8378,"37.419834,-5.890834",0,0,90
1761910114,2025-10-31T11:28:34Z,QTR8378,"37.419846,-5.888511",0,0,90
1761910122,2025-10-31T11:28:42Z,QTR8378,"37.419842,-5.887239",0,21,90
1761910129,2025-10-31T11:28:49Z,QTR8378,"37.419846,-5.88648",0,18,90
1761910136,2025-10-31T11:28:56Z,QTR8378,"37.419853,-5.885672",0,19,90
1761910145,2025-10-31T11:29:05Z,QTR8378,"37.419857,-5.884654",0,21,90
1761910152,2025-10-31T11:29:12Z,QTR8378,"37.419853,-5.883806",0,23,90
1761910158,2025-10-31T11:29:18Z,QTR8378,"37.419865,-5.882761",0,24,90
1761910167,2025-10-31T11:29:27Z,QTR8378,"37.419868,-5.881513",0,25,90
1761910173,2025-10-31T11:29:33Z,QTR8378,"37.419868,-5.880666",0,21,90
1761910180,2025-10-31T11:29:40Z,QTR8378,"37.419876,-5.87997",0,17,90
1761910187,2025-10-31T11:29:47Z,QTR8378,"37.41988,-5.879205",0,17,90
1761910195,2025-10-31T11:29:55Z,QTR8378,"37.419876,-5.878402",0,18,90
1761910220,2025-10-31T11:30:20Z,QTR8378,"37.419888,-5.875775",0,0,90
1761910228,2025-10-31T11:30:28Z,QTR8378,"37.419853,-5.875268",0,11,98
1761910233,2025-10-31T11:30:33Z,QTR8378,"37.419788,-5.875056",0,10,109
1761910237,2025-10-31T11:30:37Z,QTR8378,"37.419666,-5.874775",0,10,118
1761910244,2025-10-31T11:30:44Z,QTR8378,"37.419537,-5.874559",0,8,126
1761910258,2025-10-31T11:30:58Z,QTR8378,"37.419044,-5.874238",0,8,163
1761910263,2025-10-31T11:31:03Z,QTR8378,"37.418827,-5.874238",0,9,177
1761910272,2025-10-31T11:31:12Z,QTR8378,"37.418491,-5.874357",0,9,194
1761910278,2025-10-31T11:31:18Z,QTR8378,"37.418224,-5.874446",0,9,194
1761910286,2025-10-31T11:31:26Z,QTR8378,"37.417992,-5.874596",0,7,210
1761910294,2025-10-31T11:31:34Z,QTR8378,"37.417969,-5.874969",0,6,261
1761910354,2025-10-31T11:32:34Z,QTR8378,"37.418015,-5.894632",250,159,270
1761910362,2025-10-31T11:32:42Z,QTR8378,"37.418015,-5.901177",750,155,270
1761910371,2025-10-31T11:32:51Z,QTR8378,"37.417942,-5.909271",1350,154,269
1761910377,2025-10-31T11:32:57Z,QTR8378,"37.417896,-5.915123",1850,154,269
1761910384,2025-10-31T11:33:04Z,QTR8378,"37.417896,-5.920795",2325,153,272
1761910386,2025-10-31T11:33:06Z,QTR8378,"37.418083,-5.923004",2525,153,274
1761910388,2025-10-31T11:33:08Z,QTR8378,"37.418316,-5.924855",2675,153,277
1761910391,2025-10-31T11:33:11Z,QTR8378,"37.418594,-5.926646",2825,153,280
1761910393,2025-10-31T11:33:13Z,QTR8378,"37.419022,-5.928526",3000,154,284
1761910395,2025-10-31T11:33:15Z,QTR8378,"37.419807,-5.931065",3200,157,290
