Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762163578,2025-11-03T09:52:58Z,SAA222,"-26.132286,28.232933",0,0,275
1762163665,2025-11-03T09:54:25Z,SAA222,"-26.132273,28.233133",0,0,281
1762163684,2025-11-03T09:54:44Z,SAA222,"-26.132296,28.233345",0,0,281
1762163708,2025-11-03T09:55:08Z,SAA222,"-26.132401,28.233555",0,2,261
1762163729,2025-11-03T09:55:29Z,SAA222,"-26.132448,28.233767",0,2,230
1762163748,2025-11-03T09:55:48Z,SAA222,"-26.132437,28.233978",0,0,196
1762163921,2025-11-03T09:58:41Z,SAA222,"-26.132092,28.233931",0,0,191
1762163938,2025-11-03T09:58:58Z,SAA222,"-26.132298,28.234034",0,1,191
1762163962,2025-11-03T09:59:22Z,SAA222,"-26.132647,28.233992",0,5,185
1762163975,2025-11-03T09:59:35Z,SAA222,"-26.132936,28.233952",0,5,185
1762163986,2025-11-03T09:59:46Z,SAA222,"-26.133156,28.233931",0,4,185
1762163998,2025-11-03T09:59:58Z,SAA222,"-26.133373,28.233904",0,4,185
1762164009,2025-11-03T10:00:09Z,SAA222,"-26.133591,28.233879",0,4,185
1762164019,2025-11-03T10:00:19Z,SAA222,"-26.133831,28.233852",0,5,185
1762164027,2025-11-03T10:00:27Z,SAA222,"-26.134031,28.233807",0,6,188
1762164034,2025-11-03T10:00:34Z,SAA222,"-26.134239,28.233767",0,6,191
1762164042,2025-11-03T10:00:42Z,SAA222,"-26.134449,28.233728",0,6,191
1762164049,2025-11-03T10:00:49Z,SAA222,"-26.134666,28.233698",0,6,188
1762164057,2025-11-03T10:00:57Z,SAA222,"-26.13488,28.233675",0,6,188
1762164066,2025-11-03T10:01:06Z,SAA222,"-26.13509,28.233648",0,5,185
1762164075,2025-11-03T10:01:15Z,SAA222,"-26.135296,28.233633",0,5,185
1762164082,2025-11-03T10:01:22Z,SAA222,"-26.135548,28.233593",0,8,185
1762164089,2025-11-03T10:01:29Z,SAA222,"-26.135834,28.233557",0,10,185
1762164096,2025-11-03T10:01:36Z,SAA222,"-26.136166,28.233517",0,10,185
1762164104,2025-11-03T10:01:44Z,SAA222,"-26.136509,28.233477",0,9,185
1762164112,2025-11-03T10:01:52Z,SAA222,"-26.136847,28.233437",0,9,185
1762164119,2025-11-03T10:01:59Z,SAA222,"-26.137138,28.233398",0,9,185
1762164127,2025-11-03T10:02:07Z,SAA222,"-26.137447,28.233374",0,8,185
1762164133,2025-11-03T10:02:13Z,SAA222,"-26.137688,28.233334",0,8,185
1762164140,2025-11-03T10:02:20Z,SAA222,"-26.13801,28.233305",0,10,185
1762164147,2025-11-03T10:02:27Z,SAA222,"-26.138336,28.233238",0,11,191
1762164151,2025-11-03T10:02:31Z,SAA222,"-26.138557,28.233152",0,12,194
1762164155,2025-11-03T10:02:35Z,SAA222,"-26.13879,28.23308",0,12,196
1762164160,2025-11-03T10:02:40Z,SAA222,"-26.139071,28.232988",0,12,196
1762164167,2025-11-03T10:02:47Z,SAA222,"-26.139383,28.232908",0,11,196
1762164175,2025-11-03T10:02:55Z,SAA222,"-26.139759,28.232777",0,11,196
1762164181,2025-11-03T10:03:01Z,SAA222,"-26.140079,28.232687",0,11,196
1762164189,2025-11-03T10:03:09Z,SAA222,"-26.140478,28.232565",0,12,196
