Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762093745,2025-11-02T14:29:05Z,SAA281,"-31.940506,115.97319",0,0,227
1762097973,2025-11-02T15:39:33Z,SAA281,"-31.9403,115.973068",0,0,151
1762097995,2025-11-02T15:39:55Z,SAA281,"-31.940094,115.972931",0,2,154
1762098022,2025-11-02T15:40:22Z,SAA281,"-31.939865,115.97271",0,2,180
1762098041,2025-11-02T15:40:41Z,SAA281,"-31.939659,115.97261",0,3,213
1762098062,2025-11-02T15:41:02Z,SAA281,"-31.939455,115.972733",0,3,230
1762098263,2025-11-02T15:44:23Z,SAA281,"-31.939499,115.972504",0,4,241
1762098280,2025-11-02T15:44:40Z,SAA281,"-31.939671,115.972122",0,6,244
1762098286,2025-11-02T15:44:46Z,SAA281,"-31.939676,115.971893",0,7,255
1762098291,2025-11-02T15:44:51Z,SAA281,"-31.939642,115.971649",0,0,272
1762098295,2025-11-02T15:44:55Z,SAA281,"-31.939571,115.971443",0,9,281
1762098301,2025-11-02T15:45:01Z,SAA281,"-31.939499,115.971115",0,11,284
1762098306,2025-11-02T15:45:06Z,SAA281,"-31.939432,115.970825",0,12,284
1762098310,2025-11-02T15:45:10Z,SAA281,"-31.939398,115.970604",0,12,284
1762098315,2025-11-02T15:45:15Z,SAA281,"-31.93935,115.97039",0,13,284
1762098317,2025-11-02T15:45:17Z,SAA281,"-31.939293,115.970108",0,13,284
1762098320,2025-11-02T15:45:20Z,SAA281,"-31.939236,115.969879",0,13,284
1762098327,2025-11-02T15:45:27Z,SAA281,"-31.939154,115.969482",0,10,284
1762098334,2025-11-02T15:45:34Z,SAA281,"-31.939129,115.969231",0,5,278
1762098342,2025-11-02T15:45:42Z,SAA281,"-31.939234,115.968964",0,7,253
1762098350,2025-11-02T15:45:50Z,SAA281,"-31.939465,115.968826",0,8,222
1762098357,2025-11-02T15:45:57Z,SAA281,"-31.939724,115.968735",0,8,202
1762098365,2025-11-02T15:46:05Z,SAA281,"-31.939943,115.968681",0,8,196
1762098369,2025-11-02T15:46:09Z,SAA281,"-31.940153,115.968613",0,9,194
1762098374,2025-11-02T15:46:14Z,SAA281,"-31.940357,115.968552",0,9,194
1762098380,2025-11-02T15:46:20Z,SAA281,"-31.940584,115.968483",0,9,194
1762098386,2025-11-02T15:46:26Z,SAA281,"-31.940865,115.968414",0,10,194
