Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762151883,2025-11-03T06:38:03Z,SAA071,"-22.479355,17.507113",7100,174,131
1762151896,2025-11-03T06:38:16Z,SAA071,"-22.486633,17.515902",7425,187,131
1762151911,2025-11-03T06:38:31Z,SAA071,"-22.495285,17.52664",7725,204,130
1762151923,2025-11-03T06:38:43Z,SAA071,"-22.503204,17.536726",8000,219,130
1762151937,2025-11-03T06:38:57Z,SAA071,"-22.513081,17.549591",8225,245,129
1762151950,2025-11-03T06:39:10Z,SAA071,"-22.522625,17.562307",8600,261,128
1762151964,2025-11-03T06:39:24Z,SAA071,"-22.53392,17.577326",9000,282,128
1762151976,2025-11-03T06:39:36Z,SAA071,"-22.543442,17.59096",9425,294,122
1762151978,2025-11-03T06:39:38Z,SAA071,"-22.544815,17.593407",9525,295,121
1762151980,2025-11-03T06:39:40Z,SAA071,"-22.546181,17.596029",9625,295,118
1762151982,2025-11-03T06:39:42Z,SAA071,"-22.54747,17.598848",9725,296,116
1762151984,2025-11-03T06:39:44Z,SAA071,"-22.548508,17.601217",9825,296,114
1762151986,2025-11-03T06:39:46Z,SAA071,"-22.549622,17.603893",9925,296,114
1762151988,2025-11-03T06:39:48Z,SAA071,"-22.550812,17.606789",10050,296,113
1762151990,2025-11-03T06:39:50Z,SAA071,"-22.551952,17.609711",10200,296,113
1762151992,2025-11-03T06:39:52Z,SAA071,"-22.553022,17.612253",10300,295,113
1762151994,2025-11-03T06:39:54Z,SAA071,"-22.554108,17.615129",10450,295,113
1762151996,2025-11-03T06:39:56Z,SAA071,"-22.555252,17.617926",10600,295,112
1762151998,2025-11-03T06:39:58Z,SAA071,"-22.556213,17.620422",10700,295,112
1762152000,2025-11-03T06:40:00Z,SAA071,"-22.557175,17.622919",10825,295,112
1762152002,2025-11-03T06:40:02Z,SAA071,"-22.55847,17.626242",10975,295,112
1762152004,2025-11-03T06:40:04Z,SAA071,"-22.55928,17.628212",11075,295,112
1762152006,2025-11-03T06:40:06Z,SAA071,"-22.560471,17.631208",11200,294,112
1762152008,2025-11-03T06:40:08Z,SAA071,"-22.561523,17.633905",11350,293,113
1762152022,2025-11-03T06:40:22Z,SAA071,"-22.569214,17.653431",12225,294,113
1762152054,2025-11-03T06:40:54Z,SAA071,"-22.586334,17.696379",13750,304,113
1762152085,2025-11-03T06:41:25Z,SAA071,"-22.604277,17.741293",15175,317,113
