Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762498180,2025-11-07T06:49:40Z,SAA071,"-22.468252,17.498117",6900,158,71
1762498190,2025-11-07T06:49:50Z,SAA071,"-22.466902,17.506357",7275,167,87
1762498192,2025-11-07T06:49:52Z,SAA071,"-22.466904,17.508112",7325,170,91
1762498195,2025-11-07T06:49:55Z,SAA071,"-22.467041,17.510408",7375,172,94
1762498197,2025-11-07T06:49:57Z,SAA071,"-22.46727,17.512108",7425,175,98
1762498199,2025-11-07T06:49:59Z,SAA071,"-22.467739,17.514242",7475,180,104
1762498201,2025-11-07T06:50:01Z,SAA071,"-22.468204,17.515869",7500,184,109
1762498203,2025-11-07T06:50:03Z,SAA071,"-22.468857,17.517599",7550,188,113
1762498205,2025-11-07T06:50:05Z,SAA071,"-22.469696,17.519447",7575,190,117
1762498208,2025-11-07T06:50:08Z,SAA071,"-22.47084,17.521545",7625,194,122
1762498210,2025-11-07T06:50:10Z,SAA071,"-22.471975,17.523193",7650,198,126
1762498212,2025-11-07T06:50:12Z,SAA071,"-22.473129,17.524742",7700,201,130
1762498214,2025-11-07T06:50:14Z,SAA071,"-22.47477,17.526703",7750,205,131
1762498216,2025-11-07T06:50:16Z,SAA071,"-22.47584,17.527975",7800,207,132
1762498218,2025-11-07T06:50:18Z,SAA071,"-22.477341,17.529686",7825,210,133
1762498220,2025-11-07T06:50:20Z,SAA071,"-22.47868,17.531179",7875,212,134
1762498223,2025-11-07T06:50:23Z,SAA071,"-22.480448,17.53306",7925,214,134
1762498225,2025-11-07T06:50:25Z,SAA071,"-22.481892,17.534689",7950,217,134
1762498227,2025-11-07T06:50:27Z,SAA071,"-22.483337,17.536278",8000,220,133
1762498229,2025-11-07T06:50:29Z,SAA071,"-22.485123,17.538275",8050,223,133
1762498231,2025-11-07T06:50:31Z,SAA071,"-22.486267,17.539621",8075,224,133
1762498233,2025-11-07T06:50:33Z,SAA071,"-22.48785,17.541403",8100,229,133
1762498235,2025-11-07T06:50:35Z,SAA071,"-22.489479,17.543283",8125,234,132
1762498237,2025-11-07T06:50:37Z,SAA071,"-22.490662,17.544666",8125,238,132
1762498239,2025-11-07T06:50:39Z,SAA071,"-22.492584,17.546965",8150,242,131
1762498252,2025-11-07T06:50:52Z,SAA071,"-22.502289,17.558849",8450,259,130
1762498266,2025-11-07T06:51:06Z,SAA071,"-22.514153,17.5737",8850,278,130
1762498279,2025-11-07T06:51:19Z,SAA071,"-22.525091,17.587332",9375,286,130
1762498293,2025-11-07T06:51:33Z,SAA071,"-22.537428,17.602692",10050,291,130
1762498306,2025-11-07T06:51:46Z,SAA071,"-22.548973,17.616934",10550,299,131
1762498321,2025-11-07T06:52:01Z,SAA071,"-22.562334,17.633413",11200,305,131
1762498335,2025-11-07T06:52:15Z,SAA071,"-22.576263,17.650484",11875,311,131
1762498348,2025-11-07T06:52:28Z,SAA071,"-22.588682,17.665812",12450,316,131
1762498380,2025-11-07T06:53:00Z,SAA071,"-22.619293,17.703369",13950,323,131
1762498411,2025-11-07T06:53:31Z,SAA071,"-22.650833,17.74222",15250,335,131
1762498442,2025-11-07T06:54:02Z,SAA071,"-22.684532,17.783762",15925,368,131
1762498474,2025-11-07T06:54:34Z,SAA071,"-22.720734,17.828413",16825,382,131
1762498505,2025-11-07T06:55:05Z,SAA071,"-22.758453,17.874907",18025,388,131
1762498537,2025-11-07T06:55:37Z,SAA071,"-22.797592,17.921999",19125,394,131
1762498568,2025-11-07T06:56:08Z,SAA071,"-22.834183,17.96681",20125,402,131
1762498600,2025-11-07T06:56:40Z,SAA071,"-22.873333,18.015303",21050,411,131
1762498632,2025-11-07T06:57:12Z,SAA071,"-22.913383,18.065496",22050,416,131
1762498663,2025-11-07T06:57:43Z,SAA071,"-22.953678,18.115681",22875,423,131
1762498693,2025-11-07T06:58:13Z,SAA071,"-22.989983,18.166164",23575,435,120
1762498695,2025-11-07T06:58:15Z,SAA071,"-22.992067,18.170683",23625,436,118
1762498697,2025-11-07T06:58:17Z,SAA071,"-22.994017,18.174675",23675,436,117
1762498699,2025-11-07T06:58:19Z,SAA071,"-22.995684,18.178799",23725,437,115
1762498701,2025-11-07T06:58:21Z,SAA071,"-22.99752,18.182648",23775,439,114
1762498704,2025-11-07T06:58:24Z,SAA071,"-22.999498,18.186941",23825,439,112
1762498706,2025-11-07T06:58:26Z,SAA071,"-23.000862,18.191219",23875,440,111
1762498708,2025-11-07T06:58:28Z,SAA071,"-23.002449,18.19507",23900,440,109
1762498710,2025-11-07T06:58:30Z,SAA071,"-23.003788,18.199961",23975,441,108
1762498712,2025-11-07T06:58:32Z,SAA071,"-23.005234,18.204273",24025,442,107
1762498714,2025-11-07T06:58:34Z,SAA071,"-23.006317,18.208822",24075,443,107
1762498716,2025-11-07T06:58:36Z,SAA071,"-23.007786,18.213552",24100,444,107
1762498719,2025-11-07T06:58:39Z,SAA071,"-23.009212,18.217615",24150,445,106
1762498721,2025-11-07T06:58:41Z,SAA071,"-23.010584,18.223568",24175,446,106
1762498723,2025-11-07T06:58:43Z,SAA071,"-23.011814,18.227678",24225,447,106
1762498725,2025-11-07T06:58:45Z,SAA071,"-23.013065,18.231812",24250,448,106
1762498727,2025-11-07T06:58:47Z,SAA071,"-23.014349,18.236706",24300,448,106
1762498759,2025-11-07T06:59:19Z,SAA071,"-23.033207,18.306379",24975,458,106
1762498791,2025-11-07T06:59:51Z,SAA071,"-23.052639,18.37755",25650,468,106
1762498822,2025-11-07T07:00:22Z,SAA071,"-23.071873,18.44861",26275,476,106
1762498854,2025-11-07T07:00:54Z,SAA071,"-23.091644,18.521549",27000,482,106
1762498886,2025-11-07T07:01:26Z,SAA071,"-23.111856,18.596048",27800,485,106
1762498917,2025-11-07T07:01:57Z,SAA071,"-23.13135,18.667976",28500,491,106
1762498949,2025-11-07T07:02:29Z,SAA071,"-23.152037,18.745182",29100,500,106
1762498981,2025-11-07T07:03:01Z,SAA071,"-23.172703,18.821789",29550,509,106
1762499012,2025-11-07T07:03:32Z,SAA071,"-23.193819,18.900417",30075,516,106
1762499043,2025-11-07T07:04:03Z,SAA071,"-23.214167,18.976791",30625,521,106
1762499075,2025-11-07T07:04:35Z,SAA071,"-23.235371,19.055725",31175,526,106
1762499105,2025-11-07T07:05:05Z,SAA071,"-23.256079,19.133867",31775,528,106
1762499137,2025-11-07T07:05:37Z,SAA071,"-23.277702,19.21541",32500,528,106
1762499169,2025-11-07T07:06:09Z,SAA071,"-23.299376,19.296921",33250,527,105
1762499201,2025-11-07T07:06:41Z,SAA071,"-23.320114,19.376093",33875,528,105
1762499231,2025-11-07T07:07:11Z,SAA071,"-23.340807,19.45405",34625,525,105
1762499262,2025-11-07T07:07:42Z,SAA071,"-23.361151,19.531746",35200,526,105
1762499293,2025-11-07T07:08:13Z,SAA071,"-23.382244,19.611362",35825,525,105
1762499325,2025-11-07T07:08:45Z,SAA071,"-23.403419,19.692286",36550,521,105
1762499358,2025-11-07T07:09:18Z,SAA071,"-23.426577,19.776968",37050,522,105
1762499388,2025-11-07T07:09:48Z,SAA071,"-23.44693,19.854542",37550,522,105
1762499420,2025-11-07T07:10:20Z,SAA071,"-23.468216,19.935942",38025,522,105
1762499453,2025-11-07T07:10:53Z,SAA071,"-23.491749,20.016684",38550,518,110
1762499486,2025-11-07T07:11:26Z,SAA071,"-23.52117,20.095673",38925,518,112
1762499516,2025-11-07T07:11:56Z,SAA071,"-23.549469,20.170746",39000,516,112
1762499548,2025-11-07T07:12:28Z,SAA071,"-23.578289,20.247284",39000,519,112
1762499579,2025-11-07T07:12:59Z,SAA071,"-23.606453,20.32222",39000,522,112
1762499612,2025-11-07T07:13:32Z,SAA071,"-23.636339,20.401819",39000,522,112
1762499644,2025-11-07T07:14:04Z,SAA071,"-23.665741,20.480398",39000,522,112
1762499676,2025-11-07T07:14:36Z,SAA071,"-23.694902,20.558426",39000,523,112
1762499708,2025-11-07T07:15:08Z,SAA071,"-23.724472,20.637512",39000,524,112
1762499739,2025-11-07T07:15:39Z,SAA071,"-23.752209,20.711819",39000,524,112
1762499772,2025-11-07T07:16:12Z,SAA071,"-23.782059,20.792135",39000,525,112
1762499802,2025-11-07T07:16:42Z,SAA071,"-23.80998,20.867287",39025,525,112
1762499835,2025-11-07T07:17:15Z,SAA071,"-23.839783,20.94747",39025,524,111
1762499868,2025-11-07T07:17:48Z,SAA071,"-23.86952,21.027729",39025,523,111
1762499901,2025-11-07T07:18:21Z,SAA071,"-23.899155,21.10784",39000,522,111
1762499932,2025-11-07T07:18:52Z,SAA071,"-23.927948,21.186014",39000,522,111
1762499964,2025-11-07T07:19:24Z,SAA071,"-23.956284,21.26297",39000,522,111
1762499997,2025-11-07T07:19:57Z,SAA071,"-23.985809,21.343283",39000,522,111
1762500029,2025-11-07T07:20:29Z,SAA071,"-24.01474,21.422171",38975,523,111
1762500062,2025-11-07T07:21:02Z,SAA071,"-24.044449,21.503296",38975,523,111
1762500094,2025-11-07T07:21:34Z,SAA071,"-24.072954,21.581347",39000,524,111
1762500124,2025-11-07T07:22:04Z,SAA071,"-24.100616,21.657206",39000,525,111
1762500155,2025-11-07T07:22:35Z,SAA071,"-24.129456,21.733297",39025,524,112
1762500186,2025-11-07T07:23:06Z,SAA071,"-24.158524,21.808268",39025,524,112
1762500219,2025-11-07T07:23:39Z,SAA071,"-24.18924,21.888376",39025,523,112
1762500252,2025-11-07T07:24:12Z,SAA071,"-24.219919,21.968563",39000,523,112
1762500283,2025-11-07T07:24:43Z,SAA071,"-24.248932,22.044729",39000,523,112
1762500315,2025-11-07T07:25:15Z,SAA071,"-24.278854,22.123148",39000,523,112
1762500346,2025-11-07T07:25:46Z,SAA071,"-24.307846,22.199301",39000,521,112
1762500377,2025-11-07T07:26:17Z,SAA071,"-24.336502,22.27478",39000,521,112
