Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762736643,2025-11-10T01:04:03Z,CDG4609,"36.440163,120.070045",3450,196,343
1762736653,2025-11-10T01:04:13Z,CDG4609,"36.44902,120.066666",3875,198,342
1762736663,2025-11-10T01:04:23Z,CDG4609,"36.458221,120.063057",4350,200,342
1762736673,2025-11-10T01:04:33Z,CDG4609,"36.467533,120.059586",4675,210,343
1762736683,2025-11-10T01:04:43Z,CDG4609,"36.477768,120.05722",4825,229,354
1762736688,2025-11-10T01:04:48Z,CDG4609,"36.483124,120.057388",4925,235,1
1762736693,2025-11-10T01:04:53Z,CDG4609,"36.488251,120.058426",5025,245,11
1762736698,2025-11-10T01:04:58Z,CDG4609,"36.494156,120.060883",5175,249,20
1762736703,2025-11-10T01:05:03Z,CDG4609,"36.499512,120.064316",5325,257,28
1762736708,2025-11-10T01:05:08Z,CDG4609,"36.504265,120.068703",5500,260,36
1762736713,2025-11-10T01:05:13Z,CDG4609,"36.508453,120.074081",5700,266,47
1762736718,2025-11-10T01:05:18Z,CDG4609,"36.512409,120.080917",5900,272,55
1762736723,2025-11-10T01:05:23Z,CDG4609,"36.515018,120.087517",6050,276,62
1762736728,2025-11-10T01:05:28Z,CDG4609,"36.517204,120.095352",6275,282,72
1762736733,2025-11-10T01:05:33Z,CDG4609,"36.519112,120.103477",6500,284,73
1762736738,2025-11-10T01:05:38Z,CDG4609,"36.520935,120.111008",6725,286,73
1762736743,2025-11-10T01:05:43Z,CDG4609,"36.522839,120.118431",6975,286,72
1762736748,2025-11-10T01:05:48Z,CDG4609,"36.524963,120.126572",7225,286,72
1762736753,2025-11-10T01:05:53Z,CDG4609,"36.527161,120.13504",7475,288,72
1762736768,2025-11-10T01:06:08Z,CDG4609,"36.533264,120.15876",8175,292,72
1762736783,2025-11-10T01:06:23Z,CDG4609,"36.539551,120.182655",8875,294,71
1762736798,2025-11-10T01:06:38Z,CDG4609,"36.544903,120.207497",9525,299,80
1762736803,2025-11-10T01:06:43Z,CDG4609,"36.545197,120.215836",9675,301,86
1762736808,2025-11-10T01:06:48Z,CDG4609,"36.544739,120.222702",9825,305,95
1762736813,2025-11-10T01:06:53Z,CDG4609,"36.54277,120.233749",10075,307,103
1762736818,2025-11-10T01:06:58Z,CDG4609,"36.540154,120.242027",10250,310,112
1762736823,2025-11-10T01:07:03Z,CDG4609,"36.536865,120.24942",10425,309,118
1762736828,2025-11-10T01:07:08Z,CDG4609,"36.53302,120.255951",10600,311,126
1762736833,2025-11-10T01:07:13Z,CDG4609,"36.52739,120.2631",10875,311,136
1762736838,2025-11-10T01:07:18Z,CDG4609,"36.521721,120.268623",11075,309,141
1762736843,2025-11-10T01:07:23Z,CDG4609,"36.515442,120.273346",11250,311,150
1762736848,2025-11-10T01:07:28Z,CDG4609,"36.508965,120.276802",11425,311,157
1762736853,2025-11-10T01:07:33Z,CDG4609,"36.502396,120.279465",11650,309,162
1762736858,2025-11-10T01:07:38Z,CDG4609,"36.495483,120.281982",11850,311,163
1762736863,2025-11-10T01:07:43Z,CDG4609,"36.488529,120.28463",12050,313,162
1762736868,2025-11-10T01:07:48Z,CDG4609,"36.481266,120.287437",12275,315,162
1762736903,2025-11-10T01:08:23Z,CDG4609,"36.431488,120.307159",13425,338,162
1762736938,2025-11-10T01:08:58Z,CDG4609,"36.374477,120.329567",13975,385,162
1762736968,2025-11-10T01:09:28Z,CDG4609,"36.321823,120.350143",14900,406,162
1762736998,2025-11-10T01:09:58Z,CDG4609,"36.267124,120.371468",16175,416,162
1762737033,2025-11-10T01:10:33Z,CDG4609,"36.203613,120.396194",17625,417,163
1762737068,2025-11-10T01:11:08Z,CDG4609,"36.139297,120.421082",17700,414,162
1762737103,2025-11-10T01:11:43Z,CDG4609,"36.074261,120.446449",18775,410,162
1762737143,2025-11-10T01:12:23Z,CDG4609,"36.002197,120.474266",19700,412,163
1762737177,2025-11-10T01:12:57Z,CDG4609,"35.940994,120.500908",19700,416,156
1762737212,2025-11-10T01:13:32Z,CDG4609,"35.878742,120.535042",19700,418,156
1762737247,2025-11-10T01:14:07Z,CDG4609,"35.815987,120.569397",19700,418,155
1762737277,2025-11-10T01:14:37Z,CDG4609,"35.763565,120.598129",19700,418,155
1762737311,2025-11-10T01:15:11Z,CDG4609,"35.703735,120.634689",19700,422,150
1762737346,2025-11-10T01:15:46Z,CDG4609,"35.64386,120.67514",19700,422,151
1762737381,2025-11-10T01:16:21Z,CDG4609,"35.585091,120.717949",19700,428,142
1762737386,2025-11-10T01:16:26Z,CDG4609,"35.577255,120.726639",19700,430,137
1762737391,2025-11-10T01:16:31Z,CDG4609,"35.570801,120.735054",19700,432,133
1762737396,2025-11-10T01:16:36Z,CDG4609,"35.564838,120.743721",19700,433,130
1762737401,2025-11-10T01:16:41Z,CDG4609,"35.558167,120.754562",19700,435,127
1762737406,2025-11-10T01:16:46Z,CDG4609,"35.552628,120.764923",19700,437,122
1762737411,2025-11-10T01:16:51Z,CDG4609,"35.547939,120.775452",19700,437,120
1762737416,2025-11-10T01:16:56Z,CDG4609,"35.54454,120.784279",19700,442,116
1762737421,2025-11-10T01:17:01Z,CDG4609,"35.541798,120.792923",19700,443,112
1762737425,2025-11-10T01:17:05Z,CDG4609,"35.546173,120.779915",19775,445,104
1762737458,2025-11-10T01:17:38Z,CDG4609,"35.544891,120.892471",20600,461,71
