Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762691976,2025-11-09T12:39:36Z,SIA125,"2.7495,101.71315",0,0,236
1762692085,2025-11-09T12:41:25Z,SIA125,"2.749643,101.713356",0,3,236
1762692100,2025-11-09T12:41:40Z,SIA125,"2.749771,101.71357",0,3,230
1762692119,2025-11-09T12:41:59Z,SIA125,"2.749969,101.713791",0,4,227
1762692136,2025-11-09T12:42:16Z,SIA125,"2.750175,101.713989",0,3,239
1762692150,2025-11-09T12:42:30Z,SIA125,"2.750301,101.714195",0,4,236
1762692367,2025-11-09T12:46:07Z,SIA125,"2.75026,101.713951",0,7,255
1762692375,2025-11-09T12:46:15Z,SIA125,"2.750427,101.713745",0,7,289
1762692383,2025-11-09T12:46:23Z,SIA125,"2.750656,101.713615",0,8,315
1762692389,2025-11-09T12:46:29Z,SIA125,"2.7509,101.713501",0,9,326
1762692396,2025-11-09T12:46:36Z,SIA125,"2.751121,101.713341",0,10,326
1762692403,2025-11-09T12:46:43Z,SIA125,"2.751366,101.713181",0,10,326
1762692410,2025-11-09T12:46:50Z,SIA125,"2.751691,101.712975",0,12,326
1762692417,2025-11-09T12:46:57Z,SIA125,"2.752007,101.712753",0,9,326
1762692425,2025-11-09T12:47:05Z,SIA125,"2.752261,101.712578",0,9,323
1762692430,2025-11-09T12:47:10Z,SIA125,"2.752384,101.712372",0,11,306
1762692435,2025-11-09T12:47:15Z,SIA125,"2.75235,101.712158",0,10,281
1762692441,2025-11-09T12:47:21Z,SIA125,"2.752201,101.711929",0,11,250
1762692447,2025-11-09T12:47:27Z,SIA125,"2.751971,101.711639",0,12,236
1762692453,2025-11-09T12:47:33Z,SIA125,"2.751784,101.711388",0,14,233
1762692457,2025-11-09T12:47:37Z,SIA125,"2.751606,101.711143",0,14,233
1762692461,2025-11-09T12:47:41Z,SIA125,"2.75147,101.710938",0,13,236
1762692466,2025-11-09T12:47:46Z,SIA125,"2.751307,101.710701",0,10,236
1762692474,2025-11-09T12:47:54Z,SIA125,"2.751156,101.710487",0,8,236
1762692481,2025-11-09T12:48:01Z,SIA125,"2.750958,101.710182",0,10,236
1762692488,2025-11-09T12:48:08Z,SIA125,"2.750771,101.709915",0,12,236
1762692496,2025-11-09T12:48:16Z,SIA125,"2.75053,101.709549",0,14,236
1762692504,2025-11-09T12:48:24Z,SIA125,"2.750167,101.709007",0,16,236
1762692511,2025-11-09T12:48:31Z,SIA125,"2.749866,101.708572",0,17,236
1762692519,2025-11-09T12:48:39Z,SIA125,"2.749468,101.707993",0,19,236
1762692527,2025-11-09T12:48:47Z,SIA125,"2.749061,101.707397",0,22,236
1762692533,2025-11-09T12:48:53Z,SIA125,"2.748642,101.706757",0,24,236
1762692540,2025-11-09T12:49:00Z,SIA125,"2.748161,101.706062",0,24,236
1762692547,2025-11-09T12:49:07Z,SIA125,"2.747784,101.705505",0,21,236
1762692554,2025-11-09T12:49:14Z,SIA125,"2.747443,101.704994",0,18,236
1762692561,2025-11-09T12:49:21Z,SIA125,"2.74712,101.704514",0,15,236
1762692569,2025-11-09T12:49:29Z,SIA125,"2.746834,101.704094",0,13,236
1762692576,2025-11-09T12:49:36Z,SIA125,"2.74657,101.70372",0,14,236
1762692583,2025-11-09T12:49:43Z,SIA125,"2.746342,101.703369",0,13,236
1762692590,2025-11-09T12:49:50Z,SIA125,"2.746128,101.703064",0,10,236
1762692597,2025-11-09T12:49:57Z,SIA125,"2.745977,101.702827",0,7,236
1762692605,2025-11-09T12:50:05Z,SIA125,"2.745827,101.702614",0,7,236
1762692619,2025-11-09T12:50:19Z,SIA125,"2.745686,101.702408",0,0,236
1762692644,2025-11-09T12:50:44Z,SIA125,"2.745541,101.702194",0,5,236
1762692655,2025-11-09T12:50:55Z,SIA125,"2.745403,101.701988",0,5,236
1762692664,2025-11-09T12:51:04Z,SIA125,"2.745255,101.701767",0,6,236
1762692672,2025-11-09T12:51:12Z,SIA125,"2.745094,101.701546",0,9,236
1762692680,2025-11-09T12:51:20Z,SIA125,"2.744906,101.701271",0,11,236
1762692687,2025-11-09T12:51:27Z,SIA125,"2.744697,101.700951",0,9,236
1762692696,2025-11-09T12:51:36Z,SIA125,"2.744476,101.700737",0,9,225
1762692701,2025-11-09T12:51:41Z,SIA125,"2.744259,101.700745",0,10,196
1762692707,2025-11-09T12:51:47Z,SIA125,"2.74403,101.700867",0,11,168
1762692712,2025-11-09T12:51:52Z,SIA125,"2.743824,101.701019",0,12,151
