Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762402341,2025-11-06T04:12:21Z,SIA147,"4.947063,114.93206",0,0,28
1762402679,2025-11-06T04:17:59Z,SIA147,"4.947281,114.93219",0,4,30
1762402692,2025-11-06T04:18:12Z,SIA147,"4.94759,114.932381",0,7,30
1762402700,2025-11-06T04:18:20Z,SIA147,"4.947842,114.932518",0,8,30
1762402706,2025-11-06T04:18:26Z,SIA147,"4.948082,114.932671",0,10,30
1762402714,2025-11-06T04:18:34Z,SIA147,"4.948505,114.932915",0,13,30
1762402721,2025-11-06T04:18:41Z,SIA147,"4.948849,114.933121",0,13,30
1762402731,2025-11-06T04:18:51Z,SIA147,"4.949352,114.933434",0,13,30
1762402742,2025-11-06T04:19:02Z,SIA147,"4.949876,114.933746",0,13,30
1762402751,2025-11-06T04:19:11Z,SIA147,"4.950411,114.934074",0,14,30
1762402758,2025-11-06T04:19:18Z,SIA147,"4.950784,114.934288",0,14,30
1762402766,2025-11-06T04:19:26Z,SIA147,"4.951284,114.934593",0,14,30
1762402774,2025-11-06T04:19:34Z,SIA147,"4.95175,114.934868",0,15,30
1762402781,2025-11-06T04:19:41Z,SIA147,"4.952168,114.935127",0,15,30
1762402791,2025-11-06T04:19:51Z,SIA147,"4.952774,114.935493",0,15,30
1762402798,2025-11-06T04:19:58Z,SIA147,"4.953181,114.935745",0,15,30
1762402810,2025-11-06T04:20:10Z,SIA147,"4.953941,114.93618",0,16,30
1762402816,2025-11-06T04:20:16Z,SIA147,"4.954345,114.936432",0,16,30
1762402823,2025-11-06T04:20:23Z,SIA147,"4.954742,114.936668",0,13,30
1762402834,2025-11-06T04:20:34Z,SIA147,"4.955137,114.936905",0,7,30
1762402875,2025-11-06T04:21:15Z,SIA147,"4.955346,114.937035",0,0,30
1762402890,2025-11-06T04:21:30Z,SIA147,"4.955589,114.937172",0,5,30
1762402899,2025-11-06T04:21:39Z,SIA147,"4.955835,114.937332",0,8,30
1762402915,2025-11-06T04:21:55Z,SIA147,"4.956573,114.937767",0,0,30
1762402924,2025-11-06T04:22:04Z,SIA147,"4.957022,114.93792",0,12,8
1762402931,2025-11-06T04:22:11Z,SIA147,"4.957466,114.937851",0,13,337
1762402936,2025-11-06T04:22:16Z,SIA147,"4.957697,114.937683",0,13,317
