Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762167270,2025-11-03T10:54:30Z,SIA215,"1.355927,103.985077",0,4,185
1762167293,2025-11-03T10:54:53Z,SIA215,"1.356274,103.985085",0,3,188
1762167321,2025-11-03T10:55:21Z,SIA215,"1.356617,103.985016",0,0,239
1762167354,2025-11-03T10:55:54Z,SIA215,"1.356823,103.984924",0,3,281
1762167373,2025-11-03T10:56:13Z,SIA215,"1.356974,103.984711",0,4,292
1762167711,2025-11-03T11:01:51Z,SIA215,"1.357441,103.984001",0,0,317
1762167718,2025-11-03T11:01:58Z,SIA215,"1.357661,103.984055",0,7,348
1762167726,2025-11-03T11:02:06Z,SIA215,"1.357906,103.984177",0,7,14
1762167734,2025-11-03T11:02:14Z,SIA215,"1.358127,103.984283",0,7,19
1762167741,2025-11-03T11:02:21Z,SIA215,"1.358359,103.984375",0,8,22
1762167752,2025-11-03T11:02:32Z,SIA215,"1.358723,103.984528",0,8,22
1762167775,2025-11-03T11:02:55Z,SIA215,"1.359627,103.984909",0,0,22
1762167782,2025-11-03T11:03:02Z,SIA215,"1.359936,103.985039",0,10,22
1762167789,2025-11-03T11:03:09Z,SIA215,"1.360256,103.985184",0,12,22
1762167801,2025-11-03T11:03:21Z,SIA215,"1.361013,103.985489",0,17,22
1762167812,2025-11-03T11:03:32Z,SIA215,"1.361847,103.98584",0,22,22
1762167818,2025-11-03T11:03:38Z,SIA215,"1.362596,103.98616",0,24,22
1762167829,2025-11-03T11:03:49Z,SIA215,"1.363806,103.986671",0,25,22
1762167837,2025-11-03T11:03:57Z,SIA215,"1.364582,103.987007",0,25,22
1762167843,2025-11-03T11:04:03Z,SIA215,"1.365189,103.987259",0,26,22
1762167858,2025-11-03T11:04:18Z,SIA215,"1.366825,103.987946",0,19,22
1762167866,2025-11-03T11:04:26Z,SIA215,"1.367168,103.988083",0,18,22
1762167890,2025-11-03T11:04:50Z,SIA215,"1.367889,103.989212",0,0,109
1762167900,2025-11-03T11:05:00Z,SIA215,"1.367728,103.989563",0,8,112
1762167909,2025-11-03T11:05:09Z,SIA215,"1.367623,103.989799",0,7,112
1762167922,2025-11-03T11:05:22Z,SIA215,"1.367409,103.990311",0,10,112
1762167928,2025-11-03T11:05:28Z,SIA215,"1.367262,103.990639",0,12,112
1762167936,2025-11-03T11:05:36Z,SIA215,"1.367111,103.99102",0,13,112
1762167943,2025-11-03T11:05:43Z,SIA215,"1.366962,103.991333",0,13,112
1762167951,2025-11-03T11:05:51Z,SIA215,"1.366739,103.991867",0,13,112
1762167961,2025-11-03T11:06:01Z,SIA215,"1.366631,103.992111",0,10,112
1762167970,2025-11-03T11:06:10Z,SIA215,"1.366436,103.992569",0,4,112
1762167983,2025-11-03T11:06:23Z,SIA215,"1.366356,103.992775",0,4,112
1762167994,2025-11-03T11:06:34Z,SIA215,"1.366253,103.992996",0,5,112
1762168003,2025-11-03T11:06:43Z,SIA215,"1.366157,103.993233",0,6,112
1762168011,2025-11-03T11:06:51Z,SIA215,"1.366075,103.993446",0,6,112
1762168022,2025-11-03T11:07:02Z,SIA215,"1.365936,103.993752",0,7,112
1762168031,2025-11-03T11:07:11Z,SIA215,"1.365818,103.994019",0,8,112
1762168039,2025-11-03T11:07:19Z,SIA215,"1.365703,103.994301",0,8,112
1762168047,2025-11-03T11:07:27Z,SIA215,"1.365589,103.994583",0,9,112
1762168053,2025-11-03T11:07:33Z,SIA215,"1.36547,103.994843",0,9,112
1762168060,2025-11-03T11:07:40Z,SIA215,"1.365342,103.995125",0,10,112
1762168069,2025-11-03T11:07:49Z,SIA215,"1.365177,103.995522",0,11,112
1762168096,2025-11-03T11:08:16Z,SIA215,"1.364559,103.996964",0,0,112
1762168103,2025-11-03T11:08:23Z,SIA215,"1.364469,103.9972",0,7,112
1762168109,2025-11-03T11:08:29Z,SIA215,"1.364365,103.997421",0,6,112
1762168118,2025-11-03T11:08:38Z,SIA215,"1.364272,103.997635",0,0,112
1762168186,2025-11-03T11:09:46Z,SIA215,"1.364143,103.997932",0,4,112
1762168203,2025-11-03T11:10:03Z,SIA215,"1.364056,103.998138",0,0,112
1762168283,2025-11-03T11:11:23Z,SIA215,"1.363918,103.998482",0,0,112
1762168289,2025-11-03T11:11:29Z,SIA215,"1.363678,103.998749",0,14,132
1762168296,2025-11-03T11:11:36Z,SIA215,"1.363236,103.998817",0,14,165
1762168301,2025-11-03T11:11:41Z,SIA215,"1.362921,103.998856",0,14,171
1762168311,2025-11-03T11:11:51Z,SIA215,"1.362328,103.998924",0,14,171
1762168316,2025-11-03T11:11:56Z,SIA215,"1.362007,103.99897",0,12,171
1762168321,2025-11-03T11:12:01Z,SIA215,"1.361769,103.99897",0,10,177
1762168328,2025-11-03T11:12:08Z,SIA215,"1.361549,103.998848",0,9,199
1762168335,2025-11-03T11:12:15Z,SIA215,"1.361286,103.998711",0,8,202
1762168352,2025-11-03T11:12:32Z,SIA215,"1.359395,103.99791",0,0,202
1762168356,2025-11-03T11:12:36Z,SIA215,"1.35822,103.997421",0,74,202
1762168363,2025-11-03T11:12:43Z,SIA215,"1.355601,103.9963",175,99,202
1762168373,2025-11-03T11:12:53Z,SIA215,"1.351039,103.994354",175,125,202
1762168381,2025-11-03T11:13:01Z,SIA215,"1.346146,103.992302",150,159,203
1762168388,2025-11-03T11:13:08Z,SIA215,"1.340332,103.989876",175,175,203
1762168397,2025-11-03T11:13:17Z,SIA215,"1.333694,103.987038",500,172,203
1762168405,2025-11-03T11:13:25Z,SIA215,"1.327652,103.984428",825,172,203
1762168413,2025-11-03T11:13:33Z,SIA215,"1.321711,103.981903",1125,170,202
1762168421,2025-11-03T11:13:41Z,SIA215,"1.315933,103.9795",1425,169,202
1762168430,2025-11-03T11:13:50Z,SIA215,"1.309799,103.976982",1725,170,202
1762168436,2025-11-03T11:13:56Z,SIA215,"1.305185,103.975082",1875,174,202
