Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762627384,2025-11-08T18:43:04Z,SIA31,"37.618702,-122.392654",0,0,205
1762627522,2025-11-08T18:45:22Z,SIA31,"37.618935,-122.392532",0,2,205
1762627540,2025-11-08T18:45:40Z,SIA31,"37.619144,-122.392487",0,0,222
1762627562,2025-11-08T18:46:02Z,SIA31,"37.619362,-122.392357",0,2,250
1762627593,2025-11-08T18:46:33Z,SIA31,"37.619591,-122.392036",0,0,295
1762627617,2025-11-08T18:46:57Z,SIA31,"37.619499,-122.3918",0,2,298
1762627944,2025-11-08T18:52:24Z,SIA31,"37.619614,-122.392052",0,0,298
1762627954,2025-11-08T18:52:34Z,SIA31,"37.619713,-122.392296",0,6,298
1762627963,2025-11-08T18:52:43Z,SIA31,"37.619877,-122.392517",0,7,309
1762627969,2025-11-08T18:52:49Z,SIA31,"37.620106,-122.392532",0,7,337
1762627976,2025-11-08T18:52:56Z,SIA31,"37.620308,-122.39241",0,7,5
1762627984,2025-11-08T18:53:04Z,SIA31,"37.620518,-122.392227",0,8,25
1762627990,2025-11-08T18:53:10Z,SIA31,"37.620735,-122.392067",0,9,28
1762627997,2025-11-08T18:53:17Z,SIA31,"37.620975,-122.391914",0,9,28
1762628007,2025-11-08T18:53:27Z,SIA31,"37.621342,-122.39167",0,9,28
1762628013,2025-11-08T18:53:33Z,SIA31,"37.621582,-122.39151",0,9,28
1762628020,2025-11-08T18:53:40Z,SIA31,"37.621853,-122.391335",0,10,28
1762628028,2025-11-08T18:53:48Z,SIA31,"37.622074,-122.391174",0,10,28
1762628032,2025-11-08T18:53:52Z,SIA31,"37.622303,-122.390984",0,11,33
1762628037,2025-11-08T18:53:57Z,SIA31,"37.622414,-122.390663",0,11,56
1762628043,2025-11-08T18:54:03Z,SIA31,"37.622459,-122.390274",0,11,73
1762628047,2025-11-08T18:54:07Z,SIA31,"37.622517,-122.390038",0,11,73
1762628052,2025-11-08T18:54:12Z,SIA31,"37.622601,-122.389725",0,11,73
1762628056,2025-11-08T18:54:16Z,SIA31,"37.622658,-122.389503",0,9,73
1762628061,2025-11-08T18:54:21Z,SIA31,"37.622704,-122.38929",0,8,73
1762628066,2025-11-08T18:54:26Z,SIA31,"37.622669,-122.389053",0,9,90
1762628071,2025-11-08T18:54:31Z,SIA31,"37.622566,-122.388832",0,10,104
1762628076,2025-11-08T18:54:36Z,SIA31,"37.622448,-122.388603",0,10,115
1762628080,2025-11-08T18:54:40Z,SIA31,"37.622345,-122.388367",0,8,118
1762628087,2025-11-08T18:54:47Z,SIA31,"37.622223,-122.388092",0,8,118
1762628092,2025-11-08T18:54:52Z,SIA31,"37.622131,-122.387886",0,8,118
1762628096,2025-11-08T18:54:56Z,SIA31,"37.622051,-122.38768",0,9,118
1762628103,2025-11-08T18:55:03Z,SIA31,"37.621925,-122.387375",0,9,118
1762628110,2025-11-08T18:55:10Z,SIA31,"37.621765,-122.387009",0,10,118
1762628117,2025-11-08T18:55:17Z,SIA31,"37.621639,-122.386703",0,10,118
1762628124,2025-11-08T18:55:24Z,SIA31,"37.62149,-122.386337",0,9,118
1762628132,2025-11-08T18:55:32Z,SIA31,"37.62133,-122.385941",0,10,118
1762628139,2025-11-08T18:55:39Z,SIA31,"37.621159,-122.385551",0,12,118
1762628147,2025-11-08T18:55:47Z,SIA31,"37.62093,-122.38501",0,13,118
1762628154,2025-11-08T18:55:54Z,SIA31,"37.620712,-122.384483",0,14,118
1762628164,2025-11-08T18:56:04Z,SIA31,"37.620392,-122.383705",0,16,118
1762628172,2025-11-08T18:56:12Z,SIA31,"37.620121,-122.383064",0,16,118
1762628179,2025-11-08T18:56:19Z,SIA31,"37.619831,-122.382439",0,17,118
1762628186,2025-11-08T18:56:26Z,SIA31,"37.619572,-122.381767",0,17,118
1762628193,2025-11-08T18:56:33Z,SIA31,"37.619339,-122.381203",0,14,118
1762628200,2025-11-08T18:56:40Z,SIA31,"37.619179,-122.380814",0,8,118
1762628212,2025-11-08T18:56:52Z,SIA31,"37.619083,-122.380608",0,1,118
1762628242,2025-11-08T18:57:22Z,SIA31,"37.619003,-122.380394",0,3,118
1762628252,2025-11-08T18:57:32Z,SIA31,"37.618916,-122.380188",0,5,118
1762628260,2025-11-08T18:57:40Z,SIA31,"37.618824,-122.379982",0,6,118
1762628268,2025-11-08T18:57:48Z,SIA31,"37.618713,-122.379707",0,8,118
1762628275,2025-11-08T18:57:55Z,SIA31,"37.618572,-122.379364",0,10,118
1762628282,2025-11-08T18:58:02Z,SIA31,"37.618435,-122.379059",0,11,118
1762628291,2025-11-08T18:58:11Z,SIA31,"37.618282,-122.378601",0,10,112
1762628295,2025-11-08T18:58:15Z,SIA31,"37.61821,-122.378334",0,7,112
1762628302,2025-11-08T18:58:22Z,SIA31,"37.618141,-122.378128",0,4,112
1762628312,2025-11-08T18:58:32Z,SIA31,"37.618073,-122.377914",0,3,112
1762628324,2025-11-08T18:58:44Z,SIA31,"37.618011,-122.377701",0,3,112
1762628334,2025-11-08T18:58:54Z,SIA31,"37.617931,-122.37748",0,6,112
1762628342,2025-11-08T18:59:02Z,SIA31,"37.617851,-122.377228",0,8,112
1762628349,2025-11-08T18:59:09Z,SIA31,"37.617744,-122.376846",0,10,109
1762628355,2025-11-08T18:59:15Z,SIA31,"37.617641,-122.376534",0,11,112
1762628359,2025-11-08T18:59:19Z,SIA31,"37.617584,-122.37632",0,11,109
1762628363,2025-11-08T18:59:23Z,SIA31,"37.6175,-122.376053",0,12,109
1762628367,2025-11-08T18:59:27Z,SIA31,"37.617428,-122.375816",0,13,112
1762628370,2025-11-08T18:59:30Z,SIA31,"37.617348,-122.375572",0,15,112
1762628373,2025-11-08T18:59:33Z,SIA31,"37.617268,-122.375305",0,15,112
1762628378,2025-11-08T18:59:38Z,SIA31,"37.61713,-122.374916",0,16,115
1762628380,2025-11-08T18:59:40Z,SIA31,"37.617035,-122.37471",0,16,115
1762628384,2025-11-08T18:59:44Z,SIA31,"37.616879,-122.374329",0,16,118
1762628388,2025-11-08T18:59:48Z,SIA31,"37.616741,-122.373993",0,16,118
1762628391,2025-11-08T18:59:51Z,SIA31,"37.616653,-122.373787",0,15,118
1762628394,2025-11-08T18:59:54Z,SIA31,"37.616535,-122.373512",0,16,118
1762628397,2025-11-08T18:59:57Z,SIA31,"37.616444,-122.373276",0,17,118
1762628399,2025-11-08T18:59:59Z,SIA31,"37.616337,-122.373024",0,17,118
1762628409,2025-11-08T19:00:09Z,SIA31,"37.616001,-122.372208",0,17,117
1762628415,2025-11-08T19:00:15Z,SIA31,"37.615757,-122.371651",0,16,118
1762628423,2025-11-08T19:00:23Z,SIA31,"37.615479,-122.370995",0,16,118
1762628430,2025-11-08T19:00:30Z,SIA31,"37.615208,-122.370354",0,16,118
1762628437,2025-11-08T19:00:37Z,SIA31,"37.614952,-122.369736",0,17,118
1762628442,2025-11-08T19:00:42Z,SIA31,"37.614697,-122.369247",0,18,123
