Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762600037,2025-11-08T11:07:17Z,SIA327,"48.354172,11.794475",0,4,191
1762600053,2025-11-08T11:07:33Z,SIA327,"48.354382,11.7946",0,0,171
1762600123,2025-11-08T11:08:43Z,SIA327,"48.355042,11.794456",0,0,171
1762600285,2025-11-08T11:11:25Z,SIA327,"48.354675,11.794791",0,4,146
1762600293,2025-11-08T11:11:33Z,SIA327,"48.354576,11.795016",0,5,135
1762600308,2025-11-08T11:11:48Z,SIA327,"48.354343,11.795504",0,0,129
1762600319,2025-11-08T11:11:59Z,SIA327,"48.354149,11.795883",0,7,129
1762600328,2025-11-08T11:12:08Z,SIA327,"48.353878,11.796082",0,8,149
1762600334,2025-11-08T11:12:14Z,SIA327,"48.353657,11.796095",0,8,165
1762600347,2025-11-08T11:12:27Z,SIA327,"48.353176,11.796147",0,0,174
1762600355,2025-11-08T11:12:35Z,SIA327,"48.352833,11.79619",0,9,174
1762600365,2025-11-08T11:12:45Z,SIA327,"48.352425,11.796263",0,10,174
1762600376,2025-11-08T11:12:56Z,SIA327,"48.351929,11.796358",0,0,174
1762600387,2025-11-08T11:13:07Z,SIA327,"48.351341,11.796461",0,11,174
1762600397,2025-11-08T11:13:17Z,SIA327,"48.350876,11.796535",0,11,174
1762600410,2025-11-08T11:13:30Z,SIA327,"48.350269,11.79664",0,6,174
1762600422,2025-11-08T11:13:42Z,SIA327,"48.35004,11.796676",0,3,174
1762600440,2025-11-08T11:14:00Z,SIA327,"48.34977,11.796733",0,4,174
1762600461,2025-11-08T11:14:21Z,SIA327,"48.34948,11.796782",0,3,174
1762600478,2025-11-08T11:14:38Z,SIA327,"48.349262,11.796816",0,3,174
1762600489,2025-11-08T11:14:49Z,SIA327,"48.349049,11.796859",0,5,174
1762600502,2025-11-08T11:15:02Z,SIA327,"48.348724,11.796913",0,7,174
1762600518,2025-11-08T11:15:18Z,SIA327,"48.348209,11.797045",0,7,168
1762600524,2025-11-08T11:15:24Z,SIA327,"48.348083,11.797256",0,9,149
1762600536,2025-11-08T11:15:36Z,SIA327,"48.348106,11.798052",0,10,90
1762600550,2025-11-08T11:15:50Z,SIA327,"48.348186,11.799064",0,0,84
1762600559,2025-11-08T11:15:59Z,SIA327,"48.348259,11.79984",0,13,84
1762600572,2025-11-08T11:16:12Z,SIA327,"48.348339,11.800979",0,14,84
