Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762606339,2025-11-08T12:52:19Z,SIA38,"1.362305,103.988281",0,0,112
1762606389,2025-11-08T12:53:09Z,SIA38,"1.362409,103.988068",0,4,106
1762606401,2025-11-08T12:53:21Z,SIA38,"1.362453,103.987862",0,3,112
1762606416,2025-11-08T12:53:36Z,SIA38,"1.362468,103.987656",0,3,132
1762606432,2025-11-08T12:53:52Z,SIA38,"1.362534,103.98745",0,3,160
1762606456,2025-11-08T12:54:16Z,SIA38,"1.36274,103.987297",0,2,191
1762606475,2025-11-08T12:54:35Z,SIA38,"1.362946,103.987328",0,3,196
1762606718,2025-11-08T12:58:38Z,SIA38,"1.362705,103.987175",0,6,202
1762606726,2025-11-08T12:58:46Z,SIA38,"1.362465,103.987083",0,8,202
1762606733,2025-11-08T12:58:53Z,SIA38,"1.362212,103.986984",0,9,202
1762606742,2025-11-08T12:59:02Z,SIA38,"1.361874,103.986839",0,9,202
1762606750,2025-11-08T12:59:10Z,SIA38,"1.361571,103.98671",0,9,202
1762606756,2025-11-08T12:59:16Z,SIA38,"1.361292,103.986588",0,10,202
1762606764,2025-11-08T12:59:24Z,SIA38,"1.360977,103.986458",0,9,202
1762606771,2025-11-08T12:59:31Z,SIA38,"1.360745,103.986259",0,10,216
1762606777,2025-11-08T12:59:37Z,SIA38,"1.360622,103.986023",0,10,233
1762606782,2025-11-08T12:59:42Z,SIA38,"1.360536,103.985817",0,10,241
1762606791,2025-11-08T12:59:51Z,SIA38,"1.360315,103.985428",0,10,241
1762606797,2025-11-08T12:59:57Z,SIA38,"1.360165,103.985191",0,10,239
1762606804,2025-11-08T13:00:04Z,SIA38,"1.359936,103.985001",0,10,225
1762606809,2025-11-08T13:00:09Z,SIA38,"1.359673,103.984909",0,10,208
1762606835,2025-11-08T13:00:35Z,SIA38,"1.358557,103.984444",0,10,202
1762606843,2025-11-08T13:00:43Z,SIA38,"1.358208,103.984306",0,10,202
1762606851,2025-11-08T13:00:51Z,SIA38,"1.357871,103.984161",0,10,202
1762606858,2025-11-08T13:00:58Z,SIA38,"1.357545,103.984024",0,11,202
1762606866,2025-11-08T13:01:06Z,SIA38,"1.357172,103.983864",0,11,202
1762606874,2025-11-08T13:01:14Z,SIA38,"1.3568,103.983711",0,11,202
1762606881,2025-11-08T13:01:21Z,SIA38,"1.356427,103.983559",0,12,202
1762606889,2025-11-08T13:01:29Z,SIA38,"1.356078,103.983406",0,12,202
1762606897,2025-11-08T13:01:37Z,SIA38,"1.355747,103.983269",0,12,202
1762606904,2025-11-08T13:01:44Z,SIA38,"1.355289,103.98307",0,12,202
1762606913,2025-11-08T13:01:53Z,SIA38,"1.354868,103.982895",0,12,202
1762606921,2025-11-08T13:02:01Z,SIA38,"1.354391,103.982697",0,13,202
1762606930,2025-11-08T13:02:10Z,SIA38,"1.353882,103.982475",0,14,202
1762606937,2025-11-08T13:02:17Z,SIA38,"1.353471,103.982307",0,15,202
1762606944,2025-11-08T13:02:24Z,SIA38,"1.352932,103.982079",0,16,202
1762606952,2025-11-08T13:02:32Z,SIA38,"1.352482,103.981888",0,15,202
1762606959,2025-11-08T13:02:39Z,SIA38,"1.351971,103.981674",0,15,202
1762606966,2025-11-08T13:02:46Z,SIA38,"1.351479,103.981461",0,15,202
1762606973,2025-11-08T13:02:53Z,SIA38,"1.351051,103.981285",0,14,202
1762606982,2025-11-08T13:03:02Z,SIA38,"1.350529,103.981071",0,14,202
1762606989,2025-11-08T13:03:09Z,SIA38,"1.350185,103.980919",0,14,202
1762606996,2025-11-08T13:03:16Z,SIA38,"1.349796,103.980751",0,14,202
1762607004,2025-11-08T13:03:24Z,SIA38,"1.349212,103.980507",0,14,202
1762607012,2025-11-08T13:03:32Z,SIA38,"1.348789,103.980324",0,12,202
1762607018,2025-11-08T13:03:38Z,SIA38,"1.348479,103.980194",0,11,202
1762607028,2025-11-08T13:03:48Z,SIA38,"1.348083,103.980141",0,8,185
1762607036,2025-11-08T13:03:56Z,SIA38,"1.347851,103.980362",0,8,149
1762607044,2025-11-08T13:04:04Z,SIA38,"1.347804,103.980591",0,8,120
1762607049,2025-11-08T13:04:09Z,SIA38,"1.347722,103.980812",0,9,115
1762607056,2025-11-08T13:04:16Z,SIA38,"1.347618,103.981071",0,10,112
1762607062,2025-11-08T13:04:22Z,SIA38,"1.347489,103.981346",0,10,112
1762607071,2025-11-08T13:04:31Z,SIA38,"1.347324,103.981758",0,11,112
1762607078,2025-11-08T13:04:38Z,SIA38,"1.347187,103.982071",0,11,112
1762607086,2025-11-08T13:04:46Z,SIA38,"1.347038,103.982422",0,11,112
1762607092,2025-11-08T13:04:52Z,SIA38,"1.346919,103.982697",0,11,112
1762607100,2025-11-08T13:05:00Z,SIA38,"1.346779,103.983025",0,11,112
1762607106,2025-11-08T13:05:06Z,SIA38,"1.346615,103.983406",0,11,112
1762607113,2025-11-08T13:05:13Z,SIA38,"1.346478,103.983734",0,11,112
1762607121,2025-11-08T13:05:21Z,SIA38,"1.346326,103.984093",0,11,112
1762607128,2025-11-08T13:05:28Z,SIA38,"1.34618,103.984428",0,12,112
1762607134,2025-11-08T13:05:34Z,SIA38,"1.346043,103.984756",0,13,112
1762607141,2025-11-08T13:05:41Z,SIA38,"1.345837,103.985229",0,15,112
