Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762592157,2025-11-08T08:55:57Z,SIA479,"-33.966503,18.596992",0,0,255
1762592188,2025-11-08T08:56:28Z,SIA479,"-33.966469,18.597193",0,2,255
1762592207,2025-11-08T08:56:47Z,SIA479,"-33.966396,18.597393",0,2,261
1762592227,2025-11-08T08:57:07Z,SIA479,"-33.966305,18.597597",0,2,284
1762592246,2025-11-08T08:57:26Z,SIA479,"-33.966259,18.597807",0,2,306
1762592265,2025-11-08T08:57:45Z,SIA479,"-33.966316,18.598022",0,2,326
1762592345,2025-11-08T08:59:05Z,SIA479,"-33.96648,18.598223",0,0,345
1762592481,2025-11-08T09:01:21Z,SIA479,"-33.96627,18.598145",0,7,345
1762592488,2025-11-08T09:01:28Z,SIA479,"-33.966007,18.598087",0,10,345
1762592496,2025-11-08T09:01:36Z,SIA479,"-33.96563,18.597961",0,12,345
1762592503,2025-11-08T09:01:43Z,SIA479,"-33.965233,18.597851",0,13,345
1762592509,2025-11-08T09:01:49Z,SIA479,"-33.964802,18.597765",0,15,348
1762592516,2025-11-08T09:01:56Z,SIA479,"-33.964302,18.597654",0,16,348
1762592520,2025-11-08T09:02:00Z,SIA479,"-33.964024,18.597593",0,17,351
1762592522,2025-11-08T09:02:02Z,SIA479,"-33.96381,18.597555",0,17,348
1762592526,2025-11-08T09:02:06Z,SIA479,"-33.963535,18.597492",0,18,351
1762592529,2025-11-08T09:02:09Z,SIA479,"-33.963257,18.597435",0,17,348
1762592532,2025-11-08T09:02:12Z,SIA479,"-33.962997,18.597387",0,16,348
1762592536,2025-11-08T09:02:16Z,SIA479,"-33.962757,18.597332",0,14,348
1762592540,2025-11-08T09:02:20Z,SIA479,"-33.96254,18.59729",0,12,351
1762592545,2025-11-08T09:02:25Z,SIA479,"-33.962303,18.597351",0,12,2
1762592549,2025-11-08T09:02:29Z,SIA479,"-33.96207,18.597555",0,12,25
