Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762270647,2025-11-04T15:37:27Z,AFL2147,"36.9021,30.805531",0,0,278
1762270676,2025-11-04T15:37:56Z,AFL2147,"36.902069,30.805752",0,0,281
1762270694,2025-11-04T15:38:14Z,AFL2147,"36.902027,30.805964",0,0,303
1762270721,2025-11-04T15:38:41Z,AFL2147,"36.901901,30.806171",0,0,253
1762270952,2025-11-04T15:42:32Z,AFL2147,"36.901669,30.806335",0,5,185
1762270960,2025-11-04T15:42:40Z,AFL2147,"36.901463,30.806307",0,6,185
1762270967,2025-11-04T15:42:47Z,AFL2147,"36.90126,30.806276",0,6,185
1762270976,2025-11-04T15:42:56Z,AFL2147,"36.901016,30.806246",0,6,185
1762270985,2025-11-04T15:43:05Z,AFL2147,"36.900738,30.806202",0,7,185
1762270993,2025-11-04T15:43:13Z,AFL2147,"36.900482,30.806171",0,7,185
1762271000,2025-11-04T15:43:20Z,AFL2147,"36.900261,30.806141",0,7,185
1762271007,2025-11-04T15:43:27Z,AFL2147,"36.899994,30.806097",0,8,185
1762271015,2025-11-04T15:43:35Z,AFL2147,"36.899746,30.806067",0,9,185
1762271022,2025-11-04T15:43:42Z,AFL2147,"36.89938,30.806015",0,10,185
1762271031,2025-11-04T15:43:51Z,AFL2147,"36.898956,30.805956",0,10,185
1762271040,2025-11-04T15:44:00Z,AFL2147,"36.89859,30.805912",0,10,185
1762271048,2025-11-04T15:44:08Z,AFL2147,"36.898247,30.805855",0,9,185
1762271052,2025-11-04T15:44:12Z,AFL2147,"36.898029,30.805883",0,9,168
1762271060,2025-11-04T15:44:20Z,AFL2147,"36.897903,30.806175",0,9,106
1762271065,2025-11-04T15:44:25Z,AFL2147,"36.897896,30.806499",0,10,90
1762271069,2025-11-04T15:44:29Z,AFL2147,"36.897884,30.806709",0,11,92
1762271073,2025-11-04T15:44:33Z,AFL2147,"36.897861,30.806963",0,10,101
1762271081,2025-11-04T15:44:41Z,AFL2147,"36.897629,30.807142",0,8,163
1762271086,2025-11-04T15:44:46Z,AFL2147,"36.897423,30.807125",0,8,182
1762271092,2025-11-04T15:44:52Z,AFL2147,"36.897163,30.807096",0,9,188
1762271097,2025-11-04T15:44:57Z,AFL2147,"36.896919,30.807053",0,10,188
1762271102,2025-11-04T15:45:02Z,AFL2147,"36.896664,30.807022",0,11,188
1762271106,2025-11-04T15:45:06Z,AFL2147,"36.896461,30.806993",0,12,188
1762271110,2025-11-04T15:45:10Z,AFL2147,"36.896244,30.806963",0,13,185
1762271114,2025-11-04T15:45:14Z,AFL2147,"36.895988,30.806932",0,14,185
1762271117,2025-11-04T15:45:17Z,AFL2147,"36.895752,30.80689",0,14,185
1762271121,2025-11-04T15:45:21Z,AFL2147,"36.895489,30.806862",0,15,188
1762271126,2025-11-04T15:45:26Z,AFL2147,"36.895203,30.806818",0,15,188
1762271128,2025-11-04T15:45:28Z,AFL2147,"36.894997,30.806789",0,16,185
1762271133,2025-11-04T15:45:33Z,AFL2147,"36.894615,30.806738",0,16,185
1762271136,2025-11-04T15:45:36Z,AFL2147,"36.894413,30.806702",0,17,185
1762271139,2025-11-04T15:45:39Z,AFL2147,"36.894184,30.806679",0,18,185
1762271141,2025-11-04T15:45:41Z,AFL2147,"36.893906,30.806635",0,18,185
1762271145,2025-11-04T15:45:45Z,AFL2147,"36.893604,30.806604",0,19,188
1762271148,2025-11-04T15:45:48Z,AFL2147,"36.89328,30.806555",0,19,188
1762271155,2025-11-04T15:45:55Z,AFL2147,"36.892651,30.806467",0,20,185
1762271158,2025-11-04T15:45:58Z,AFL2147,"36.892441,30.80644",0,21,185
1762271160,2025-11-04T15:46:00Z,AFL2147,"36.89222,30.80641",0,21,185
1762271163,2025-11-04T15:46:03Z,AFL2147,"36.891895,30.806366",0,21,185
1762271165,2025-11-04T15:46:05Z,AFL2147,"36.891678,30.806335",0,22,188
1762271167,2025-11-04T15:46:07Z,AFL2147,"36.891426,30.806292",0,22,188
1762271170,2025-11-04T15:46:10Z,AFL2147,"36.891174,30.806263",0,22,188
1762271172,2025-11-04T15:46:12Z,AFL2147,"36.890961,30.806231",0,23,188
1762271174,2025-11-04T15:46:14Z,AFL2147,"36.890682,30.80619",0,23,185
1762271178,2025-11-04T15:46:18Z,AFL2147,"36.890354,30.806141",0,24,185
1762271181,2025-11-04T15:46:21Z,AFL2147,"36.889877,30.806082",0,24,185
1762271185,2025-11-04T15:46:25Z,AFL2147,"36.889484,30.806023",0,25,188
1762271188,2025-11-04T15:46:28Z,AFL2147,"36.889057,30.805971",0,26,185
1762271190,2025-11-04T15:46:30Z,AFL2147,"36.888794,30.805927",0,26,185
1762271193,2025-11-04T15:46:33Z,AFL2147,"36.888493,30.805887",0,27,185
1762271195,2025-11-04T15:46:35Z,AFL2147,"36.888233,30.805855",0,27,185
1762271197,2025-11-04T15:46:37Z,AFL2147,"36.887924,30.805813",0,27,185
