Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762690248,2025-11-09T12:10:48Z,SVA1036,"21.661711,39.165867",0,10,250
1762690258,2025-11-09T12:10:58Z,SVA1036,"21.661514,39.165325",0,12,247
1762690272,2025-11-09T12:11:12Z,SVA1036,"21.661388,39.164825",0,0,264
1762690307,2025-11-09T12:11:47Z,SVA1036,"21.661699,39.164761",0,0,334
1762690315,2025-11-09T12:11:55Z,SVA1036,"21.662001,39.164646",0,14,337
1762690320,2025-11-09T12:12:00Z,SVA1036,"21.662817,39.164314",0,39,340
1762690408,2025-11-09T12:13:28Z,SVA1036,"21.708286,39.146221",1450,110,338
1762690442,2025-11-09T12:14:02Z,SVA1036,"21.752697,39.128368",2100,225,339
1762690451,2025-11-09T12:14:11Z,SVA1036,"21.761076,39.125061",2275,245,339
1762690459,2025-11-09T12:14:19Z,SVA1036,"21.771132,39.121094",2450,254,339
1762690467,2025-11-09T12:14:27Z,SVA1036,"21.779892,39.117672",2575,264,339
1762690482,2025-11-09T12:14:42Z,SVA1036,"21.797791,39.11068",2875,272,340
1762690493,2025-11-09T12:14:53Z,SVA1036,"21.810795,39.105579",3100,275,339
1762690500,2025-11-09T12:15:00Z,SVA1036,"21.819778,39.10207",3275,275,339
1762690516,2025-11-09T12:15:16Z,SVA1036,"21.838852,39.09465",3625,275,340
1762690527,2025-11-09T12:15:27Z,SVA1036,"21.852585,39.089306",4050,275,340
1762690537,2025-11-09T12:15:37Z,SVA1036,"21.86298,39.085236",4275,277,339
1762690561,2025-11-09T12:16:01Z,SVA1036,"21.866518,39.083862",4825,277,339
1762690596,2025-11-09T12:16:36Z,SVA1036,"21.93457,39.053951",6150,281,335
1762690609,2025-11-09T12:16:49Z,SVA1036,"21.950546,39.04636",6650,285,335
1762690626,2025-11-09T12:17:06Z,SVA1036,"21.971167,39.03651",7400,286,335
1762690636,2025-11-09T12:17:16Z,SVA1036,"21.984421,39.031429",7850,287,344
1762690644,2025-11-09T12:17:24Z,SVA1036,"21.993668,39.030079",8125,286,352
1762690647,2025-11-09T12:17:27Z,SVA1036,"21.997469,39.029999",8225,288,358
1762690650,2025-11-09T12:17:30Z,SVA1036,"22.002869,39.030579",8375,287,3
1762690652,2025-11-09T12:17:32Z,SVA1036,"22.005522,39.031116",8450,286,9
1762690655,2025-11-09T12:17:35Z,SVA1036,"22.008129,39.031879",8525,287,13
1762690658,2025-11-09T12:17:38Z,SVA1036,"22.012024,39.033325",8650,288,14
1762690664,2025-11-09T12:17:44Z,SVA1036,"22.0173,39.036152",8825,286,28
1762690666,2025-11-09T12:17:46Z,SVA1036,"22.022327,39.039814",9000,286,28
1762690672,2025-11-09T12:17:52Z,SVA1036,"22.028008,39.045666",9250,285,43
1762690674,2025-11-09T12:17:54Z,SVA1036,"22.029869,39.048054",9350,284,45
1762690703,2025-11-09T12:18:23Z,SVA1036,"22.049421,39.082439",10500,287,58
1762690717,2025-11-09T12:18:37Z,SVA1036,"22.058945,39.099442",10700,301,59
1762690732,2025-11-09T12:18:52Z,SVA1036,"22.069904,39.11911",10925,317,59
1762690751,2025-11-09T12:19:11Z,SVA1036,"22.084259,39.144836",11175,280,59
1762690763,2025-11-09T12:19:23Z,SVA1036,"22.094204,39.16275",11350,343,59
1762690777,2025-11-09T12:19:37Z,SVA1036,"22.106873,39.185486",11550,358,59
1762690794,2025-11-09T12:19:54Z,SVA1036,"22.12167,39.212189",11800,460,59
1762690807,2025-11-09T12:20:07Z,SVA1036,"22.132656,39.231976",12075,377,59
1762690841,2025-11-09T12:20:41Z,SVA1036,"22.164825,39.289906",12950,391,59
1762690873,2025-11-09T12:21:13Z,SVA1036,"22.194477,39.343365",13900,395,59
1762690905,2025-11-09T12:21:45Z,SVA1036,"22.225342,39.399212",14800,401,59
1762690937,2025-11-09T12:22:17Z,SVA1036,"22.254868,39.452602",15625,407,59
1762690967,2025-11-09T12:22:47Z,SVA1036,"22.28451,39.506226",16425,412,59
1762690999,2025-11-09T12:23:19Z,SVA1036,"22.316254,39.563816",17125,421,59
1762691031,2025-11-09T12:23:51Z,SVA1036,"22.348333,39.621838",17750,432,59
1762691062,2025-11-09T12:24:22Z,SVA1036,"22.381073,39.681519",18550,437,59
1762691093,2025-11-09T12:24:53Z,SVA1036,"22.413179,39.739887",19275,441,59
1762691126,2025-11-09T12:25:26Z,SVA1036,"22.441624,39.800312",19975,446,66
1762691159,2025-11-09T12:25:59Z,SVA1036,"22.471464,39.87254",20625,453,66
1762691210,2025-11-09T12:26:50Z,SVA1036,"22.51506,39.978848",21600,466,66
1762691252,2025-11-09T12:27:32Z,SVA1036,"22.552322,40.069637",22425,473,66
1762691284,2025-11-09T12:28:04Z,SVA1036,"22.58139,40.140747",23175,476,66
1762691316,2025-11-09T12:28:36Z,SVA1036,"22.610184,40.21106",23825,481,66
1762691347,2025-11-09T12:29:07Z,SVA1036,"22.637283,40.277252",24350,487,66
1762691379,2025-11-09T12:29:39Z,SVA1036,"22.666704,40.349529",24950,491,66
1762691410,2025-11-09T12:30:10Z,SVA1036,"22.695566,40.420277",25550,495,66
1762691441,2025-11-09T12:30:41Z,SVA1036,"22.724075,40.490562",26025,501,66
1762691473,2025-11-09T12:31:13Z,SVA1036,"22.754333,40.564869",26500,506,66
1762691504,2025-11-09T12:31:44Z,SVA1036,"22.783735,40.637463",27075,509,66
1762691535,2025-11-09T12:32:15Z,SVA1036,"22.813751,40.711788",27625,512,66
1762691567,2025-11-09T12:32:47Z,SVA1036,"22.844055,40.786793",28325,511,66
1762691599,2025-11-09T12:33:19Z,SVA1036,"22.873581,40.860291",28875,514,66
1762691631,2025-11-09T12:33:51Z,SVA1036,"22.904306,40.936584",29600,513,66
1762691663,2025-11-09T12:34:23Z,SVA1036,"22.934425,41.011505",30300,512,66
1762691693,2025-11-09T12:34:53Z,SVA1036,"22.963194,41.083172",31025,511,66
1762691725,2025-11-09T12:35:25Z,SVA1036,"22.992476,41.156464",31725,509,66
1762691757,2025-11-09T12:35:57Z,SVA1036,"23.0224,41.231388",32275,512,66
