Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762695627,2025-11-09T13:40:27Z,SVA589,"25.252922,55.368004",0,16,120
1762695657,2025-11-09T13:40:57Z,SVA589,"25.251354,55.370846",0,19,120
1762696344,2025-11-09T13:52:24Z,SVA589,"25.249649,55.377567",0,0,300
1762696385,2025-11-09T13:53:05Z,SVA589,"25.262363,55.354458",350,162,300
1762696392,2025-11-09T13:53:12Z,SVA589,"25.265203,55.349327",625,159,301
1762696400,2025-11-09T13:53:20Z,SVA589,"25.268188,55.344036",975,156,301
1762696408,2025-11-09T13:53:28Z,SVA589,"25.271301,55.33844",1325,153,301
1762696417,2025-11-09T13:53:37Z,SVA589,"25.274368,55.332947",1550,159,301
1762696425,2025-11-09T13:53:45Z,SVA589,"25.277802,55.326893",1675,169,302
1762696431,2025-11-09T13:53:51Z,SVA589,"25.280565,55.322018",1750,179,302
1762696437,2025-11-09T13:53:57Z,SVA589,"25.283405,55.31699",1850,190,302
1762696439,2025-11-09T13:53:59Z,SVA589,"25.284336,55.315334",1900,193,302
1762696441,2025-11-09T13:54:01Z,SVA589,"25.285263,55.313721",1925,196,301
1762696443,2025-11-09T13:54:03Z,SVA589,"25.28643,55.311653",1950,200,301
1762696445,2025-11-09T13:54:05Z,SVA589,"25.287409,55.309841",1975,203,301
1762696447,2025-11-09T13:54:07Z,SVA589,"25.288292,55.308079",2025,207,300
1762696450,2025-11-09T13:54:10Z,SVA589,"25.289316,55.305901",2075,210,298
1762696452,2025-11-09T13:54:12Z,SVA589,"25.290108,55.303932",2125,213,295
1762696454,2025-11-09T13:54:14Z,SVA589,"25.290667,55.302376",2175,215,292
1762696456,2025-11-09T13:54:16Z,SVA589,"25.291597,55.299477",2250,220,290
1762696458,2025-11-09T13:54:18Z,SVA589,"25.291971,55.297142",2300,221,284
1762696460,2025-11-09T13:54:20Z,SVA589,"25.292204,55.294708",2375,226,279
1762696462,2025-11-09T13:54:22Z,SVA589,"25.292295,55.292221",2425,230,272
1762696464,2025-11-09T13:54:24Z,SVA589,"25.292204,55.28994",2475,234,270
1762696466,2025-11-09T13:54:26Z,SVA589,"25.291901,55.286915",2525,238,263
1762696468,2025-11-09T13:54:28Z,SVA589,"25.291443,55.284679",2575,242,259
1762696470,2025-11-09T13:54:30Z,SVA589,"25.290848,55.282238",2625,246,254
1762696473,2025-11-09T13:54:33Z,SVA589,"25.290016,55.279678",2675,249,251
1762696475,2025-11-09T13:54:35Z,SVA589,"25.289154,55.277203",2750,251,249
1762696477,2025-11-09T13:54:37Z,SVA589,"25.288193,55.274708",2850,253,247
1762696479,2025-11-09T13:54:39Z,SVA589,"25.286989,55.271801",2950,255,246
1762696481,2025-11-09T13:54:41Z,SVA589,"25.285965,55.269367",3025,257,245
1762696483,2025-11-09T13:54:43Z,SVA589,"25.285126,55.267334",3100,259,244
1762696485,2025-11-09T13:54:45Z,SVA589,"25.28389,55.264538",3225,260,244
1762696487,2025-11-09T13:54:47Z,SVA589,"25.282846,55.262215",3325,261,244
1762696489,2025-11-09T13:54:49Z,SVA589,"25.281822,55.259933",3425,262,243
1762696491,2025-11-09T13:54:51Z,SVA589,"25.280704,55.257446",3525,262,243
1762696493,2025-11-09T13:54:53Z,SVA589,"25.279634,55.255013",3650,262,243
1762696495,2025-11-09T13:54:55Z,SVA589,"25.278488,55.252533",3750,262,243
1762696497,2025-11-09T13:54:57Z,SVA589,"25.277353,55.250088",3875,262,243
1762696499,2025-11-09T13:54:59Z,SVA589,"25.276108,55.247242",4025,262,243
1762696502,2025-11-09T13:55:02Z,SVA589,"25.274918,55.244549",4150,263,243
1762696504,2025-11-09T13:55:04Z,SVA589,"25.273911,55.242359",4250,263,243
1762696512,2025-11-09T13:55:12Z,SVA589,"25.26944,55.232365",4675,266,243
1762696518,2025-11-09T13:55:18Z,SVA589,"25.265991,55.224457",4975,270,244
1762696526,2025-11-09T13:55:26Z,SVA589,"25.261505,55.214233",5375,274,244
1762696541,2025-11-09T13:55:41Z,SVA589,"25.253704,55.195988",6175,276,244
1762696553,2025-11-09T13:55:53Z,SVA589,"25.246954,55.180233",6650,272,244
1762696566,2025-11-09T13:56:06Z,SVA589,"25.240128,55.164692",6900,268,242
1762696580,2025-11-09T13:56:20Z,SVA589,"25.231127,55.147015",6975,271,240
1762696593,2025-11-09T13:56:33Z,SVA589,"25.223259,55.131985",6950,272,240
1762696608,2025-11-09T13:56:48Z,SVA589,"25.214081,55.114441",6950,272,240
1762696618,2025-11-09T13:56:58Z,SVA589,"25.206436,55.102642",7075,274,228
1762696620,2025-11-09T13:57:00Z,SVA589,"25.204546,55.100582",7125,274,225
1762696622,2025-11-09T13:57:02Z,SVA589,"25.202682,55.09882",7175,274,221
1762696624,2025-11-09T13:57:04Z,SVA589,"25.200123,55.096695",7250,274,219
1762696626,2025-11-09T13:57:06Z,SVA589,"25.197876,55.095112",7325,274,213
1762696628,2025-11-09T13:57:08Z,SVA589,"25.196398,55.094257",7375,274,210
1762696630,2025-11-09T13:57:10Z,SVA589,"25.193932,55.092808",7475,274,208
1762696633,2025-11-09T13:57:13Z,SVA589,"25.191185,55.091305",7600,274,206
1762696635,2025-11-09T13:57:15Z,SVA589,"25.188765,55.090061",7675,276,205
1762696637,2025-11-09T13:57:17Z,SVA589,"25.186386,55.088806",7775,276,205
1762696639,2025-11-09T13:57:19Z,SVA589,"25.183868,55.087536",7850,278,204
1762696641,2025-11-09T13:57:21Z,SVA589,"25.181595,55.086433",7950,278,204
1762696643,2025-11-09T13:57:23Z,SVA589,"25.179245,55.085297",8025,280,204
1762696645,2025-11-09T13:57:25Z,SVA589,"25.176407,55.083923",8125,280,204
1762696647,2025-11-09T13:57:27Z,SVA589,"25.174007,55.082756",8225,281,203
1762696649,2025-11-09T13:57:29Z,SVA589,"25.171692,55.081635",8300,283,203
1762696651,2025-11-09T13:57:31Z,SVA589,"25.168625,55.080212",8400,284,203
1762696653,2025-11-09T13:57:33Z,SVA589,"25.166107,55.079041",8475,286,203
1762696655,2025-11-09T13:57:35Z,SVA589,"25.163626,55.077885",8575,286,202
1762696668,2025-11-09T13:57:48Z,SVA589,"25.148071,55.070751",9050,294,202
1762696683,2025-11-09T13:58:03Z,SVA589,"25.129829,55.062286",9850,293,203
1762696695,2025-11-09T13:58:15Z,SVA589,"25.11335,55.054615",10425,298,203
