Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762406461,2025-11-06T05:21:01Z,ATC127,"-4.986629,29.742264",8550,185,95
1762406476,2025-11-06T05:21:16Z,ATC127,"-4.986923,29.7554",8975,191,91
1762406488,2025-11-06T05:21:28Z,ATC127,"-4.986536,29.766415",9325,199,87
1762406502,2025-11-06T05:21:42Z,ATC127,"-4.985978,29.77939",9775,203,89
1762406517,2025-11-06T05:21:57Z,ATC127,"-4.986237,29.793293",10225,206,92
1762406530,2025-11-06T05:22:10Z,ATC127,"-4.986769,29.806713",10700,208,92
1762406567,2025-11-06T05:22:47Z,ATC127,"-4.988159,29.842916",11850,214,91
1762406582,2025-11-06T05:23:02Z,ATC127,"-4.988585,29.8571",12175,222,91
1762406615,2025-11-06T05:23:35Z,ATC127,"-4.98967,29.892914",12775,241,91
1762406645,2025-11-06T05:24:05Z,ATC127,"-4.990819,29.927279",13475,249,91
1762406677,2025-11-06T05:24:37Z,ATC127,"-4.99175,29.963696",14200,255,91
1762406708,2025-11-06T05:25:08Z,ATC127,"-4.992645,30.001148",14975,256,91
1762406740,2025-11-06T05:25:40Z,ATC127,"-4.993705,30.0397",15750,257,91
1762406772,2025-11-06T05:26:12Z,ATC127,"-4.994614,30.077028",16500,257,91
1762406803,2025-11-06T05:26:43Z,ATC127,"-4.995707,30.115324",17225,230,91
1762406836,2025-11-06T05:27:16Z,ATC127,"-4.996731,30.154015",17950,258,91
1762406867,2025-11-06T05:27:47Z,ATC127,"-4.997772,30.191315",18750,254,91
1762406954,2025-11-06T05:29:14Z,ATC127,"-5.000793,30.292007",20475,252,91
1762406990,2025-11-06T05:29:50Z,ATC127,"-5.001898,30.335289",21150,253,91
1762407032,2025-11-06T05:30:32Z,ATC127,"-5.003155,30.383022",21775,257,91
1762407047,2025-11-06T05:30:47Z,ATC127,"-5.003667,30.402201",22025,257,91
1762407151,2025-11-06T05:32:31Z,ATC127,"-5.006693,30.524992",23825,253,91
1762407260,2025-11-06T05:34:20Z,ATC127,"-5.010178,30.654835",25000,277,92
1762407551,2025-11-06T05:39:11Z,ATC127,"-5.021776,31.096233",25000,346,91
1762407802,2025-11-06T05:43:22Z,ATC127,"-5.032343,31.499792",25000,348,91
1762407810,2025-11-06T05:43:30Z,ATC127,"-5.032654,31.511955",25000,348,91
1762407963,2025-11-06T05:46:03Z,ATC127,"-5.038834,31.759613",25000,347,91
1762407972,2025-11-06T05:46:12Z,ATC127,"-5.0392,31.774229",25000,347,91
1762409594,2025-11-06T06:13:14Z,ATC127,"-5.365677,34.343029",25000,345,101
1762409658,2025-11-06T06:14:18Z,ATC127,"-5.385681,34.443394",25000,346,101
1762409689,2025-11-06T06:14:49Z,ATC127,"-5.39573,34.494183",25000,347,101
1762409736,2025-11-06T06:15:36Z,ATC127,"-5.40303,34.531471",25000,20,101
1762409768,2025-11-06T06:16:08Z,ATC127,"-5.420263,34.618629",25000,348,101
1762409799,2025-11-06T06:16:39Z,ATC127,"-5.429718,34.667171",25000,347,101
1762409829,2025-11-06T06:17:09Z,ATC127,"-5.439102,34.714748",25000,346,101
1762409862,2025-11-06T06:17:42Z,ATC127,"-5.449539,34.766842",25000,346,101
