Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762498961,2025-11-07T07:02:41Z,ATC208,"-6.862633,39.213383",0,0,315
1762501793,2025-11-07T07:49:53Z,ATC208,"-6.86293,39.213707",0,3,309
1762501813,2025-11-07T07:50:13Z,ATC208,"-6.863103,39.213936",0,3,281
1762501828,2025-11-07T07:50:28Z,ATC208,"-6.863127,39.214161",0,3,255
1762502143,2025-11-07T07:55:43Z,ATC208,"-6.863365,39.214069",0,5,225
1762502153,2025-11-07T07:55:53Z,ATC208,"-6.863571,39.21386",0,7,225
1762502160,2025-11-07T07:56:00Z,ATC208,"-6.863778,39.21365",0,9,225
1762502173,2025-11-07T07:56:13Z,ATC208,"-6.864178,39.213253",0,11,225
1762502179,2025-11-07T07:56:19Z,ATC208,"-6.864418,39.213009",0,12,225
1762502186,2025-11-07T07:56:26Z,ATC208,"-6.864727,39.212696",0,13,225
1762502193,2025-11-07T07:56:33Z,ATC208,"-6.865024,39.212395",0,14,225
1762502201,2025-11-07T07:56:41Z,ATC208,"-6.865385,39.21204",0,15,225
1762502207,2025-11-07T07:56:47Z,ATC208,"-6.865723,39.211697",0,15,225
1762502215,2025-11-07T07:56:55Z,ATC208,"-6.866106,39.211319",0,15,225
1762502221,2025-11-07T07:57:01Z,ATC208,"-6.866362,39.211056",0,11,225
1762502229,2025-11-07T07:57:09Z,ATC208,"-6.866595,39.210819",0,7,225
1762502238,2025-11-07T07:57:18Z,ATC208,"-6.866816,39.210667",0,7,210
1762502245,2025-11-07T07:57:25Z,ATC208,"-6.867025,39.210644",0,8,185
1762502250,2025-11-07T07:57:30Z,ATC208,"-6.867245,39.210659",0,8,177
1762502255,2025-11-07T07:57:35Z,ATC208,"-6.867467,39.210678",0,9,177
1762502261,2025-11-07T07:57:41Z,ATC208,"-6.867689,39.210632",0,9,191
1762502267,2025-11-07T07:57:47Z,ATC208,"-6.867898,39.210453",0,10,219
1762502273,2025-11-07T07:57:53Z,ATC208,"-6.868108,39.210266",0,11,225
1762502279,2025-11-07T07:57:59Z,ATC208,"-6.868317,39.210041",0,12,225
1762502285,2025-11-07T07:58:05Z,ATC208,"-6.868562,39.209801",0,13,225
1762502292,2025-11-07T07:58:12Z,ATC208,"-6.868858,39.209507",0,14,225
1762502298,2025-11-07T07:58:18Z,ATC208,"-6.869179,39.209183",0,15,225
1762502305,2025-11-07T07:58:25Z,ATC208,"-6.869556,39.208809",0,16,225
1762502313,2025-11-07T07:58:33Z,ATC208,"-6.869957,39.208401",0,17,225
1762502320,2025-11-07T07:58:40Z,ATC208,"-6.870346,39.208004",0,16,225
1762502326,2025-11-07T07:58:46Z,ATC208,"-6.870667,39.207691",0,13,225
1762502333,2025-11-07T07:58:53Z,ATC208,"-6.870936,39.207424",0,13,225
1762502348,2025-11-07T07:59:08Z,ATC208,"-6.871147,39.207214",0,15,225
1762502354,2025-11-07T07:59:14Z,ATC208,"-6.872006,39.206345",0,14,225
1762502363,2025-11-07T07:59:23Z,ATC208,"-6.872326,39.206017",0,10,225
1762502371,2025-11-07T07:59:31Z,ATC208,"-6.872589,39.205761",0,10,225
1762502379,2025-11-07T07:59:39Z,ATC208,"-6.872809,39.20554",0,8,225
1762502387,2025-11-07T07:59:47Z,ATC208,"-6.873047,39.205307",0,9,225
1762502394,2025-11-07T07:59:54Z,ATC208,"-6.873241,39.205097",0,10,225
1762502401,2025-11-07T08:00:01Z,ATC208,"-6.873482,39.204865",0,11,225
1762502414,2025-11-07T08:00:14Z,ATC208,"-6.873741,39.204617",0,12,225
1762502422,2025-11-07T08:00:22Z,ATC208,"-6.874397,39.203945",0,15,225
1762502429,2025-11-07T08:00:29Z,ATC208,"-6.874798,39.203548",0,16,225
1762502437,2025-11-07T08:00:37Z,ATC208,"-6.875218,39.203114",0,16,227
1762502492,2025-11-07T08:01:32Z,ATC208,"-6.878666,39.19952",0,21,227
1762502499,2025-11-07T08:01:39Z,ATC208,"-6.879169,39.199009",0,21,225
1762502511,2025-11-07T08:01:51Z,ATC208,"-6.880051,39.198124",0,23,225
1762502518,2025-11-07T08:01:58Z,ATC208,"-6.880549,39.197632",0,19,225
1762502526,2025-11-07T08:02:06Z,ATC208,"-6.88092,39.197262",0,12,225
1762502533,2025-11-07T08:02:13Z,ATC208,"-6.881154,39.197063",0,9,219
1762502538,2025-11-07T08:02:18Z,ATC208,"-6.881367,39.19696",0,10,205
1762502543,2025-11-07T08:02:23Z,ATC208,"-6.881596,39.196926",0,9,188
1762502549,2025-11-07T08:02:29Z,ATC208,"-6.881813,39.196938",0,7,177
1762502572,2025-11-07T08:02:52Z,ATC208,"-6.882236,39.197147",0,0,140
1762502678,2025-11-07T08:04:38Z,ATC208,"-6.882545,39.198196",0,7,73
1762502689,2025-11-07T08:04:49Z,ATC208,"-6.882339,39.198402",0,4,47
1762502785,2025-11-07T08:06:25Z,ATC208,"-6.86499,39.21579",650,144,45
1762502793,2025-11-07T08:06:33Z,ATC208,"-6.861334,39.219486",925,143,45
1762502801,2025-11-07T08:06:41Z,ATC208,"-6.857849,39.223053",1175,142,45
1762502808,2025-11-07T08:06:48Z,ATC208,"-6.854233,39.226685",1450,142,44
