Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762148616,2025-11-03T05:43:36Z,THY3WZ,"41.265976,28.743448",0,0,264
1762149734,2025-11-03T06:02:14Z,THY3WZ,"41.265987,28.743668",0,2,264
1762149748,2025-11-03T06:02:28Z,THY3WZ,"41.265999,28.743881",0,3,267
1762149760,2025-11-03T06:02:40Z,THY3WZ,"41.26601,28.744095",0,3,286
1762149771,2025-11-03T06:02:51Z,THY3WZ,"41.265976,28.744307",0,3,303
1762149782,2025-11-03T06:03:02Z,THY3WZ,"41.265907,28.744507",0,3,326
1762149801,2025-11-03T06:03:21Z,THY3WZ,"41.265686,28.744698",0,3,351
1762149817,2025-11-03T06:03:37Z,THY3WZ,"41.265476,28.744698",0,3,354
1762149832,2025-11-03T06:03:52Z,THY3WZ,"41.265266,28.744705",0,3,354
1762149857,2025-11-03T06:04:17Z,THY3WZ,"41.264889,28.744705",0,0,351
1762150083,2025-11-03T06:08:03Z,THY3WZ,"41.265163,28.744705",0,6,354
1762150090,2025-11-03T06:08:10Z,THY3WZ,"41.265415,28.744713",0,8,354
1762150098,2025-11-03T06:08:18Z,THY3WZ,"41.265724,28.744705",0,10,354
1762150104,2025-11-03T06:08:24Z,THY3WZ,"41.266045,28.744698",0,11,354
1762150111,2025-11-03T06:08:31Z,THY3WZ,"41.266399,28.74469",0,11,354
1762150118,2025-11-03T06:08:38Z,THY3WZ,"41.2668,28.744682",0,12,354
1762150125,2025-11-03T06:08:45Z,THY3WZ,"41.267185,28.744682",0,13,354
1762150132,2025-11-03T06:08:52Z,THY3WZ,"41.267582,28.744667",0,12,354
1762150139,2025-11-03T06:08:59Z,THY3WZ,"41.267933,28.744659",0,9,354
1762150146,2025-11-03T06:09:06Z,THY3WZ,"41.268185,28.744659",0,9,354
1762150153,2025-11-03T06:09:13Z,THY3WZ,"41.268517,28.744644",0,10,354
1762150160,2025-11-03T06:09:20Z,THY3WZ,"41.268848,28.744635",0,10,354
1762150168,2025-11-03T06:09:28Z,THY3WZ,"41.269176,28.744635",0,9,354
1762150174,2025-11-03T06:09:34Z,THY3WZ,"41.269432,28.744682",0,10,5
1762150179,2025-11-03T06:09:39Z,THY3WZ,"41.269581,28.74498",0,11,45
1762150183,2025-11-03T06:09:43Z,THY3WZ,"41.269604,28.745239",0,12,70
1762150186,2025-11-03T06:09:46Z,THY3WZ,"41.269608,28.745493",0,12,78
1762150189,2025-11-03T06:09:49Z,THY3WZ,"41.269604,28.745697",0,12,84
1762150192,2025-11-03T06:09:52Z,THY3WZ,"41.269608,28.745977",0,13,84
1762150196,2025-11-03T06:09:56Z,THY3WZ,"41.269608,28.746243",0,13,84
1762150200,2025-11-03T06:10:00Z,THY3WZ,"41.269615,28.746552",0,13,84
1762150203,2025-11-03T06:10:03Z,THY3WZ,"41.269615,28.746841",0,13,84
1762150211,2025-11-03T06:10:11Z,THY3WZ,"41.269615,28.747406",0,14,84
1762150218,2025-11-03T06:10:18Z,THY3WZ,"41.26963,28.748022",0,14,84
1762150224,2025-11-03T06:10:24Z,THY3WZ,"41.269642,28.748661",0,15,84
1762150232,2025-11-03T06:10:32Z,THY3WZ,"41.269642,28.749302",0,15,84
1762150239,2025-11-03T06:10:39Z,THY3WZ,"41.269653,28.749989",0,13,84
1762150246,2025-11-03T06:10:46Z,THY3WZ,"41.26965,28.750504",0,10,84
1762150253,2025-11-03T06:10:53Z,THY3WZ,"41.269661,28.750977",0,12,84
1762150260,2025-11-03T06:11:00Z,THY3WZ,"41.269665,28.75144",0,13,84
1762150267,2025-11-03T06:11:07Z,THY3WZ,"41.269676,28.752157",0,15,84
1762150275,2025-11-03T06:11:15Z,THY3WZ,"41.269684,28.752731",0,12,84
1762150281,2025-11-03T06:11:21Z,THY3WZ,"41.269684,28.753128",0,10,84
1762150287,2025-11-03T06:11:27Z,THY3WZ,"41.269665,28.753483",0,11,90
1762150292,2025-11-03T06:11:32Z,THY3WZ,"41.269455,28.753702",0,10,132
1762150298,2025-11-03T06:11:38Z,THY3WZ,"41.269215,28.753723",0,8,163
1762150304,2025-11-03T06:11:44Z,THY3WZ,"41.269009,28.753738",0,8,168
1762150310,2025-11-03T06:11:50Z,THY3WZ,"41.268803,28.753748",0,7,171
1762150318,2025-11-03T06:11:58Z,THY3WZ,"41.268562,28.753754",0,7,174
1762150325,2025-11-03T06:12:05Z,THY3WZ,"41.268345,28.753754",0,7,174
1762150333,2025-11-03T06:12:13Z,THY3WZ,"41.268105,28.753754",0,7,174
1762150340,2025-11-03T06:12:20Z,THY3WZ,"41.267864,28.753754",0,7,174
1762150348,2025-11-03T06:12:28Z,THY3WZ,"41.267582,28.753765",0,7,174
1762150355,2025-11-03T06:12:35Z,THY3WZ,"41.267361,28.753769",0,7,174
1762150362,2025-11-03T06:12:42Z,THY3WZ,"41.267097,28.753769",0,8,174
1762150369,2025-11-03T06:12:49Z,THY3WZ,"41.266827,28.75378",0,9,174
1762150377,2025-11-03T06:12:57Z,THY3WZ,"41.266521,28.75378",0,9,174
1762150384,2025-11-03T06:13:04Z,THY3WZ,"41.266228,28.753799",0,8,174
1762150391,2025-11-03T06:13:11Z,THY3WZ,"41.265976,28.753799",0,8,174
1762150398,2025-11-03T06:13:18Z,THY3WZ,"41.265736,28.753799",0,8,174
1762150406,2025-11-03T06:13:26Z,THY3WZ,"41.265461,28.753799",0,7,174
1762150413,2025-11-03T06:13:33Z,THY3WZ,"41.265244,28.753811",0,7,174
1762150420,2025-11-03T06:13:40Z,THY3WZ,"41.264992,28.753815",0,7,174
1762150427,2025-11-03T06:13:47Z,THY3WZ,"41.264786,28.753815",0,6,174
1762150435,2025-11-03T06:13:55Z,THY3WZ,"41.264568,28.75383",0,6,174
1762150443,2025-11-03T06:14:03Z,THY3WZ,"41.264328,28.75383",0,6,174
1762150452,2025-11-03T06:14:12Z,THY3WZ,"41.264114,28.753826",0,6,174
1762150460,2025-11-03T06:14:20Z,THY3WZ,"41.263893,28.75383",0,6,174
1762150468,2025-11-03T06:14:28Z,THY3WZ,"41.263672,28.753843",0,6,174
1762150475,2025-11-03T06:14:35Z,THY3WZ,"41.263462,28.753859",0,6,171
1762150486,2025-11-03T06:14:46Z,THY3WZ,"41.263252,28.754091",0,5,137
1762150496,2025-11-03T06:14:56Z,THY3WZ,"41.263206,28.754318",0,3,109
1762150510,2025-11-03T06:15:10Z,THY3WZ,"41.263218,28.75453",0,0,92
1762150535,2025-11-03T06:15:35Z,THY3WZ,"41.263218,28.75473",0,1,87
1762150629,2025-11-03T06:17:09Z,THY3WZ,"41.263218,28.754974",0,3,87
1762150636,2025-11-03T06:17:16Z,THY3WZ,"41.263218,28.755188",0,5,84
1762150643,2025-11-03T06:17:23Z,THY3WZ,"41.263218,28.755449",0,7,84
1762150650,2025-11-03T06:17:30Z,THY3WZ,"41.263218,28.755768",0,8,84
1762150657,2025-11-03T06:17:37Z,THY3WZ,"41.263218,28.756168",0,10,84
1762150662,2025-11-03T06:17:42Z,THY3WZ,"41.263241,28.756479",0,10,75
1762150668,2025-11-03T06:17:48Z,THY3WZ,"41.263474,28.756683",0,11,30
1762150672,2025-11-03T06:17:52Z,THY3WZ,"41.26371,28.756683",0,13,2
1762150675,2025-11-03T06:17:55Z,THY3WZ,"41.26395,28.756666",0,17,354
1762150678,2025-11-03T06:17:58Z,THY3WZ,"41.264191,28.756668",0,19,354
1762150680,2025-11-03T06:18:00Z,THY3WZ,"41.264465,28.756668",0,27,354
1762150682,2025-11-03T06:18:02Z,THY3WZ,"41.264809,28.756668",0,35,354
1762150684,2025-11-03T06:18:04Z,THY3WZ,"41.265278,28.756666",0,44,354
1762150686,2025-11-03T06:18:06Z,THY3WZ,"41.265598,28.756653",0,53,354
1762150687,2025-11-03T06:18:07Z,THY3WZ,"41.265823,28.756651",0,53,354
1762150688,2025-11-03T06:18:08Z,THY3WZ,"41.266289,28.756651",0,62,354
1762150690,2025-11-03T06:18:10Z,THY3WZ,"41.266788,28.756638",0,70,354
1762150691,2025-11-03T06:18:11Z,THY3WZ,"41.267231,28.756636",0,74,354
1762150699,2025-11-03T06:18:19Z,THY3WZ,"41.27042,28.75659",125,105,359
1762150701,2025-11-03T06:18:21Z,THY3WZ,"41.271492,28.756527",125,112,359
1762150703,2025-11-03T06:18:23Z,THY3WZ,"41.272564,28.756527",125,120,359
1762150705,2025-11-03T06:18:25Z,THY3WZ,"41.273712,28.756531",125,128,359
1762150707,2025-11-03T06:18:27Z,THY3WZ,"41.275085,28.75647",125,135,359
1762150709,2025-11-03T06:18:29Z,THY3WZ,"41.276424,28.756464",100,142,359
1762150711,2025-11-03T06:18:31Z,THY3WZ,"41.277824,28.756401",100,152,359
1762150713,2025-11-03T06:18:33Z,THY3WZ,"41.279266,28.756401",100,156,359
1762150715,2025-11-03T06:18:35Z,THY3WZ,"41.280853,28.756348",100,165,358
1762150717,2025-11-03T06:18:37Z,THY3WZ,"41.282524,28.75634",75,171,358
1762150719,2025-11-03T06:18:39Z,THY3WZ,"41.284195,28.756287",75,177,358
1762150721,2025-11-03T06:18:41Z,THY3WZ,"41.285782,28.756277",0,0,359
1762150723,2025-11-03T06:18:43Z,THY3WZ,"41.287582,28.756226",150,182,359
