Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762253408,2025-11-04T10:50:08Z,THY2GN,"41.256931,28.737364",0,0,2
1762253430,2025-11-04T10:50:30Z,THY2GN,"41.256729,28.737396",0,2,5
1762253452,2025-11-04T10:50:52Z,THY2GN,"41.256523,28.737473",0,2,30
1762253472,2025-11-04T10:51:12Z,THY2GN,"41.256317,28.737425",0,2,53
1762253498,2025-11-04T10:51:38Z,THY2GN,"41.256119,28.737207",0,2,75
1762253518,2025-11-04T10:51:58Z,THY2GN,"41.256031,28.737",0,2,90
1762253533,2025-11-04T10:52:13Z,THY2GN,"41.256035,28.736786",0,3,87
1762253547,2025-11-04T10:52:27Z,THY2GN,"41.256031,28.736572",0,2,87
1762253562,2025-11-04T10:52:42Z,THY2GN,"41.256023,28.736334",0,3,90
1762253575,2025-11-04T10:52:55Z,THY2GN,"41.256023,28.736115",0,3,87
1762253589,2025-11-04T10:53:09Z,THY2GN,"41.256054,28.735886",0,3,75
1762253601,2025-11-04T10:53:21Z,THY2GN,"41.256058,28.735662",0,3,64
1762253613,2025-11-04T10:53:33Z,THY2GN,"41.256035,28.735458",0,3,50
1762253626,2025-11-04T10:53:46Z,THY2GN,"41.255989,28.735256",0,2,36
1762253641,2025-11-04T10:54:01Z,THY2GN,"41.255898,28.735054",0,2,14
1762253665,2025-11-04T10:54:25Z,THY2GN,"41.255688,28.734961",0,2,2
1762253686,2025-11-04T10:54:46Z,THY2GN,"41.255482,28.73494",0,0,357
1762253922,2025-11-04T10:58:42Z,THY2GN,"41.255699,28.734924",0,5,357
1762253930,2025-11-04T10:58:50Z,THY2GN,"41.255905,28.734772",0,8,340
1762253936,2025-11-04T10:58:56Z,THY2GN,"41.256012,28.734507",0,8,315
1762253941,2025-11-04T10:59:01Z,THY2GN,"41.256023,28.734304",0,7,298
1762253946,2025-11-04T10:59:06Z,THY2GN,"41.256001,28.734085",0,6,281
1762253952,2025-11-04T10:59:12Z,THY2GN,"41.255989,28.733883",0,5,275
1762253959,2025-11-04T10:59:19Z,THY2GN,"41.255989,28.733664",0,4,272
1762253970,2025-11-04T10:59:30Z,THY2GN,"41.255989,28.733461",0,3,272
1762253979,2025-11-04T10:59:39Z,THY2GN,"41.255985,28.733261",0,4,270
1762253986,2025-11-04T10:59:46Z,THY2GN,"41.255978,28.733055",0,6,270
1762253993,2025-11-04T10:59:53Z,THY2GN,"41.255978,28.732759",0,7,270
1762254000,2025-11-04T11:00:00Z,THY2GN,"41.255966,28.73251",0,4,270
1762254012,2025-11-04T11:00:12Z,THY2GN,"41.255962,28.7323",0,2,270
1762254071,2025-11-04T11:01:11Z,THY2GN,"41.255966,28.732088",0,4,270
