Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762472584,2025-11-06T23:43:04Z,THY8HA,"55.579975,37.218281",2125,10,236
1762472590,2025-11-06T23:43:10Z,THY8HA,"55.577465,37.212223",2250,155,236
1762472592,2025-11-06T23:43:12Z,THY8HA,"55.576519,37.210487",2275,90,226
1762472594,2025-11-06T23:43:14Z,THY8HA,"55.575699,37.208195",2300,168,237
1762472596,2025-11-06T23:43:16Z,THY8HA,"55.574635,37.205402",2325,167,236
1762472599,2025-11-06T23:43:19Z,THY8HA,"55.57383,37.203403",2375,161,235
1762472601,2025-11-06T23:43:21Z,THY8HA,"55.572777,37.200752",2400,163,234
1762472603,2025-11-06T23:43:23Z,THY8HA,"55.571712,37.198635",2425,110,228
1762472605,2025-11-06T23:43:25Z,THY8HA,"55.570751,37.196331",2450,174,232
1762472607,2025-11-06T23:43:27Z,THY8HA,"55.569839,37.194138",2475,100,231
1762472609,2025-11-06T23:43:29Z,THY8HA,"55.568794,37.191654",2500,80,236
1762472611,2025-11-06T23:43:31Z,THY8HA,"55.567806,37.189438",2525,178,232
1762472614,2025-11-06T23:43:34Z,THY8HA,"55.566494,37.186558",2575,183,231
1762472616,2025-11-06T23:43:36Z,THY8HA,"55.565464,37.184254",2600,183,231
1762472618,2025-11-06T23:43:38Z,THY8HA,"55.56435,37.181377",2625,176,237
1762472620,2025-11-06T23:43:40Z,THY8HA,"55.562618,37.177872",2650,180,233
1762472622,2025-11-06T23:43:42Z,THY8HA,"55.561535,37.175518",2700,180,225
1762472624,2025-11-06T23:43:44Z,THY8HA,"55.560772,37.173336",2725,110,238
1762472626,2025-11-06T23:43:46Z,THY8HA,"55.559475,37.170742",2775,40,231
1762472629,2025-11-06T23:43:49Z,THY8HA,"55.558159,37.167671",2825,110,221
1762472631,2025-11-06T23:43:51Z,THY8HA,"55.556751,37.164196",2900,207,232
1762472633,2025-11-06T23:43:53Z,THY8HA,"55.555637,37.161545",2975,204,233
1762472635,2025-11-06T23:43:55Z,THY8HA,"55.554501,37.158844",3075,208,233
1762472637,2025-11-06T23:43:57Z,THY8HA,"55.553219,37.155792",3175,209,233
1762472640,2025-11-06T23:44:00Z,THY8HA,"55.551998,37.152817",3275,206,233
1762472642,2025-11-06T23:44:02Z,THY8HA,"55.550911,37.149933",3350,203,235
1762472644,2025-11-06T23:44:04Z,THY8HA,"55.549938,37.146603",3425,203,239
1762472646,2025-11-06T23:44:06Z,THY8HA,"55.549042,37.143215",3500,201,242
1762472648,2025-11-06T23:44:08Z,THY8HA,"55.548519,37.13966",3575,204,249
1762472650,2025-11-06T23:44:10Z,THY8HA,"55.548069,37.136219",3625,203,254
1762472653,2025-11-06T23:44:13Z,THY8HA,"55.547821,37.132412",3675,204,260
1762472655,2025-11-06T23:44:15Z,THY8HA,"55.547668,37.128742",3750,209,263
1762472657,2025-11-06T23:44:17Z,THY8HA,"55.547665,37.125328",3850,203,267
1762472659,2025-11-06T23:44:19Z,THY8HA,"55.547749,37.121586",3925,209,271
1762472661,2025-11-06T23:44:21Z,THY8HA,"55.547787,37.117722",4025,208,271
1762472663,2025-11-06T23:44:23Z,THY8HA,"55.547779,37.114239",4100,213,268
1762472665,2025-11-06T23:44:25Z,THY8HA,"55.547878,37.110298",4200,206,271
1762472668,2025-11-06T23:44:28Z,THY8HA,"55.547932,37.107094",4275,110,273
1762472670,2025-11-06T23:44:30Z,THY8HA,"55.547977,37.103302",4400,205,270
1762472672,2025-11-06T23:44:32Z,THY8HA,"55.548088,37.099281",4475,150,274
1762472674,2025-11-06T23:44:34Z,THY8HA,"55.548027,37.095524",4575,208,269
1762472677,2025-11-06T23:44:37Z,THY8HA,"55.548088,37.092041",4675,205,270
1762472679,2025-11-06T23:44:39Z,THY8HA,"55.548149,37.087612",4750,190,268
