Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762490503,2025-11-07T04:41:43Z,ANO183,"-19.256519,146.769745",0,0,106
1762490528,2025-11-07T04:42:08Z,ANO183,"-19.256474,146.769531",0,0,106
1762490553,2025-11-07T04:42:33Z,ANO183,"-19.256413,146.769318",0,0,106
1762490726,2025-11-07T04:45:26Z,ANO183,"-19.256618,146.769089",0,5,233
1762490733,2025-11-07T04:45:33Z,ANO183,"-19.256653,146.76886",0,7,272
1762490740,2025-11-07T04:45:40Z,ANO183,"-19.256578,146.768616",0,9,298
1762490746,2025-11-07T04:45:46Z,ANO183,"-19.256437,146.768356",0,10,300
1762490751,2025-11-07T04:45:51Z,ANO183,"-19.256298,146.768112",0,11,300
1762490757,2025-11-07T04:45:57Z,ANO183,"-19.256205,146.767853",0,11,286
1762490762,2025-11-07T04:46:02Z,ANO183,"-19.256207,146.767593",0,11,261
1762490766,2025-11-07T04:46:06Z,ANO183,"-19.25631,146.76738",0,11,236
1762490772,2025-11-07T04:46:12Z,ANO183,"-19.256538,146.767197",0,12,210
1762490776,2025-11-07T04:46:16Z,ANO183,"-19.256779,146.767059",0,13,208
1762490780,2025-11-07T04:46:20Z,ANO183,"-19.256996,146.766937",0,13,208
1762490784,2025-11-07T04:46:24Z,ANO183,"-19.257225,146.766815",0,14,208
1762490789,2025-11-07T04:46:29Z,ANO183,"-19.257488,146.766647",0,14,208
1762490793,2025-11-07T04:46:33Z,ANO183,"-19.257706,146.766525",0,14,208
1762490797,2025-11-07T04:46:37Z,ANO183,"-19.257963,146.766388",0,14,208
1762490801,2025-11-07T04:46:41Z,ANO183,"-19.258171,146.766281",0,12,208
1762490807,2025-11-07T04:46:47Z,ANO183,"-19.258438,146.766098",0,13,219
1762490811,2025-11-07T04:46:51Z,ANO183,"-19.258564,146.765884",0,14,247
1762490814,2025-11-07T04:46:54Z,ANO183,"-19.258564,146.76564",0,14,278
1762490818,2025-11-07T04:46:58Z,ANO183,"-19.258472,146.765366",0,15,295
