Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762479578,2025-11-07T01:39:38Z,ANO250,"-19.638248,134.18396",0,7,19
1762479585,2025-11-07T01:39:45Z,ANO250,"-19.638039,134.183914",0,7,326
1762479594,2025-11-07T01:39:54Z,ANO250,"-19.637833,134.183548",0,12,295
1762479599,2025-11-07T01:39:59Z,ANO250,"-19.637695,134.183289",0,15,298
1762479602,2025-11-07T01:40:02Z,ANO250,"-19.637596,134.183075",0,15,298
1762479605,2025-11-07T01:40:05Z,ANO250,"-19.637455,134.182816",0,17,295
1762479609,2025-11-07T01:40:09Z,ANO250,"-19.637281,134.18251",0,17,295
1762479613,2025-11-07T01:40:13Z,ANO250,"-19.637154,134.182236",0,18,295
1762479616,2025-11-07T01:40:16Z,ANO250,"-19.63702,134.181992",0,18,295
1762479620,2025-11-07T01:40:20Z,ANO250,"-19.636875,134.181732",0,18,298
1762479623,2025-11-07T01:40:23Z,ANO250,"-19.636747,134.181488",0,18,295
1762479625,2025-11-07T01:40:25Z,ANO250,"-19.636642,134.181274",0,18,295
1762479629,2025-11-07T01:40:29Z,ANO250,"-19.636471,134.180969",0,19,298
1762479632,2025-11-07T01:40:32Z,ANO250,"-19.636351,134.18074",0,19,295
1762479634,2025-11-07T01:40:34Z,ANO250,"-19.636234,134.180527",0,19,295
1762479637,2025-11-07T01:40:37Z,ANO250,"-19.636127,134.180313",0,19,295
1762479640,2025-11-07T01:40:40Z,ANO250,"-19.63599,134.180054",0,20,295
1762479644,2025-11-07T01:40:44Z,ANO250,"-19.635807,134.179718",0,20,295
1762479647,2025-11-07T01:40:47Z,ANO250,"-19.635675,134.179459",0,20,295
1762479653,2025-11-07T01:40:53Z,ANO250,"-19.635361,134.178879",0,19,295
1762479661,2025-11-07T01:41:01Z,ANO250,"-19.635063,134.178314",0,17,298
1762479664,2025-11-07T01:41:04Z,ANO250,"-19.634937,134.178055",0,17,295
1762479667,2025-11-07T01:41:07Z,ANO250,"-19.6348,134.177811",0,16,295
1762479671,2025-11-07T01:41:11Z,ANO250,"-19.634674,134.177551",0,16,295
1762479675,2025-11-07T01:41:15Z,ANO250,"-19.634523,134.177292",0,15,298
1762479680,2025-11-07T01:41:20Z,ANO250,"-19.634399,134.177063",0,12,295
1762479686,2025-11-07T01:41:26Z,ANO250,"-19.634159,134.176865",0,10,334
1762479691,2025-11-07T01:41:31Z,ANO250,"-19.633953,134.176956",0,11,36
1762479696,2025-11-07T01:41:36Z,ANO250,"-19.63386,134.177216",0,12,70
1762479699,2025-11-07T01:41:39Z,ANO250,"-19.633804,134.177429",0,14,73
1762479703,2025-11-07T01:41:43Z,ANO250,"-19.633736,134.177689",0,17,73
1762479706,2025-11-07T01:41:46Z,ANO250,"-19.633663,134.177979",0,20,73
1762479709,2025-11-07T01:41:49Z,ANO250,"-19.633575,134.178284",0,21,73
1762479711,2025-11-07T01:41:51Z,ANO250,"-19.633522,134.178497",0,22,73
1762479719,2025-11-07T01:41:59Z,ANO250,"-19.633266,134.179428",0,24,73
1762479726,2025-11-07T01:42:06Z,ANO250,"-19.633045,134.180283",0,25,73
1762479734,2025-11-07T01:42:14Z,ANO250,"-19.63282,134.181152",0,25,73
1762479741,2025-11-07T01:42:21Z,ANO250,"-19.63258,134.182037",0,25,73
1762479747,2025-11-07T01:42:27Z,ANO250,"-19.632381,134.1828",0,24,73
1762479754,2025-11-07T01:42:34Z,ANO250,"-19.632174,134.183594",0,23,73
1762479761,2025-11-07T01:42:41Z,ANO250,"-19.631975,134.184326",0,21,73
1762479769,2025-11-07T01:42:49Z,ANO250,"-19.631779,134.185059",0,20,73
1762479775,2025-11-07T01:42:55Z,ANO250,"-19.631618,134.185669",0,19,73
1762479782,2025-11-07T01:43:02Z,ANO250,"-19.631447,134.186295",0,17,73
1762479790,2025-11-07T01:43:10Z,ANO250,"-19.631287,134.186829",0,13,64
1762479794,2025-11-07T01:43:14Z,ANO250,"-19.631161,134.187042",0,11,56
1762479799,2025-11-07T01:43:19Z,ANO250,"-19.631067,134.187256",0,10,67
1762479805,2025-11-07T01:43:25Z,ANO250,"-19.631012,134.187485",0,5,75
1762479831,2025-11-07T01:43:51Z,ANO250,"-19.631218,134.18721",0,15,250
1762479834,2025-11-07T01:43:54Z,ANO250,"-19.631298,134.186905",0,29,253
1762479836,2025-11-07T01:43:56Z,ANO250,"-19.631401,134.186539",0,42,253
1762479837,2025-11-07T01:43:57Z,ANO250,"-19.631447,134.186325",0,47,253
1762479838,2025-11-07T01:43:58Z,ANO250,"-19.631521,134.18605",0,53,253
1762479839,2025-11-07T01:43:59Z,ANO250,"-19.631626,134.185669",0,59,253
1762479840,2025-11-07T01:44:00Z,ANO250,"-19.63172,134.185287",0,64,250
1762479842,2025-11-07T01:44:02Z,ANO250,"-19.631893,134.184647",0,76,253
1762479844,2025-11-07T01:44:04Z,ANO250,"-19.632053,134.184052",0,84,250
1762479845,2025-11-07T01:44:05Z,ANO250,"-19.63216,134.183624",0,90,253
1762479846,2025-11-07T01:44:06Z,ANO250,"-19.632277,134.183182",0,94,253
1762479848,2025-11-07T01:44:08Z,ANO250,"-19.632568,134.182175",1350,105,253
1762479850,2025-11-07T01:44:10Z,ANO250,"-19.632847,134.181122",1350,113,254
1762479852,2025-11-07T01:44:12Z,ANO250,"-19.633173,134.179977",1350,123,253
1762479856,2025-11-07T01:44:16Z,ANO250,"-19.633732,134.177917",1350,132,254
1762479859,2025-11-07T01:44:19Z,ANO250,"-19.634336,134.175629",1400,136,255
1762479861,2025-11-07T01:44:21Z,ANO250,"-19.634766,134.17392",1450,137,254
1762479864,2025-11-07T01:44:24Z,ANO250,"-19.635315,134.171936",1525,142,254
1762479868,2025-11-07T01:44:28Z,ANO250,"-19.635864,134.169846",1600,150,254
1762479874,2025-11-07T01:44:34Z,ANO250,"-19.636871,134.165771",1750,153,255
1762479877,2025-11-07T01:44:37Z,ANO250,"-19.637512,134.163132",1900,155,255
1762479879,2025-11-07T01:44:39Z,ANO250,"-19.637787,134.161804",1975,156,255
1762479882,2025-11-07T01:44:42Z,ANO250,"-19.638294,134.159744",2100,158,256
1762479888,2025-11-07T01:44:48Z,ANO250,"-19.639412,134.154648",2275,164,256
1762479893,2025-11-07T01:44:53Z,ANO250,"-19.640396,134.150574",2425,171,253
1762479895,2025-11-07T01:44:55Z,ANO250,"-19.640947,134.148911",2475,174,248
1762479898,2025-11-07T01:44:58Z,ANO250,"-19.641787,134.147018",2575,179,243
1762479900,2025-11-07T01:45:00Z,ANO250,"-19.642914,134.145126",2650,184,236
1762479902,2025-11-07T01:45:02Z,ANO250,"-19.643927,134.143768",2700,186,230
1762479904,2025-11-07T01:45:04Z,ANO250,"-19.645416,134.142166",2800,189,222
1762479907,2025-11-07T01:45:07Z,ANO250,"-19.646767,134.140976",2900,192,217
1762479909,2025-11-07T01:45:09Z,ANO250,"-19.648537,134.139664",2975,192,212
1762479911,2025-11-07T01:45:11Z,ANO250,"-19.650467,134.138611",3075,194,205
1762479913,2025-11-07T01:45:13Z,ANO250,"-19.652252,134.137909",3150,195,199
1762479915,2025-11-07T01:45:15Z,ANO250,"-19.653992,134.137375",3225,195,195
1762479917,2025-11-07T01:45:17Z,ANO250,"-19.655704,134.136978",3300,195,189
1762479920,2025-11-07T01:45:20Z,ANO250,"-19.658033,134.136673",3400,196,185
1762479922,2025-11-07T01:45:22Z,ANO250,"-19.660267,134.136673",3475,198,180
1762479924,2025-11-07T01:45:24Z,ANO250,"-19.662186,134.136795",3550,199,175
1762479926,2025-11-07T01:45:26Z,ANO250,"-19.664429,134.137177",3625,201,169
1762479929,2025-11-07T01:45:29Z,ANO250,"-19.666397,134.137726",3725,203,163
1762479931,2025-11-07T01:45:31Z,ANO250,"-19.668461,134.138474",3775,203,159
1762479933,2025-11-07T01:45:33Z,ANO250,"-19.670197,134.139236",3850,203,156
1762479935,2025-11-07T01:45:35Z,ANO250,"-19.671799,134.140121",3900,203,152
1762479938,2025-11-07T01:45:38Z,ANO250,"-19.674419,134.141861",4000,203,145
1762479940,2025-11-07T01:45:40Z,ANO250,"-19.676056,134.143112",4075,204,143
1762479942,2025-11-07T01:45:42Z,ANO250,"-19.677612,134.144394",4150,205,141
1762479944,2025-11-07T01:45:44Z,ANO250,"-19.679028,134.145615",4200,206,140
1762479947,2025-11-07T01:45:47Z,ANO250,"-19.680424,134.146866",4250,207,139
1762479949,2025-11-07T01:45:49Z,ANO250,"-19.682556,134.148804",4350,206,138
1762479952,2025-11-07T01:45:52Z,ANO250,"-19.68466,134.150711",4450,207,139
1762479954,2025-11-07T01:45:54Z,ANO250,"-19.686243,134.152161",4525,205,138
1762479956,2025-11-07T01:45:56Z,ANO250,"-19.687687,134.153503",4600,206,137
1762479959,2025-11-07T01:45:59Z,ANO250,"-19.689148,134.154938",4725,205,137
1762479961,2025-11-07T01:46:01Z,ANO250,"-19.691038,134.156799",4800,205,136
