Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762703221,2025-11-09T15:47:01Z,UAL1060,"29.985285,-95.331627",0,0,306
1762703238,2025-11-09T15:47:18Z,UAL1060,"29.985146,-95.33139",0,4,320
1762703254,2025-11-09T15:47:34Z,UAL1060,"29.984882,-95.331261",0,4,303
1762703270,2025-11-09T15:47:50Z,UAL1060,"29.984739,-95.331047",0,3,205
1762703503,2025-11-09T15:51:43Z,UAL1060,"29.98435,-95.330994",0,4,171
1762703508,2025-11-09T15:51:48Z,UAL1060,"29.984127,-95.330978",0,8,180
1762703513,2025-11-09T15:51:53Z,UAL1060,"29.98391,-95.330978",0,9,180
1762703522,2025-11-09T15:52:02Z,UAL1060,"29.983543,-95.330978",0,9,180
1762703527,2025-11-09T15:52:07Z,UAL1060,"29.983318,-95.330994",0,10,182
1762703533,2025-11-09T15:52:13Z,UAL1060,"29.983097,-95.3311",0,10,208
1762703538,2025-11-09T15:52:18Z,UAL1060,"29.98304,-95.331383",0,9,258
1762703544,2025-11-09T15:52:24Z,UAL1060,"29.98304,-95.331627",0,8,270
1762703549,2025-11-09T15:52:29Z,UAL1060,"29.98304,-95.331856",0,7,270
1762703555,2025-11-09T15:52:35Z,UAL1060,"29.98304,-95.332062",0,7,270
1762703561,2025-11-09T15:52:41Z,UAL1060,"29.98304,-95.332283",0,6,270
1762703569,2025-11-09T15:52:49Z,UAL1060,"29.98304,-95.332489",0,3,270
1762703647,2025-11-09T15:54:07Z,UAL1060,"29.983051,-95.332718",0,5,270
1762703654,2025-11-09T15:54:14Z,UAL1060,"29.983051,-95.332962",0,7,270
1762703661,2025-11-09T15:54:21Z,UAL1060,"29.98304,-95.333282",0,9,270
1762703668,2025-11-09T15:54:28Z,UAL1060,"29.98304,-95.333672",0,10,270
1762703673,2025-11-09T15:54:33Z,UAL1060,"29.982901,-95.333916",0,11,233
1762703678,2025-11-09T15:54:38Z,UAL1060,"29.982668,-95.334",0,11,196
1762703684,2025-11-09T15:54:44Z,UAL1060,"29.982388,-95.334061",0,10,202
1762703688,2025-11-09T15:54:48Z,UAL1060,"29.982294,-95.334274",0,11,241
1762703695,2025-11-09T15:54:55Z,UAL1060,"29.982307,-95.334656",0,12,270
1762703698,2025-11-09T15:54:58Z,UAL1060,"29.982307,-95.334862",0,12,270
1762703702,2025-11-09T15:55:02Z,UAL1060,"29.982307,-95.335129",0,13,270
1762703705,2025-11-09T15:55:05Z,UAL1060,"29.982307,-95.335411",0,13,270
1762703710,2025-11-09T15:55:10Z,UAL1060,"29.982307,-95.335693",0,13,270
1762703713,2025-11-09T15:55:13Z,UAL1060,"29.982306,-95.335953",0,13,270
1762703721,2025-11-09T15:55:21Z,UAL1060,"29.982317,-95.336487",0,13,275
1762703725,2025-11-09T15:55:25Z,UAL1060,"29.982365,-95.336807",0,13,278
1762703728,2025-11-09T15:55:28Z,UAL1060,"29.982388,-95.337013",0,13,278
1762703732,2025-11-09T15:55:32Z,UAL1060,"29.982422,-95.337265",0,13,278
1762703735,2025-11-09T15:55:35Z,UAL1060,"29.982456,-95.337524",0,14,278
