Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762534023,2025-11-07T16:47:03Z,UAL1874,"39.859516,-104.678543",0,4,180
1762534031,2025-11-07T16:47:11Z,UAL1874,"39.859737,-104.678543",0,6,180
1762534045,2025-11-07T16:47:25Z,UAL1874,"39.859943,-104.678543",0,1,180
1762534263,2025-11-07T16:51:03Z,UAL1874,"39.859943,-104.678314",0,5,106
1762534273,2025-11-07T16:51:13Z,UAL1874,"39.86018,-104.678207",0,6,28
1762534281,2025-11-07T16:51:21Z,UAL1874,"39.860435,-104.678032",0,8,28
1762534287,2025-11-07T16:51:27Z,UAL1874,"39.860645,-104.677856",0,9,30
1762534293,2025-11-07T16:51:33Z,UAL1874,"39.86087,-104.677643",0,10,36
1762534298,2025-11-07T16:51:38Z,UAL1874,"39.861027,-104.677429",0,12,45
1762534301,2025-11-07T16:51:41Z,UAL1874,"39.861156,-104.677216",0,13,53
1762534305,2025-11-07T16:51:45Z,UAL1874,"39.861248,-104.676971",0,14,61
1762534307,2025-11-07T16:51:47Z,UAL1874,"39.861317,-104.676765",0,14,67
1762534311,2025-11-07T16:51:51Z,UAL1874,"39.861366,-104.676422",0,15,78
1762534313,2025-11-07T16:51:53Z,UAL1874,"39.861378,-104.676178",0,16,87
1762534316,2025-11-07T16:51:56Z,UAL1874,"39.861378,-104.675934",0,16,90
1762534321,2025-11-07T16:52:01Z,UAL1874,"39.861378,-104.675415",0,17,90
1762534323,2025-11-07T16:52:03Z,UAL1874,"39.861378,-104.675171",0,18,92
1762534326,2025-11-07T16:52:06Z,UAL1874,"39.861366,-104.674911",0,18,90
1762534328,2025-11-07T16:52:08Z,UAL1874,"39.861366,-104.674622",0,19,90
1762534332,2025-11-07T16:52:12Z,UAL1874,"39.861362,-104.674149",0,20,90
1762534334,2025-11-07T16:52:14Z,UAL1874,"39.861362,-104.673897",0,20,90
1762534336,2025-11-07T16:52:16Z,UAL1874,"39.861362,-104.673584",0,21,90
1762534343,2025-11-07T16:52:23Z,UAL1874,"39.861351,-104.672615",0,23,90
1762534350,2025-11-07T16:52:30Z,UAL1874,"39.861343,-104.671631",0,24,90
1762534358,2025-11-07T16:52:38Z,UAL1874,"39.86134,-104.670464",0,22,90
1762534365,2025-11-07T16:52:45Z,UAL1874,"39.861332,-104.669571",0,20,90
1762534372,2025-11-07T16:52:52Z,UAL1874,"39.861328,-104.668823",0,17,90
1762534380,2025-11-07T16:53:00Z,UAL1874,"39.861328,-104.668106",0,17,90
1762534389,2025-11-07T16:53:09Z,UAL1874,"39.86132,-104.667206",0,13,90
1762534397,2025-11-07T16:53:17Z,UAL1874,"39.86132,-104.666733",0,10,90
1762534404,2025-11-07T16:53:24Z,UAL1874,"39.861317,-104.666313",0,8,90
1762534414,2025-11-07T16:53:34Z,UAL1874,"39.861282,-104.66581",0,11,98
1762534418,2025-11-07T16:53:38Z,UAL1874,"39.861225,-104.66555",0,10,106
1762534422,2025-11-07T16:53:42Z,UAL1874,"39.861168,-104.665344",0,7,106
1762534464,2025-11-07T16:54:24Z,UAL1874,"39.861134,-104.665138",0,1,106
1762534478,2025-11-07T16:54:38Z,UAL1874,"39.861099,-104.664925",0,4,98
1762534486,2025-11-07T16:54:46Z,UAL1874,"39.861111,-104.664703",0,5,90
1762534494,2025-11-07T16:54:54Z,UAL1874,"39.861111,-104.664497",0,3,90
1762534546,2025-11-07T16:55:46Z,UAL1874,"39.861099,-104.66391",0,0,90
1762534551,2025-11-07T16:55:51Z,UAL1874,"39.861179,-104.66362",0,8,78
1762534558,2025-11-07T16:55:58Z,UAL1874,"39.861431,-104.663452",0,10,40
1762534566,2025-11-07T16:56:06Z,UAL1874,"39.861889,-104.663437",0,13,14
1762534569,2025-11-07T16:56:09Z,UAL1874,"39.862129,-104.663437",0,13,359
1762534573,2025-11-07T16:56:13Z,UAL1874,"39.862431,-104.663437",0,15,359
1762534576,2025-11-07T16:56:16Z,UAL1874,"39.862652,-104.663437",0,16,359
1762534580,2025-11-07T16:56:20Z,UAL1874,"39.862881,-104.663437",0,17,359
1762534583,2025-11-07T16:56:23Z,UAL1874,"39.863129,-104.663437",0,17,359
1762534585,2025-11-07T16:56:25Z,UAL1874,"39.863392,-104.663452",0,19,359
1762534592,2025-11-07T16:56:32Z,UAL1874,"39.864059,-104.663422",0,20,1
1762534601,2025-11-07T16:56:41Z,UAL1874,"39.865002,-104.663406",0,23,1
1762534610,2025-11-07T16:56:50Z,UAL1874,"39.86602,-104.663391",0,26,1
1762534618,2025-11-07T16:56:58Z,UAL1874,"39.867023,-104.663376",0,28,1
1762534626,2025-11-07T16:57:06Z,UAL1874,"39.868103,-104.663376",0,31,1
1762534635,2025-11-07T16:57:15Z,UAL1874,"39.869282,-104.663361",0,25,1
1762534641,2025-11-07T16:57:21Z,UAL1874,"39.870003,-104.663345",0,22,1
1762534649,2025-11-07T16:57:29Z,UAL1874,"39.870598,-104.663345",0,20,1
1762534659,2025-11-07T16:57:39Z,UAL1874,"39.87167,-104.663338",0,20,1
1762534667,2025-11-07T16:57:47Z,UAL1874,"39.872318,-104.663307",0,17,3
1762534670,2025-11-07T16:57:50Z,UAL1874,"39.87254,-104.663307",0,16,1
1762534675,2025-11-07T16:57:55Z,UAL1874,"39.872791,-104.663307",0,14,359
1762534680,2025-11-07T16:58:00Z,UAL1874,"39.873089,-104.663292",0,12,3
1762534685,2025-11-07T16:58:05Z,UAL1874,"39.873371,-104.663292",0,12,1
1762534689,2025-11-07T16:58:09Z,UAL1874,"39.873631,-104.663292",0,13,359
1762534694,2025-11-07T16:58:14Z,UAL1874,"39.87384,-104.663292",0,9,359
1762534705,2025-11-07T16:58:25Z,UAL1874,"39.874069,-104.663292",0,4,359
1762535033,2025-11-07T17:03:53Z,UAL1874,"39.874279,-104.6633",0,4,359
1762535041,2025-11-07T17:04:01Z,UAL1874,"39.874519,-104.663292",0,8,359
1762535049,2025-11-07T17:04:09Z,UAL1874,"39.874729,-104.663292",0,5,2
1762535060,2025-11-07T17:04:20Z,UAL1874,"39.874866,-104.663055",0,4,50
1762535067,2025-11-07T17:04:27Z,UAL1874,"39.874866,-104.662834",0,6,81
1762535073,2025-11-07T17:04:33Z,UAL1874,"39.874855,-104.662628",0,4,90
1762535120,2025-11-07T17:05:20Z,UAL1874,"39.87492,-104.662392",0,4,85
1762535134,2025-11-07T17:05:34Z,UAL1874,"39.87516,-104.662086",0,6,38
1762535141,2025-11-07T17:05:41Z,UAL1874,"39.875404,-104.662109",0,5,8
1762535178,2025-11-07T17:06:18Z,UAL1874,"39.875622,-104.662117",0,4,357
1762535191,2025-11-07T17:06:31Z,UAL1874,"39.875851,-104.662117",0,0,357
1762535236,2025-11-07T17:07:16Z,UAL1874,"39.876068,-104.662109",0,4,1
1762535244,2025-11-07T17:07:24Z,UAL1874,"39.876297,-104.662109",0,7,1
1762535255,2025-11-07T17:07:35Z,UAL1874,"39.876514,-104.662109",0,4,1
1762535263,2025-11-07T17:07:43Z,UAL1874,"39.876732,-104.662109",0,7,1
1762535271,2025-11-07T17:07:51Z,UAL1874,"39.876972,-104.662109",0,9,1
1762535280,2025-11-07T17:08:00Z,UAL1874,"39.877441,-104.662109",0,8,1
1762535291,2025-11-07T17:08:11Z,UAL1874,"39.877625,-104.66185",0,6,59
1762535298,2025-11-07T17:08:18Z,UAL1874,"39.877602,-104.661644",0,3,90
1762535306,2025-11-07T17:08:26Z,UAL1874,"39.877602,-104.661438",0,7,90
1762535309,2025-11-07T17:08:29Z,UAL1874,"39.877602,-104.661209",0,13,90
1762535311,2025-11-07T17:08:31Z,UAL1874,"39.877602,-104.660942",0,22,90
1762535314,2025-11-07T17:08:34Z,UAL1874,"39.877602,-104.660332",0,37,90
1762535317,2025-11-07T17:08:37Z,UAL1874,"39.87759,-104.659348",0,52,90
1762535320,2025-11-07T17:08:40Z,UAL1874,"39.87759,-104.658188",0,66,90
1762535325,2025-11-07T17:08:45Z,UAL1874,"39.877567,-104.656105",0,88,90
1762535350,2025-11-07T17:09:10Z,UAL1874,"39.87738,-104.634018",0,185,90
1762535359,2025-11-07T17:09:19Z,UAL1874,"39.877338,-104.624321",0,181,90
1762535368,2025-11-07T17:09:28Z,UAL1874,"39.877396,-104.6157",5950,181,89
1762535380,2025-11-07T17:09:40Z,UAL1874,"39.877579,-104.602112",6550,182,88
1762535395,2025-11-07T17:09:55Z,UAL1874,"39.877853,-104.586021",6925,192,86
1762535399,2025-11-07T17:09:59Z,UAL1874,"39.878357,-104.580826",7000,198,80
1762535401,2025-11-07T17:10:01Z,UAL1874,"39.878723,-104.578438",7025,202,78
1762535403,2025-11-07T17:10:03Z,UAL1874,"39.878998,-104.576706",7050,202,77
1762535406,2025-11-07T17:10:06Z,UAL1874,"39.879814,-104.572327",7100,207,76
1762535408,2025-11-07T17:10:08Z,UAL1874,"39.880325,-104.569885",7125,210,74
1762535410,2025-11-07T17:10:10Z,UAL1874,"39.880882,-104.567322",7150,213,74
1762535412,2025-11-07T17:10:12Z,UAL1874,"39.881443,-104.564697",7175,216,73
1762535414,2025-11-07T17:10:14Z,UAL1874,"39.882,-104.562195",7225,218,73
1762535416,2025-11-07T17:10:16Z,UAL1874,"39.882698,-104.559265",7250,221,73
1762535418,2025-11-07T17:10:18Z,UAL1874,"39.883301,-104.556824",7275,223,73
1762535420,2025-11-07T17:10:20Z,UAL1874,"39.883907,-104.554199",7300,226,73
1762535422,2025-11-07T17:10:22Z,UAL1874,"39.884583,-104.551331",7325,229,72
1762535424,2025-11-07T17:10:24Z,UAL1874,"39.885223,-104.548645",7350,232,72
1762535437,2025-11-07T17:10:37Z,UAL1874,"39.889217,-104.531311",7500,250,73
1762535449,2025-11-07T17:10:49Z,UAL1874,"39.893234,-104.513237",7925,257,73
1762535464,2025-11-07T17:11:04Z,UAL1874,"39.898247,-104.490723",8500,265,73
1762535480,2025-11-07T17:11:20Z,UAL1874,"39.90358,-104.466667",8875,283,73
1762535492,2025-11-07T17:11:32Z,UAL1874,"39.90834,-104.445351",9150,299,73
1762535507,2025-11-07T17:11:47Z,UAL1874,"39.913834,-104.420273",9725,305,74
1762535519,2025-11-07T17:11:59Z,UAL1874,"39.918823,-104.397758",10300,307,74
1762535534,2025-11-07T17:12:14Z,UAL1874,"39.9245,-104.371582",10725,321,74
1762535546,2025-11-07T17:12:26Z,UAL1874,"39.929993,-104.346619",11000,334,74
1762535561,2025-11-07T17:12:41Z,UAL1874,"39.936127,-104.31842",11475,344,73
1762535573,2025-11-07T17:12:53Z,UAL1874,"39.941528,-104.293579",12275,346,74
1762535604,2025-11-07T17:13:24Z,UAL1874,"39.955307,-104.230103",14250,352,74
1762535636,2025-11-07T17:13:56Z,UAL1874,"39.969589,-104.163757",15850,369,76
1762535669,2025-11-07T17:14:29Z,UAL1874,"39.978737,-104.091774",17150,394,82
1762535701,2025-11-07T17:15:01Z,UAL1874,"39.987442,-104.013184",18050,412,81
1762535731,2025-11-07T17:15:31Z,UAL1874,"39.995541,-103.936653",18900,422,81
1762535763,2025-11-07T17:16:03Z,UAL1874,"40.00769,-103.856194",19800,428,78
1762535795,2025-11-07T17:16:35Z,UAL1874,"40.020725,-103.775795",20775,433,78
1762535826,2025-11-07T17:17:06Z,UAL1874,"40.033482,-103.698326",21700,435,77
1762535858,2025-11-07T17:17:38Z,UAL1874,"40.047775,-103.613098",22525,440,77
1762535889,2025-11-07T17:18:09Z,UAL1874,"40.06073,-103.534241",23350,442,77
1762535921,2025-11-07T17:18:41Z,UAL1874,"40.074215,-103.451324",24125,446,78
1762535953,2025-11-07T17:19:13Z,UAL1874,"40.088287,-103.36438",25025,446,78
1762535985,2025-11-07T17:19:45Z,UAL1874,"40.101868,-103.279846",25700,451,78
1762536016,2025-11-07T17:20:16Z,UAL1874,"40.115273,-103.19664",26100,461,78
1762536049,2025-11-07T17:20:49Z,UAL1874,"40.12952,-103.107254",26750,465,78
1762536080,2025-11-07T17:21:20Z,UAL1874,"40.142971,-103.022423",27250,471,78
1762536112,2025-11-07T17:21:52Z,UAL1874,"40.15731,-102.931404",27600,482,78
1762536145,2025-11-07T17:22:25Z,UAL1874,"40.172012,-102.837769",28000,491,78
1762536176,2025-11-07T17:22:56Z,UAL1874,"40.18594,-102.748322",28475,496,78
1762536206,2025-11-07T17:23:26Z,UAL1874,"40.200119,-102.657104",28850,503,78
1762536237,2025-11-07T17:23:57Z,UAL1874,"40.214382,-102.564926",29250,508,78
1762536268,2025-11-07T17:24:28Z,UAL1874,"40.228722,-102.47123",29625,513,78
1762536300,2025-11-07T17:25:00Z,UAL1874,"40.243927,-102.371338",30200,515,78
1762536331,2025-11-07T17:25:31Z,UAL1874,"40.258095,-102.277718",30600,519,78
1762536362,2025-11-07T17:26:02Z,UAL1874,"40.272537,-102.182068",31150,518,78
