Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762168953,2025-11-03T11:22:33Z,UAL26,"51.471855,-0.443954",0,1,90
1762169789,2025-11-03T11:36:29Z,UAL26,"51.471886,-0.444371",0,3,90
1762169799,2025-11-03T11:36:39Z,UAL26,"51.471874,-0.444594",0,3,90
1762169810,2025-11-03T11:36:50Z,UAL26,"51.471863,-0.444798",0,2,92
1762169825,2025-11-03T11:37:05Z,UAL26,"51.471844,-0.445061",0,2,112
1762169841,2025-11-03T11:37:21Z,UAL26,"51.47184,-0.445336",0,2,146
1762169858,2025-11-03T11:37:38Z,UAL26,"51.471954,-0.44554",0,2,177
1762169882,2025-11-03T11:38:02Z,UAL26,"51.472157,-0.445557",0,1,180
1762170138,2025-11-03T11:42:18Z,UAL26,"51.471931,-0.445559",0,4,180
1762170152,2025-11-03T11:42:32Z,UAL26,"51.471554,-0.445559",0,7,180
1762170160,2025-11-03T11:42:40Z,UAL26,"51.471298,-0.445557",0,7,180
1762170171,2025-11-03T11:42:51Z,UAL26,"51.470913,-0.445557",0,8,180
1762170178,2025-11-03T11:42:58Z,UAL26,"51.470627,-0.445559",0,8,180
1762170186,2025-11-03T11:43:06Z,UAL26,"51.470341,-0.445557",0,7,180
1762170201,2025-11-03T11:43:21Z,UAL26,"51.469814,-0.445559",0,9,180
1762170212,2025-11-03T11:43:32Z,UAL26,"51.469341,-0.445557",0,9,180
1762170221,2025-11-03T11:43:41Z,UAL26,"51.468956,-0.445538",0,10,180
1762170230,2025-11-03T11:43:50Z,UAL26,"51.46862,-0.445538",0,10,180
1762170238,2025-11-03T11:43:58Z,UAL26,"51.468098,-0.445538",0,10,180
1762170246,2025-11-03T11:44:06Z,UAL26,"51.467758,-0.445538",0,9,180
1762170255,2025-11-03T11:44:15Z,UAL26,"51.467537,-0.445429",0,5,163
1762170265,2025-11-03T11:44:25Z,UAL26,"51.467491,-0.445002",0,6,109
1762170269,2025-11-03T11:44:29Z,UAL26,"51.467514,-0.444775",0,0,92
1762170277,2025-11-03T11:44:37Z,UAL26,"51.467525,-0.444374",0,8,90
1762170281,2025-11-03T11:44:41Z,UAL26,"51.467537,-0.444093",0,8,90
1762170290,2025-11-03T11:44:50Z,UAL26,"51.467537,-0.443611",0,5,90
1762170496,2025-11-03T11:48:16Z,UAL26,"51.467537,-0.44335",0,2,90
1762170505,2025-11-03T11:48:25Z,UAL26,"51.467537,-0.443134",0,4,90
1762170513,2025-11-03T11:48:33Z,UAL26,"51.467537,-0.442905",0,5,90
1762170519,2025-11-03T11:48:39Z,UAL26,"51.467537,-0.442638",0,6,90
1762170526,2025-11-03T11:48:46Z,UAL26,"51.467537,-0.44241",0,6,90
1762170536,2025-11-03T11:48:56Z,UAL26,"51.467537,-0.442104",0,0,90
1762170572,2025-11-03T11:49:32Z,UAL26,"51.467548,-0.441847",0,4,90
1762170578,2025-11-03T11:49:38Z,UAL26,"51.467537,-0.441628",0,5,90
1762170585,2025-11-03T11:49:45Z,UAL26,"51.467537,-0.441246",0,7,90
1762170592,2025-11-03T11:49:52Z,UAL26,"51.467571,-0.440845",0,9,84
1762170596,2025-11-03T11:49:56Z,UAL26,"51.467617,-0.440585",0,9,78
1762170600,2025-11-03T11:50:00Z,UAL26,"51.467663,-0.440325",0,10,75
1762170608,2025-11-03T11:50:08Z,UAL26,"51.46772,-0.43975",0,9,84
1762170620,2025-11-03T11:50:20Z,UAL26,"51.46772,-0.439119",0,6,90
1762170626,2025-11-03T11:50:26Z,UAL26,"51.46772,-0.438859",0,7,90
1762170635,2025-11-03T11:50:35Z,UAL26,"51.467709,-0.43847",0,8,90
1762170644,2025-11-03T11:50:44Z,UAL26,"51.46772,-0.437839",0,7,90
1762170651,2025-11-03T11:50:51Z,UAL26,"51.46772,-0.437523",0,6,90
1762170658,2025-11-03T11:50:58Z,UAL26,"51.467724,-0.437279",0,3,90
1762170949,2025-11-03T11:55:49Z,UAL26,"51.46772,-0.436985",0,0,90
1762170957,2025-11-03T11:55:57Z,UAL26,"51.467724,-0.436611",0,7,90
1762170964,2025-11-03T11:56:04Z,UAL26,"51.467701,-0.436287",0,7,95
1762170969,2025-11-03T11:56:09Z,UAL26,"51.467594,-0.436077",0,7,118
1762170977,2025-11-03T11:56:17Z,UAL26,"51.46735,-0.43602",0,7,163
1762170983,2025-11-03T11:56:23Z,UAL26,"51.46714,-0.436039",0,7,180
1762170990,2025-11-03T11:56:30Z,UAL26,"51.466885,-0.436039",0,8,180
1762170997,2025-11-03T11:56:37Z,UAL26,"51.466667,-0.436038",0,6,180
1762171006,2025-11-03T11:56:46Z,UAL26,"51.466461,-0.436038",0,5,180
1762171015,2025-11-03T11:56:55Z,UAL26,"51.466244,-0.436057",0,5,182
1762171022,2025-11-03T11:57:02Z,UAL26,"51.466015,-0.436038",0,7,180
1762171030,2025-11-03T11:57:10Z,UAL26,"51.465698,-0.436039",0,10,180
1762171037,2025-11-03T11:57:17Z,UAL26,"51.465351,-0.43602",0,12,180
1762171046,2025-11-03T11:57:26Z,UAL26,"51.465031,-0.43602",0,6,182
1762171055,2025-11-03T11:57:35Z,UAL26,"51.46492,-0.436344",0,5,230
1762171062,2025-11-03T11:57:42Z,UAL26,"51.46492,-0.436554",0,5,253
