Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762167883,2025-11-03T11:04:43Z,UAL900,"51.474163,-0.443981",0,0,90
1762168480,2025-11-03T11:14:40Z,UAL900,"51.474163,-0.444185",0,0,87
1762168505,2025-11-03T11:15:05Z,UAL900,"51.474197,-0.444501",0,0,59
1762168519,2025-11-03T11:15:19Z,UAL900,"51.474159,-0.444717",0,0,42
1762168555,2025-11-03T11:15:55Z,UAL900,"51.473915,-0.444965",0,0,87
1762168578,2025-11-03T11:16:18Z,UAL900,"51.473835,-0.445232",0,0,126
1762168599,2025-11-03T11:16:39Z,UAL900,"51.473892,-0.44548",0,0,163
1762168725,2025-11-03T11:18:45Z,UAL900,"51.47366,-0.445576",0,2,180
1762168746,2025-11-03T11:19:06Z,UAL900,"51.47345,-0.445576",0,2,180
1762168774,2025-11-03T11:19:34Z,UAL900,"51.473179,-0.445577",0,0,180
1762168998,2025-11-03T11:23:18Z,UAL900,"51.472767,-0.445559",0,7,180
1762169007,2025-11-03T11:23:27Z,UAL900,"51.472435,-0.445559",0,9,180
1762169014,2025-11-03T11:23:34Z,UAL900,"51.472092,-0.445559",0,10,180
1762169029,2025-11-03T11:23:49Z,UAL900,"51.47139,-0.445557",0,0,180
1762169037,2025-11-03T11:23:57Z,UAL900,"51.470924,-0.44554",0,12,180
1762169047,2025-11-03T11:24:07Z,UAL900,"51.470421,-0.44554",0,11,180
1762169056,2025-11-03T11:24:16Z,UAL900,"51.469959,-0.445538",0,11,180
1762169063,2025-11-03T11:24:23Z,UAL900,"51.469563,-0.445538",0,11,180
1762169072,2025-11-03T11:24:32Z,UAL900,"51.469093,-0.44554",0,11,180
1762169079,2025-11-03T11:24:39Z,UAL900,"51.468769,-0.445538",0,11,180
1762169087,2025-11-03T11:24:47Z,UAL900,"51.468315,-0.445522",0,11,180
1762169098,2025-11-03T11:24:58Z,UAL900,"51.467827,-0.445518",0,9,180
1762169104,2025-11-03T11:25:04Z,UAL900,"51.467606,-0.445366",0,8,157
1762169109,2025-11-03T11:25:09Z,UAL900,"51.467537,-0.445132",0,8,129
1762169112,2025-11-03T11:25:12Z,UAL900,"51.467514,-0.444928",0,8,112
1762169118,2025-11-03T11:25:18Z,UAL900,"51.467537,-0.444501",0,9,90
1762169126,2025-11-03T11:25:26Z,UAL900,"51.467537,-0.443981",0,10,90
1762169130,2025-11-03T11:25:30Z,UAL900,"51.467537,-0.443684",0,10,90
1762169133,2025-11-03T11:25:33Z,UAL900,"51.467537,-0.443406",0,10,90
1762169141,2025-11-03T11:25:41Z,UAL900,"51.467537,-0.442924",0,10,90
1762169147,2025-11-03T11:25:47Z,UAL900,"51.467537,-0.442404",0,9,90
1762169184,2025-11-03T11:26:24Z,UAL900,"51.467548,-0.442123",0,0,90
1762169399,2025-11-03T11:29:59Z,UAL900,"51.467548,-0.441921",0,2,90
1762169410,2025-11-03T11:30:10Z,UAL900,"51.467548,-0.441666",0,3,90
1762169419,2025-11-03T11:30:19Z,UAL900,"51.467548,-0.441437",0,4,90
