Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761642716,2025-10-28T09:11:56Z,LCO1527,"25.78941,-80.302071",0,0,267
1761642973,2025-10-28T09:16:13Z,LCO1527,"25.789427,-80.301857",0,0,272
1761642996,2025-10-28T09:16:36Z,LCO1527,"25.789421,-80.301651",0,0,286
1761643021,2025-10-28T09:17:01Z,LCO1527,"25.789381,-80.301445",0,0,303
1761643045,2025-10-28T09:17:25Z,LCO1527,"25.789261,-80.301231",0,2,337
1761643067,2025-10-28T09:17:47Z,LCO1527,"25.789055,-80.301147",0,2,186
1761643093,2025-10-28T09:18:13Z,LCO1527,"25.78882,-80.301178",0,2,321
1761643131,2025-10-28T09:18:51Z,LCO1527,"25.788643,-80.300964",0,0,267
1761643152,2025-10-28T09:19:12Z,LCO1527,"25.78867,-80.30072",0,3,122
1761643175,2025-10-28T09:19:35Z,LCO1527,"25.788612,-80.300507",0,2,275
1761643464,2025-10-28T09:24:24Z,LCO1527,"25.788601,-80.300713",0,2,271
1761643475,2025-10-28T09:24:35Z,LCO1527,"25.788601,-80.300957",0,5,259
1761643482,2025-10-28T09:24:42Z,LCO1527,"25.788601,-80.30117",0,6,269
1761643489,2025-10-28T09:24:49Z,LCO1527,"25.788597,-80.301414",0,7,267
1761643496,2025-10-28T09:24:56Z,LCO1527,"25.78858,-80.301743",0,9,267
1761643506,2025-10-28T09:25:06Z,LCO1527,"25.78857,-80.302147",0,10,267
1761643514,2025-10-28T09:25:14Z,LCO1527,"25.78854,-80.302597",0,10,268
1761643523,2025-10-28T09:25:23Z,LCO1527,"25.788517,-80.303062",0,0,267
1761643528,2025-10-28T09:25:28Z,LCO1527,"25.7885,-80.30336",0,11,265
1761643532,2025-10-28T09:25:32Z,LCO1527,"25.78849,-80.303581",0,11,265
1761643536,2025-10-28T09:25:36Z,LCO1527,"25.78849,-80.30381",0,11,268
1761643540,2025-10-28T09:25:40Z,LCO1527,"25.7885,-80.304047",0,12,270
1761643544,2025-10-28T09:25:44Z,LCO1527,"25.788469,-80.304268",0,11,266
1761643548,2025-10-28T09:25:48Z,LCO1527,"25.788469,-80.304497",0,11,268
1761643553,2025-10-28T09:25:53Z,LCO1527,"25.78845,-80.304741",0,11,265
1761643556,2025-10-28T09:25:56Z,LCO1527,"25.78845,-80.305",0,12,268
1761643561,2025-10-28T09:26:01Z,LCO1527,"25.788437,-80.305267",0,12,267
1761643566,2025-10-28T09:26:06Z,LCO1527,"25.788416,-80.305573",0,12,267
1761643571,2025-10-28T09:26:11Z,LCO1527,"25.788404,-80.305847",0,12,267
1761643575,2025-10-28T09:26:15Z,LCO1527,"25.788403,-80.306068",0,12,267
1761643578,2025-10-28T09:26:18Z,LCO1527,"25.788391,-80.306328",0,12,267
1761643587,2025-10-28T09:26:27Z,LCO1527,"25.78837,-80.306908",0,13,267
1761643592,2025-10-28T09:26:32Z,LCO1527,"25.788361,-80.307251",0,13,268
1761643597,2025-10-28T09:26:37Z,LCO1527,"25.78834,-80.307549",0,12,266
1761643602,2025-10-28T09:26:42Z,LCO1527,"25.788321,-80.307831",0,13,267
1761643608,2025-10-28T09:26:48Z,LCO1527,"25.7883,-80.308212",0,13,265
1761643611,2025-10-28T09:26:51Z,LCO1527,"25.78829,-80.308441",0,14,267
1761643615,2025-10-28T09:26:55Z,LCO1527,"25.78828,-80.308746",0,13,268
1761643618,2025-10-28T09:26:58Z,LCO1527,"25.78828,-80.308968",0,14,267
1761643621,2025-10-28T09:27:01Z,LCO1527,"25.78828,-80.309196",0,14,269
1761643624,2025-10-28T09:27:04Z,LCO1527,"25.78825,-80.30941",0,14,265
1761643629,2025-10-28T09:27:09Z,LCO1527,"25.78826,-80.309761",0,14,269
1761643633,2025-10-28T09:27:13Z,LCO1527,"25.788231,-80.31002",0,14,266
1761643637,2025-10-28T09:27:17Z,LCO1527,"25.78821,-80.310303",0,14,265
1761643640,2025-10-28T09:27:20Z,LCO1527,"25.7882,-80.310509",0,14,264
1761643643,2025-10-28T09:27:23Z,LCO1527,"25.7882,-80.31073",0,14,267
1761643647,2025-10-28T09:27:27Z,LCO1527,"25.788191,-80.310997",0,14,268
1761643650,2025-10-28T09:27:30Z,LCO1527,"25.78817,-80.311203",0,13,266
1761643658,2025-10-28T09:27:38Z,LCO1527,"25.788151,-80.311638",0,11,265
1761643663,2025-10-28T09:27:43Z,LCO1527,"25.788151,-80.311882",0,9,268
1761643671,2025-10-28T09:27:51Z,LCO1527,"25.788147,-80.312103",0,9,267
1761643675,2025-10-28T09:27:55Z,LCO1527,"25.788136,-80.312309",0,9,267
1761643678,2025-10-28T09:27:58Z,LCO1527,"25.788128,-80.312553",0,9,267
1761643687,2025-10-28T09:28:07Z,LCO1527,"25.788099,-80.312988",0,9,265
1761643693,2025-10-28T09:28:13Z,LCO1527,"25.788101,-80.313286",0,10,267
1761643701,2025-10-28T09:28:21Z,LCO1527,"25.788082,-80.313667",0,10,267
1761643708,2025-10-28T09:28:28Z,LCO1527,"25.788071,-80.314026",0,10,267
1761643716,2025-10-28T09:28:36Z,LCO1527,"25.788048,-80.314354",0,7,267
1761643722,2025-10-28T09:28:42Z,LCO1527,"25.788,-80.31459",0,7,260
1761643732,2025-10-28T09:28:52Z,LCO1527,"25.787786,-80.314758",0,6,216
1761643741,2025-10-28T09:29:01Z,LCO1527,"25.787579,-80.314789",0,5,191
1761643868,2025-10-28T09:31:08Z,LCO1527,"25.787371,-80.314781",0,2,178
1761643875,2025-10-28T09:31:15Z,LCO1527,"25.78717,-80.314751",0,6,177
1761643882,2025-10-28T09:31:22Z,LCO1527,"25.7869,-80.314758",0,9,179
1761643888,2025-10-28T09:31:28Z,LCO1527,"25.786659,-80.314751",0,9,177
1761643896,2025-10-28T09:31:36Z,LCO1527,"25.78628,-80.314713",0,10,177
1761643906,2025-10-28T09:31:46Z,LCO1527,"25.786131,-80.314499",0,5,124
1761643918,2025-10-28T09:31:58Z,LCO1527,"25.786119,-80.314262",0,5,93
1761643923,2025-10-28T09:32:03Z,LCO1527,"25.78614,-80.313988",0,11,87
1761643925,2025-10-28T09:32:05Z,LCO1527,"25.78614,-80.313744",0,19,88
1761643928,2025-10-28T09:32:08Z,LCO1527,"25.78616,-80.313171",0,34,87
1761643929,2025-10-28T09:32:09Z,LCO1527,"25.786169,-80.31292",0,40,87
1761643930,2025-10-28T09:32:10Z,LCO1527,"25.78619,-80.31263",0,47,86
1761643931,2025-10-28T09:32:11Z,LCO1527,"25.786221,-80.31234",0,52,85
1761643933,2025-10-28T09:32:13Z,LCO1527,"25.78624,-80.311668",0,62,86
1761643935,2025-10-28T09:32:15Z,LCO1527,"25.78627,-80.310997",0,68,87
1761643936,2025-10-28T09:32:16Z,LCO1527,"25.786289,-80.310623",0,72,87
1761643937,2025-10-28T09:32:17Z,LCO1527,"25.78631,-80.310226",0,75,87
1761643939,2025-10-28T09:32:19Z,LCO1527,"25.78635,-80.30938",0,82,86
1761643940,2025-10-28T09:32:20Z,LCO1527,"25.78636,-80.308929",0,85,87
1761643942,2025-10-28T09:32:22Z,LCO1527,"25.78639,-80.307892",0,96,87
1761643944,2025-10-28T09:32:24Z,LCO1527,"25.78644,-80.306839",0,103,87
1761643947,2025-10-28T09:32:27Z,LCO1527,"25.78652,-80.305107",0,112,87
1761643949,2025-10-28T09:32:29Z,LCO1527,"25.78657,-80.303787",0,123,87
1761643951,2025-10-28T09:32:31Z,LCO1527,"25.78661,-80.302551",0,125,87
1761643954,2025-10-28T09:32:34Z,LCO1527,"25.78669,-80.300423",0,137,87
1761643956,2025-10-28T09:32:36Z,LCO1527,"25.78676,-80.298882",0,147,87
1761643959,2025-10-28T09:32:39Z,LCO1527,"25.786869,-80.296494",0,156,87
1761643968,2025-10-28T09:32:48Z,LCO1527,"25.78723,-80.288513",0,182,86
1761643975,2025-10-28T09:32:55Z,LCO1527,"25.78743,-80.282082",275,192,87
1761643983,2025-10-28T09:33:03Z,LCO1527,"25.787704,-80.273842",625,191,87
1761643990,2025-10-28T09:33:10Z,LCO1527,"25.787933,-80.267792",875,190,87
1761643998,2025-10-28T09:33:18Z,LCO1527,"25.787933,-80.259857",1150,192,91
1761644000,2025-10-28T09:33:20Z,LCO1527,"25.787798,-80.257248",1225,193,93
1761644002,2025-10-28T09:33:22Z,LCO1527,"25.787613,-80.255493",1275,193,95
1761644004,2025-10-28T09:33:24Z,LCO1527,"25.787384,-80.253502",1325,195,96
1761644007,2025-10-28T09:33:27Z,LCO1527,"25.787054,-80.25119",1375,198,98
1761644009,2025-10-28T09:33:29Z,LCO1527,"25.78668,-80.249062",1400,200,100
1761644011,2025-10-28T09:33:31Z,LCO1527,"25.786215,-80.246994",1425,203,103
1761644013,2025-10-28T09:33:33Z,LCO1527,"25.785645,-80.244545",1475,205,104
1761644015,2025-10-28T09:33:35Z,LCO1527,"25.785049,-80.242409",1500,207,105
1761644017,2025-10-28T09:33:37Z,LCO1527,"25.784492,-80.240303",1550,209,106
1761644019,2025-10-28T09:33:39Z,LCO1527,"25.783859,-80.237938",1600,211,106
1761644022,2025-10-28T09:33:42Z,LCO1527,"25.78319,-80.235382",1650,213,106
1761644024,2025-10-28T09:33:44Z,LCO1527,"25.782623,-80.233253",1675,215,106
