Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762169133,2025-11-03T11:25:33Z,UGD711,"-26.132401,28.234449",0,1,104
1762169163,2025-11-03T11:26:03Z,UGD711,"-26.132355,28.234243",0,0,132
1762169201,2025-11-03T11:26:41Z,UGD711,"-26.132149,28.23406",0,0,177
1762169315,2025-11-03T11:28:35Z,UGD711,"-26.132366,28.23402",0,7,185
1762169321,2025-11-03T11:28:41Z,UGD711,"-26.132572,28.234009",0,7,185
1762169328,2025-11-03T11:28:48Z,UGD711,"-26.132797,28.233978",0,7,185
1762169336,2025-11-03T11:28:56Z,UGD711,"-26.133041,28.233938",0,7,188
1762169344,2025-11-03T11:29:04Z,UGD711,"-26.133274,28.233913",0,6,185
1762169352,2025-11-03T11:29:12Z,UGD711,"-26.133507,28.233887",0,6,188
1762169361,2025-11-03T11:29:21Z,UGD711,"-26.133728,28.23386",0,6,188
1762169369,2025-11-03T11:29:29Z,UGD711,"-26.133949,28.233833",0,6,191
1762169377,2025-11-03T11:29:37Z,UGD711,"-26.134174,28.233774",0,6,194
1762169385,2025-11-03T11:29:45Z,UGD711,"-26.134403,28.233736",0,7,188
1762169392,2025-11-03T11:29:52Z,UGD711,"-26.134624,28.233702",0,7,188
1762169399,2025-11-03T11:29:59Z,UGD711,"-26.134857,28.233675",0,7,185
1762169406,2025-11-03T11:30:06Z,UGD711,"-26.135078,28.233648",0,6,185
1762169414,2025-11-03T11:30:14Z,UGD711,"-26.135288,28.233622",0,6,185
1762169423,2025-11-03T11:30:23Z,UGD711,"-26.135509,28.233595",0,6,188
1762169430,2025-11-03T11:30:30Z,UGD711,"-26.135719,28.233568",0,7,185
1762169436,2025-11-03T11:30:36Z,UGD711,"-26.135963,28.233557",0,8,185
1762169442,2025-11-03T11:30:42Z,UGD711,"-26.136171,28.233517",0,9,188
1762169447,2025-11-03T11:30:47Z,UGD711,"-26.136381,28.23349",0,9,188
1762169452,2025-11-03T11:30:52Z,UGD711,"-26.136602,28.233463",0,9,185
1762169458,2025-11-03T11:30:58Z,UGD711,"-26.136847,28.233437",0,9,185
1762169463,2025-11-03T11:31:03Z,UGD711,"-26.137047,28.233412",0,9,185
1762169468,2025-11-03T11:31:08Z,UGD711,"-26.137278,28.233385",0,10,188
1762169473,2025-11-03T11:31:13Z,UGD711,"-26.137505,28.23336",0,10,185
1762169477,2025-11-03T11:31:17Z,UGD711,"-26.137722,28.233334",0,11,185
1762169483,2025-11-03T11:31:23Z,UGD711,"-26.13802,28.233295",0,12,188
1762169487,2025-11-03T11:31:27Z,UGD711,"-26.13822,28.233252",0,12,191
1762169490,2025-11-03T11:31:30Z,UGD711,"-26.138443,28.233192",0,13,194
1762169495,2025-11-03T11:31:35Z,UGD711,"-26.138685,28.23312",0,13,196
1762169499,2025-11-03T11:31:39Z,UGD711,"-26.138918,28.233042",0,12,196
1762169503,2025-11-03T11:31:43Z,UGD711,"-26.139118,28.232985",0,12,196
1762169511,2025-11-03T11:31:51Z,UGD711,"-26.139524,28.232857",0,11,196
1762169518,2025-11-03T11:31:58Z,UGD711,"-26.139885,28.232752",0,12,196
