Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762711499,2025-11-09T18:04:59Z,AEA19SN,"41.800152,12.264379",0,0,70
1762711795,2025-11-09T18:09:55Z,AEA19SN,"41.80022,12.264644",0,5,70
1762711811,2025-11-09T18:10:11Z,AEA19SN,"41.800438,12.2648",0,2,14
1762711824,2025-11-09T18:10:24Z,AEA19SN,"41.800644,12.264722",0,5,345
1762711835,2025-11-09T18:10:35Z,AEA19SN,"41.800861,12.264628",0,3,340
1762711849,2025-11-09T18:10:49Z,AEA19SN,"41.801079,12.264534",0,4,340
1762711858,2025-11-09T18:10:58Z,AEA19SN,"41.801292,12.264415",0,4,337
1762711875,2025-11-09T18:11:15Z,AEA19SN,"41.801502,12.264319",0,4,340
1762711883,2025-11-09T18:11:23Z,AEA19SN,"41.801735,12.264192",0,7,340
1762711891,2025-11-09T18:11:31Z,AEA19SN,"41.801949,12.264113",0,6,345
1762711898,2025-11-09T18:11:38Z,AEA19SN,"41.802155,12.264097",0,7,357
1762711907,2025-11-09T18:11:47Z,AEA19SN,"41.802383,12.264082",0,5,357
1762711916,2025-11-09T18:11:56Z,AEA19SN,"41.802616,12.263952",0,7,331
1762711922,2025-11-09T18:12:02Z,AEA19SN,"41.802757,12.263744",0,8,309
1762711928,2025-11-09T18:12:08Z,AEA19SN,"41.80286,12.263505",0,8,298
1762711933,2025-11-09T18:12:13Z,AEA19SN,"41.802944,12.263255",0,8,295
1762711939,2025-11-09T18:12:19Z,AEA19SN,"41.803024,12.26301",0,8,292
1762711943,2025-11-09T18:12:23Z,AEA19SN,"41.803093,12.262802",0,8,292
1762711950,2025-11-09T18:12:30Z,AEA19SN,"41.803177,12.26253",0,8,292
1762711954,2025-11-09T18:12:34Z,AEA19SN,"41.803257,12.262323",0,8,295
1762711959,2025-11-09T18:12:39Z,AEA19SN,"41.803329,12.262099",0,8,298
1762711965,2025-11-09T18:12:45Z,AEA19SN,"41.803482,12.261897",0,8,317
1762711972,2025-11-09T18:12:52Z,AEA19SN,"41.803699,12.261732",0,7,331
1762711979,2025-11-09T18:12:59Z,AEA19SN,"41.803928,12.2616",0,8,340
1762711985,2025-11-09T18:13:05Z,AEA19SN,"41.804153,12.261604",0,8,2
1762711991,2025-11-09T18:13:11Z,AEA19SN,"41.804375,12.261694",0,7,16
1762711999,2025-11-09T18:13:19Z,AEA19SN,"41.804596,12.261765",0,6,11
1762712007,2025-11-09T18:13:27Z,AEA19SN,"41.804817,12.261765",0,6,2
1762712015,2025-11-09T18:13:35Z,AEA19SN,"41.805027,12.261732",0,7,354
1762712019,2025-11-09T18:13:39Z,AEA19SN,"41.805256,12.26171",0,9,357
1762712025,2025-11-09T18:13:45Z,AEA19SN,"41.805458,12.261765",0,7,11
1762712035,2025-11-09T18:13:55Z,AEA19SN,"41.805679,12.261892",0,5,25
1762712044,2025-11-09T18:14:04Z,AEA19SN,"41.805885,12.262022",0,6,22
1762712052,2025-11-09T18:14:12Z,AEA19SN,"41.806103,12.262069",0,6,8
1762712063,2025-11-09T18:14:23Z,AEA19SN,"41.806309,12.262052",0,3,351
1762712078,2025-11-09T18:14:38Z,AEA19SN,"41.806515,12.261971",0,3,340
1762712093,2025-11-09T18:14:53Z,AEA19SN,"41.806736,12.261876",0,3,340
1762712106,2025-11-09T18:15:06Z,AEA19SN,"41.806961,12.261757",0,6,337
1762712113,2025-11-09T18:15:13Z,AEA19SN,"41.807178,12.261637",0,8,337
1762712123,2025-11-09T18:15:23Z,AEA19SN,"41.807384,12.261429",0,5,309
1762712131,2025-11-09T18:15:31Z,AEA19SN,"41.807327,12.261054",0,9,253
1762712135,2025-11-09T18:15:35Z,AEA19SN,"41.807262,12.260806",0,12,250
1762712139,2025-11-09T18:15:39Z,AEA19SN,"41.807167,12.260461",0,23,247
1762712141,2025-11-09T18:15:41Z,AEA19SN,"41.807087,12.260212",0,28,247
1762712143,2025-11-09T18:15:43Z,AEA19SN,"41.806961,12.259759",0,39,250
1762712144,2025-11-09T18:15:44Z,AEA19SN,"41.806843,12.259337",0,48,250
1762712145,2025-11-09T18:15:45Z,AEA19SN,"41.806767,12.25901",0,53,250
1762712147,2025-11-09T18:15:47Z,AEA19SN,"41.806572,12.258339",0,63,250
1762712149,2025-11-09T18:15:49Z,AEA19SN,"41.806412,12.25774",0,68,250
1762712151,2025-11-09T18:15:51Z,AEA19SN,"41.806099,12.256639",0,80,250
1762712152,2025-11-09T18:15:52Z,AEA19SN,"41.805965,12.256139",0,86,250
1762712154,2025-11-09T18:15:54Z,AEA19SN,"41.805805,12.255552",0,90,250
1762712155,2025-11-09T18:15:55Z,AEA19SN,"41.805588,12.254749",0,94,249
1762712156,2025-11-09T18:15:56Z,AEA19SN,"41.805401,12.254099",0,99,249
1762712159,2025-11-09T18:15:59Z,AEA19SN,"41.804947,12.25244",50,116,249
1762712161,2025-11-09T18:16:01Z,AEA19SN,"41.804516,12.250842",50,120,250
1762712163,2025-11-09T18:16:03Z,AEA19SN,"41.804077,12.249319",50,127,249
1762712166,2025-11-09T18:16:06Z,AEA19SN,"41.803528,12.247321",50,139,249
1762712172,2025-11-09T18:16:12Z,AEA19SN,"41.801971,12.241578",50,161,249
1762712178,2025-11-09T18:16:18Z,AEA19SN,"41.800278,12.235836",225,165,247
1762712180,2025-11-09T18:16:20Z,AEA19SN,"41.799534,12.233468",325,166,248
1762712182,2025-11-09T18:16:22Z,AEA19SN,"41.798996,12.231591",375,167,248
1762712185,2025-11-09T18:16:25Z,AEA19SN,"41.798416,12.229635",450,169,249
1762712187,2025-11-09T18:16:27Z,AEA19SN,"41.797764,12.227208",550,169,249
1762712189,2025-11-09T18:16:29Z,AEA19SN,"41.797207,12.225164",625,170,250
1762712191,2025-11-09T18:16:31Z,AEA19SN,"41.796509,12.222673",750,171,249
1762712193,2025-11-09T18:16:33Z,AEA19SN,"41.795994,12.220821",825,172,248
1762712196,2025-11-09T18:16:36Z,AEA19SN,"41.79525,12.218329",900,174,247
1762712198,2025-11-09T18:16:38Z,AEA19SN,"41.794556,12.216235",975,177,246
1762712200,2025-11-09T18:16:40Z,AEA19SN,"41.793762,12.214114",1050,180,242
1762712202,2025-11-09T18:16:42Z,AEA19SN,"41.792969,12.212134",1100,182,240
1762712204,2025-11-09T18:16:44Z,AEA19SN,"41.791851,12.209707",1175,185,238
1762712206,2025-11-09T18:16:46Z,AEA19SN,"41.791016,12.207982",1200,186,236
