Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762653805,2025-11-09T02:03:25Z,VOZ1090,"-33.935963,151.179718",0,0,278
1762654869,2025-11-09T02:21:09Z,VOZ1090,"-33.935989,151.179962",0,3,281
1762654885,2025-11-09T02:21:25Z,VOZ1090,"-33.936035,151.180176",0,3,272
1762654903,2025-11-09T02:21:43Z,VOZ1090,"-33.936047,151.180389",0,3,233
1762654982,2025-11-09T02:23:02Z,VOZ1090,"-33.936348,151.180557",0,0,177
1762654996,2025-11-09T02:23:16Z,VOZ1090,"-33.93655,151.180573",0,4,177
1762655167,2025-11-09T02:26:07Z,VOZ1090,"-33.93679,151.180588",0,3,174
1762655177,2025-11-09T02:26:17Z,VOZ1090,"-33.937023,151.180664",0,6,163
1762655184,2025-11-09T02:26:24Z,VOZ1090,"-33.937244,151.18074",0,7,163
1762655193,2025-11-09T02:26:33Z,VOZ1090,"-33.937546,151.180756",0,9,191
1762655200,2025-11-09T02:26:40Z,VOZ1090,"-33.937752,151.180557",0,8,227
1762655205,2025-11-09T02:26:45Z,VOZ1090,"-33.93782,151.180344",0,8,253
1762655210,2025-11-09T02:26:50Z,VOZ1090,"-33.937866,151.180115",0,9,253
1762655215,2025-11-09T02:26:55Z,VOZ1090,"-33.937912,151.179901",0,9,253
1762655219,2025-11-09T02:26:59Z,VOZ1090,"-33.937965,151.179672",0,10,253
1762655224,2025-11-09T02:27:04Z,VOZ1090,"-33.938023,151.179413",0,11,255
1762655228,2025-11-09T02:27:08Z,VOZ1090,"-33.938061,151.179184",0,11,264
1762655232,2025-11-09T02:27:12Z,VOZ1090,"-33.938038,151.178925",0,11,278
1762655237,2025-11-09T02:27:17Z,VOZ1090,"-33.937958,151.178696",0,11,292
1762655241,2025-11-09T02:27:21Z,VOZ1090,"-33.93784,151.178467",0,11,303
1762655245,2025-11-09T02:27:25Z,VOZ1090,"-33.937729,151.178253",0,11,303
1762655250,2025-11-09T02:27:30Z,VOZ1090,"-33.937592,151.177994",0,11,300
1762655254,2025-11-09T02:27:34Z,VOZ1090,"-33.937489,151.177765",0,12,298
1762655258,2025-11-09T02:27:38Z,VOZ1090,"-33.937397,151.177551",0,12,298
1762655262,2025-11-09T02:27:42Z,VOZ1090,"-33.937294,151.177307",0,13,298
1762655267,2025-11-09T02:27:47Z,VOZ1090,"-33.937111,151.176941",0,14,303
1762655272,2025-11-09T02:27:52Z,VOZ1090,"-33.936848,151.176682",0,15,323
1762655276,2025-11-09T02:27:56Z,VOZ1090,"-33.936619,151.176437",0,15,315
