Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762353667,2025-11-05T14:41:07Z,HVN143,"16.053738,108.201836",0,0,81
1762354270,2025-11-05T14:51:10Z,HVN143,"16.05369,108.201622",0,2,84
1762354289,2025-11-05T14:51:29Z,HVN143,"16.053646,108.201416",0,2,101
1762354306,2025-11-05T14:51:46Z,HVN143,"16.053658,108.20121",0,3,132
1762354329,2025-11-05T14:52:09Z,HVN143,"16.053829,108.200996",0,3,165
1762354574,2025-11-05T14:56:14Z,HVN143,"16.053621,108.200775",0,5,222
1762354585,2025-11-05T14:56:25Z,HVN143,"16.053543,108.200562",0,4,239
1762354597,2025-11-05T14:56:37Z,HVN143,"16.053314,108.200478",0,4,205
1762354609,2025-11-05T14:56:49Z,HVN143,"16.053108,108.200493",0,4,182
1762354620,2025-11-05T14:57:00Z,HVN143,"16.052887,108.200531",0,5,174
1762354628,2025-11-05T14:57:08Z,HVN143,"16.052673,108.200562",0,6,171
1762354636,2025-11-05T14:57:16Z,HVN143,"16.052469,108.200584",0,6,171
1762354643,2025-11-05T14:57:23Z,HVN143,"16.052248,108.200615",0,7,171
1762354650,2025-11-05T14:57:30Z,HVN143,"16.05201,108.200645",0,7,171
1762354658,2025-11-05T14:57:38Z,HVN143,"16.051771,108.200691",0,7,171
1762354664,2025-11-05T14:57:44Z,HVN143,"16.051561,108.200714",0,8,171
1762354671,2025-11-05T14:57:51Z,HVN143,"16.05127,108.200768",0,8,171
1762354679,2025-11-05T14:57:59Z,HVN143,"16.050966,108.200806",0,9,171
1762354686,2025-11-05T14:58:06Z,HVN143,"16.050625,108.200851",0,10,171
1762354694,2025-11-05T14:58:14Z,HVN143,"16.050234,108.200912",0,11,171
1762354701,2025-11-05T14:58:21Z,HVN143,"16.049824,108.200974",0,12,171
1762354708,2025-11-05T14:58:28Z,HVN143,"16.049377,108.201035",0,13,171
1762354716,2025-11-05T14:58:36Z,HVN143,"16.048874,108.201103",0,15,171
1762354723,2025-11-05T14:58:43Z,HVN143,"16.048384,108.201172",0,16,171
1762354731,2025-11-05T14:58:51Z,HVN143,"16.047779,108.201271",0,17,171
1762354737,2025-11-05T14:58:57Z,HVN143,"16.047243,108.20134",0,18,171
1762354745,2025-11-05T14:59:05Z,HVN143,"16.046528,108.201454",0,19,171
1762354752,2025-11-05T14:59:12Z,HVN143,"16.045864,108.201538",0,20,171
1762354760,2025-11-05T14:59:20Z,HVN143,"16.045101,108.20166",0,21,171
1762354767,2025-11-05T14:59:27Z,HVN143,"16.04431,108.201767",0,22,171
1762354775,2025-11-05T14:59:35Z,HVN143,"16.043552,108.201874",0,23,171
1762354781,2025-11-05T14:59:41Z,HVN143,"16.042831,108.201981",0,24,171
1762354789,2025-11-05T14:59:49Z,HVN143,"16.041901,108.202118",0,25,171
1762354798,2025-11-05T14:59:58Z,HVN143,"16.040888,108.202263",0,25,171
1762354805,2025-11-05T15:00:05Z,HVN143,"16.039993,108.202393",0,26,171
1762354812,2025-11-05T15:00:12Z,HVN143,"16.039108,108.202522",0,27,171
1762354820,2025-11-05T15:00:20Z,HVN143,"16.038107,108.202667",0,28,171
1762354827,2025-11-05T15:00:27Z,HVN143,"16.037117,108.202812",0,29,171
1762354835,2025-11-05T15:00:35Z,HVN143,"16.036114,108.202957",0,29,171
1762354843,2025-11-05T15:00:43Z,HVN143,"16.034935,108.203133",0,29,171
1762354850,2025-11-05T15:00:50Z,HVN143,"16.034019,108.203262",0,29,171
1762354857,2025-11-05T15:00:57Z,HVN143,"16.033001,108.203407",0,29,171
1762354864,2025-11-05T15:01:04Z,HVN143,"16.032097,108.203537",0,28,171
1762354871,2025-11-05T15:01:11Z,HVN143,"16.031345,108.203659",0,24,171
1762354878,2025-11-05T15:01:18Z,HVN143,"16.030655,108.203758",0,20,171
1762354884,2025-11-05T15:01:24Z,HVN143,"16.0301,108.203819",0,18,177
1762354887,2025-11-05T15:01:27Z,HVN143,"16.029831,108.203781",0,17,188
1762354891,2025-11-05T15:01:31Z,HVN143,"16.029602,108.203659",0,15,202
1762354895,2025-11-05T15:01:35Z,HVN143,"16.029402,108.203461",0,15,222
1762354899,2025-11-05T15:01:39Z,HVN143,"16.029274,108.203239",0,14,241
1762354902,2025-11-05T15:01:42Z,HVN143,"16.029215,108.202972",0,14,255
1762354906,2025-11-05T15:01:46Z,HVN143,"16.029236,108.202705",0,14,275
1762354912,2025-11-05T15:01:52Z,HVN143,"16.029499,108.202492",0,13,323
1762354916,2025-11-05T15:01:56Z,HVN143,"16.029716,108.202477",0,13,348
1762354919,2025-11-05T15:01:59Z,HVN143,"16.029922,108.202446",0,13,351
1762354923,2025-11-05T15:02:03Z,HVN143,"16.030182,108.202408",0,14,351
1762354927,2025-11-05T15:02:07Z,HVN143,"16.030485,108.20237",0,18,351
1762354929,2025-11-05T15:02:09Z,HVN143,"16.030746,108.202332",0,21,351
1762354931,2025-11-05T15:02:11Z,HVN143,"16.030962,108.202301",0,26,351
1762354933,2025-11-05T15:02:13Z,HVN143,"16.031416,108.20224",0,36,351
1762354941,2025-11-05T15:02:21Z,HVN143,"16.033684,108.201904",0,74,351
1762354949,2025-11-05T15:02:29Z,HVN143,"16.037338,108.201355",125,105,352
1762354958,2025-11-05T15:02:38Z,HVN143,"16.04274,108.200569",125,140,352
1762354967,2025-11-05T15:02:47Z,HVN143,"16.049149,108.199577",200,164,350
1762354974,2025-11-05T15:02:54Z,HVN143,"16.05423,108.198708",450,162,350
1762354982,2025-11-05T15:03:02Z,HVN143,"16.060547,108.197792",800,160,352
1762354991,2025-11-05T15:03:11Z,HVN143,"16.067413,108.196831",1075,165,353
1762355000,2025-11-05T15:03:20Z,HVN143,"16.074234,108.196106",1300,173,354
1762355002,2025-11-05T15:03:22Z,HVN143,"16.076294,108.195961",1350,176,355
1762355007,2025-11-05T15:03:27Z,HVN143,"16.079981,108.195717",1450,181,356
1762355009,2025-11-05T15:03:29Z,HVN143,"16.081657,108.195618",1500,183,356
1762355011,2025-11-05T15:03:31Z,HVN143,"16.083473,108.195518",1550,185,357
1762355013,2025-11-05T15:03:33Z,HVN143,"16.085009,108.195465",1600,188,357
1762355015,2025-11-05T15:03:35Z,HVN143,"16.086964,108.195374",1650,191,357
1762355017,2025-11-05T15:03:37Z,HVN143,"16.089111,108.19529",1700,194,358
1762355019,2025-11-05T15:03:39Z,HVN143,"16.090851,108.195236",1750,196,358
1762355021,2025-11-05T15:03:41Z,HVN143,"16.093155,108.195221",1800,199,358
1762355024,2025-11-05T15:03:44Z,HVN143,"16.095158,108.195175",1850,202,359
1762355026,2025-11-05T15:03:46Z,HVN143,"16.097488,108.195145",1925,205,359
1762355030,2025-11-05T15:03:50Z,HVN143,"16.101288,108.195145",2025,212,2
1762355032,2025-11-05T15:03:52Z,HVN143,"16.103769,108.195122",2100,214,2
1762355034,2025-11-05T15:03:54Z,HVN143,"16.105911,108.195175",2175,217,2
1762355037,2025-11-05T15:03:57Z,HVN143,"16.108063,108.19519",2250,221,2
1762355039,2025-11-05T15:03:59Z,HVN143,"16.110443,108.19519",2325,223,2
1762355041,2025-11-05T15:04:01Z,HVN143,"16.112986,108.195221",2400,225,2
