Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761925051,2025-10-31T15:37:31Z,HVN7211,"21.217209,105.812325",225,177,107
1761925061,2025-10-31T15:37:41Z,HVN7211,"21.214554,105.820518",675,176,109
1761925070,2025-10-31T15:37:50Z,HVN7211,"21.212086,105.828194",1125,176,108
1761925077,2025-10-31T15:37:57Z,HVN7211,"21.210297,105.834099",1350,181,107
1761925088,2025-10-31T15:38:08Z,HVN7211,"21.20771,105.843353",1650,189,106
1761925094,2025-10-31T15:38:14Z,HVN7211,"21.206127,105.849251",1850,196,106
1761925102,2025-10-31T15:38:22Z,HVN7211,"21.204208,105.856667",2075,203,105
1761925109,2025-10-31T15:38:29Z,HVN7211,"21.202356,105.864105",2275,213,104
1761925118,2025-10-31T15:38:38Z,HVN7211,"21.199982,105.87336",2550,222,105
1761925127,2025-10-31T15:38:47Z,HVN7211,"21.197433,105.883484",2850,234,105
1761925136,2025-10-31T15:38:56Z,HVN7211,"21.194916,105.893173",3125,242,105
1761925145,2025-10-31T15:39:05Z,HVN7211,"21.192022,105.904083",3475,250,105
1761925151,2025-10-31T15:39:11Z,HVN7211,"21.19002,105.911507",3775,252,105
1761925158,2025-10-31T15:39:18Z,HVN7211,"21.187786,105.919746",4125,253,105
1761925167,2025-10-31T15:39:27Z,HVN7211,"21.184898,105.930382",4625,254,106
1761925173,2025-10-31T15:39:33Z,HVN7211,"21.182693,105.938515",4975,255,106
1761925182,2025-10-31T15:39:42Z,HVN7211,"21.179825,105.948944",5425,256,106
1761925195,2025-10-31T15:39:55Z,HVN7211,"21.175543,105.964561",6000,260,106
1761925206,2025-10-31T15:40:06Z,HVN7211,"21.170471,105.977966",6375,267,116
1761925208,2025-10-31T15:40:08Z,HVN7211,"21.168869,105.980515",6450,268,119
1761925210,2025-10-31T15:40:10Z,HVN7211,"21.167582,105.982513",6525,270,125
1761925212,2025-10-31T15:40:12Z,HVN7211,"21.16544,105.985161",6600,271,129
1761925214,2025-10-31T15:40:14Z,HVN7211,"21.163578,105.987144",6700,272,132
1761925216,2025-10-31T15:40:16Z,HVN7211,"21.161716,105.988869",6750,273,136
1761925219,2025-10-31T15:40:19Z,HVN7211,"21.159529,105.990654",6850,273,140
1761925221,2025-10-31T15:40:21Z,HVN7211,"21.156595,105.992638",6950,274,144
1761925223,2025-10-31T15:40:23Z,HVN7211,"21.154541,105.993797",7025,275,150
1761925225,2025-10-31T15:40:25Z,HVN7211,"21.151749,105.995193",7125,275,153
1761925228,2025-10-31T15:40:28Z,HVN7211,"21.149101,105.996246",7225,276,157
1761925230,2025-10-31T15:40:30Z,HVN7211,"21.146214,105.997009",7325,277,161
1761925232,2025-10-31T15:40:32Z,HVN7211,"21.143282,105.997719",7425,278,166
1761925234,2025-10-31T15:40:34Z,HVN7211,"21.14072,105.998177",7525,277,168
1761925236,2025-10-31T15:40:36Z,HVN7211,"21.138428,105.998543",7600,278,171
1761925240,2025-10-31T15:40:40Z,HVN7211,"21.133438,105.999237",7800,278,172
1761925242,2025-10-31T15:40:42Z,HVN7211,"21.130341,105.999657",7925,279,172
1761925245,2025-10-31T15:40:45Z,HVN7211,"21.127733,106.000008",8025,279,172
1761925247,2025-10-31T15:40:47Z,HVN7211,"21.124649,106.000435",8125,280,172
1761925249,2025-10-31T15:40:49Z,HVN7211,"21.122473,106.000725",8200,280,173
1761925251,2025-10-31T15:40:51Z,HVN7211,"21.119215,106.001129",8350,280,173
1761925253,2025-10-31T15:40:53Z,HVN7211,"21.116514,106.001488",8425,280,173
1761925256,2025-10-31T15:40:56Z,HVN7211,"21.112885,106.001938",8575,280,173
1761925258,2025-10-31T15:40:58Z,HVN7211,"21.110825,106.002235",8650,280,173
1761925260,2025-10-31T15:41:00Z,HVN7211,"21.107346,106.002686",8775,281,173
1761925275,2025-10-31T15:41:15Z,HVN7211,"21.088211,106.005234",9425,283,172
1761925288,2025-10-31T15:41:28Z,HVN7211,"21.070358,106.007729",10025,286,172
1761925301,2025-10-31T15:41:41Z,HVN7211,"21.054016,106.010124",10475,291,171
1761925314,2025-10-31T15:41:54Z,HVN7211,"21.036072,106.012825",10725,306,171
1761925327,2025-10-31T15:42:07Z,HVN7211,"21.016706,106.01577",10975,319,171
1761925340,2025-10-31T15:42:20Z,HVN7211,"20.996922,106.018814",11200,332,171
1761925354,2025-10-31T15:42:34Z,HVN7211,"20.975418,106.022141",11550,342,171
1761925369,2025-10-31T15:42:49Z,HVN7211,"20.951843,106.025764",12075,348,171
1761925402,2025-10-31T15:43:22Z,HVN7211,"20.898651,106.033958",13350,354,171
1761925434,2025-10-31T15:43:54Z,HVN7211,"20.845688,106.041954",14550,360,171
1761925467,2025-10-31T15:44:27Z,HVN7211,"20.790619,106.050438",15725,364,171
1761925497,2025-10-31T15:44:57Z,HVN7211,"20.739304,106.058281",16650,372,171
1761925530,2025-10-31T15:45:30Z,HVN7211,"20.684555,106.066605",18200,362,171
