Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762703484,2025-11-09T15:51:24Z,VLG76YG,"41.290077,2.080688",0,0,343
1762703498,2025-11-09T15:51:38Z,VLG76YG,"41.289845,2.080786",0,3,8
1762703512,2025-11-09T15:51:52Z,VLG76YG,"41.289642,2.080765",0,3,33
1762703691,2025-11-09T15:54:51Z,VLG76YG,"41.289497,2.081207",0,0,112
1762703699,2025-11-09T15:54:59Z,VLG76YG,"41.289185,2.081436",0,9,151
1762703704,2025-11-09T15:55:04Z,VLG76YG,"41.288971,2.081566",0,11,154
1762703712,2025-11-09T15:55:12Z,VLG76YG,"41.288555,2.081802",0,13,154
1762703717,2025-11-09T15:55:17Z,VLG76YG,"41.288235,2.082001",0,15,157
1762703721,2025-11-09T15:55:21Z,VLG76YG,"41.288006,2.082128",0,15,154
1762703724,2025-11-09T15:55:24Z,VLG76YG,"41.28775,2.082299",0,15,154
1762703728,2025-11-09T15:55:28Z,VLG76YG,"41.287548,2.082367",0,14,165
1762703732,2025-11-09T15:55:32Z,VLG76YG,"41.287319,2.082346",0,13,177
1762703737,2025-11-09T15:55:37Z,VLG76YG,"41.287086,2.082596",0,13,129
1762703740,2025-11-09T15:55:40Z,VLG76YG,"41.287121,2.082892",0,13,84
1762703744,2025-11-09T15:55:44Z,VLG76YG,"41.287205,2.083111",0,12,70
1762703746,2025-11-09T15:55:46Z,VLG76YG,"41.287273,2.083313",0,14,64
1762703750,2025-11-09T15:55:50Z,VLG76YG,"41.287376,2.083618",0,15,64
1762703752,2025-11-09T15:55:52Z,VLG76YG,"41.287457,2.083862",0,16,64
1762703755,2025-11-09T15:55:55Z,VLG76YG,"41.28754,2.084094",0,17,64
1762703757,2025-11-09T15:55:57Z,VLG76YG,"41.287632,2.084359",0,18,64
1762703760,2025-11-09T15:56:00Z,VLG76YG,"41.287727,2.084625",0,18,64
1762703763,2025-11-09T15:56:03Z,VLG76YG,"41.28783,2.084937",0,18,64
1762703771,2025-11-09T15:56:11Z,VLG76YG,"41.288136,2.085826",0,20,64
1762703778,2025-11-09T15:56:18Z,VLG76YG,"41.288429,2.0867",0,21,64
1762703785,2025-11-09T15:56:25Z,VLG76YG,"41.288704,2.087509",0,21,64
1762703792,2025-11-09T15:56:32Z,VLG76YG,"41.289032,2.088464",0,22,67
1762703795,2025-11-09T15:56:35Z,VLG76YG,"41.289162,2.088837",0,22,64
1762703798,2025-11-09T15:56:38Z,VLG76YG,"41.289253,2.089096",0,22,64
1762703800,2025-11-09T15:56:40Z,VLG76YG,"41.289368,2.089431",0,23,64
1762703802,2025-11-09T15:56:42Z,VLG76YG,"41.289459,2.089722",0,23,64
1762703805,2025-11-09T15:56:45Z,VLG76YG,"41.289585,2.090073",0,24,64
1762703807,2025-11-09T15:56:47Z,VLG76YG,"41.289677,2.090347",0,24,64
1762703809,2025-11-09T15:56:49Z,VLG76YG,"41.289776,2.090617",0,22,64
1762703816,2025-11-09T15:56:56Z,VLG76YG,"41.290054,2.091444",0,21,64
1762703818,2025-11-09T15:56:58Z,VLG76YG,"41.290157,2.091756",0,22,64
1762703820,2025-11-09T15:57:00Z,VLG76YG,"41.290241,2.092006",0,22,64
1762703822,2025-11-09T15:57:02Z,VLG76YG,"41.290333,2.092271",0,22,64
1762703825,2025-11-09T15:57:05Z,VLG76YG,"41.290443,2.092545",0,22,64
1762703827,2025-11-09T15:57:07Z,VLG76YG,"41.290543,2.092849",0,22,64
1762703829,2025-11-09T15:57:09Z,VLG76YG,"41.290623,2.093114",0,23,64
1762703836,2025-11-09T15:57:16Z,VLG76YG,"41.290924,2.093994",0,24,64
1762703843,2025-11-09T15:57:23Z,VLG76YG,"41.291325,2.095143",0,25,64
1762703849,2025-11-09T15:57:29Z,VLG76YG,"41.291553,2.095825",0,23,64
1762703851,2025-11-09T15:57:31Z,VLG76YG,"41.291649,2.096126",0,22,64
1762703853,2025-11-09T15:57:33Z,VLG76YG,"41.291763,2.096438",0,22,64
1762703855,2025-11-09T15:57:35Z,VLG76YG,"41.291862,2.09671",0,23,64
1762703858,2025-11-09T15:57:38Z,VLG76YG,"41.291954,2.097",0,23,64
1762703860,2025-11-09T15:57:40Z,VLG76YG,"41.292068,2.097321",0,23,64
1762703862,2025-11-09T15:57:42Z,VLG76YG,"41.292171,2.097624",0,21,67
1762703867,2025-11-09T15:57:47Z,VLG76YG,"41.29232,2.098083",0,19,67
1762703870,2025-11-09T15:57:50Z,VLG76YG,"41.292423,2.098373",0,18,64
1762703872,2025-11-09T15:57:52Z,VLG76YG,"41.292503,2.098618",0,18,64
1762703874,2025-11-09T15:57:54Z,VLG76YG,"41.292583,2.098846",0,19,64
1762703876,2025-11-09T15:57:56Z,VLG76YG,"41.292683,2.099107",0,18,61
1762703880,2025-11-09T15:58:00Z,VLG76YG,"41.292847,2.09938",0,15,50
1762703883,2025-11-09T15:58:03Z,VLG76YG,"41.292999,2.099637",0,15,56
1762703887,2025-11-09T15:58:07Z,VLG76YG,"41.293079,2.099918",0,16,64
1762703890,2025-11-09T15:58:10Z,VLG76YG,"41.29319,2.100235",0,17,64
1762703892,2025-11-09T15:58:12Z,VLG76YG,"41.293266,2.100449",0,18,64
1762703894,2025-11-09T15:58:14Z,VLG76YG,"41.293335,2.100667",0,18,64
1762703896,2025-11-09T15:58:16Z,VLG76YG,"41.293419,2.100906",0,17,64
1762703899,2025-11-09T15:58:19Z,VLG76YG,"41.293499,2.10112",0,16,64
1762703902,2025-11-09T15:58:22Z,VLG76YG,"41.293579,2.101364",0,15,64
1762703907,2025-11-09T15:58:27Z,VLG76YG,"41.293709,2.101791",0,15,73
