Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762184089,2025-11-03T15:34:49Z,WUK709,"44.81826,20.29158",0,0,303
1762184564,2025-11-03T15:42:44Z,WUK709,"44.818142,20.291782",0,2,300
1762184578,2025-11-03T15:42:58Z,WUK709,"44.81805,20.292",0,3,306
1762184591,2025-11-03T15:43:11Z,WUK709,"44.81797,20.2922",0,3,323
1762184603,2025-11-03T15:43:23Z,WUK709,"44.817902,20.292402",0,3,2
1762184804,2025-11-03T15:46:44Z,WUK709,"44.817936,20.292603",0,5,30
1762184814,2025-11-03T15:46:54Z,WUK709,"44.818165,20.29281",0,7,33
1762184822,2025-11-03T15:47:02Z,WUK709,"44.818436,20.293037",0,9,30
1762184829,2025-11-03T15:47:09Z,WUK709,"44.81868,20.293255",0,8,33
1762184836,2025-11-03T15:47:16Z,WUK709,"44.818901,20.293457",0,8,33
1762184844,2025-11-03T15:47:24Z,WUK709,"44.819134,20.293657",0,7,33
1762184853,2025-11-03T15:47:33Z,WUK709,"44.819389,20.293873",0,7,30
1762184863,2025-11-03T15:47:43Z,WUK709,"44.819599,20.294075",0,5,36
1762184870,2025-11-03T15:47:50Z,WUK709,"44.81963,20.294283",0,5,61
1762184877,2025-11-03T15:47:57Z,WUK709,"44.819584,20.294512",0,6,92
1762184884,2025-11-03T15:48:04Z,WUK709,"44.819481,20.294729",0,7,115
1762184889,2025-11-03T15:48:09Z,WUK709,"44.819435,20.294935",0,8,106
1762184893,2025-11-03T15:48:13Z,WUK709,"44.819515,20.295181",0,9,75
1762184900,2025-11-03T15:48:20Z,WUK709,"44.819725,20.295366",0,9,39
1762184906,2025-11-03T15:48:26Z,WUK709,"44.819958,20.295549",0,9,30
1762184911,2025-11-03T15:48:31Z,WUK709,"44.820168,20.295734",0,10,33
1762184918,2025-11-03T15:48:38Z,WUK709,"44.820431,20.295965",0,10,30
1762184923,2025-11-03T15:48:43Z,WUK709,"44.820648,20.296146",0,10,30
1762184928,2025-11-03T15:48:48Z,WUK709,"44.820808,20.296391",0,9,47
1762184932,2025-11-03T15:48:52Z,WUK709,"44.82082,20.296638",0,10,75
1762184939,2025-11-03T15:48:59Z,WUK709,"44.820671,20.297045",0,12,118
1762184942,2025-11-03T15:49:02Z,WUK709,"44.820553,20.297276",0,13,123
1762184945,2025-11-03T15:49:05Z,WUK709,"44.820473,20.297493",0,13,123
1762184950,2025-11-03T15:49:10Z,WUK709,"44.820309,20.297844",0,14,120
1762184953,2025-11-03T15:49:13Z,WUK709,"44.820217,20.298044",0,14,123
1762184956,2025-11-03T15:49:16Z,WUK709,"44.82011,20.298271",0,14,123
1762184959,2025-11-03T15:49:19Z,WUK709,"44.819996,20.298548",0,14,123
1762184963,2025-11-03T15:49:23Z,WUK709,"44.819855,20.298866",0,15,123
1762184966,2025-11-03T15:49:26Z,WUK709,"44.819763,20.299067",0,15,123
1762184969,2025-11-03T15:49:29Z,WUK709,"44.819645,20.299335",0,15,123
1762184976,2025-11-03T15:49:36Z,WUK709,"44.819378,20.299938",0,14,123
1762184983,2025-11-03T15:49:43Z,WUK709,"44.819138,20.300495",0,14,123
1762184991,2025-11-03T15:49:51Z,WUK709,"44.818863,20.3011",0,14,123
1762184999,2025-11-03T15:49:59Z,WUK709,"44.8186,20.301687",0,14,123
1762185006,2025-11-03T15:50:06Z,WUK709,"44.818348,20.302259",0,14,123
1762185014,2025-11-03T15:50:14Z,WUK709,"44.818085,20.302835",0,14,120
1762185018,2025-11-03T15:50:18Z,WUK709,"44.817959,20.303137",0,14,123
1762185020,2025-11-03T15:50:20Z,WUK709,"44.817863,20.303337",0,14,123
1762185024,2025-11-03T15:50:24Z,WUK709,"44.81776,20.303589",0,15,120
1762185026,2025-11-03T15:50:26Z,WUK709,"44.817665,20.303789",0,15,123
1762185031,2025-11-03T15:50:31Z,WUK709,"44.817513,20.30414",0,15,123
1762185033,2025-11-03T15:50:33Z,WUK709,"44.817398,20.304419",0,15,120
1762185037,2025-11-03T15:50:37Z,WUK709,"44.817261,20.304729",0,16,120
1762185040,2025-11-03T15:50:40Z,WUK709,"44.817154,20.304962",0,16,123
1762185042,2025-11-03T15:50:42Z,WUK709,"44.817055,20.305187",0,16,123
1762185045,2025-11-03T15:50:45Z,WUK709,"44.816898,20.305515",0,17,123
1762185048,2025-11-03T15:50:48Z,WUK709,"44.81678,20.305807",0,17,120
1762185052,2025-11-03T15:50:52Z,WUK709,"44.816608,20.306185",0,17,123
1762185054,2025-11-03T15:50:54Z,WUK709,"44.816505,20.306429",0,17,120
1762185057,2025-11-03T15:50:57Z,WUK709,"44.816391,20.30669",0,18,123
1762185059,2025-11-03T15:50:59Z,WUK709,"44.816277,20.306936",0,18,123
1762185062,2025-11-03T15:51:02Z,WUK709,"44.816177,20.307156",0,18,123
1762185064,2025-11-03T15:51:04Z,WUK709,"44.816048,20.30744",0,19,120
1762185066,2025-11-03T15:51:06Z,WUK709,"44.815945,20.307674",0,19,120
1762185069,2025-11-03T15:51:09Z,WUK709,"44.815807,20.307981",0,20,120
1762185072,2025-11-03T15:51:12Z,WUK709,"44.815689,20.308262",0,20,120
1762185074,2025-11-03T15:51:14Z,WUK709,"44.815578,20.308521",0,21,123
1762185076,2025-11-03T15:51:16Z,WUK709,"44.815434,20.30883",0,21,123
1762185079,2025-11-03T15:51:19Z,WUK709,"44.815304,20.309132",0,22,120
1762185081,2025-11-03T15:51:21Z,WUK709,"44.815163,20.30945",0,22,123
1762185083,2025-11-03T15:51:23Z,WUK709,"44.815075,20.30965",0,22,123
1762185085,2025-11-03T15:51:25Z,WUK709,"44.81498,20.309868",0,23,120
1762185087,2025-11-03T15:51:27Z,WUK709,"44.814869,20.310123",0,23,123
1762185089,2025-11-03T15:51:29Z,WUK709,"44.814724,20.310438",0,24,123
1762185091,2025-11-03T15:51:31Z,WUK709,"44.814606,20.310713",0,24,120
1762185093,2025-11-03T15:51:33Z,WUK709,"44.814514,20.310925",0,25,123
1762185095,2025-11-03T15:51:35Z,WUK709,"44.814354,20.311268",0,25,123
1762185097,2025-11-03T15:51:37Z,WUK709,"44.814255,20.311493",0,25,123
1762185098,2025-11-03T15:51:38Z,WUK709,"44.814171,20.31171",0,26,120
1762185100,2025-11-03T15:51:40Z,WUK709,"44.814037,20.311996",0,26,123
