Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762605546,2025-11-08T12:39:06Z,WIA615,"18.0431,-63.114002",0,0,269
1762605681,2025-11-08T12:41:21Z,WIA615,"18.043123,-63.113792",0,7,104
1762605687,2025-11-08T12:41:27Z,WIA615,"18.042995,-63.113575",0,10,143
1762605693,2025-11-08T12:41:33Z,WIA615,"18.042744,-63.113384",0,13,140
1762605698,2025-11-08T12:41:38Z,WIA615,"18.04253,-63.113216",0,14,149
1762605701,2025-11-08T12:41:41Z,WIA615,"18.042309,-63.113132",0,15,163
1762605704,2025-11-08T12:41:44Z,WIA615,"18.042088,-63.113071",0,15,168
1762605708,2025-11-08T12:41:48Z,WIA615,"18.041809,-63.113022",0,16,171
1762605712,2025-11-08T12:41:52Z,WIA615,"18.041506,-63.112984",0,19,171
1762605714,2025-11-08T12:41:54Z,WIA615,"18.041302,-63.112949",0,19,171
1762605718,2025-11-08T12:41:58Z,WIA615,"18.040958,-63.112915",0,18,171
1762605721,2025-11-08T12:42:01Z,WIA615,"18.040695,-63.112865",0,16,163
1762605725,2025-11-08T12:42:05Z,WIA615,"18.040489,-63.112648",0,15,112
1762605729,2025-11-08T12:42:09Z,WIA615,"18.04047,-63.112347",0,20,84
1762605732,2025-11-08T12:42:12Z,WIA615,"18.040516,-63.112091",0,28,78
1762605733,2025-11-08T12:42:13Z,WIA615,"18.040564,-63.111832",0,35,81
1762605735,2025-11-08T12:42:15Z,WIA615,"18.040649,-63.111298",0,49,81
1762605736,2025-11-08T12:42:16Z,WIA615,"18.04068,-63.111073",0,55,81
1762605738,2025-11-08T12:42:18Z,WIA615,"18.040752,-63.110638",0,62,81
1762605739,2025-11-08T12:42:19Z,WIA615,"18.040808,-63.110275",0,65,81
1762605740,2025-11-08T12:42:20Z,WIA615,"18.040878,-63.109756",0,72,81
1762605741,2025-11-08T12:42:21Z,WIA615,"18.040947,-63.109394",0,78,81
1762605743,2025-11-08T12:42:23Z,WIA615,"18.040995,-63.109001",0,82,81
1762605744,2025-11-08T12:42:24Z,WIA615,"18.04104,-63.108608",0,85,81
1762605745,2025-11-08T12:42:25Z,WIA615,"18.04118,-63.107773",0,88,80
1762605746,2025-11-08T12:42:26Z,WIA615,"18.041245,-63.1073",0,89,80
1762605747,2025-11-08T12:42:27Z,WIA615,"18.041319,-63.106842",0,88,81
1762605748,2025-11-08T12:42:28Z,WIA615,"18.041319,-63.106499",0,87,85
1762605750,2025-11-08T12:42:30Z,WIA615,"18.041367,-63.106056",0,87,88
1762605752,2025-11-08T12:42:32Z,WIA615,"18.04129,-63.104939",200,87,93
1762605754,2025-11-08T12:42:34Z,WIA615,"18.041134,-63.103996",275,87,103
1762605757,2025-11-08T12:42:37Z,WIA615,"18.040787,-63.102962",350,88,111
1762605759,2025-11-08T12:42:39Z,WIA615,"18.040375,-63.102242",400,87,122
1762605761,2025-11-08T12:42:41Z,WIA615,"18.039825,-63.101517",475,87,131
1762605764,2025-11-08T12:42:44Z,WIA615,"18.039085,-63.100761",575,87,141
1762605766,2025-11-08T12:42:46Z,WIA615,"18.03834,-63.100269",625,87,147
1762605768,2025-11-08T12:42:48Z,WIA615,"18.037642,-63.099827",675,89,151
1762605771,2025-11-08T12:42:51Z,WIA615,"18.036713,-63.09935",750,91,154
1762605773,2025-11-08T12:42:53Z,WIA615,"18.035593,-63.098846",800,96,158
1762605775,2025-11-08T12:42:55Z,WIA615,"18.034616,-63.098503",825,103,159
1762605777,2025-11-08T12:42:57Z,WIA615,"18.033686,-63.09811",825,109,159
1762605779,2025-11-08T12:42:59Z,WIA615,"18.032707,-63.097767",850,112,160
1762605781,2025-11-08T12:43:01Z,WIA615,"18.031677,-63.097374",875,111,160
1762605784,2025-11-08T12:43:04Z,WIA615,"18.030474,-63.096886",925,111,159
1762605786,2025-11-08T12:43:06Z,WIA615,"18.029682,-63.096592",950,109,158
1762605788,2025-11-08T12:43:08Z,WIA615,"18.028427,-63.096024",1000,108,157
1762605790,2025-11-08T12:43:10Z,WIA615,"18.027262,-63.095512",1050,108,156
1762605793,2025-11-08T12:43:13Z,WIA615,"18.026096,-63.09502",1075,110,156
1762605795,2025-11-08T12:43:15Z,WIA615,"18.024887,-63.094383",1100,112,154
1762605798,2025-11-08T12:43:18Z,WIA615,"18.024033,-63.093903",1125,111,151
1762605800,2025-11-08T12:43:20Z,WIA615,"18.022839,-63.093208",1175,109,149
1762605802,2025-11-08T12:43:22Z,WIA615,"18.021927,-63.092602",1225,108,147
1762605804,2025-11-08T12:43:24Z,WIA615,"18.02092,-63.09193",1275,106,144
1762605807,2025-11-08T12:43:27Z,WIA615,"18.019953,-63.091148",1325,106,142
1762605810,2025-11-08T12:43:30Z,WIA615,"18.019161,-63.090462",1350,105,139
1762605812,2025-11-08T12:43:32Z,WIA615,"18.018311,-63.089664",1375,106,137
1762605814,2025-11-08T12:43:34Z,WIA615,"18.017485,-63.08884",1375,108,135
1762605817,2025-11-08T12:43:37Z,WIA615,"18.016554,-63.08786",1400,111,133
1762605819,2025-11-08T12:43:39Z,WIA615,"18.015717,-63.08688",1400,112,133
1762605821,2025-11-08T12:43:41Z,WIA615,"18.014786,-63.08585",1425,113,132
1762605823,2025-11-08T12:43:43Z,WIA615,"18.014008,-63.084991",1450,115,131
1762605826,2025-11-08T12:43:46Z,WIA615,"18.013203,-63.083988",1450,116,131
1762605828,2025-11-08T12:43:48Z,WIA615,"18.012451,-63.083061",1450,118,129
1762605830,2025-11-08T12:43:50Z,WIA615,"18.011627,-63.082001",1475,118,129
1762605832,2025-11-08T12:43:52Z,WIA615,"18.010757,-63.080894",1475,121,128
1762605835,2025-11-08T12:43:55Z,WIA615,"18.010084,-63.080013",1475,123,128
1762605837,2025-11-08T12:43:57Z,WIA615,"18.009151,-63.078739",1475,125,127
1762605839,2025-11-08T12:43:59Z,WIA615,"18.008423,-63.077713",1475,127,126
1762605842,2025-11-08T12:44:02Z,WIA615,"18.007755,-63.076778",1475,128,125
1762605844,2025-11-08T12:44:04Z,WIA615,"18.00687,-63.075451",1475,129,125
1762605846,2025-11-08T12:44:06Z,WIA615,"18.006134,-63.074341",1475,130,125
1762605848,2025-11-08T12:44:08Z,WIA615,"18.005428,-63.073345",1475,132,125
1762605851,2025-11-08T12:44:11Z,WIA615,"18.004356,-63.071774",1475,134,125
1762605853,2025-11-08T12:44:13Z,WIA615,"18.00338,-63.0704",1450,136,126
1762605856,2025-11-08T12:44:16Z,WIA615,"18.002495,-63.069126",1450,136,126
1762605858,2025-11-08T12:44:18Z,WIA615,"18.001831,-63.068222",1450,136,126
1762605860,2025-11-08T12:44:20Z,WIA615,"18.000866,-63.066868",1450,136,126
1762605867,2025-11-08T12:44:27Z,WIA615,"17.998123,-63.06292",1450,138,126
1762605876,2025-11-08T12:44:36Z,WIA615,"17.99486,-63.058384",1450,138,127
1762605885,2025-11-08T12:44:45Z,WIA615,"17.991348,-63.053619",1450,138,127
1762605892,2025-11-08T12:44:52Z,WIA615,"17.988483,-63.0499",1450,139,128
1762605898,2025-11-08T12:44:58Z,WIA615,"17.985947,-63.046539",1450,140,128
1762605907,2025-11-08T12:45:07Z,WIA615,"17.982199,-63.041805",1450,139,130
1762605915,2025-11-08T12:45:15Z,WIA615,"17.97876,-63.03767",1450,138,131
1762605922,2025-11-08T12:45:22Z,WIA615,"17.97583,-63.034252",1450,139,132
1762605932,2025-11-08T12:45:32Z,WIA615,"17.971619,-63.02943",1450,140,132
1762605940,2025-11-08T12:45:40Z,WIA615,"17.967953,-63.025326",1450,139,133
1762605947,2025-11-08T12:45:47Z,WIA615,"17.964661,-63.021626",1475,138,132
1762605955,2025-11-08T12:45:55Z,WIA615,"17.961502,-63.017963",1475,137,131
1762605962,2025-11-08T12:46:02Z,WIA615,"17.958435,-63.014351",1475,137,130
1762605969,2025-11-08T12:46:09Z,WIA615,"17.955664,-63.010956",1475,137,130
