Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762549378,2025-11-07T21:02:58Z,WEN3539,"48.371315,-89.328705",0,4,47
1762549387,2025-11-07T21:03:07Z,WEN3539,"48.371372,-89.328499",0,2,67
1762549410,2025-11-07T21:03:30Z,WEN3539,"48.371429,-89.328247",0,12,67
1762549411,2025-11-07T21:03:31Z,WEN3539,"48.371475,-89.328041",0,23,67
1762549413,2025-11-07T21:03:33Z,WEN3539,"48.371555,-89.327721",0,29,67
1762549421,2025-11-07T21:03:41Z,WEN3539,"48.372349,-89.324303",0,0,67
1762549422,2025-11-07T21:03:42Z,WEN3539,"48.372406,-89.324089",0,82,67
1762549425,2025-11-07T21:03:45Z,WEN3539,"48.372894,-89.32209",900,82,67
1762549431,2025-11-07T21:03:51Z,WEN3539,"48.373314,-89.320221",900,128,70
1762549433,2025-11-07T21:03:53Z,WEN3539,"48.374432,-89.315453",825,134,70
1762549435,2025-11-07T21:03:55Z,WEN3539,"48.374908,-89.313637",875,138,70
1762549438,2025-11-07T21:03:58Z,WEN3539,"48.375362,-89.311623",925,139,70
1762549440,2025-11-07T21:04:00Z,WEN3539,"48.375828,-89.309593",1000,140,71
1762549442,2025-11-07T21:04:02Z,WEN3539,"48.376202,-89.307793",1075,140,72
1762549444,2025-11-07T21:04:04Z,WEN3539,"48.376621,-89.30584",1175,140,73
1762549446,2025-11-07T21:04:06Z,WEN3539,"48.377014,-89.30378",1275,140,73
1762549449,2025-11-07T21:04:09Z,WEN3539,"48.377506,-89.300995",1425,140,74
1762549451,2025-11-07T21:04:11Z,WEN3539,"48.377876,-89.299042",1500,140,75
1762549453,2025-11-07T21:04:13Z,WEN3539,"48.378155,-89.29731",1575,141,75
1762549455,2025-11-07T21:04:15Z,WEN3539,"48.378574,-89.294998",1675,143,75
1762549457,2025-11-07T21:04:17Z,WEN3539,"48.378937,-89.292648",1775,144,75
1762549459,2025-11-07T21:04:19Z,WEN3539,"48.379257,-89.290749",1850,146,76
1762549462,2025-11-07T21:04:22Z,WEN3539,"48.379532,-89.289055",1900,147,76
1762549464,2025-11-07T21:04:24Z,WEN3539,"48.379898,-89.286522",1975,150,76
1762549466,2025-11-07T21:04:26Z,WEN3539,"48.380299,-89.284012",2050,152,77
1762549468,2025-11-07T21:04:28Z,WEN3539,"48.380669,-89.281555",2100,157,76
1762549471,2025-11-07T21:04:31Z,WEN3539,"48.381042,-89.279343",2175,159,76
1762549473,2025-11-07T21:04:33Z,WEN3539,"48.381416,-89.277",2275,162,76
1762549475,2025-11-07T21:04:35Z,WEN3539,"48.381775,-89.274689",2325,164,76
1762549477,2025-11-07T21:04:37Z,WEN3539,"48.382206,-89.272011",2400,165,75
1762549484,2025-11-07T21:04:44Z,WEN3539,"48.383556,-89.264061",2600,173,75
1762549493,2025-11-07T21:04:53Z,WEN3539,"48.385345,-89.253426",2850,183,76
1762549501,2025-11-07T21:05:01Z,WEN3539,"48.387142,-89.243027",3150,190,75
1762549508,2025-11-07T21:05:08Z,WEN3539,"48.38863,-89.234352",3375,195,75
1762549517,2025-11-07T21:05:17Z,WEN3539,"48.390537,-89.223007",3725,199,76
1762549523,2025-11-07T21:05:23Z,WEN3539,"48.392029,-89.213844",3975,201,76
1762549532,2025-11-07T21:05:32Z,WEN3539,"48.394032,-89.201683",4300,206,75
1762549538,2025-11-07T21:05:38Z,WEN3539,"48.395782,-89.192719",4550,205,70
1762549541,2025-11-07T21:05:41Z,WEN3539,"48.396698,-89.189407",4625,204,66
1762549543,2025-11-07T21:05:43Z,WEN3539,"48.397522,-89.186943",4700,203,60
1762549545,2025-11-07T21:05:45Z,WEN3539,"48.398453,-89.1847",4775,200,55
1762549547,2025-11-07T21:05:47Z,WEN3539,"48.399673,-89.182297",4850,200,53
1762549549,2025-11-07T21:05:49Z,WEN3539,"48.401199,-89.179855",4950,197,45
1762549551,2025-11-07T21:05:51Z,WEN3539,"48.402512,-89.17807",5025,195,40
1762549554,2025-11-07T21:05:54Z,WEN3539,"48.404297,-89.176094",5125,193,34
1762549556,2025-11-07T21:05:56Z,WEN3539,"48.405853,-89.174828",5225,191,29
1762549558,2025-11-07T21:05:58Z,WEN3539,"48.408089,-89.173424",5325,188,20
1762549561,2025-11-07T21:06:01Z,WEN3539,"48.409882,-89.172714",5425,186,14
1762549563,2025-11-07T21:06:03Z,WEN3539,"48.411953,-89.172195",5550,183,6
1762549565,2025-11-07T21:06:05Z,WEN3539,"48.413677,-89.172119",5625,182,3
1762549567,2025-11-07T21:06:07Z,WEN3539,"48.415466,-89.172295",5725,179,354
1762549569,2025-11-07T21:06:09Z,WEN3539,"48.416794,-89.172646",5800,178,349
1762549571,2025-11-07T21:06:11Z,WEN3539,"48.418842,-89.173347",5900,178,346
1762549574,2025-11-07T21:06:14Z,WEN3539,"48.420135,-89.173843",5975,177,344
1762549576,2025-11-07T21:06:16Z,WEN3539,"48.422104,-89.174759",6075,177,342
1762549578,2025-11-07T21:06:18Z,WEN3539,"48.424103,-89.175812",6200,177,340
1762549580,2025-11-07T21:06:20Z,WEN3539,"48.425674,-89.176659",6275,178,339
1762549582,2025-11-07T21:06:22Z,WEN3539,"48.427082,-89.177467",6375,177,338
1762549585,2025-11-07T21:06:25Z,WEN3539,"48.429199,-89.178772",6500,178,338
1762549587,2025-11-07T21:06:27Z,WEN3539,"48.430759,-89.17971",6575,178,337
1762549589,2025-11-07T21:06:29Z,WEN3539,"48.432358,-89.180672",6675,177,337
1762549591,2025-11-07T21:06:31Z,WEN3539,"48.43425,-89.181877",6775,178,336
1762549594,2025-11-07T21:06:34Z,WEN3539,"48.436066,-89.183105",6900,178,336
1762549596,2025-11-07T21:06:36Z,WEN3539,"48.437511,-89.184052",6975,179,335
1762549598,2025-11-07T21:06:38Z,WEN3539,"48.438953,-89.185059",7050,179,335
1762549600,2025-11-07T21:06:40Z,WEN3539,"48.441002,-89.186432",7175,179,335
1762549602,2025-11-07T21:06:42Z,WEN3539,"48.442539,-89.187592",7275,178,334
1762549613,2025-11-07T21:06:53Z,WEN3539,"48.450218,-89.193588",7725,181,326
1762549616,2025-11-07T21:06:56Z,WEN3539,"48.45195,-89.195534",7825,182,321
1762549618,2025-11-07T21:06:58Z,WEN3539,"48.453278,-89.197365",7900,183,315
1762549620,2025-11-07T21:07:00Z,WEN3539,"48.454643,-89.19973",8000,185,310
1762549622,2025-11-07T21:07:02Z,WEN3539,"48.455658,-89.201942",8075,187,304
1762549624,2025-11-07T21:07:04Z,WEN3539,"48.456642,-89.204285",8175,187,302
1762549626,2025-11-07T21:07:06Z,WEN3539,"48.45739,-89.206383",8250,190,297
1762549629,2025-11-07T21:07:09Z,WEN3539,"48.458321,-89.209274",8325,191,294
1762549631,2025-11-07T21:07:11Z,WEN3539,"48.459183,-89.212433",8425,193,292
1762549633,2025-11-07T21:07:13Z,WEN3539,"48.459808,-89.214912",8475,195,290
1762549635,2025-11-07T21:07:15Z,WEN3539,"48.460415,-89.217659",8550,197,288
1762549637,2025-11-07T21:07:17Z,WEN3539,"48.460972,-89.220261",8600,199,287
1762549640,2025-11-07T21:07:20Z,WEN3539,"48.461655,-89.223701",8675,200,286
1762549642,2025-11-07T21:07:22Z,WEN3539,"48.462231,-89.226547",8750,201,286
1762549644,2025-11-07T21:07:24Z,WEN3539,"48.46265,-89.228859",8825,202,285
1762549646,2025-11-07T21:07:26Z,WEN3539,"48.463348,-89.232544",8900,203,285
1762549648,2025-11-07T21:07:28Z,WEN3539,"48.46386,-89.235435",8975,204,285
1762549650,2025-11-07T21:07:30Z,WEN3539,"48.464371,-89.238327",9050,205,284
1762549652,2025-11-07T21:07:32Z,WEN3539,"48.46479,-89.241005",9125,206,284
1762549655,2025-11-07T21:07:35Z,WEN3539,"48.465408,-89.244553",9200,207,284
1762549657,2025-11-07T21:07:37Z,WEN3539,"48.465862,-89.247292",9275,208,283
1762549670,2025-11-07T21:07:50Z,WEN3539,"48.468792,-89.265869",9750,213,283
1762549683,2025-11-07T21:08:03Z,WEN3539,"48.471821,-89.285744",10100,222,282
1762549698,2025-11-07T21:08:18Z,WEN3539,"48.47517,-89.307571",10500,230,283
1762549711,2025-11-07T21:08:31Z,WEN3539,"48.478848,-89.328751",10975,232,286
1762549725,2025-11-07T21:08:45Z,WEN3539,"48.483124,-89.350189",11425,236,286
1762549738,2025-11-07T21:08:58Z,WEN3539,"48.487041,-89.369873",11850,237,286
1762549750,2025-11-07T21:09:10Z,WEN3539,"48.49128,-89.391052",12325,239,286
1762549781,2025-11-07T21:09:41Z,WEN3539,"48.500916,-89.440491",13400,244,286
1762549813,2025-11-07T21:10:13Z,WEN3539,"48.511276,-89.493645",14625,243,286
1762549845,2025-11-07T21:10:45Z,WEN3539,"48.521027,-89.543221",15900,235,286
1762549876,2025-11-07T21:11:16Z,WEN3539,"48.530182,-89.59034",17125,225,286
1762549906,2025-11-07T21:11:46Z,WEN3539,"48.539063,-89.636253",18225,220,286
1762549939,2025-11-07T21:12:19Z,WEN3539,"48.548584,-89.684425",19250,218,286
1762549970,2025-11-07T21:12:50Z,WEN3539,"48.557335,-89.728523",20225,212,286
1762550000,2025-11-07T21:13:20Z,WEN3539,"48.565384,-89.771187",21150,205,285
1762550031,2025-11-07T21:13:51Z,WEN3539,"48.573162,-89.813667",22000,201,284
1762550062,2025-11-07T21:14:22Z,WEN3539,"48.580307,-89.854782",22725,197,285
1762550095,2025-11-07T21:14:55Z,WEN3539,"48.588573,-89.897797",23400,196,286
1762550125,2025-11-07T21:15:25Z,WEN3539,"48.596298,-89.937698",23975,198,286
1762550158,2025-11-07T21:15:58Z,WEN3539,"48.605118,-89.98317",24025,217,286
1762550190,2025-11-07T21:16:30Z,WEN3539,"48.614735,-90.03289",24025,234,286
1762550223,2025-11-07T21:17:03Z,WEN3539,"48.624847,-90.085075",24025,248,285
1762550253,2025-11-07T21:17:33Z,WEN3539,"48.634689,-90.137192",24000,255,285
1762550285,2025-11-07T21:18:05Z,WEN3539,"48.644855,-90.191971",24025,259,285
1762550317,2025-11-07T21:18:37Z,WEN3539,"48.655563,-90.249306",24025,261,285
1762550348,2025-11-07T21:19:08Z,WEN3539,"48.665337,-90.301834",24000,263,285
1762550381,2025-11-07T21:19:41Z,WEN3539,"48.67651,-90.361389",24025,263,285
1762550412,2025-11-07T21:20:12Z,WEN3539,"48.686646,-90.416351",24000,264,285
1762550444,2025-11-07T21:20:44Z,WEN3539,"48.696991,-90.471909",24000,263,285
1762550474,2025-11-07T21:21:14Z,WEN3539,"48.706909,-90.525826",24025,263,285
1762550505,2025-11-07T21:21:45Z,WEN3539,"48.717335,-90.58213",24025,263,285
1762550538,2025-11-07T21:22:18Z,WEN3539,"48.727798,-90.639252",24000,263,285
1762550570,2025-11-07T21:22:50Z,WEN3539,"48.738235,-90.695938",24025,263,285
1762550600,2025-11-07T21:23:20Z,WEN3539,"48.747967,-90.749886",24025,263,285
1762550631,2025-11-07T21:23:51Z,WEN3539,"48.757931,-90.804535",24025,263,285
1762550663,2025-11-07T21:24:23Z,WEN3539,"48.768356,-90.862289",24000,263,285
1762550695,2025-11-07T21:24:55Z,WEN3539,"48.778336,-90.917572",24025,262,285
1762550727,2025-11-07T21:25:27Z,WEN3539,"48.788559,-90.974457",24000,262,285
1762550757,2025-11-07T21:25:57Z,WEN3539,"48.798244,-91.028526",24025,262,284
1762550790,2025-11-07T21:26:30Z,WEN3539,"48.8083,-91.085403",24000,263,285
1762550820,2025-11-07T21:27:00Z,WEN3539,"48.818207,-91.140884",24025,263,285
1762550852,2025-11-07T21:27:32Z,WEN3539,"48.828369,-91.198288",24025,264,285
1762550883,2025-11-07T21:28:03Z,WEN3539,"48.838165,-91.253357",24000,265,285
1762550914,2025-11-07T21:28:34Z,WEN3539,"48.84787,-91.308243",24000,264,284
1762550945,2025-11-07T21:29:05Z,WEN3539,"48.857506,-91.363174",24000,264,284
