Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762548870,2025-11-07T20:54:30Z,WJA541,"49.90678,-97.224159",0,0,180
1762549131,2025-11-07T20:58:51Z,WJA541,"49.907124,-97.224182",0,2,177
1762549150,2025-11-07T20:59:10Z,WJA541,"49.90733,-97.224182",0,2,182
1762549172,2025-11-07T20:59:32Z,WJA541,"49.907536,-97.224182",0,2,182
1762549483,2025-11-07T21:04:43Z,WJA541,"49.907444,-97.224632",0,6,267
1762549492,2025-11-07T21:04:52Z,WJA541,"49.907467,-97.225067",0,8,272
1762549503,2025-11-07T21:05:03Z,WJA541,"49.907467,-97.2257",0,9,270
1762549508,2025-11-07T21:05:08Z,WJA541,"49.907455,-97.226044",0,10,264
1762549511,2025-11-07T21:05:11Z,WJA541,"49.907433,-97.226295",0,10,264
1762549515,2025-11-07T21:05:15Z,WJA541,"49.90741,-97.226601",0,9,264
1762549520,2025-11-07T21:05:20Z,WJA541,"49.907398,-97.226906",0,9,264
1762549526,2025-11-07T21:05:26Z,WJA541,"49.907352,-97.227318",0,10,261
1762549532,2025-11-07T21:05:32Z,WJA541,"49.907307,-97.227722",0,11,258
1762549536,2025-11-07T21:05:36Z,WJA541,"49.907249,-97.228065",0,11,253
1762549539,2025-11-07T21:05:39Z,WJA541,"49.907192,-97.228279",0,12,250
1762549541,2025-11-07T21:05:41Z,WJA541,"49.907131,-97.228485",0,12,241
1762549545,2025-11-07T21:05:45Z,WJA541,"49.907009,-97.228714",0,12,230
1762549550,2025-11-07T21:05:50Z,WJA541,"49.906837,-97.228951",0,12,216
1762549557,2025-11-07T21:05:57Z,WJA541,"49.90654,-97.229149",0,13,196
1762549559,2025-11-07T21:05:59Z,WJA541,"49.906265,-97.229202",0,13,185
1762549564,2025-11-07T21:06:04Z,WJA541,"49.906002,-97.22921",0,13,177
1762549569,2025-11-07T21:06:09Z,WJA541,"49.905704,-97.229149",0,14,171
1762549572,2025-11-07T21:06:12Z,WJA541,"49.905487,-97.229118",0,14,171
1762549577,2025-11-07T21:06:17Z,WJA541,"49.905128,-97.229042",0,14,171
1762549581,2025-11-07T21:06:21Z,WJA541,"49.904858,-97.228989",0,14,174
1762549585,2025-11-07T21:06:25Z,WJA541,"49.904606,-97.228966",0,15,177
1762549590,2025-11-07T21:06:30Z,WJA541,"49.904308,-97.229042",0,15,191
1762549593,2025-11-07T21:06:33Z,WJA541,"49.904091,-97.229134",0,15,196
1762549598,2025-11-07T21:06:38Z,WJA541,"49.903698,-97.22934",0,16,199
1762549601,2025-11-07T21:06:41Z,WJA541,"49.903477,-97.229446",0,15,199
1762549607,2025-11-07T21:06:47Z,WJA541,"49.90316,-97.229744",0,15,222
1762549611,2025-11-07T21:06:51Z,WJA541,"49.90295,-97.230103",0,16,225
1762549616,2025-11-07T21:06:56Z,WJA541,"49.90258,-97.230392",0,16,202
1762549619,2025-11-07T21:06:59Z,WJA541,"49.902374,-97.230507",0,14,199
1762549623,2025-11-07T21:07:03Z,WJA541,"49.902149,-97.230652",0,13,205
1762549630,2025-11-07T21:07:10Z,WJA541,"49.901859,-97.231079",0,13,227
1762549635,2025-11-07T21:07:15Z,WJA541,"49.901718,-97.231308",0,12,230
1762549638,2025-11-07T21:07:18Z,WJA541,"49.901573,-97.231552",0,12,227
1762549646,2025-11-07T21:07:26Z,WJA541,"49.901173,-97.23175",0,12,177
1762549650,2025-11-07T21:07:30Z,WJA541,"49.900944,-97.231567",0,12,149
1762549657,2025-11-07T21:07:37Z,WJA541,"49.900623,-97.231155",0,13,137
1762549661,2025-11-07T21:07:41Z,WJA541,"49.900475,-97.230934",0,14,137
1762549667,2025-11-07T21:07:47Z,WJA541,"49.900177,-97.230537",0,14,137
1762549671,2025-11-07T21:07:51Z,WJA541,"49.899971,-97.230263",0,15,137
1762549675,2025-11-07T21:07:55Z,WJA541,"49.899765,-97.229965",0,15,137
1762549680,2025-11-07T21:08:00Z,WJA541,"49.899529,-97.229637",0,14,137
1762549688,2025-11-07T21:08:08Z,WJA541,"49.899136,-97.22908",0,15,137
1762549695,2025-11-07T21:08:15Z,WJA541,"49.898808,-97.228592",0,15,135
1762549703,2025-11-07T21:08:23Z,WJA541,"49.898354,-97.227982",0,16,137
1762549710,2025-11-07T21:08:30Z,WJA541,"49.897911,-97.227356",0,14,137
1762549720,2025-11-07T21:08:40Z,WJA541,"49.897411,-97.226685",0,15,137
1762549729,2025-11-07T21:08:49Z,WJA541,"49.89695,-97.226059",0,13,140
1762549734,2025-11-07T21:08:54Z,WJA541,"49.896664,-97.225914",0,12,171
1762549738,2025-11-07T21:08:58Z,WJA541,"49.896458,-97.225983",0,13,196
1762549745,2025-11-07T21:09:05Z,WJA541,"49.896103,-97.22644",0,14,227
1762549749,2025-11-07T21:09:09Z,WJA541,"49.89592,-97.226746",0,15,227
1762549758,2025-11-07T21:09:18Z,WJA541,"49.895496,-97.227501",0,16,230
1762549761,2025-11-07T21:09:21Z,WJA541,"49.895329,-97.227837",0,16,233
1762549764,2025-11-07T21:09:24Z,WJA541,"49.895199,-97.228073",0,16,233
1762549766,2025-11-07T21:09:26Z,WJA541,"49.895084,-97.228302",0,15,230
1762549769,2025-11-07T21:09:29Z,WJA541,"49.894955,-97.228561",0,15,230
1762549774,2025-11-07T21:09:34Z,WJA541,"49.894829,-97.228912",0,13,247
1762549776,2025-11-07T21:09:36Z,WJA541,"49.894806,-97.229118",0,13,261
1762549779,2025-11-07T21:09:39Z,WJA541,"49.89481,-97.229401",0,13,275
1762549781,2025-11-07T21:09:41Z,WJA541,"49.894829,-97.229637",0,14,275
1762549785,2025-11-07T21:09:45Z,WJA541,"49.894852,-97.22995",0,14,278
1762549789,2025-11-07T21:09:49Z,WJA541,"49.89489,-97.230392",0,14,278
1762549792,2025-11-07T21:09:52Z,WJA541,"49.894913,-97.230667",0,15,278
1762549794,2025-11-07T21:09:54Z,WJA541,"49.894932,-97.230934",0,15,278
1762549796,2025-11-07T21:09:56Z,WJA541,"49.894958,-97.231194",0,15,281
