Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762693296,2025-11-09T13:01:36Z,KNE206,"25.251343,55.370827",0,23,120
1762693813,2025-11-09T13:10:13Z,KNE206,"25.257797,55.362804",0,0,300
1762693824,2025-11-09T13:10:24Z,KNE206,"25.261505,55.355885",550,150,299
1762693832,2025-11-09T13:10:32Z,KNE206,"25.264252,55.350697",875,148,300
1762693840,2025-11-09T13:10:40Z,KNE206,"25.267456,55.344849",1100,155,301
1762693849,2025-11-09T13:10:49Z,KNE206,"25.27066,55.3391",1275,165,301
1762693857,2025-11-09T13:10:57Z,KNE206,"25.274187,55.332745",1475,174,301
1762693865,2025-11-09T13:11:05Z,KNE206,"25.277802,55.326435",1700,185,302
1762693873,2025-11-09T13:11:13Z,KNE206,"25.281868,55.319271",1925,199,301
1762693882,2025-11-09T13:11:22Z,KNE206,"25.285995,55.31184",2150,210,301
1762693888,2025-11-09T13:11:28Z,KNE206,"25.288944,55.305695",2375,218,295
1762693890,2025-11-09T13:11:30Z,KNE206,"25.289642,55.303726",2450,220,293
1762693892,2025-11-09T13:11:32Z,KNE206,"25.29039,55.301056",2550,222,288
1762693894,2025-11-09T13:11:34Z,KNE206,"25.291031,55.298359",2675,224,285
1762693896,2025-11-09T13:11:36Z,KNE206,"25.291319,55.296158",2775,226,281
1762693899,2025-11-09T13:11:39Z,KNE206,"25.291534,55.293781",2875,226,277
1762693901,2025-11-09T13:11:41Z,KNE206,"25.291534,55.29134",2975,227,273
1762693903,2025-11-09T13:11:43Z,KNE206,"25.291443,55.289154",3075,228,268
1762693905,2025-11-09T13:11:45Z,KNE206,"25.291168,55.286816",3175,229,262
1762693907,2025-11-09T13:11:47Z,KNE206,"25.290665,55.284374",3275,230,258
1762693909,2025-11-09T13:11:49Z,KNE206,"25.29007,55.282085",3375,231,256
1762693911,2025-11-09T13:11:51Z,KNE206,"25.289154,55.279541",3500,232,251
1762693913,2025-11-09T13:11:53Z,KNE206,"25.288284,55.277355",3625,233,247
1762693915,2025-11-09T13:11:55Z,KNE206,"25.287361,55.27512",3750,233,245
1762693917,2025-11-09T13:11:57Z,KNE206,"25.286385,55.272995",3875,233,244
1762693919,2025-11-09T13:11:59Z,KNE206,"25.285263,55.270386",4025,233,244
1762693922,2025-11-09T13:12:02Z,KNE206,"25.284393,55.268452",4125,233,243
1762693924,2025-11-09T13:12:04Z,KNE206,"25.283173,55.265739",4275,234,243
1762693926,2025-11-09T13:12:06Z,KNE206,"25.282425,55.26408",4375,233,243
1762693928,2025-11-09T13:12:08Z,KNE206,"25.281403,55.261852",4475,234,243
1762693930,2025-11-09T13:12:10Z,KNE206,"25.280472,55.259727",4575,234,243
1762693932,2025-11-09T13:12:12Z,KNE206,"25.279221,55.256958",4700,236,244
1762693934,2025-11-09T13:12:14Z,KNE206,"25.27833,55.254803",4800,237,244
1762693936,2025-11-09T13:12:16Z,KNE206,"25.277353,55.252575",4875,239,244
1762693938,2025-11-09T13:12:18Z,KNE206,"25.276329,55.250141",5000,240,244
1762693951,2025-11-09T13:12:31Z,KNE206,"25.269196,55.236767",5375,254,233
1762693953,2025-11-09T13:12:33Z,KNE206,"25.267456,55.234577",5450,256,230
1762693955,2025-11-09T13:12:35Z,KNE206,"25.265717,55.232746",5475,258,226
1762693957,2025-11-09T13:12:37Z,KNE206,"25.263885,55.230968",5550,260,222
1762693959,2025-11-09T13:12:39Z,KNE206,"25.2621,55.229492",5600,262,219
1762693961,2025-11-09T13:12:41Z,KNE206,"25.259617,55.227444",5700,264,217
1762693963,2025-11-09T13:12:43Z,KNE206,"25.257568,55.225838",5775,266,216
1762693965,2025-11-09T13:12:45Z,KNE206,"25.255381,55.224228",5875,268,214
1762693967,2025-11-09T13:12:47Z,KNE206,"25.253769,55.223083",5950,268,213
1762693969,2025-11-09T13:12:49Z,KNE206,"25.251005,55.221069",6100,268,213
1762693971,2025-11-09T13:12:51Z,KNE206,"25.248962,55.219624",6200,269,212
1762693973,2025-11-09T13:12:53Z,KNE206,"25.246395,55.217804",6350,269,212
1762693975,2025-11-09T13:12:55Z,KNE206,"25.244162,55.216248",6475,268,212
1762693978,2025-11-09T13:12:58Z,KNE206,"25.242004,55.214741",6625,268,212
1762693980,2025-11-09T13:13:00Z,KNE206,"25.239899,55.213268",6750,267,212
1762693982,2025-11-09T13:13:02Z,KNE206,"25.237783,55.211792",6875,267,212
